,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
44,T44,T44,Adam Scott,59,169.4,3463436.0,568
45,T44,T44,Roland Thatcher,55,169.4,3652133.0,599
46,47,47,John Rollins,81,169.9,5956230.0,974
47,T48,T48,Erik Compton,81,170.3,5414494.0,883
48,T48,T48,Jeff Overton,101,170.3,7784110.0,1270
49,T50,T50,Charley Hoffman,88,170.4,6393126.0,1042
50,T50,T50,D.J. Trahan,73,170.4,5201003.0,848
51,52,52,Chris Couch,61,170.6,4490219.0,731
52,53,53,Bill Lunde,83,170.7,5627717.0,916
53,T54,T54,Charles Howell III,98,170.9,6540754.0,1063
54,T54,T54,Carl Pettersson,92,170.9,6711083.0,1091
55,56,56,Will Claxton,99,171.0,7318814.0,1189
56,57,57,Stephen Gangluff,57,171.1,3572345.0,580
57,58,58,Bo Van Pelt,84,171.4,5547401.0,899
58,59,59,Webb Simpson,77,171.6,5634808.0,912
59,T60,T60,Bill Haas,79,171.7,5272597.0,853
60,T60,T60,Brian Harman,101,171.7,7484955.0,1211
61,T62,T62,Kevin Chappell,91,171.8,6116348.0,989
62,T62,T62,Jason Dufner,83,171.8,5416600.0,876
63,T62,T62,Chris Kirk,93,171.8,7278481.0,1177
64,T62,T62,Greg Owen,90,171.8,6586968.0,1065
65,T66,T66,Miguel Angel Carballo,73,172.2,4860575.0,784
66,T66,T66,Roberto Castro,92,172.2,6433509.0,1038
67,68,68,Mathew Goggin,65,172.3,4694262.0,757
68,T69,T69,Bud Cauley,99,172.4,7715194.0,1243
69,T69,T69,Danny Lee,74,172.4,5014038.0,808
70,T71,T71,Kevin Streelman,89,172.5,6568375.0,1058
71,T71,T71,Nick Watney,97,172.5,6488144.0,1045
72,T73,T73,Charl Schwartzel,56,172.7,3462062.0,557
73,T73,T73,Camilo Villegas,79,172.7,6216897.0,1000
74,T75,T75,Tim Herron,88,172.9,6543687.0,1051
75,T75,T75,Kevin Stadler,85,172.9,6006448.0,965
76,77,77,Lee Westwood,60,173.0,3456279.0,555
77,78,78,Freddie Jacobson,61,173.5,3821599.0,612
78,T79,T79,Ryo Ishikawa,54,173.7,3182055.0,509
79,T79,T79,Steve Wheatcroft,56,173.7,3614057.0,578
80,81,81,Kyle Thompson,51,173.8,3178783.0,508
81,82,82,Daniel Summerhays,81,173.9,5903966.0,943
82,83,83,Phil Mickelson,79,174.0,5130415.0,819
83,T84,T84,Jonathan Byrd,69,174.1,4843751.0,773
84,T84,T84,Richard Lee,71,174.1,4919546.0,785
85,T86,T86,Matt Every,80,174.4,5513224.0,878
86,T86,T86,J.J. Killeen,101,174.4,7287684.0,1161
87,T88,T88,Jeff Maggert,83,174.6,6790068.0,1080
88,T88,T88,John Merrick,83,174.6,6240609.0,993
89,T88,T88,Tiger Woods,69,174.6,4204705.0,669
90,T91,T91,Rickie Fowler,84,174.8,5733010.0,911
91,T91,T91,Derek Lamely,64,174.8,4787753.0,761
92,93,93,Chad Campbell,84,175.0,6349883.0,1008
93,T94,T94,Kyle Reifers,86,175.1,6435633.0,1021
94,T94,T94,Brendan Steele,77,175.1,5572951.0,884
95,96,96,Jimmy Walker,101,175.2,7878236.0,1249
96,T97,T97,Sergio Garcia,57,175.3,3810952.0,604
97,T97,T97,Padraig Harrington,67,175.3,3906438.0,619
98,T99,T99,Matt Bettencourt,80,175.4,5165693.0,818
99,T99,T99,Hunter Haas,69,175.4,4547404.0,720
100,T101,T101,Stuart Appleby,75,175.5,5630910.0,891
101,T101,T101,Tommy Biershenk,74,175.5,4991044.0,790
102,T101,T101,Andres Romero,68,175.5,4644012.0,735
103,T104,T104,Blake Adams,107,175.6,7688676.0,1216
104,T104,T104,Chris Stroud,86,175.6,6522689.0,1032
105,T104,T104,Vaughn Taylor,81,175.6,5519138.0,873
106,107,107,Arjun Atwal,79,175.7,5731889.0,906
107,T108,T108,Scott Dunlap,57,175.8,4056464.0,641
108,T108,T108,Brandt Jobe,57,175.8,3929354.0,621
109,T108,T108,Hunter Mahan,88,175.8,5652361.0,893
110,T108,T108,Billy Mayfair,90,175.8,6785481.0,1072
111,T108,T108,John Senden,81,175.8,5431119.0,858
112,113,113,Steve Stricker,73,176.0,4765233.0,752
113,T114,T114,Ernie Els,80,176.1,5692619.0,898
114,T114,T114,D.A. Points,88,176.1,6999710.0,1104
115,T114,T114,Alexandre Rocha,62,176.1,4405271.0,695
116,T114,T114,Cameron Tringale,88,176.1,6733693.0,1062
117,T118,T118,Tom Gillis,75,176.2,6006041.0,947
118,T118,T118,Henrik Stenson,51,176.2,3690744.0,582
119,120,120,Russell Knox,72,176.3,4930281.0,777
120,121,121,J.J. Henry,93,176.4,6237363.0,982
121,122,122,Marco Dawson,60,176.6,3973718.0,625
122,T123,T123,James Driscoll,83,176.8,6080048.0,955
123,T123,T123,John Huh,99,176.8,7517615.0,1181
124,125,125,Matt Kuchar,86,176.9,5802585.0,911
125,T126,T126,Ricky Barnes,92,177.0,7193077.0,1129
126,T126,T126,Ben Crane,73,177.0,5442005.0,854
127,T126,T126,Rod Pampling,88,177.0,6065226.0,952
128,T126,T126,Heath Slocum,93,177.0,6647603.0,1043
129,130,130,Rocco Mediate,70,177.1,5113084.0,802
130,131,131,Jonas Blixt,72,177.3,5628974.0,882
131,132,132,Sangmoon Bae,81,177.4,5026814.0,787
132,133,133,Ken Duke,104,177.6,7927414.0,1240
133,T134,T134,Gary Christian,91,177.7,6660831.0,1041
134,T134,T134,Patrick Sheehan,58,177.7,3876323.0,606
135,T136,T136,Tim Clark,60,177.8,4454021.0,696
136,T136,T136,"Ted Potter, Jr.",77,177.8,5390466.0,842
137,T138,T138,Michael Bradley,63,177.9,4770262.0,745
138,T138,T138,Brendon de Jonge,115,177.9,9041448.0,1412
139,140,140,Spencer Levin,81,178.1,5885037.0,918
140,T141,T141,Nathan Green,73,178.2,5042032.0,786
141,T141,T141,Chez Reavie,83,178.2,5823874.0,908
142,143,143,George McNeill,85,178.3,6263634.0,976
143,144,144,Johnson Wagner,88,178.5,6800132.0,1058
144,T145,T145,Brandt Snedeker,81,178.7,5724576.0,890
145,T145,T145,Y.E. Yang,64,178.7,4289960.0,667
146,T147,T147,David Hearn,95,178.8,7826167.0,1216
147,T147,T147,Trevor Immelman,76,178.8,5111232.0,794
148,T147,T147,Ian Poulter,57,178.8,3378491.0,525
149,T147,T147,Brendon Todd,78,178.8,5555993.0,863
150,151,151,Stewart Cink,71,178.9,4721109.0,733
151,T152,T152,Marc Leishman,84,179.0,6741606.0,1046
152,T152,T152,William McGirt,96,179.0,7005327.0,1087
153,T154,T154,Geoff Ogilvy,73,179.1,4861992.0,754
154,T154,T154,Pat Perez,81,179.1,6099186.0,946
155,156,156,Cameron Beckman,81,179.2,6069043.0,941
156,T157,T157,Jason Bohn,81,179.4,5844070.0,905
157,T157,T157,Ryan Moore,89,179.4,7239484.0,1121
158,159,159,Robert Allenby,76,179.6,5826206.0,901
159,160,160,Kris Blanks,65,179.8,5345933.0,826
160,161,161,Michael Thompson,80,180.0,5774790.0,891
161,T162,T162,Zach Johnson,95,180.2,6624070.0,1021
162,T162,T162,David Mathis,83,180.2,6182431.0,953
163,164,164,Stephen Ames,54,180.3,3473211.0,535
164,T165,T165,Sung Kang,75,180.4,5486559.0,845
165,T165,T165,Justin Rose,69,180.4,4766967.0,734
166,T167,T167,K.J. Choi,71,180.8,5057093.0,777
167,T167,T167,Charlie Wi,86,180.8,6526718.0,1003
168,169,169,Brian Davis,91,180.9,7099717.0,1090
169,170,170,Brian Gay,91,181.0,6997675.0,1074
170,171,171,Kevin Na,80,181.6,5858830.0,896
171,T172,T172,Jerry Kelly,84,181.9,6607038.0,1009
172,T172,T172,Graeme McDowell,55,181.9,3470764.0,530
173,174,174,Bob Estes,78,182.0,5877604.0,897
174,175,175,David Toms,60,182.3,4016077.0,612
175,176,176,Dicky Pride,62,182.4,4465636.0,680
176,177,177,Jim Furyk,85,183.0,5943371.0,902
177,178,178,Justin Leonard,79,183.4,6147176.0,931
178,179,179,John Mallinger,74,183.6,5717104.0,865
179,180,180,Gavin Coles,72,183.8,5221475.0,789
180,181,181,Mark Wilson,84,184.2,6246852.0,942
181,182,182,Ryuji Imada,78,184.5,6297591.0,948
182,183,183,Billy Hurley III,70,184.9,5145137.0,773
183,184,184,Greg Chalmers,88,185.3,6903022.0,1035
184,185,185,Colt Knost,79,185.9,6191343.0,925
185,186,186,Ben Curtis,62,186.0,4471846.0,668
186,187,187,Bryce Molder,83,186.1,6552996.0,978
187,188,188,Luke Donald,63,186.9,4455127.0,662
188,189,189,Tom Pernice Jr.,62,187.0,4760036.0,707
189,190,190,Chris DiMarco,83,187.1,6655662.0,988
190,191,191,Nick O'Hern,78,189.7,6364701.0,932
