,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
40,41,41,Scott Brown,65,60.4,90,59
41,42,42,Billy Horschel,63,60.31,79,52
42,43,43,Seung-Yul Noh,105,60.0,153,102
43,T44,T44,Jonathan Byrd,69,59.44,107,73
44,T44,T44,Harrison Frazar,56,59.44,85,58
45,46,46,Padraig Harrington,67,59.4,79,54
46,47,47,Troy Matteson,100,59.29,150,103
47,48,48,John Rollins,81,59.26,128,88
48,49,49,D.A. Points,88,58.94,145,101
49,50,50,Ryan Palmer,81,58.72,128,90
50,51,51,Boo Weekley,74,58.62,102,72
51,52,52,Greg Owen,90,58.52,134,95
52,53,53,Nathan Green,73,58.43,97,69
53,54,54,Kevin Na,80,58.02,123,89
54,55,55,Graham DeLaet,79,57.97,120,87
55,56,56,Chris Kirk,93,57.79,152,111
56,57,57,Jimmy Walker,101,57.68,169,124
57,58,58,John Huh,99,57.59,148,109
58,59,59,Jason Dufner,83,57.58,114,84
59,60,60,Harris English,98,57.56,156,115
60,61,61,Erik Compton,81,57.51,111,82
61,62,62,Cameron Tringale,88,57.37,144,107
62,63,63,Billy Mayfair,90,57.27,130,97
63,64,64,Davis Love III,64,57.24,83,62
64,T65,T65,Mathew Goggin,65,57.14,96,72
65,T65,T65,D.J. Trahan,73,57.14,104,78
66,67,67,Jason Kokrak,79,57.07,117,88
67,68,68,Will Claxton,99,56.92,144,109
68,69,69,Kevin Stadler,85,56.48,122,94
69,70,70,George McNeill,85,56.36,124,96
70,71,71,Charles Howell III,98,56.28,130,101
71,72,72,Sangmoon Bae,81,56.25,99,77
72,T73,T73,Bo Van Pelt,84,56.22,113,88
73,T73,T73,Nick Watney,97,56.22,140,109
74,75,75,Ángel Cabrera,54,56.14,64,50
75,76,76,Kevin Chappell,91,56.11,124,97
76,77,77,Arjun Atwal,79,56.08,106,83
77,78,78,Garth Mulroy,59,55.88,76,60
78,79,79,Blake Adams,107,55.43,148,119
79,80,80,Ben Crane,73,54.59,113,94
80,81,81,Justin Rose,69,54.49,97,81
81,82,82,Brendon de Jonge,115,54.23,173,146
82,83,83,Hunter Mahan,88,54.19,110,93
83,84,84,Spencer Levin,81,54.11,112,95
84,85,85,Kevin Streelman,89,53.97,129,110
85,86,86,Ernie Els,80,53.88,111,95
86,87,87,Daniel Chopra,55,53.78,64,55
87,88,88,Chad Campbell,84,53.77,114,98
88,89,89,Matt Jones,53,53.73,72,62
89,90,90,Kris Blanks,65,53.44,101,88
90,91,91,Carl Pettersson,92,53.36,127,111
91,92,92,Roberto Castro,92,53.18,117,103
92,93,93,Tommy Gainey,98,52.99,142,126
93,94,94,Danny Lee,74,52.84,93,83
94,95,95,Aaron Baddeley,73,52.81,94,84
95,96,96,Richard Lee,71,52.8,85,76
96,97,97,Derek Lamely,64,52.73,87,78
97,98,98,Tom Gillis,75,52.68,118,106
98,99,99,Pat Perez,81,52.65,119,107
99,100,100,John Merrick,83,52.56,113,102
100,101,101,Camilo Villegas,79,52.4,120,109
101,102,102,Geoff Ogilvy,73,52.11,99,91
102,103,103,Steve Stricker,73,51.74,89,83
103,104,104,Mark Anderson,75,51.6,97,91
104,105,105,Marc Leishman,84,51.46,123,116
105,106,106,Rod Pampling,88,51.42,109,103
106,107,107,Ken Duke,104,51.33,135,128
107,108,108,Troy Kelly,68,51.32,78,74
108,109,109,Bud Cauley,99,51.2,149,142
109,110,110,Brandt Snedeker,81,50.99,103,99
110,111,111,Brian Harman,101,50.92,139,134
111,112,112,Ian Poulter,57,50.81,63,61
112,113,113,Roland Thatcher,55,50.78,65,63
113,114,114,Jonas Blixt,72,50.75,101,98
114,115,115,Brendan Steele,77,50.72,106,103
115,116,116,Martin Flores,95,50.62,123,120
116,117,117,Kyle Thompson,51,50.48,53,52
117,T118,T118,Rocco Mediate,70,50.0,87,87
118,T118,T118,Y.E. Yang,64,50.0,65,65
119,120,120,K.J. Choi,71,48.91,90,94
120,121,121,J.J. Killeen,101,48.81,123,129
121,122,122,Daniel Summerhays,81,48.8,102,107
122,123,123,Kevin Kisner,69,48.7,75,79
123,124,124,Scott Dunlap,57,48.48,64,68
124,125,125,Freddie Jacobson,61,48.46,63,67
125,126,126,Gary Christian,91,48.39,105,112
126,127,127,Trevor Immelman,76,48.33,87,93
127,128,128,Matt Every,80,48.26,97,104
128,129,129,Robert Allenby,76,48.22,95,102
129,130,130,Ricky Barnes,92,48.19,120,129
130,131,131,Greg Chalmers,88,47.88,113,123
131,132,132,Bill Lunde,83,47.83,99,108
132,133,133,Zach Johnson,95,47.79,108,118
133,134,134,Charlie Wi,86,47.64,111,122
134,135,135,Jeff Maggert,83,47.58,108,119
135,136,136,Johnson Wagner,88,47.54,116,128
136,137,137,Stephen Gangluff,57,47.15,58,65
137,138,138,Graeme McDowell,55,46.83,59,67
138,139,139,Ryan Moore,89,46.72,121,138
139,140,140,Sung Kang,75,46.56,88,101
140,141,141,Matt Bettencourt,80,46.49,86,99
141,142,142,Michael Bradley,63,46.47,79,91
142,143,143,Tim Herron,88,46.19,103,120
143,144,144,Ryo Ishikawa,54,46.15,48,56
144,145,145,Steve Wheatcroft,56,45.9,56,66
145,146,146,Chris Stroud,86,45.61,104,124
146,147,147,Stewart Cink,71,45.45,80,96
147,148,148,Miguel Angel Carballo,73,45.4,79,95
148,149,149,Brandt Jobe,57,45.07,64,78
149,150,150,Tommy Biershenk,74,45.05,82,100
150,151,151,Russell Knox,72,44.91,75,92
151,T152,T152,Matt Kuchar,86,44.44,88,110
152,T152,T152,Heath Slocum,93,44.44,96,120
153,154,154,Jason Bohn,81,44.1,86,109
154,155,155,Alexandre Rocha,62,43.84,64,82
155,156,156,Jerry Kelly,84,43.66,93,120
156,157,157,Kyle Reifers,86,43.59,102,132
157,158,158,Chez Reavie,83,43.54,91,118
158,159,159,David Toms,60,43.06,62,82
159,160,160,Cameron Beckman,81,42.86,90,120
160,161,161,"Ted Potter, Jr.",77,42.7,76,102
161,162,162,William McGirt,96,42.62,104,140
162,163,163,Stuart Appleby,75,42.56,83,112
163,164,164,Patrick Sheehan,58,42.52,54,73
164,165,165,Mark Wilson,84,42.2,92,126
165,166,166,Dicky Pride,62,42.0,63,87
166,167,167,Marco Dawson,60,41.89,62,86
167,168,168,Luke Donald,63,41.88,67,93
168,169,169,J.J. Henry,93,40.91,90,130
169,170,170,Tom Pernice Jr.,62,40.88,65,94
170,171,171,John Mallinger,74,40.21,76,113
171,172,172,Bob Estes,78,40.1,79,118
172,173,173,David Hearn,95,40.0,108,162
173,174,174,Michael Thompson,80,38.78,76,120
174,175,175,Jim Furyk,85,38.69,77,122
175,176,176,Tim Clark,60,38.03,54,88
176,177,177,Chris DiMarco,83,38.01,84,137
177,178,178,Vaughn Taylor,81,37.95,74,121
178,179,179,Brian Davis,91,37.8,93,153
179,180,180,Brendon Todd,78,37.3,69,116
180,181,181,Ryuji Imada,78,37.26,79,133
181,182,182,Stephen Ames,54,37.07,43,73
182,183,183,Ben Curtis,62,36.65,59,102
183,184,184,David Mathis,83,34.3,71,136
184,185,185,Justin Leonard,79,31.9,67,143
185,186,186,Gavin Coles,72,30.86,50,112
186,187,187,Colt Knost,79,29.13,60,146
187,188,188,Brian Gay,91,28.57,68,170
188,189,189,Billy Hurley III,70,27.88,46,119
189,190,190,Bryce Molder,83,26.75,61,167
190,191,191,Nick O'Hern,78,26.09,54,153
