,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
37,38,38,Vaughn Taylor,81,17.32,22,127
38,39,39,Jimmy Walker,101,17.28,33,191
39,40,40,Cameron Tringale,88,17.21,21,122
40,41,41,Nick Watney,97,17.09,20,117
41,42,42,Graeme McDowell,55,16.95,10,59
42,43,43,Scott Piercy,95,16.88,27,160
43,44,44,Brendon de Jonge,115,16.87,28,166
44,45,45,Sergio Garcia,57,16.85,15,89
45,46,46,Steve Stricker,73,16.84,16,95
46,47,47,Seung-Yul Noh,105,16.77,28,167
47,T48,T48,Brian Davis,91,16.67,18,108
48,T48,T48,Mathew Goggin,65,16.67,19,114
49,50,50,Robert Garrigus,89,16.56,26,157
50,51,51,Scott Stallings,78,16.55,23,139
51,52,52,Jim Furyk,85,16.5,17,103
52,53,53,Russell Knox,72,16.44,12,73
53,54,54,Vijay Singh,99,16.42,22,134
54,55,55,Ryuji Imada,78,16.36,27,165
55,56,56,Martin Flores,95,16.32,31,190
56,57,57,Bill Haas,79,16.28,14,86
57,58,58,Keegan Bradley,90,16.26,20,123
58,59,59,Nathan Green,73,16.22,18,111
59,T60,T60,Jeff Overton,101,16.05,26,162
60,T60,T60,Carl Pettersson,92,16.05,26,162
61,62,62,Jeff Maggert,83,15.97,19,119
62,63,63,Luke Donald,63,15.79,12,76
63,T64,T64,J.J. Killeen,101,15.71,22,140
64,T64,T64,Sean O'Hair,84,15.71,22,140
65,66,66,Greg Owen,90,15.5,20,129
66,67,67,Mark Wilson,84,15.49,11,71
67,68,68,David Mathis,83,15.45,17,110
68,69,69,Bob Estes,78,15.38,16,104
69,70,70,Blake Adams,107,15.32,19,124
70,71,71,Rory Sabbatini,84,15.25,18,118
71,72,72,Harrison Frazar,56,15.18,17,112
72,73,73,Ricky Barnes,92,15.17,22,145
73,74,74,Johnson Wagner,88,15.09,24,159
74,75,75,Rocco Mediate,70,15.04,17,113
75,76,76,Boo Weekley,74,15.0,12,80
76,77,77,Billy Mayfair,90,14.96,19,127
77,78,78,Kyle Reifers,86,14.86,22,148
78,79,79,David Toms,60,14.75,9,61
79,80,80,Ryo Ishikawa,54,14.67,11,75
80,81,81,Dicky Pride,62,14.61,13,89
81,82,82,Matt Kuchar,86,14.53,17,117
82,83,83,Jerry Kelly,84,14.44,13,90
83,84,84,Chris DiMarco,83,14.43,14,97
84,85,85,D.J. Trahan,73,14.41,16,111
85,86,86,Zach Johnson,95,14.29,16,112
86,87,87,Aaron Baddeley,73,14.15,15,106
87,88,88,Hunter Haas,69,14.14,14,99
88,89,89,Kevin Streelman,89,14.07,19,135
89,90,90,Pat Perez,81,13.95,18,129
90,T91,T91,Derek Lamely,64,13.89,15,108
91,T91,T91,Roland Thatcher,55,13.89,10,72
92,93,93,Jonathan Byrd,69,13.74,18,131
93,94,94,Ian Poulter,57,13.73,7,51
94,T95,T95,Tommy Biershenk,74,13.56,16,118
95,T95,T95,Tom Gillis,75,13.56,16,118
96,97,97,Michael Thompson,80,13.51,15,111
97,98,98,Justin Leonard,79,13.48,19,141
98,99,99,William McGirt,96,13.42,20,149
99,100,100,Miguel Angel Carballo,73,13.39,15,112
100,101,101,Rod Pampling,88,13.33,14,105
101,102,102,Bud Cauley,99,13.25,22,166
102,T103,T103,Harris English,98,13.24,18,136
103,T103,T103,Adam Scott,59,13.24,9,68
104,105,105,Matt Jones,53,13.19,12,91
105,106,106,Padraig Harrington,67,13.16,10,76
106,107,107,Tom Pernice Jr.,62,13.1,11,84
107,T108,T108,Jason Bohn,81,13.04,15,115
108,T108,T108,Chris Stroud,86,13.04,15,115
109,T110,T110,John Merrick,83,13.01,16,123
110,T110,T110,Bo Van Pelt,84,13.01,16,123
111,112,112,Tim Herron,88,12.98,17,131
112,113,113,Dustin Johnson,70,12.9,16,124
113,114,114,Brandt Snedeker,81,12.87,13,101
114,115,115,Marco Dawson,60,12.73,14,110
115,116,116,Charley Hoffman,88,12.7,16,126
116,117,117,James Driscoll,83,12.59,17,135
117,118,118,Ryan Palmer,81,12.5,18,144
118,119,119,Marc Leishman,84,12.4,16,129
119,120,120,Jhonattan Vegas,77,12.27,20,163
120,121,121,Chad Campbell,84,12.21,16,131
121,122,122,Erik Compton,81,12.1,15,124
122,123,123,"Ted Potter, Jr.",77,12.04,13,108
123,124,124,Ernie Els,80,12.03,16,133
124,T125,T125,Cameron Beckman,81,11.97,14,117
125,T125,T125,Matt Bettencourt,80,11.97,17,142
126,127,127,George McNeill,85,11.93,13,109
127,T128,T128,Roberto Castro,92,11.9,15,126
128,T128,T128,Kevin Stadler,85,11.9,15,126
129,130,130,Rickie Fowler,84,11.88,12,101
130,131,131,Sung Kang,75,11.86,14,118
131,T132,T132,Ben Curtis,62,11.83,11,93
132,T132,T132,Steve Wheatcroft,56,11.83,11,93
133,134,134,Stewart Cink,71,11.82,13,110
134,135,135,Chris Kirk,93,11.81,17,144
135,136,136,Gavin Coles,72,11.76,14,119
136,137,137,Brendon Todd,78,11.72,15,128
137,138,138,Stephen Gangluff,57,11.69,9,77
138,139,139,Spencer Levin,81,11.64,17,146
139,T140,T140,Stuart Appleby,75,11.61,13,112
140,T140,T140,Will Claxton,99,11.61,18,155
141,T142,T142,Stephen Ames,54,11.54,9,78
142,T142,T142,Kris Blanks,65,11.54,12,104
143,144,144,Michael Bradley,63,11.45,15,131
144,145,145,Edward Loar,59,11.4,13,114
145,146,146,Brian Gay,91,11.38,14,123
146,T147,T147,Sangmoon Bae,81,11.3,13,115
147,T147,T147,Troy Kelly,68,11.3,13,115
148,149,149,Ryan Moore,89,11.11,14,126
149,150,150,Jason Dufner,83,11.0,11,100
150,151,151,Hunter Mahan,88,10.87,10,92
151,152,152,Bobby Gates,87,10.69,14,131
152,153,153,John Rollins,81,10.62,12,113
153,154,154,Jonas Blixt,72,10.56,15,142
154,155,155,Patrick Sheehan,58,10.23,9,88
155,156,156,Scott Dunlap,57,10.17,6,59
156,157,157,Brandt Jobe,57,10.14,7,69
157,158,158,Trevor Immelman,76,10.1,10,99
158,159,159,David Hearn,95,10.08,12,119
159,160,160,Martin Laird,77,10.0,9,90
160,161,161,Robert Allenby,76,9.92,13,131
161,162,162,Kevin Kisner,69,9.78,9,92
162,163,163,Colt Knost,79,9.71,10,103
163,164,164,Richard Lee,71,9.68,9,93
164,T165,T165,Tim Clark,60,9.59,7,73
165,T165,T165,Robert Karlsson,54,9.59,7,73
166,167,167,Tommy Gainey,98,9.39,17,181
167,168,168,Bryce Molder,83,9.38,9,96
168,169,169,Daniel Summerhays,81,9.23,12,130
169,T170,T170,Greg Chalmers,88,9.09,10,110
170,T170,T170,John Mallinger,74,9.09,8,88
171,172,172,Brian Harman,101,9.03,13,144
172,173,173,Geoff Ogilvy,73,9.01,10,111
173,174,174,Y.E. Yang,64,8.89,8,90
174,175,175,Freddie Jacobson,61,8.86,7,79
175,176,176,Kevin Na,80,8.74,9,103
176,177,177,Brendan Steele,77,8.57,9,105
177,178,178,K.J. Choi,71,8.25,8,97
178,179,179,Kevin Chappell,91,8.13,10,123
179,180,180,J.J. Henry,93,7.87,10,127
180,181,181,Arjun Atwal,79,7.81,10,128
181,182,182,Camilo Villegas,79,7.75,10,129
182,183,183,Gary Christian,91,7.27,8,110
183,184,184,Charlie Wi,86,7.2,9,125
184,185,185,Scott Brown,65,7.14,6,84
185,186,186,Billy Hurley III,70,7.09,9,127
186,187,187,Henrik Stenson,51,6.67,5,75
187,188,188,Alexandre Rocha,62,6.15,4,65
188,189,189,Nick O'Hern,78,6.11,8,131
189,T190,T190,Chez Reavie,83,3.19,3,94
190,T190,T190,Heath Slocum,93,3.19,3,94
