,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
35,T35,,Sung Kang,104,94.44,34,36
36,37,,Matt Every,76,94.29,33,35
37,T38,,Gonzalo Fernandez-Castaño,63,93.94,31,33
38,T38,,Jon Rahm,90,93.94,31,33
39,T38,,Scott Stallings,81,93.94,31,33
40,41,,Grayson Murray,94,93.88,46,49
41,T42,,Luke Donald,50,93.75,15,16
42,T42,,Peter Malnati,91,93.75,45,48
43,T42,,Ryan Moore,82,93.75,45,48
44,45,,Seung-Yul Noh,91,93.62,44,47
45,T46,,Sean O'Hair,84,93.55,29,31
46,T46,,Jimmy Walker,68,93.55,29,31
47,T48,,Scott Brown,95,93.33,42,45
48,T48,,Jim Herman,77,93.33,42,45
49,T48,,Charles Howell III,86,93.33,42,45
50,T48,,Boo Weekley,75,93.33,42,45
51,52,,Robert Streb,98,93.18,41,44
52,53,,Derek Fathauer,81,93.02,40,43
53,T54,,Brian Gay,82,92.86,39,42
54,T54,,Whee Kim,74,92.86,39,42
55,T56,,Jason Bohn,75,92.68,38,41
56,T56,,Mackenzie Hughes,106,92.68,38,41
57,58,,Steven Bowditch,59,92.59,25,27
58,T59,,Kevin Kisner,105,92.31,48,52
59,T59,,Vaughn Taylor,90,92.31,36,39
60,61,,Chez Reavie,98,92.11,35,38
61,62,,Tim Wilkinson,64,92.0,23,25
62,T63,,Dominic Bozzelli,69,91.67,22,24
63,T63,,Brian Campbell,55,91.67,22,24
64,T63,,Ryo Ishikawa,56,91.67,22,24
65,T63,,Patton Kizzire,84,91.67,33,36
66,T63,,Sam Saunders,76,91.67,44,48
67,68,,J.J. Spaun,92,91.49,43,47
68,T69,,Chad Collins,66,91.43,32,35
69,T69,,Jason Dufner,89,91.43,32,35
70,71,,Keegan Bradley,104,91.38,53,58
71,T72,,Hideki Matsuyama,83,91.3,21,23
72,T72,,Trey Mullinax,88,91.3,42,46
73,74,,Graeme McDowell,56,91.18,31,34
74,T75,,Ben Crane,86,91.11,41,45
75,T75,,Adam Hadwin,98,91.11,41,45
76,T75,,Morgan Hoffmann,92,91.11,41,45
77,T78,,Byeong Hun An,77,90.91,30,33
78,T78,,J.B. Holmes,83,90.91,20,22
79,T78,,Luke List,102,90.91,40,44
80,T78,,Chris Stroud,67,90.91,30,33
81,T82,,Wesley Bryan,95,90.7,39,43
82,T82,,Lucas Glover,93,90.7,39,43
83,T82,,Kevin Na,86,90.7,39,43
84,85,,Michael Thompson,60,90.63,29,32
85,T86,,Mark Anderson,54,90.48,19,21
86,T86,,Ken Duke,77,90.48,38,42
87,T86,,Jim Furyk,54,90.48,19,21
88,T86,,Louis Oosthuizen,69,90.48,19,21
89,T90,,Jason Kokrak,95,90.38,47,52
90,T90,,Kevin Streelman,90,90.38,47,52
91,T92,,Ryan Palmer,61,90.32,28,31
92,T92,,Xander Schauffele,96,90.32,28,31
93,T94,,Emiliano Grillo,90,90.24,37,41
94,T94,,Martin Laird,83,90.24,37,41
95,T96,,Charley Hoffman,112,90.0,45,50
96,T96,,Chris Kirk,89,90.0,27,30
97,T96,,Bryce Molder,74,90.0,36,40
98,T96,,Gary Woodland,94,90.0,18,20
99,T100,,Mark Hubbard,81,89.74,35,39
100,T100,,Harold Varner III,101,89.74,35,39
101,T102,,Brad Fritsch,56,89.66,26,29
102,T102,,Rory McIlroy,51,89.66,26,29
103,T104,,Daniel Berger,91,89.47,34,38
104,T104,,Brett Drewitt,57,89.47,17,19
105,T104,,Ben Martin,86,89.47,34,38
106,T104,,Ian Poulter,72,89.47,34,38
107,T104,,Richy Werenski,81,89.47,34,38
108,109,,Patrick Reed,107,89.36,42,47
109,110,,Rory Sabbatini,71,89.29,25,28
110,111,,Patrick Rodgers,76,89.19,33,37
111,112,,Troy Merritt,82,89.09,49,55
112,T113,,Ryan Blaum,100,88.89,48,54
113,T113,,Jason Day,71,88.89,24,27
114,T113,,Zach Johnson,81,88.89,40,45
115,T113,,Hunter Mahan,73,88.89,32,36
116,T113,,Pat Perez,93,88.89,32,36
117,T113,,Johnson Wagner,71,88.89,32,36
118,T119,,Smylie Kaufman,76,88.64,39,44
119,T119,,C.T. Pan,88,88.64,39,44
120,T119,,Camilo Villegas,76,88.64,39,44
121,T122,,Roberto Castro,70,88.57,31,35
122,T122,,Marc Leishman,94,88.57,31,35
123,124,,Nick Taylor,97,88.46,46,52
124,125,,Zac Blair,105,88.33,53,60
125,T126,,Danny Lee,93,88.24,45,51
126,T126,,William McGirt,89,88.24,30,34
127,T126,,Daniel Summerhays,100,88.24,45,51
128,T129,,Russell Henley,99,88.1,37,42
129,T129,,J.J. Henry,92,88.1,37,42
130,T129,,Michael Kim,94,88.1,37,42
131,132,,Chad Campbell,97,88.0,44,50
132,133,,Spencer Levin,89,87.93,51,58
133,T134,,Branden Grace,70,87.88,29,33
134,T134,,Brendan Steele,89,87.88,29,33
135,136,,Tyrone Van Aswegen,105,87.76,43,49
136,T137,,Graham DeLaet,82,87.5,49,56
137,T137,,Harris English,84,87.5,35,40
138,T137,,James Hahn,96,87.5,42,48
139,T137,,Billy Hurley III,80,87.5,35,40
140,T137,,Cameron Percy,71,87.5,35,40
141,T137,,Kevin Tway,96,87.5,42,48
142,143,,Kyle Stanley,104,87.27,48,55
143,144,,Webb Simpson,102,87.23,41,47
144,T145,,Alex Cejka,85,87.18,34,39
145,T145,,David Lingmerth,79,87.18,34,39
146,T145,,Cameron Tringale,89,87.18,34,39
147,148,,J.T. Poston,95,86.79,46,53
148,149,,Billy Horschel,88,86.67,39,45
149,150,,Rod Pampling,71,86.36,19,22
150,T151,,Ryan Armour,63,86.21,25,29
151,T151,,Julián Etulain,68,86.21,25,29
152,T151,,Matt Kuchar,95,86.21,25,29
153,T154,,Brooks Koepka,88,86.11,31,36
154,T154,,Francesco Molinari,75,86.11,31,36
155,T156,,Brian Stuard,93,86.0,43,50
156,T156,,Nick Watney,75,86.0,43,50
157,T158,,Cody Gribble,79,85.71,30,35
158,T158,,Geoff Ogilvy,80,85.71,24,28
159,T158,,Carl Pettersson,63,85.71,24,28
160,T158,,Jordan Spieth,85,85.71,36,42
161,T158,,Justin Thomas,86,85.71,30,35
162,163,,Justin Rose,66,85.29,29,34
163,164,,Ryan Brehm,83,84.78,39,46
164,165,,Steven Alker,69,84.62,22,26
165,166,,Jhonattan Vegas,95,84.44,38,45
166,167,,Robert Garrigus,78,84.38,27,32
167,T168,,Aaron Baddeley,61,83.33,30,36
168,T168,,Stewart Cink,93,83.33,50,60
169,T168,,Fabián Gómez,61,83.33,30,36
170,T168,,Brandon Hagy,85,83.33,35,42
171,172,,Retief Goosen,52,82.76,24,29
172,173,,Bud Cauley,92,82.61,38,46
173,174,,David Hearn,93,82.35,28,34
174,175,,Jonathan Randolph,68,82.14,23,28
175,176,,Ernie Els,52,81.48,22,27
176,T177,,Scott Piercy,70,81.25,26,32
177,T177,,Bubba Watson,71,81.25,26,32
178,179,,Adam Scott,58,80.95,17,21
179,180,,D.A. Points,68,79.41,27,34
180,181,,Paul Casey,94,78.95,30,38
181,182,,Shane Lowry,52,78.57,11,14
182,183,,K.J. Choi,72,78.13,25,32
183,T184,,Rick Lamb,54,77.78,14,18
184,T184,,Brett Stegmaier,78,77.78,28,36
185,186,,Miguel Angel Carballo,63,76.92,20,26
186,187,,Kyle Reifers,96,76.47,26,34
187,188,,Anirban Lahiri,72,73.08,19,26
188,189,,Andrew Loupe,55,72.73,16,22
189,190,,Nicholas Lindheim,58,71.43,20,28
