,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
103,104,,Camilo Villegas,76,60.93,92,151
104,105,,Bryce Molder,74,60.77,110,181
105,106,,Jamie Lovemark,98,60.66,111,183
106,107,,Ben Crane,86,60.63,97,160
107,108,,Matt Kuchar,95,60.61,80,132
108,109,,Boo Weekley,75,60.58,83,137
109,110,,Aaron Baddeley,61,60.53,69,114
110,111,,Gonzalo Fernandez-Castaño,63,60.42,87,144
111,112,,Russell Henley,99,60.36,102,169
112,113,,Martin Laird,83,60.34,105,174
113,114,,Charles Howell III,86,60.24,100,166
114,115,,Fabián Gómez,61,60.0,81,135
115,116,,Lucas Glover,93,59.86,88,147
116,117,,Jason Bohn,75,59.78,107,179
117,118,,Jordan Spieth,85,59.62,62,104
118,119,,Adam Scott,58,59.55,53,89
119,120,,Shawn Stefani,72,59.54,78,131
120,121,,Kyle Reifers,96,59.43,104,175
121,122,,Andres Gonzales,73,59.4,79,133
122,123,,Jason Day,71,59.35,73,123
123,124,,Ryo Ishikawa,56,59.32,70,118
124,125,,Patrick Rodgers,76,59.24,93,157
125,T126,,Sergio Garcia,65,59.15,42,71
126,T126,,Peter Malnati,91,59.15,97,164
127,128,,J.B. Holmes,83,59.12,81,137
128,129,,Luke Donald,50,58.97,69,117
129,130,,Matt Jones,64,58.91,76,129
130,131,,Vaughn Taylor,90,58.88,116,197
131,132,,Cameron Tringale,89,58.85,113,192
132,133,,Brooks Koepka,88,58.78,87,148
133,134,,Ryan Moore,82,58.54,72,123
134,135,,Ryan Palmer,61,58.49,62,106
135,136,,Daniel Summerhays,100,58.44,90,154
136,137,,Kelly Kraft,75,58.04,83,143
137,138,,Brad Fritsch,56,57.98,69,119
138,139,,Johnson Wagner,71,57.81,74,128
139,140,,Hudson Swafford,94,57.59,91,158
140,141,,Scott Stallings,81,57.52,88,153
141,142,,Michael Kim,94,57.51,111,193
142,143,,Emiliano Grillo,90,57.34,82,143
143,144,,Rickie Fowler,78,57.27,63,110
144,145,,D.A. Points,68,57.14,80,140
145,146,,Seung-Yul Noh,91,57.07,113,198
146,147,,Sam Saunders,76,57.04,77,135
147,148,,Rick Lamb,54,57.01,61,107
148,149,,Bubba Watson,71,56.86,58,102
149,150,,David Lingmerth,79,56.83,79,139
150,151,,Ken Duke,77,56.76,84,148
151,152,,Tyrone Van Aswegen,105,56.7,110,194
152,153,,Gary Woodland,94,56.48,61,108
153,154,,Chris Kirk,89,56.42,101,179
154,155,,Ben Martin,86,56.25,81,144
155,156,,Si Woo Kim,80,56.08,83,148
156,157,,Carl Pettersson,63,55.84,86,154
157,158,,Sebastián Muñoz,51,55.79,53,95
158,159,,Søren Kjeldsen,58,55.71,39,70
159,160,,Nick Watney,75,55.63,79,142
160,161,,Cody Gribble,79,55.62,94,169
161,T162,,Jonas Blixt,74,55.56,80,144
162,T162,,Hunter Mahan,73,55.56,85,153
163,164,,Blayne Barber,77,55.4,77,139
164,165,,Tag Ridings,67,55.38,72,130
165,166,,Smylie Kaufman,76,55.36,62,112
166,167,,Charley Hoffman,112,54.89,101,184
167,168,,Patton Kizzire,84,54.79,103,188
168,169,,Michael Thompson,60,54.76,69,126
169,170,,Xander Schauffele,96,54.67,82,150
170,171,,Ryan Brehm,83,54.32,88,162
171,172,,Rod Pampling,71,54.0,81,150
172,173,,Byeong Hun An,77,53.85,70,130
173,174,,Graham DeLaet,82,53.79,78,145
174,175,,Ollie Schniederjans,92,53.61,89,166
175,176,,Brian Campbell,55,53.1,60,113
176,177,,Andrew Loupe,55,53.08,69,130
177,178,,Brett Stegmaier,78,53.07,95,179
178,179,,Jimmy Walker,68,53.0,53,100
179,180,,Jim Herman,77,52.94,63,119
180,181,,Danny Lee,93,52.91,91,172
181,182,,Nicholas Lindheim,58,52.14,61,117
182,183,,Trey Mullinax,88,51.77,73,141
183,184,,Matt Every,76,51.02,75,147
184,185,,Grayson Murray,94,50.26,98,195
185,186,,Tom Hoge,54,50.0,45,90
186,187,,Martin Flores,88,49.19,61,124
187,188,,Steven Bowditch,59,49.01,74,151
188,189,,Robert Garrigus,78,48.0,60,125
189,190,,Scott Piercy,70,47.62,50,105
