,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
79,80,,Tony Finau,106,52.0,78,150,49.0
80,81,,Kevin Kisner,105,51.82,71,137,46.0
81,82,,Grayson Murray,94,51.57,82,159,55.0
82,83,,Hudson Swafford,94,51.53,84,163,52.0
83,84,,Johnson Wagner,71,51.49,52,101,34.0
84,85,,Sung Kang,104,51.45,89,173,56.0
85,86,,Sean O'Hair,84,51.43,72,140,44.0
86,T87,,Fabián Gómez,61,51.35,57,111,43.0
87,T87,,Charles Howell III,86,51.35,57,111,41.0
88,89,,Mark Anderson,54,51.28,40,78,27.0
89,90,,Chris Kirk,89,51.26,61,119,31.0
90,91,,Patrick Cantlay,52,51.14,45,88,23.0
91,92,,Patrick Reed,107,51.12,91,178,62.0
92,93,,K.J. Choi,72,51.09,47,92,32.0
93,94,,Ricky Barnes,100,51.05,73,143,50.0
94,95,,Graeme McDowell,56,51.02,50,98,31.0
95,96,,Steven Alker,69,50.96,53,104,39.0
96,97,,Ryan Blaum,100,50.74,69,136,49.0
97,98,,Ernie Els,52,50.55,46,91,38.0
98,99,,Hideki Matsuyama,83,50.46,55,109,35.0
99,100,,Blayne Barber,77,50.43,58,115,46.0
100,101,,Mark Hubbard,81,50.39,64,127,55.0
101,T102,,Greg Chalmers,75,50.0,72,144,58.0
102,T102,,Brett Drewitt,57,50.0,34,68,22.0
103,T102,,Martin Flores,88,50.0,56,112,33.0
104,T102,,Patton Kizzire,84,50.0,62,124,51.0
105,106,,Kevin Streelman,90,49.66,72,145,53.0
106,107,,Cody Gribble,79,49.61,64,129,53.0
107,108,,Justin Thomas,86,49.53,53,107,34.0
108,109,,Branden Grace,70,49.46,46,93,46.0
109,110,,Roberto Castro,70,49.45,45,91,42.0
110,111,,Lucas Glover,93,49.33,74,150,52.0
111,112,,Byeong Hun An,77,49.24,65,132,39.0
112,113,,Cameron Smith,86,49.18,60,122,45.0
113,114,,Søren Kjeldsen,58,48.98,48,98,38.0
114,115,,Si Woo Kim,80,48.94,69,141,59.0
115,116,,Ryo Ishikawa,56,48.91,45,92,30.0
116,117,,Daniel Summerhays,100,48.84,84,172,60.0
117,118,,Rick Lamb,54,48.78,40,82,33.0
118,119,,Kyle Reifers,96,48.73,77,158,49.0
119,120,,Sebastián Muñoz,51,48.72,38,78,25.0
120,121,,Smylie Kaufman,76,48.67,55,113,38.0
121,122,,Robert Garrigus,78,48.51,49,101,36.0
122,123,,Keegan Bradley,104,48.48,80,165,55.0
123,124,,Shane Lowry,52,48.44,31,64,27.0
124,125,,Brad Fritsch,56,48.19,40,83,39.0
125,126,,Brooks Koepka,88,48.15,65,135,45.0
126,127,,Carl Pettersson,63,48.0,48,100,45.0
127,T128,,James Hahn,96,47.97,71,148,50.0
128,T128,,Harold Varner III,101,47.97,71,148,53.0
129,130,,Spencer Levin,89,47.86,56,117,52.0
130,131,,Ryan Brehm,83,47.83,44,92,24.0
131,132,,Rod Pampling,71,47.79,65,136,56.0
132,133,,Kyle Stanley,104,47.73,84,176,52.0
133,134,,Nick Taylor,97,47.71,73,153,38.0
134,135,,Bryson DeChambeau,91,47.59,69,145,47.0
135,136,,Gonzalo Fernandez-Castaño,63,47.56,39,82,25.0
136,137,,D.A. Points,68,47.47,47,99,41.0
137,138,,Bubba Watson,71,47.31,44,93,33.0
138,139,,Ryan Moore,82,47.3,70,148,59.0
139,140,,Tag Ridings,67,47.25,43,91,22.0
140,141,,Martin Laird,83,47.15,58,123,49.0
141,142,,Brian Stuard,93,47.1,65,138,66.0
142,143,,Mackenzie Hughes,106,47.02,71,151,43.0
143,144,,Camilo Villegas,76,46.96,54,115,55.0
144,145,,William McGirt,89,46.67,56,120,36.0
145,146,,Alex Cejka,85,46.55,54,116,50.0
146,147,,Luke List,102,46.43,78,168,68.0
147,148,,Bud Cauley,92,46.38,64,138,43.0
148,149,,Russell Henley,99,46.36,70,151,64.0
149,150,,Jonathan Randolph,68,46.08,47,102,38.0
150,151,,Shawn Stefani,72,45.71,48,105,27.0
151,152,,Kevin Tway,96,45.7,69,151,44.0
152,153,,Robert Streb,98,45.66,79,173,84.0
153,T154,,Chris Stroud,67,45.54,46,101,45.0
154,T154,,Steve Wheatcroft,51,45.54,46,101,36.0
155,T156,,Miguel Angel Carballo,63,45.45,40,88,36.0
156,T156,,J.J. Spaun,92,45.45,60,132,66.0
157,158,,Jhonattan Vegas,95,45.31,58,128,36.0
158,159,,Brendan Steele,89,45.22,52,115,49.0
159,160,,Billy Horschel,88,44.8,56,125,54.0
160,161,,Richy Werenski,81,44.74,51,114,47.0
161,162,,Dustin Johnson,77,44.71,38,85,26.0
162,163,,Boo Weekley,75,44.64,50,112,40.0
163,164,,Brett Stegmaier,78,44.57,41,92,47.0
164,165,,Derek Fathauer,81,44.37,63,142,76.0
165,166,,Scott Stallings,81,44.26,54,122,44.0
166,167,,Ryan Palmer,61,44.16,34,77,29.0
167,168,,Billy Hurley III,80,43.48,50,115,55.0
168,169,,Dominic Bozzelli,69,43.24,48,111,39.0
169,170,,Jason Dufner,89,43.09,53,123,60.0
170,171,,Daniel Berger,91,43.08,56,130,52.0
171,172,,Julián Etulain,68,42.86,42,98,37.0
172,173,,J.B. Holmes,83,42.71,41,96,39.0
173,174,,Kelly Kraft,75,42.66,61,143,73.0
174,175,,Jim Furyk,54,42.59,23,54,26.0
175,176,,Kevin Chappell,95,42.34,58,137,59.0
176,177,,J.T. Poston,95,42.06,53,126,51.0
177,178,,Matt Every,76,41.27,52,126,56.0
178,179,,J.J. Henry,92,40.32,50,124,60.0
179,180,,Graham DeLaet,82,40.0,44,110,33.0
180,181,,Patrick Rodgers,76,39.82,45,113,38.0
181,182,,Andrew Loupe,55,39.8,39,98,43.0
182,183,,Jason Bohn,75,39.56,36,91,43.0
183,184,,Stewart Cink,93,39.34,48,122,51.0
184,185,,Paul Casey,94,38.79,45,116,47.0
185,186,,Russell Knox,75,38.26,44,115,45.0
186,187,,Scott Piercy,70,38.1,40,105,52.0
187,188,,Jim Herman,77,37.59,50,133,57.0
188,189,,Ryan Armour,63,37.33,28,75,36.0
189,190,,Jason Kokrak,95,36.43,51,140,63.0
