,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
112,T111,T111,Adam Scott,70.79,1982,28
113,114,114,Luke Donald,70.8,2903,41
114,115,115,Derek Fathauer,70.81,3824,54
115,116,116,Kyle Reifers,70.82,4391,62
116,117,117,Chris Kirk,70.83,2975,42
117,118,118,David Hearn,70.84,4392,62
118,T119,T119,Sangmoon Bae,70.88,4111,58
119,T119,T119,Jason Dufner,70.88,2906,41
120,T119,T119,James Hahn,70.88,4111,58
121,T119,T119,Billy Hurley III,70.88,3969,56
122,T119,T119,Byron Smith,70.88,2906,41
123,124,124,Cameron Tringale,70.91,4042,57
124,T125,T125,Blayne Barber,70.94,3689,52
125,T125,T125,Lucas Glover,70.94,3760,53
126,T127,T127,Billy Horschel,70.95,3973,56
127,T127,T127,Chez Reavie,70.95,2838,40
128,T127,T127,Chris Stroud,70.95,4044,57
129,T127,T127,Tyrone Van Aswegen,70.95,2838,40
130,131,131,Ben Martin,70.98,3691,52
131,T132,T132,Morgan Hoffmann,71.02,3622,51
132,T132,T132,Marc Leishman,71.02,3125,44
133,T134,T134,Hunter Mahan,71.06,3340,47
134,T134,T134,Jonathan Randolph,71.06,3553,50
135,136,136,Ken Duke,71.08,4265,60
136,T137,T137,Jonas Blixt,71.1,3697,52
137,T137,T137,Seung-Yul Noh,71.1,2986,42
138,139,139,Fabián Gómez,71.13,3841,54
139,140,140,John Merrick,71.15,3842,54
140,T141,T141,Bo Van Pelt,71.18,3986,56
141,T141,T141,Lee Westwood,71.18,1993,28
142,143,143,Sung Joon Park,71.21,3703,52
143,T144,T144,Ángel Cabrera,71.22,2564,36
144,T144,T144,Troy Merritt,71.22,4273,60
145,146,146,Nicholas Thompson,71.25,4346,61
146,147,147,Bill Lunde,71.26,2494,35
147,T148,T148,Gonzalo Fernandez-Castaño,71.29,3921,55
148,T148,T148,Retief Goosen,71.29,3422,48
149,T148,T148,Sam Saunders,71.29,3921,55
150,T151,T151,Ricky Barnes,71.33,3852,54
151,T151,T151,Justin Leonard,71.33,3210,45
152,T151,T151,Greg Owen,71.33,2853,40
153,154,154,Ben Crane,71.36,2997,42
154,T155,T155,Brian Davis,71.38,4140,58
155,T155,T155,Oscar Fraustro,71.38,2998,42
156,T155,T155,Robert Garrigus,71.38,3426,48
157,T155,T155,Camilo Villegas,71.38,3712,52
158,159,159,John Senden,71.39,3284,46
159,160,160,Derek Ernst,71.41,3642,51
160,161,161,Andrew Putnam,71.43,3286,46
161,T162,T162,Brice Garnett,71.44,4072,57
162,T162,T162,Max Homa,71.44,3858,54
163,T162,T162,Charl Schwartzel,71.44,2572,36
164,165,165,Roberto Castro,71.48,2216,31
165,166,166,Eric Axley,71.5,3003,42
166,T167,T167,Ernie Els,71.51,2646,37
167,T167,T167,Davis Love III,71.51,2646,37
168,169,169,Gary Woodland,71.57,3292,46
169,170,170,Heath Slocum,71.61,3151,44
170,171,171,Andres Romero,71.63,3295,46
171,172,172,Chesson Hadley,71.65,4442,62
172,173,173,Charlie Beljan,71.7,3800,53
173,174,174,Padraig Harrington,71.72,3084,43
174,175,175,D.A. Points,71.73,3658,51
175,176,176,Tim Wilkinson,71.8,3949,55
176,177,177,Scott Stallings,71.85,2802,39
177,178,178,Roger Sloan,71.88,2875,40
178,179,179,Andrew Svoboda,71.9,4170,58
179,180,180,Geoff Ogilvy,71.93,2014,28
180,181,181,Jim Renner,71.98,3887,54
181,182,182,Jamie Donaldson,72.1,2091,29
182,183,183,Robert Allenby,72.38,3257,45
183,184,184,Matt Every,72.87,3425,47
