,Back_9_Par_4_Scoring_Average_RANK THIS WEEK,Back_9_Par_4_Scoring_Average_RANK LAST WEEK,Back_9_Par_4_Scoring_Average_PLAYER NAME,Back_9_Par_4_Scoring_Average_ROUNDS,Back_9_Par_4_Scoring_Average_AVG,Back_9_Par_4_Scoring_Average_TOTAL STROKES,Back_9_Par_4_Scoring_Average_TOTAL HOLES
160,T155,T155,Scott Stallings,60,4.09,1242,304
161,T162,T162,Robert Allenby,63,4.1,1308,319
162,T162,T162,Aaron Baddeley,76,4.1,1622,396
163,T162,T162,Roberto Castro,54,4.1,1078,263
164,T162,T162,Jamie Donaldson,50,4.1,1041,254
165,T162,T162,Scott Langley,94,4.1,1977,482
166,T162,T162,Justin Leonard,61,4.1,1331,325
167,T162,T162,Charl Schwartzel,67,4.1,1406,343
168,T162,T162,Byron Smith,59,4.1,1176,287
169,T162,T162,Tim Wilkinson,73,4.1,1516,370
170,T171,T171,Eric Axley,57,4.11,1179,287
171,T171,T171,Graham DeLaet,65,4.11,1406,342
172,T173,T173,Sangmoon Bae,98,4.12,2129,517
173,T173,T173,Retief Goosen,81,4.12,1644,399
174,T175,T175,Robert Garrigus,70,4.13,1404,340
175,T175,T175,Chesson Hadley,101,4.13,2158,522
176,T177,T177,Matt Every,73,4.14,1558,376
177,T177,T177,Padraig Harrington,60,4.14,1330,321
178,T177,T177,Jim Renner,68,4.14,1444,349
179,180,180,Ángel Cabrera,53,4.15,1182,285
180,181,181,Heath Slocum,57,4.16,1128,271
181,T182,T182,Charlie Beljan,76,4.17,1576,378
182,T182,T182,Andrew Svoboda,80,4.17,1697,407
183,184,184,Roger Sloan,56,4.18,1136,272
