,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
62,T63,T63,Cameron Percy,72,70.36,1759,25
63,T63,T63,Johnson Wagner,68,70.36,1970,28
64,T65,T65,Steven Alker,62,70.38,1126,16
65,T65,T65,Jimmy Walker,89,70.38,2604,37
66,T65,T65,Nick Watney,91,70.38,2041,29
67,68,68,Pat Perez,96,70.42,1690,24
68,T69,T69,Jonathan Byrd,69,70.43,1620,23
69,T69,T69,Stewart Cink,77,70.43,1620,23
70,T69,T69,Brendon de Jonge,106,70.43,2606,37
71,T69,T69,Russell Henley,87,70.43,1972,28
72,T73,T73,Dustin Johnson,75,70.45,2818,40
73,T73,T73,John Peterson,84,70.45,1409,20
74,75,75,Ken Duke,93,70.47,1198,17
75,T76,T76,Patrick Reed,103,70.49,3736,53
76,T76,T76,Hudson Swafford,97,70.49,2467,35
77,78,78,Scott Brown,97,70.5,1551,22
78,79,79,William McGirt,103,70.54,1975,28
79,T80,T80,Adam Hadwin,95,70.55,1552,22
80,T80,T80,Ian Poulter,68,70.55,2328,33
81,82,82,Steven Bowditch,103,70.56,1905,27
82,T83,T83,Sean O'Hair,86,70.58,2188,31
83,T83,T83,Daniel Summerhays,101,70.58,2188,31
84,85,85,Alex Prugh,84,70.59,1200,17
85,86,86,Aaron Baddeley,76,70.6,1059,15
86,87,87,Jim Herman,88,70.61,1977,28
87,88,88,Hunter Mahan,88,70.63,1907,27
88,89,89,Sangmoon Bae,98,70.64,1766,25
89,T90,T90,Colt Knost,90,70.67,1696,24
90,T90,T90,Kevin Na,98,70.67,2756,39
91,T90,T90,Brendan Steele,88,70.67,1908,27
92,93,93,John Senden,80,70.68,1343,19
93,T94,T94,Troy Merritt,91,70.69,2050,29
94,T94,T94,Brendon Todd,96,70.69,2050,29
95,T96,T96,Robert Allenby,63,70.71,990,14
96,T96,T96,Chad Campbell,97,70.71,2192,31
97,98,98,John Huh,102,70.73,1061,15
98,99,99,Keegan Bradley,87,70.74,2193,31
99,100,100,Luke Donald,71,70.78,1911,27
100,T101,T101,Luke Guthrie,84,70.79,1345,19
101,T101,T101,David Lingmerth,90,70.79,1982,28
102,T101,T101,Ryan Moore,81,70.79,2053,29
103,104,104,Heath Slocum,57,70.82,779,11
104,T105,T105,Ben Martin,93,70.83,2054,29
105,T105,T105,Andrew Svoboda,80,70.83,1275,18
106,T107,T107,Spencer Levin,99,70.86,2055,29
107,T107,T107,D.A. Points,72,70.86,496,7
108,109,109,Phil Mickelson,70,70.87,2126,30
109,110,110,Davis Love III,51,70.88,1205,17
110,111,111,Scott Pinckney,88,70.89,1985,28
111,T112,T112,Ricky Barnes,82,70.91,1560,22
112,T112,T112,Chris Kirk,76,70.91,1560,22
113,114,114,Bo Van Pelt,81,70.92,1702,24
114,115,115,Sam Saunders,83,70.93,1986,28
115,T116,T116,Mark Hubbard,79,70.95,1490,21
116,T116,T116,Sung Joon Park,79,70.95,1419,20
117,T118,T118,James Hahn,94,70.96,1774,25
118,T118,T118,Adam Scott,51,70.96,1916,27
119,T120,T120,Robert Garrigus,70,71.0,1136,16
120,T120,T120,Martin Laird,77,71.0,1704,24
121,T120,T120,Carlos Ortiz,100,71.0,1988,28
122,T120,T120,Nick Taylor,91,71.0,1633,23
123,T120,T120,Camilo Villegas,83,71.0,1562,22
124,T120,T120,Steve Wheatcroft,87,71.0,1420,20
125,T120,T120,Gary Woodland,81,71.0,994,14
126,T127,T127,Charley Hoffman,97,71.03,2060,29
127,T127,T127,Morgan Hoffmann,85,71.03,2060,29
128,T129,T129,Scott Langley,94,71.05,1421,20
129,T129,T129,John Merrick,78,71.05,1492,21
130,131,131,Kyle Reifers,96,71.14,996,14
131,T132,T132,Charlie Beljan,76,71.15,925,13
132,T132,T132,Billy Horschel,99,71.15,2846,40
133,134,134,Blayne Barber,76,71.22,1282,18
134,T135,T135,Graham DeLaet,65,71.23,1567,22
135,T135,T135,Tyrone Van Aswegen,58,71.23,926,13
136,137,137,Charl Schwartzel,67,71.26,1639,23
137,138,138,J.B. Holmes,89,71.27,2352,33
138,T139,T139,Eric Axley,57,71.28,1283,18
139,T139,T139,Kevin Chappell,86,71.28,2067,29
140,T139,T139,Brian Harman,90,71.28,2067,29
141,142,142,Erik Compton,86,71.3,2139,30
142,143,143,Martin Flores,95,71.32,1783,25
143,144,144,Bill Lunde,50,71.33,856,12
144,145,145,Jeff Overton,94,71.34,2497,35
145,T146,T146,Jason Dufner,76,71.36,1784,25
146,T146,T146,Derek Fathauer,81,71.36,1570,22
147,148,148,Jonas Blixt,78,71.37,1927,27
148,149,149,Kevin Streelman,95,71.38,1499,21
149,150,150,Charles Howell III,105,71.39,2213,31
150,151,151,Lee Westwood,56,71.41,1214,17
151,152,152,Justin Leonard,61,71.42,1357,19
152,153,153,J.J. Henry,94,71.43,1643,23
153,T154,T154,Chesson Hadley,101,71.45,1429,20
154,T154,T154,Geoff Ogilvy,50,71.45,786,11
155,156,156,Francesco Molinari,56,71.47,1358,19
156,T157,T157,Padraig Harrington,60,71.5,1144,16
157,T157,T157,Scott Stallings,60,71.5,715,10
158,T159,T159,Andrew Putnam,68,71.53,1359,19
159,T159,T159,Jim Renner,68,71.53,1216,17
160,T161,T161,Derek Ernst,75,71.56,1145,16
161,T161,T161,Matt Jones,89,71.56,1932,27
162,T163,T163,Jamie Donaldson,50,71.58,859,12
163,T163,T163,Nicholas Thompson,90,71.58,1718,24
164,165,165,Seung-Yul Noh,65,71.59,1217,17
165,T166,T166,K.J. Choi,66,71.6,1074,15
166,T166,T166,Michael Putnam,87,71.6,1432,20
167,168,168,Matt Every,73,71.62,931,13
168,169,169,Max Homa,78,71.63,1719,24
169,170,170,Retief Goosen,81,71.67,1290,18
170,171,171,Andres Romero,69,71.75,1722,24
171,172,172,Billy Hurley III,83,71.76,1507,21
172,T173,T173,Roger Sloan,56,71.81,1149,16
173,T173,T173,Jhonattan Vegas,90,71.81,1508,21
174,175,175,Ernie Els,57,71.88,1725,24
175,176,176,Ángel Cabrera,53,72.06,1153,16
176,177,177,Lucas Glover,79,72.07,1009,14
177,178,178,Roberto Castro,54,72.08,865,12
178,179,179,Brian Davis,86,72.16,1371,19
179,180,180,Andres Gonzales,90,72.2,1444,20
180,181,181,Chez Reavie,56,72.25,1156,16
181,182,182,Gonzalo Fernandez-Castaño,81,72.41,1593,22
182,183,183,Tim Wilkinson,73,72.53,1088,15
183,184,184,Ben Crane,62,72.79,1019,14
