,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
161,162,162,Tyrone Van Aswegen,58,18.62,181,972,77
162,163,163,Padraig Harrington,60,18.61,201,1080,181
163,164,164,Brian Davis,86,18.56,274,1476,174
164,165,165,Troy Merritt,91,18.5,303,1638,159
165,166,166,Francesco Molinari,56,18.45,176,954,6
166,167,167,D.A. Points,72,18.33,231,1260,145
167,168,168,Roberto Castro,54,18.22,164,900,99
168,T169,T169,Jamie Donaldson,50,18.2,154,846,150
169,T169,T169,David Toms,62,18.2,190,1044,135
170,171,171,Luke Donald,71,18.15,232,1278,115
171,172,172,Heath Slocum,57,18.13,173,954,169
172,173,173,Ben Crane,62,17.91,187,1044,160
173,174,174,Eric Axley,57,17.88,177,990,179
174,175,175,Bill Lunde,50,17.87,148,828,33
175,176,176,Davis Love III,51,17.54,161,918,64
176,177,177,J.J. Henry,94,17.53,284,1620,13
177,178,178,Robert Allenby,63,17.42,185,1062,81
178,179,179,Justin Leonard,61,17.21,189,1098,171
179,180,180,Matt Every,73,17.14,216,1260,184
180,181,181,Billy Hurley III,83,17.09,243,1422,122
181,182,182,Tim Wilkinson,73,16.98,217,1278,173
182,183,183,Sung Joon Park,79,16.67,231,1386,133
183,184,184,Jim Renner,68,15.91,189,1188,123
