,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
89,T89,T89,Carl Pettersson,106,+.20,70.59,70.79
90,T89,T89,Patrick Rodgers,57,+.20,70.09,70.29
91,T92,T92,Sean O'Hair,86,+.19,70.55,70.74
92,T92,T92,Johnson Wagner,68,+.19,70.28,70.47
93,T94,T94,Sangmoon Bae,98,+.16,70.92,71.08
94,T94,T94,Spencer Levin,99,+.16,70.49,70.65
95,T94,T94,Kyle Reifers,96,+.16,70.45,70.61
96,T97,T97,Jeff Overton,94,+.15,70.59,70.74
97,T97,T97,Charl Schwartzel,67,+.15,71.38,71.53
98,99,99,Morgan Hoffmann,85,+.13,70.86,70.99
99,T100,T100,Jon Curran,83,+.11,70.57,70.68
100,T100,T100,Ben Martin,93,+.11,70.68,70.79
101,T102,T102,Alex Cejka,94,+.09,70.62,70.71
102,T102,T102,Adam Hadwin,95,+.09,70.72,70.81
103,T102,T102,Kevin Streelman,95,+.09,70.75,70.84
104,T105,T105,Blayne Barber,76,+.08,70.78,70.86
105,T105,T105,K.J. Choi,66,+.08,71.06,71.14
106,T105,T105,Martin Flores,95,+.08,70.51,70.59
107,T105,T105,David Toms,62,+.08,70.67,70.75
108,T109,T109,Carlos Ortiz,100,+.07,70.71,70.78
109,T109,T109,Steve Wheatcroft,87,+.07,70.52,70.59
110,T111,T111,John Huh,102,+.06,70.61,70.67
111,T111,T111,Chris Stroud,84,+.06,70.75,70.81
112,113,113,Michael Putnam,87,+.04,70.76,70.8
113,114,114,Scott Langley,94,+.03,70.7,70.73
114,115,115,Mark Wilson,89,+.02,70.6,70.62
115,T116,T116,Cameron Percy,72,+.01,70.47,70.48
116,T116,T116,Alex Prugh,84,+.01,70.61,70.62
117,118,118,Billy Hurley III,83,E,70.75,70.75
118,119,119,Whee Kim,71,-.01,70.36,70.35
119,T120,T120,Jonas Blixt,78,-.02,70.96,70.94
120,T120,T120,Camilo Villegas,83,-.02,71.07,71.05
121,122,122,Erik Compton,86,-.05,70.74,70.69
122,123,123,Steven Alker,62,-.06,70.32,70.26
123,124,124,Scott Pinckney,88,-.08,70.68,70.6
124,125,125,Ryo Ishikawa,90,-.09,70.8,70.71
125,126,126,Chez Reavie,56,-.11,70.61,70.5
126,127,127,Luke Guthrie,84,-.15,70.91,70.76
127,T128,T128,Mark Hubbard,79,-.16,70.58,70.42
128,T128,T128,Geoff Ogilvy,50,-.16,71.77,71.61
129,130,130,Aaron Baddeley,76,-.17,70.76,70.59
130,T131,T131,Greg Chalmers,58,-.18,70.89,70.71
131,T131,T131,Seung-Yul Noh,65,-.18,71.15,70.97
132,T131,T131,Brian Stuard,97,-.18,71.0,70.82
133,134,134,Michael Thompson,83,-.19,70.96,70.77
134,T135,T135,Lucas Glover,79,-.20,71.04,70.84
135,T135,T135,Fabián Gómez,83,-.20,70.92,70.72
136,T135,T135,John Merrick,78,-.20,70.93,70.73
137,T138,T138,Retief Goosen,81,-.21,71.56,71.35
138,T138,T138,Jason Gore,76,-.21,70.69,70.48
139,T138,T138,Troy Merritt,91,-.21,71.13,70.92
140,141,141,J.J. Henry,94,-.22,70.93,70.71
141,T142,T142,Davis Love III,51,-.25,71.1,70.85
142,T142,T142,Jhonattan Vegas,90,-.25,70.97,70.72
143,T144,T144,Derek Fathauer,81,-.26,71.18,70.92
144,T144,T144,Andres Romero,69,-.26,71.59,71.33
145,146,146,Greg Owen,58,-.27,70.93,70.66
146,T147,T147,Andres Gonzales,90,-.29,70.99,70.7
147,T147,T147,Bo Van Pelt,81,-.29,71.15,70.86
148,149,149,Brice Garnett,81,-.32,71.13,70.81
149,T150,T150,Ken Duke,93,-.34,70.93,70.59
150,T150,T150,Nicholas Thompson,90,-.34,71.05,70.71
151,152,152,Chesson Hadley,101,-.35,71.41,71.06
152,153,153,Scott Stallings,60,-.36,71.7,71.34
153,154,154,Roberto Castro,54,-.43,71.04,70.61
154,155,155,Ernie Els,57,-.44,71.84,71.4
155,T156,T156,Gonzalo Fernandez-Castaño,81,-.45,71.14,70.69
156,T156,T156,Nick Taylor,91,-.45,70.99,70.54
157,T158,T158,Justin Leonard,61,-.47,71.13,70.66
158,T158,T158,Sung Joon Park,79,-.47,71.13,70.66
159,160,160,Ricky Barnes,82,-.49,71.27,70.78
160,T161,T161,Ángel Cabrera,53,-.52,71.6,71.08
161,T161,T161,Jonathan Randolph,72,-.52,71.03,70.51
162,163,163,Sam Saunders,83,-.53,71.1,70.57
163,T164,T164,D.A. Points,72,-.54,71.4,70.86
164,T164,T164,Tyrone Van Aswegen,58,-.54,71.04,70.5
165,T166,T166,Brian Davis,86,-.55,71.3,70.75
166,T166,T166,Derek Ernst,75,-.55,71.18,70.63
167,168,168,Max Homa,78,-.63,71.39,70.76
168,169,169,Padraig Harrington,60,-.72,72.02,71.3
169,170,170,Robert Garrigus,70,-.73,71.53,70.8
170,171,171,Ben Crane,62,-.75,71.38,70.63
171,172,172,Byron Smith,59,-.78,71.0,70.22
172,173,173,Tim Wilkinson,73,-.82,71.54,70.72
173,174,174,Bill Lunde,50,-.84,71.0,70.16
174,T175,T175,Eric Axley,57,-.92,71.4,70.48
175,T175,T175,Charlie Beljan,76,-.92,71.74,70.82
176,T177,T177,Oscar Fraustro,58,-.97,71.48,70.51
177,T177,T177,Andrew Svoboda,80,-.97,71.83,70.86
178,179,179,Andrew Putnam,68,-.99,71.95,70.96
179,180,180,Matt Every,73,-1.07,72.71,71.64
180,181,181,Robert Allenby,63,-1.10,72.0,70.9
181,182,182,Heath Slocum,57,-1.16,71.74,70.58
182,183,183,Jim Renner,68,-1.37,72.03,70.66
183,184,184,Roger Sloan,56,-1.42,71.81,70.39
