,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
130,131,131,Cameron Tringale,71.15,1423,20
131,132,132,Cameron Percy,71.17,854,12
132,133,133,Charles Howell III,71.18,1566,22
133,134,134,Brian Stuard,71.19,1139,16
134,T135,T135,Patrick Rodgers,71.2,712,10
135,T135,T135,Camilo Villegas,71.2,1068,15
136,137,137,Adam Hadwin,71.24,1211,17
137,138,138,Tim Wilkinson,71.25,570,8
138,139,139,Brendan Steele,71.26,1354,19
139,T140,T140,Derek Ernst,71.3,713,10
140,T140,T140,David Toms,71.3,713,10
141,142,142,Seung-Yul Noh,71.36,785,11
142,143,143,Hunter Mahan,71.37,1356,19
143,144,144,Robert Allenby,71.43,500,7
144,145,145,Sean O'Hair,71.47,1215,17
145,T146,T146,Sangmoon Bae,71.5,1430,20
146,T146,T146,Nick Taylor,71.5,1144,16
147,T148,T148,Andres Gonzales,71.53,1073,15
148,T148,T148,Matt Jones,71.53,1359,19
149,150,150,Charl Schwartzel,71.54,930,13
150,151,151,Matt Every,71.55,787,11
151,152,152,J.J. Henry,71.56,1145,16
152,153,153,Carlos Ortiz,71.61,1289,18
153,154,154,Greg Chalmers,71.64,788,11
154,T155,T155,Ricky Barnes,71.67,860,12
155,T155,T155,Oscar Fraustro,71.67,430,6
156,T155,T155,Jonathan Randolph,71.67,645,9
157,158,158,Graham DeLaet,71.69,932,13
158,159,159,Charlie Beljan,71.7,717,10
159,160,160,Tyrone Van Aswegen,71.71,502,7
160,161,161,Bill Haas,71.74,1363,19
161,162,162,Troy Merritt,71.75,1148,16
162,163,163,Michael Thompson,71.79,1005,14
163,164,164,Erik Compton,71.81,1149,16
164,165,165,Kevin Streelman,71.84,1365,19
165,T166,T166,Luke Guthrie,71.86,1006,14
166,T166,T166,Byron Smith,71.86,503,7
167,168,168,Jason Dufner,71.88,1150,16
168,169,169,Jhonattan Vegas,72.0,1152,16
169,170,170,Scott Pinckney,72.06,1153,16
170,171,171,Ian Poulter,72.07,1009,14
171,172,172,Andres Romero,72.1,721,10
172,173,173,Michael Putnam,72.13,1082,15
173,174,174,Max Homa,72.2,722,10
174,175,175,K.J. Choi,72.23,939,13
175,176,176,Ernie Els,72.3,723,10
176,177,177,Derek Fathauer,72.33,868,12
177,178,178,Ángel Cabrera,72.38,579,8
178,179,179,Retief Goosen,72.47,1087,15
179,180,180,Roger Sloan,72.83,437,6
180,181,181,Padraig Harrington,72.88,583,8
181,182,182,Andrew Putnam,73.22,659,9
182,183,183,Andrew Svoboda,73.4,734,10
183,184,184,Heath Slocum,73.8,369,5
