,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
101,T101,T101,Jason Kokrak,88,70.71,1485,21
102,T101,T101,Gary Woodland,81,70.71,495,7
103,T104,T104,Sangmoon Bae,98,70.75,849,12
104,T104,T104,Scott Brown,97,70.75,1132,16
105,T104,T104,Lucas Glover,79,70.75,566,8
106,T104,T104,Greg Owen,58,70.75,849,12
107,108,108,Jonathan Byrd,69,70.76,1203,17
108,109,109,Jim Herman,88,70.77,1557,22
109,T110,T110,Eric Axley,57,70.83,1275,18
110,T110,T110,Steven Bowditch,103,70.83,850,12
111,112,112,Francesco Molinari,56,70.85,921,13
112,T113,T113,Brice Garnett,81,70.86,992,14
113,T113,T113,Lee Westwood,56,70.86,496,7
114,115,115,Davis Love III,51,70.88,1134,16
115,116,116,Greg Chalmers,58,70.89,638,9
116,117,117,Charl Schwartzel,67,70.9,709,10
117,T118,T118,John Merrick,78,70.92,851,12
118,T118,T118,Adam Scott,51,70.92,851,12
119,T120,T120,J.J. Henry,94,70.94,1206,17
120,T120,T120,Ryo Ishikawa,90,70.94,1206,17
121,T120,T120,Chris Stroud,84,70.94,1135,16
122,T123,T123,Adam Hadwin,95,70.95,1348,19
123,T123,T123,Morgan Hoffmann,85,70.95,1490,21
124,T123,T123,Brian Stuard,97,70.95,1490,21
125,T126,T126,Aaron Baddeley,76,71.0,852,12
126,T126,T126,Martin Laird,77,71.0,1136,16
127,T126,T126,Hunter Mahan,88,71.0,1136,16
128,T126,T126,Sam Saunders,83,71.0,1207,17
129,T126,T126,Michael Thompson,83,71.0,1207,17
130,131,131,Danny Lee,120,71.04,1634,23
131,132,132,Sergio Garcia,59,71.07,995,14
132,133,133,Gonzalo Fernandez-Castaño,81,71.11,1280,18
133,134,134,Jamie Donaldson,50,71.14,498,7
134,135,135,Chez Reavie,56,71.15,925,13
135,136,136,Bill Lunde,50,71.17,854,12
136,137,137,Louis Oosthuizen,68,71.18,783,11
137,138,138,Fabián Gómez,83,71.19,1495,21
138,139,139,Derek Ernst,75,71.2,712,10
139,140,140,Jhonattan Vegas,90,71.21,1709,24
140,141,141,Robert Garrigus,70,71.25,1140,16
141,142,142,Bo Van Pelt,81,71.26,1354,19
142,T143,T143,Kyle Reifers,96,71.29,998,14
143,T143,T143,Johnson Wagner,68,71.29,1497,21
144,T145,T145,Jonas Blixt,78,71.31,1141,16
145,T145,T145,Andrew Svoboda,80,71.31,927,13
146,147,147,Andres Romero,69,71.33,1284,18
147,148,148,Carl Pettersson,106,71.35,1427,20
148,149,149,Luke Donald,71,71.38,1142,16
149,150,150,Tom Hoge,83,71.42,1357,19
150,151,151,K.J. Choi,66,71.43,1000,14
151,152,152,D.A. Points,72,71.44,643,9
152,T153,T153,Scott Piercy,90,71.46,929,13
153,T153,T153,Ian Poulter,68,71.46,929,13
154,T155,T155,Derek Fathauer,81,71.47,1358,19
155,T155,T155,Chesson Hadley,101,71.47,1215,17
156,T155,T155,Sung Joon Park,79,71.47,1358,19
157,T158,T158,Graham DeLaet,65,71.5,715,10
158,T158,T158,Oscar Fraustro,58,71.5,715,10
159,T158,T158,Luke Guthrie,84,71.5,1287,18
160,T158,T158,Max Homa,78,71.5,1573,22
161,T158,T158,Geoff Ogilvy,50,71.5,429,6
162,163,163,Whee Kim,71,71.53,1216,17
163,164,164,Ricky Barnes,82,71.59,1217,17
164,165,165,Tim Wilkinson,73,71.71,1219,17
165,166,166,Roger Sloan,56,71.72,1291,18
166,167,167,Cameron Tringale,96,71.76,1794,25
167,168,168,Justin Leonard,61,71.77,933,13
168,169,169,Brian Davis,86,71.78,1651,23
169,170,170,Retief Goosen,81,71.92,863,12
170,T171,T171,Jim Renner,68,72.0,1224,17
171,T171,T171,John Senden,80,72.0,648,9
172,T173,T173,Blayne Barber,76,72.25,1156,16
173,T173,T173,Tyrone Van Aswegen,58,72.25,578,8
174,175,175,Ken Duke,93,72.38,941,13
175,176,176,Jonathan Randolph,72,72.44,1159,16
176,177,177,Roberto Castro,54,72.5,725,10
177,178,178,Andrew Putnam,68,72.63,1162,16
178,179,179,Heath Slocum,57,72.67,872,12
179,180,180,Troy Merritt,91,72.74,1382,19
180,181,181,Robert Allenby,63,72.75,1164,16
181,182,182,Padraig Harrington,60,72.82,801,11
182,183,183,Matt Every,73,73.13,1097,15
183,184,184,Charlie Beljan,76,73.58,883,12
