,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
81,82,82,Jim Herman,88,70.6,1059,15
82,83,83,Lucas Glover,79,70.62,1836,26
83,T84,T84,Sangmoon Bae,98,70.63,1342,19
84,T84,T84,Alex Prugh,84,70.63,1342,19
85,86,86,Kevin Kisner,104,70.64,989,14
86,T87,T87,Kevin Chappell,86,70.67,848,12
87,T87,T87,Henrik Stenson,63,70.67,212,3
88,T87,T87,Nick Watney,91,70.67,1272,18
89,90,90,Scott Pinckney,88,70.69,1131,16
90,91,91,Scott Langley,94,70.7,1626,23
91,92,92,Adam Hadwin,95,70.73,1556,22
92,93,93,Pat Perez,96,70.75,1415,20
93,94,94,Steven Bowditch,103,70.77,1557,22
94,95,95,Charles Howell III,105,70.78,1274,18
95,96,96,Charley Hoffman,97,70.79,1345,19
96,T97,T97,Hideki Matsuyama,95,70.8,354,5
97,T97,T97,Sung Joon Park,79,70.8,1062,15
98,T97,T97,Ian Poulter,68,70.8,354,5
99,T97,T97,Camilo Villegas,83,70.8,1062,15
100,101,101,Zac Blair,108,70.81,1841,26
101,102,102,Ken Duke,93,70.85,1417,20
102,103,103,Patrick Rodgers,57,70.86,496,7
103,T104,T104,Ángel Cabrera,53,70.88,567,8
104,T104,T104,Bill Lunde,50,70.88,567,8
105,T106,T106,Jon Curran,83,70.89,1347,19
106,T106,T106,Carlos Ortiz,100,70.89,1347,19
107,108,108,Ben Crane,62,70.92,851,12
108,109,109,Seung-Yul Noh,65,70.93,993,14
109,T110,T110,Mark Hubbard,79,70.95,1348,19
110,T110,T110,Shawn Stefani,94,70.95,1419,20
111,112,112,Steve Wheatcroft,87,70.96,1632,23
112,T113,T113,Alex Cejka,94,71.0,1207,17
113,T113,T113,James Hahn,94,71.0,1207,17
114,T113,T113,Ryo Ishikawa,90,71.0,852,12
115,T113,T113,Lee Westwood,56,71.0,497,7
116,T117,T117,Tony Finau,106,71.05,1350,19
117,T117,T117,Troy Merritt,91,71.05,1421,20
118,T117,T117,Mark Wilson,89,71.05,1350,19
119,120,120,Brian Davis,86,71.07,1066,15
120,121,121,Jason Dufner,76,71.1,711,10
121,122,122,Michael Putnam,87,71.11,1351,19
122,123,123,Fabián Gómez,83,71.13,1138,16
123,124,124,Erik Compton,86,71.17,854,12
124,125,125,Aaron Baddeley,76,71.18,1210,17
125,T126,T126,Jason Gore,76,71.19,1139,16
126,T126,T126,Chris Stroud,84,71.19,1139,16
127,128,128,Brandt Snedeker,98,71.25,570,8
128,129,129,Nick Taylor,91,71.26,1354,19
129,T130,T130,Billy Horschel,99,71.29,499,7
130,T130,T130,Tyrone Van Aswegen,58,71.29,998,14
131,132,132,Cameron Tringale,96,71.33,642,9
132,133,133,K.J. Choi,66,71.36,785,11
133,T134,T134,Oscar Fraustro,58,71.42,857,12
134,T134,T134,Russell Henley,87,71.42,857,12
135,136,136,Andres Gonzales,90,71.44,1786,25
136,137,137,Gary Woodland,81,71.45,1429,20
137,138,138,Derek Fathauer,81,71.47,1358,19
138,139,139,Robert Garrigus,70,71.53,1216,17
139,140,140,Cameron Percy,72,71.58,859,12
140,T141,T141,George McNeill,93,71.61,1647,23
141,T141,T141,Boo Weekley,79,71.61,1289,18
142,143,143,Bo Van Pelt,81,71.62,931,13
143,144,144,Jamie Donaldson,50,71.63,573,8
144,145,145,Charlie Beljan,76,71.64,1576,22
145,146,146,Brian Stuard,97,71.67,1505,21
146,147,147,Padraig Harrington,60,71.69,932,13
147,148,148,David Toms,62,71.71,502,7
148,149,149,Ben Martin,93,71.72,1291,18
149,T150,T150,Robert Allenby,63,71.73,789,11
150,T150,T150,Jonathan Randolph,72,71.73,1076,15
151,T150,T150,Michael Thompson,83,71.73,1076,15
152,153,153,Sam Saunders,83,71.77,933,13
153,154,154,Ricky Barnes,82,71.81,1508,21
154,155,155,Eric Axley,57,71.83,431,6
155,156,156,Derek Ernst,75,71.84,1365,19
156,157,157,Heath Slocum,57,71.91,791,11
157,158,158,John Senden,80,71.93,1079,15
158,T159,T159,John Merrick,78,71.94,1223,17
159,T159,T159,Tim Wilkinson,73,71.94,1151,16
160,161,161,Andrew Svoboda,80,71.95,1439,20
161,T162,T162,Retief Goosen,81,72.0,1512,21
162,T162,T162,Charl Schwartzel,67,72.0,936,13
163,164,164,Jonas Blixt,78,72.08,865,12
164,165,165,Scott Stallings,60,72.11,1370,19
165,166,166,Brice Garnett,81,72.19,1516,21
166,167,167,Webb Simpson,81,72.25,578,8
167,168,168,Byron Smith,59,72.3,723,10
168,169,169,Davis Love III,51,72.33,434,6
169,170,170,Hunter Mahan,88,72.38,579,8
170,171,171,Andrew Putnam,68,72.43,1014,14
171,172,172,Keegan Bradley,87,72.44,652,9
172,173,173,Jim Renner,68,72.6,1089,15
173,174,174,Andres Romero,69,72.63,581,8
174,175,175,Greg Owen,58,72.67,654,9
175,176,176,Roger Sloan,56,72.82,801,11
176,177,177,Geoff Ogilvy,50,72.89,656,9
177,178,178,Marc Leishman,74,73.0,657,9
178,179,179,Matt Every,73,73.6,1104,15
179,180,180,Jim Furyk,71,73.67,221,3
180,181,181,Bubba Watson,71,74.0,148,2
181,182,182,Ernie Els,57,74.33,223,3
