,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
67,T67,T67,K.J. Choi,80,"74' 1""",59544,67,"4' 2""","143' 10"""
68,T67,T67,Brian Harman,111,"74' 1""",89751,101,"4' 2""","158' 10"""
69,T67,T67,Justin Rose,70,"74' 1""",46224,52,"4' 2""","144' 6"""
70,71,71,Scott Langley,95,"73' 11""",70059,79,"4' 2""","139' 4"""
71,72,72,Charley Hoffman,93,"73' 9""",67282,76,"4' 2""","133' 3"""
72,T73,T73,James Driscoll,71,"73' 8""",51271,58,"4' 2""","124' 2"""
73,T73,T73,Wes Roach,67,"73' 8""",44202,50,"4' 2""","156' 10"""
74,T73,T73,Shawn Stefani,60,"73' 8""",50404,57,"4' 2""","199' 2"""
75,T76,T76,Jonas Blixt,64,"73' 7""",37971,43,"4' 2""","128' 3"""
76,T76,T76,John Huh,87,"73' 7""",61815,70,"4' 1""","141' 4"""
77,78,78,Richard Lee,80,"73' 6""",53807,61,"4' 2""","148' 8"""
78,T79,T79,Woody Austin,63,"73' 5""",50215,57,"4' 1""","117' 11"""
79,T79,T79,Ángel Cabrera,69,"73' 5""",53739,61,"4' 2""","153' 5"""
80,T81,T81,Geoff Ogilvy,84,"73' 4""",64229,73,"4' 1""","130' 6"""
81,T81,T81,Charl Schwartzel,64,"73' 4""",47532,54,"4' 2""","117' 0"""
82,T83,T83,Rickie Fowler,91,"73' 3""",54473,62,"4' 1""","133' 7"""
83,T83,T83,Billy Hurley III,86,"73' 3""",63290,72,"4' 1""","136' 5"""
84,T85,T85,Marc Leishman,81,"73' 2""",60613,69,"4' 1""","119' 7"""
85,T85,T85,Gary Woodland,93,"73' 2""",64093,73,"4' 1""","135' 11"""
86,T87,T87,Keegan Bradley,89,"73' 1""",58788,67,"4' 1""","139' 11"""
87,T87,T87,Tim Clark,75,"73' 1""",54356,62,"4' 1""","132' 7"""
88,89,89,Kevin Kisner,85,"73' 0""",61323,70,"4' 1""","155' 8"""
89,T90,T90,Brian Gay,81,"72' 10""",55033,63,"4' 1""","183' 9"""
90,T90,T90,Matt Jones,83,"72' 10""",52416,60,"4' 1""","164' 5"""
91,T90,T90,Pat Perez,84,"72' 10""",65560,75,"4' 1""","146' 6"""
92,T93,T93,Chad Collins,78,"72' 9""",53277,61,"4' 1""","114' 0"""
93,T93,T93,Jason Kokrak,65,"72' 9""",53251,61,"4' 1""","159' 11"""
94,T95,T95,Retief Goosen,94,"72' 8""",68008,78,"4' 1""","131' 9"""
95,T95,T95,Nick Watney,80,"72' 8""",48830,56,"4' 1""","130' 7"""
96,T97,T97,Harris English,95,"72' 7""",64471,74,"4' 1""","133' 3"""
97,T97,T97,Kevin Streelman,79,"72' 7""",52232,60,"4' 1""","143' 11"""
98,99,99,Ben Martin,80,"72' 6""",54836,63,"4' 1""","145' 8"""
99,T100,T100,D.A. Points,75,"72' 5""",47795,55,"4' 0""","141' 1"""
100,T100,T100,Tim Wilkinson,86,"72' 5""",61669,71,"4' 1""","150' 5"""
101,102,102,Sean O'Hair,77,"72' 4""",58181,67,"4' 1""","121' 9"""
102,103,103,Y.E. Yang,79,"72' 2""",52809,61,"4' 0""","133' 8"""
103,T104,T104,Martin Kaymer,65,"72' 0""",41475,48,"4' 1""","137' 0"""
104,T104,T104,Louis Oosthuizen,50,"72' 0""",25914,30,"4' 0""","119' 0"""
105,T106,T106,Stewart Cink,91,"71' 10""",62040,72,"4' 0""","142' 11"""
106,T106,T106,Justin Leonard,75,"71' 10""",53423,62,"4' 1""","119' 5"""
107,108,108,William McGirt,96,"71' 9""",72317,84,"4' 0""","130' 5"""
108,T109,T109,Kevin Chappell,100,"71' 7""",74744,87,"4' 0""","127' 4"""
109,T109,T109,Chesson Hadley,84,"71' 7""",60968,71,"4' 0""","127' 0"""
110,T109,T109,Patrick Reed,92,"71' 7""",63531,74,"4' 0""","137' 8"""
111,T112,T112,Martin Flores,85,"71' 6""",58349,68,"4' 0""","124' 4"""
112,T112,T112,J.B. Holmes,86,"71' 6""",66043,77,"4' 0""","136' 0"""
113,114,114,Zach Johnson,97,"71' 5""",72017,84,"4' 0""","131' 2"""
114,T115,T115,Brice Garnett,92,"71' 4""",66782,78,"4' 0""","136' 4"""
115,T115,T115,Robert Garrigus,80,"71' 4""",62489,73,"4' 0""","131' 10"""
116,T117,T117,Brad Fritsch,50,"71' 3""",33350,39,"4' 0""","133' 10"""
117,T117,T117,Hideki Matsuyama,82,"71' 3""",54741,64,"4' 0""","122' 6"""
118,T117,T117,Andrew Svoboda,77,"71' 3""",56400,66,"4' 0""","141' 3"""
119,T120,T120,Jim Furyk,84,"71' 2""",56367,66,"4' 0""","150' 7"""
120,T120,T120,David Lingmerth,80,"71' 2""",57197,67,"4' 0""","122' 5"""
121,122,122,Brendon de Jonge,109,"71' 1""",78514,92,"3' 12""","145' 2"""
122,T123,T123,Gonzalo Fernandez-Castaño,83,"71' 0""",58815,69,"4' 0""","133' 10"""
123,T123,T123,Tommy Gainey,73,"71' 0""",51134,60,"3' 12""","120' 5"""
124,125,125,Hudson Swafford,75,"70' 11""",49359,58,"3' 12""","125' 1"""
125,126,126,Bill Haas,107,"70' 9""",69577,82,"3' 12""","143' 5"""
126,127,127,Scott Stallings,77,"70' 8""",53398,63,"3' 12""","127' 1"""
127,T128,T128,Carl Pettersson,91,"70' 7""",72008,85,"3' 12""","171' 3"""
128,T128,T128,Charlie Wi,72,"70' 7""",55084,65,"4' 0""","138' 11"""
129,130,130,Chad Campbell,57,"70' 6""",38909,46,"3' 12""","131' 0"""
130,131,131,Kevin Tway,64,"70' 5""",39712,47,"3' 11""","151' 0"""
131,132,132,Bubba Watson,76,"70' 4""",47272,56,"3' 11""","125' 6"""
132,133,133,Jason Bohn,81,"70' 2""",61433,73,"3' 11""","133' 10"""
133,134,134,Tyrone Van Aswegen,79,"70' 1""",54697,65,"3' 11""","128' 7"""
134,135,135,Mike Weir,69,"70' 0""",44533,53,"3' 11""","117' 0"""
135,T136,T136,Robert Allenby,83,"69' 11""",58742,70,"3' 11""","118' 1"""
136,T136,T136,Trevor Immelman,84,"69' 11""",56227,67,"3' 11""","175' 10"""
137,T136,T136,Davis Love III,74,"69' 11""",52876,63,"3' 11""","130' 0"""
138,T136,T136,Cameron Tringale,111,"69' 11""",82178,98,"3' 11""","127' 7"""
139,140,140,Johnson Wagner,69,"69' 10""",48590,58,"3' 11""","128' 4"""
140,141,141,Roberto Castro,76,"69' 9""",49360,59,"3' 11""","129' 5"""
141,T142,T142,Russell Knox,92,"69' 8""",69426,83,"3' 11""","125' 10"""
142,T142,T142,Bryce Molder,77,"69' 8""",53505,64,"3' 11""","132' 10"""
143,T144,T144,Jason Day,54,"69' 7""",27557,33,"3' 11""","176' 7"""
144,T144,T144,Ken Duke,80,"69' 7""",55078,66,"3' 11""","125' 10"""
145,146,146,Jeff Maggert,54,"69' 4""",36602,44,"3' 10""","111' 6"""
146,147,147,Briny Baird,50,"69' 3""",37377,45,"3' 11""","151' 4"""
147,148,148,Ernie Els,85,"69' 2""",52303,63,"3' 11""","137' 10"""
148,149,149,Vijay Singh,83,"69' 0""",62923,76,"3' 10""","125' 6"""
149,150,150,Nicholas Thompson,85,"68' 11""",57898,70,"3' 10""","143' 7"""
150,T151,T151,Steven Bowditch,93,"68' 10""",64442,78,"3' 10""","129' 1"""
151,T151,T151,Jim Herman,62,"68' 10""",39625,48,"3' 10""","162' 3"""
152,153,153,Martin Laird,66,"68' 9""",45389,55,"3' 11""","126' 11"""
153,154,154,John Rollins,84,"68' 8""",55213,67,"3' 10""","148' 1"""
154,T155,T155,Charles Howell III,106,"68' 6""",78047,95,"3' 10""","136' 1"""
155,T155,T155,John Merrick,87,"68' 6""",59198,72,"3' 10""","139' 5"""
156,157,157,Jim Renner,61,"68' 4""",42638,52,"3' 10""","134' 1"""
157,158,158,Spencer Levin,59,"68' 3""",40932,50,"3' 10""","130' 6"""
158,T159,T159,Jhonattan Vegas,77,"68' 2""",52369,64,"3' 10""","138' 0"""
159,T159,T159,Willy Wilcox,51,"68' 2""",32716,40,"3' 10""","122' 7"""
160,T161,T161,James Hahn,82,"68' 1""",59607,73,"3' 10""","135' 10"""
161,T161,T161,Josh Teater,90,"68' 1""",61245,75,"3' 10""","139' 8"""
162,163,163,Derek Ernst,80,"68' 0""",51431,63,"3' 10""","139' 10"""
163,164,164,Bronson La'Cassie,51,"67' 4""",29075,36,"3' 9""","125' 11"""
164,165,165,Bud Cauley,56,"67' 3""",37125,46,"3' 10""","127' 0"""
165,166,166,Jason Dufner,57,"67' 1""",33830,42,"3' 9""","138' 4"""
166,167,167,Jonathan Byrd,76,"66' 11""",52168,65,"3' 9""","170' 10"""
167,168,168,Lucas Glover,68,"66' 10""",37711,47,"3' 9""","129' 7"""
168,169,169,Jamie Lovemark,64,"66' 5""",37453,47,"3' 9""","112' 7"""
169,170,170,Troy Matteson,62,"66' 2""",38905,49,"3' 9""","164' 7"""
170,171,171,J.J. Henry,91,"66' 0""",61790,78,"3' 8""","155' 11"""
171,172,172,Kevin Stadler,90,"65' 8""",51210,65,"3' 8""","111' 8"""
172,173,173,Mark Wilson,69,"65' 7""",44860,57,"3' 8""","152' 1"""
173,174,174,Kyle Stanley,87,"65' 6""",56624,72,"3' 8""","116' 8"""
174,175,175,Michael Putnam,106,"63' 7""",69450,91,"3' 7""","129' 6"""
175,176,176,Boo Weekley,73,"62' 6""",42024,56,"3' 6""","110' 6"""
176,177,177,John Peterson,62,"60' 9""",40094,55,"3' 5""","94' 11"""
