,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
113,T114,T114,Steven Bowditch,93,"11' 11""",119.333,10,22,2
114,T114,T114,Brian Davis,93,"11' 11""",35.833,3,14,10
115,T114,T114,Jeff Maggert,54,"11' 11""",11.917,1,12,12
116,T114,T114,D.A. Points,75,"11' 11""",11.917,1,12,12
117,T114,T114,Henrik Stenson,56,"11' 11""",23.833000000000002,2,13,11
118,119,119,Brice Garnett,92,"11' 10""",23.583000000000002,2,17,6
119,T120,T120,Russell Knox,92,"11' 8""",69.917,6,20,3
120,T120,T120,Hideki Matsuyama,82,"11' 8""",81.917,7,23,2
121,122,122,John Huh,87,"11' 7""",34.667,3,22,5
122,T123,T123,Martin Laird,66,"11' 6""",91.833,8,23,2
123,T123,T123,Mark Wilson,69,"11' 6""",34.583,3,13,9
124,125,125,Phil Mickelson,71,"11' 2""",22.333000000000002,2,13,9
125,126,126,Lucas Glover,68,"11' 1""",44.167,4,35,2
126,127,127,Billy Hurley III,86,"10' 8""",10.667,1,11,11
127,128,128,Charley Hoffman,93,"10' 7""",31.666999999999998,3,16,5
128,129,129,Scott Stallings,77,"10' 6""",63.0,6,18,2
129,130,130,Camilo Villegas,95,"10' 5""",41.75,4,19,3
130,T131,T131,Jonas Blixt,64,"10' 3""",20.5,2,12,9
131,T131,T131,Justin Hicks,103,"10' 3""",10.25,1,10,10
132,133,133,Ken Duke,80,"9' 8""",19.25,2,11,8
133,134,134,Troy Merritt,62,"9' 6""",18.917,2,18,"10"""
134,135,135,Roberto Castro,76,"9' 5""",28.25,3,17,5
135,136,136,Johnson Wagner,69,"9' 4""",46.5,5,23,2
136,137,137,Jason Kokrak,65,"9' 1""",27.166999999999998,3,15,"10"""
137,138,138,Charlie Beljan,76,"9' 0""",54.0,6,19,2
138,139,139,James Hahn,82,"8' 10""",53.167,6,14,2
139,140,140,Andrew Loupe,65,"8' 9""",26.333000000000002,3,20,1
140,141,141,Robert Garrigus,80,"8' 8""",25.916999999999998,3,10,6
141,142,142,Jimmy Walker,98,"8' 6""",34.083,4,14,4
142,143,143,Bubba Watson,76,"8' 3""",49.5,6,19,2
143,T144,T144,Rickie Fowler,91,"8' 2""",16.25,2,12,4
144,T144,T144,Tommy Gainey,73,"8' 2""",24.5,3,10,7
145,T146,T146,Derek Ernst,80,"7' 11""",7.917000000000001,1,8,8
146,T146,T146,Boo Weekley,73,"7' 11""",7.917000000000001,1,8,8
147,148,148,Mike Weir,69,"7' 10""",15.667,2,14,2
148,149,149,Hunter Mahan,88,"7' 9""",15.5,2,10,5
149,150,150,Robert Streb,75,"7' 4""",22.083000000000002,3,12,3
150,151,151,Russell Henley,92,"6' 11""",27.666999999999998,4,9,3
151,152,152,Greg Chalmers,85,"6' 10""",6.832999999999999,1,7,7
152,153,153,Brian Stuard,91,"6' 7""",26.25,4,10,2
153,T154,T154,Stuart Appleby,92,"6' 6""",6.5,1,7,7
154,T154,T154,James Driscoll,71,"6' 6""",12.917,2,11,2
155,156,156,Keegan Bradley,89,"6' 5""",19.25,3,15,1
156,157,157,Dustin Johnson,58,"5' 11""",23.583000000000002,4,10,2
157,158,158,Michael Thompson,74,"5' 9""",11.417,2,6,5
158,159,159,Chris Stroud,88,"5' 8""",5.667000000000001,1,6,6
159,160,160,Ben Curtis,77,"5' 7""",11.167,2,11,"1"""
160,161,161,Y.E. Yang,79,"5' 3""",10.5,2,7,4
161,T162,T162,Chad Campbell,57,"5' 2""",10.333,2,9,"11"""
162,T162,T162,Jim Herman,62,"5' 2""",10.333,2,9,1
163,164,164,Jamie Lovemark,64,"5' 0""",10.0,2,7,3
164,165,165,Sergio Garcia,61,"4' 9""",4.75,1,5,5
165,166,166,Jerry Kelly,80,"4' 5""",8.833,2,5,4
166,167,167,Briny Baird,50,"3' 10""",3.833,1,4,4
167,T168,T168,Robert Allenby,83,"3' 9""",3.75,1,4,4
168,T168,T168,Hudson Swafford,75,"3' 9""",14.833,4,6,1
