,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
68,69,69,Russell Knox,72,50.6,42,83,16.0
69,T70,T70,Davis Love III,64,50.43,59,117,40.0
70,T70,T70,Chris Stroud,86,50.43,59,117,41.0
71,72,72,Jason Bohn,81,50.33,76,151,67.0
72,T73,T73,Cameron Beckman,81,50.0,53,106,41.0
73,T73,T73,Graham DeLaet,79,50.0,56,112,42.0
74,T73,T73,Brian Harman,101,50.0,92,184,65.0
75,T73,T73,Trevor Immelman,76,50.0,66,132,47.0
76,T73,T73,Spencer Levin,81,50.0,82,164,35.0
77,T73,T73,Vaughn Taylor,81,50.0,54,108,34.0
78,79,79,Tommy Gainey,98,49.46,92,186,74.0
79,80,80,J.B. Holmes,90,49.34,75,152,52.0
80,81,81,Greg Owen,90,49.3,70,142,53.0
81,82,82,Rod Pampling,88,49.03,76,155,58.0
82,83,83,Tiger Woods,69,49.0,49,100,25.0
83,84,84,Rory Sabbatini,84,48.99,73,149,56.0
84,85,85,Scott Piercy,95,48.92,68,139,44.0
85,86,86,Marc Leishman,84,48.87,65,133,52.0
86,87,87,John Senden,81,48.82,62,127,28.0
87,88,88,K.J. Choi,71,48.72,57,117,35.0
88,89,89,Rickie Fowler,84,48.63,71,146,59.0
89,90,90,Brendon de Jonge,115,48.47,79,163,46.0
90,91,91,Erik Compton,81,48.41,61,126,40.0
91,92,92,Bryce Molder,83,48.31,57,118,60.0
92,93,93,Seung-Yul Noh,105,48.25,69,143,64.0
93,94,94,Bo Van Pelt,84,48.12,64,133,56.0
94,95,95,Ernie Els,80,48.0,60,125,43.0
95,96,96,James Driscoll,83,47.9,80,167,77.0
96,97,97,Stephen Gangluff,57,47.87,45,94,35.0
97,98,98,George McNeill,85,47.65,81,170,60.0
98,99,99,Steve Stricker,73,47.62,50,105,39.0
99,100,100,Harrison Frazar,56,47.57,49,103,42.0
100,101,101,Marco Dawson,60,47.5,38,80,33.0
101,102,102,Colt Knost,79,47.33,62,131,67.0
102,103,103,Chris Kirk,93,47.26,69,146,51.0
103,104,104,Nick Watney,97,47.22,68,144,51.0
104,105,105,Danny Lee,74,47.06,48,102,34.0
105,106,106,Ryan Palmer,81,47.02,71,151,55.0
106,107,107,Michael Bradley,63,46.99,39,83,42.0
107,108,108,Stephen Ames,54,46.91,38,81,43.0
108,109,109,Chez Reavie,83,46.88,60,128,47.0
109,110,110,Tom Pernice Jr.,62,46.73,50,107,43.0
110,T111,T111,Harris English,98,46.54,74,159,56.0
111,T111,T111,Charles Howell III,98,46.54,74,159,62.0
112,113,113,Brendon Todd,78,46.49,53,114,44.0
113,114,114,Scott Dunlap,57,46.43,39,84,32.0
114,115,115,Kris Blanks,65,46.4,58,125,52.0
115,116,116,Ángel Cabrera,54,46.38,32,69,30.0
116,117,117,Blake Adams,107,46.35,89,192,57.0
117,T118,T118,Kevin Chappell,91,46.15,84,182,67.0
118,T118,T118,Billy Horschel,63,46.15,30,65,16.0
119,120,120,William McGirt,96,46.1,71,154,52.0
120,121,121,Andres Romero,68,46.02,52,113,52.0
121,T122,T122,Hunter Mahan,88,45.91,73,159,59.0
122,T122,T122,Kevin Streelman,89,45.91,73,159,55.0
123,124,124,Ken Duke,104,45.88,78,170,51.0
124,125,125,Kyle Stanley,86,45.77,65,142,43.0
125,126,126,Troy Matteson,100,45.75,70,153,72.0
126,T127,T127,Adam Scott,59,45.74,43,94,38.0
127,T127,T127,Daniel Summerhays,81,45.74,59,129,52.0
128,129,129,D.A. Points,88,45.52,61,134,58.0
129,T130,T130,Bob Estes,78,45.45,60,132,60.0
130,T130,T130,Bobby Gates,87,45.45,60,132,48.0
131,T130,T130,Kevin Kisner,69,45.45,45,99,38.0
132,133,133,Derek Lamely,64,45.36,44,97,41.0
133,T134,T134,Sangmoon Bae,81,45.33,68,150,85.0
134,T134,T134,Josh Teater,97,45.33,68,150,50.0
135,136,136,John Daly,50,45.31,29,64,23.0
136,137,137,Miguel Angel Carballo,73,45.28,48,106,49.0
137,138,138,D.J. Trahan,73,45.19,47,104,32.0
138,139,139,Sung Kang,75,45.04,59,131,56.0
139,140,140,Jeff Overton,101,44.94,71,158,52.0
140,141,141,Sean O'Hair,84,44.93,62,138,57.0
141,142,142,Stewart Cink,71,44.92,53,118,55.0
142,143,143,Chad Campbell,84,44.76,64,143,43.0
143,144,144,Brandt Jobe,57,44.74,34,76,42.0
144,145,145,J.J. Henry,93,44.66,46,103,30.0
145,146,146,Charlie Wi,86,44.65,71,159,66.0
146,147,147,Justin Leonard,79,44.63,54,121,58.0
147,148,148,Robert Garrigus,89,44.52,65,146,44.0
148,149,149,Patrick Sheehan,58,44.44,40,90,43.0
149,150,150,Louis Oosthuizen,65,44.23,46,104,46.0
150,151,151,Camilo Villegas,79,44.12,45,102,41.0
151,152,152,Cameron Tringale,88,44.08,67,152,61.0
152,153,153,Ricky Barnes,92,43.8,60,137,57.0
153,154,154,John Mallinger,74,43.64,48,110,53.0
154,155,155,Jason Kokrak,79,43.55,54,124,51.0
155,156,156,Heath Slocum,93,43.31,55,127,48.0
156,157,157,Martin Laird,77,43.24,48,111,47.0
157,158,158,Richard Lee,71,43.18,38,88,35.0
158,159,159,Arjun Atwal,79,43.08,56,130,54.0
159,160,160,Charley Hoffman,88,43.06,62,144,57.0
160,161,161,Boo Weekley,74,43.01,40,93,37.0
161,162,162,Robert Allenby,76,42.98,49,114,54.0
162,163,163,Brendan Steele,77,42.74,50,117,59.0
163,164,164,Steve Wheatcroft,56,42.68,35,82,31.0
164,165,165,David Mathis,83,42.57,63,148,70.0
165,166,166,John Rollins,81,42.45,59,139,57.0
166,167,167,Hunter Haas,69,42.4,53,125,55.0
167,168,168,Will Claxton,99,42.31,55,130,60.0
168,169,169,Kyle Thompson,51,42.11,32,76,35.0
169,170,170,"Ted Potter, Jr.",77,41.8,51,122,66.0
170,171,171,Jeff Maggert,83,41.73,58,139,65.0
171,172,172,Troy Kelly,68,41.35,43,104,53.0
172,173,173,Kevin Stadler,85,40.87,47,115,46.0
173,174,174,Scott Brown,65,40.45,36,89,39.0
174,T175,T175,Matt Bettencourt,80,40.0,50,125,61.0
175,T175,T175,John Merrick,83,40.0,40,100,46.0
176,T175,T175,Garth Mulroy,59,40.0,32,80,39.0
177,178,178,Freddie Jacobson,61,39.42,41,104,55.0
178,179,179,Johnson Wagner,88,39.39,52,132,63.0
179,180,180,Charlie Beljan,61,39.34,24,61,33.0
180,181,181,Bubba Watson,68,39.33,35,89,20.0
181,182,182,Scott Stallings,78,38.94,44,113,52.0
182,183,183,Tommy Biershenk,74,38.53,42,109,63.0
183,184,184,Ben Curtis,62,38.36,28,73,40.0
184,185,185,Gary Woodland,70,38.24,39,102,53.0
185,186,186,Gary Christian,91,37.98,49,129,57.0
186,187,187,Chris Couch,61,37.89,36,95,37.0
187,188,188,Jhonattan Vegas,77,37.7,46,122,52.0
188,189,189,Graeme McDowell,55,33.33,25,75,33.0
189,190,190,Roland Thatcher,55,32.43,24,74,38.0
190,191,191,Alexandre Rocha,62,29.73,22,74,44.0
