,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
138,139,139,Stephen Gangluff,57,52.42,65,124
139,140,140,Matt Bettencourt,80,52.4,109,208
140,141,141,Sangmoon Bae,81,52.31,102,195
141,142,142,Dicky Pride,62,51.88,69,133
142,143,143,Matt Jones,53,51.85,56,108
143,144,144,Mathew Goggin,65,51.79,58,112
144,145,145,Michael Thompson,80,51.65,94,182
145,146,146,Harris English,98,51.53,101,196
146,147,147,Sung Kang,75,51.14,90,176
147,T148,T148,Miguel Angel Carballo,73,50.96,80,157
148,T148,T148,D.J. Trahan,73,50.96,80,157
149,150,150,Erik Compton,81,50.85,90,177
150,151,151,Robert Karlsson,54,50.59,43,85
151,152,152,Hunter Haas,69,50.4,63,125
152,153,153,Daniel Chopra,55,50.36,69,137
153,154,154,James Driscoll,83,50.29,86,171
154,T155,T155,Gary Christian,91,50.0,91,182
155,T155,T155,J.J. Henry,93,50.0,74,148
156,T155,T155,Roland Thatcher,55,50.0,52,104
157,T155,T155,Jhonattan Vegas,77,50.0,79,158
158,159,159,Tommy Biershenk,74,49.71,85,171
159,160,160,Jason Bohn,81,49.66,72,145
160,161,161,Patrick Sheehan,58,49.63,67,135
161,162,162,Garth Mulroy,59,49.59,61,123
162,163,163,Michael Bradley,63,49.28,68,138
163,164,164,Boo Weekley,74,49.24,65,132
164,165,165,Scott Stallings,78,49.18,90,183
165,166,166,Tim Clark,60,49.04,51,104
166,167,167,John Merrick,83,48.67,73,150
167,168,168,Adam Scott,59,48.48,48,99
168,169,169,Kris Blanks,65,48.46,63,130
169,170,170,Charlie Beljan,61,48.39,60,124
170,171,171,Colt Knost,79,48.15,78,162
171,T172,T172,Tommy Gainey,98,47.95,105,219
172,T172,T172,Bill Lunde,83,47.95,70,146
173,174,174,Sean O'Hair,84,47.45,65,137
174,175,175,Alexandre Rocha,62,47.37,54,114
175,176,176,Ángel Cabrera,54,47.31,44,93
176,177,177,Charley Hoffman,88,47.09,89,189
177,178,178,Marco Dawson,60,46.94,69,147
178,179,179,Greg Owen,90,46.82,81,173
179,180,180,Stewart Cink,71,46.51,60,129
180,181,181,Kyle Thompson,51,46.36,51,110
181,182,182,Mark Anderson,75,46.05,70,152
182,183,183,John Daly,50,45.74,43,94
183,184,184,Chad Campbell,84,45.68,74,162
184,185,185,Cameron Beckman,81,45.21,85,188
185,186,186,Steve Wheatcroft,56,45.0,45,100
186,187,187,Lee Westwood,60,43.88,43,98
187,188,188,Robert Allenby,76,43.71,73,167
188,189,189,Harrison Frazar,56,42.15,51,121
189,190,190,Scott Brown,65,39.52,49,124
190,191,191,Edward Loar,59,37.5,45,120
