,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
102,T103,T103,Ricky Barnes,92,87.67,64,73
103,T103,T103,J.J. Henry,93,87.67,64,73
104,T103,T103,John Huh,99,87.67,64,73
105,T106,T106,Jonas Blixt,72,87.5,42,48
106,T106,T106,Ángel Cabrera,54,87.5,21,24
107,T106,T106,Harris English,98,87.5,49,56
108,T106,T106,David Mathis,83,87.5,63,72
109,T106,T106,Nick O'Hern,78,87.5,49,56
110,T106,T106,Chez Reavie,83,87.5,49,56
111,T106,T106,Justin Rose,69,87.5,28,32
112,T106,T106,Patrick Sheehan,58,87.5,42,48
113,114,114,Chris Kirk,93,87.34,69,79
114,115,115,George McNeill,85,87.3,55,63
115,116,116,Mark Anderson,75,87.23,41,47
116,117,117,James Driscoll,83,87.1,54,62
117,118,118,Chris Couch,61,87.04,47,54
118,119,119,Brian Davis,91,86.96,60,69
119,120,120,Ian Poulter,57,86.84,33,38
120,121,121,Nick Watney,97,86.79,46,53
121,T122,T122,Rickie Fowler,84,86.67,39,45
122,T122,T122,Mark Wilson,84,86.67,39,45
123,124,124,Russell Knox,72,86.44,51,59
124,125,125,Rory Sabbatini,84,86.42,70,81
125,126,126,Robert Garrigus,89,86.15,56,65
126,127,127,Bobby Gates,87,86.11,62,72
127,128,128,Robert Allenby,76,85.94,55,64
128,T129,T129,Charles Howell III,98,85.71,48,56
129,T129,T129,Davis Love III,64,85.71,42,49
130,T129,T129,David Toms,60,85.71,24,28
131,T132,T132,Ernie Els,80,85.48,53,62
132,T132,T132,Spencer Levin,81,85.48,53,62
133,134,134,Marco Dawson,60,85.42,41,48
134,135,135,Bubba Watson,68,85.29,29,34
135,136,136,Carl Pettersson,92,85.25,52,61
136,T137,T137,Sung Kang,75,85.19,46,54
137,T137,T137,Jimmy Walker,101,85.19,46,54
138,139,139,Trevor Immelman,76,85.11,40,47
139,140,140,Y.E. Yang,64,84.78,39,46
140,141,141,Daniel Summerhays,81,84.75,50,59
141,142,142,Erik Compton,81,84.72,61,72
142,T143,T143,Billy Hurley III,70,84.62,55,65
143,T143,T143,Roland Thatcher,55,84.62,33,39
144,T143,T143,D.J. Trahan,73,84.62,44,52
145,T143,T143,Gary Woodland,70,84.62,33,39
146,147,147,J.J. Killeen,101,84.52,71,84
147,148,148,Stuart Appleby,75,84.38,54,64
148,T149,T149,Troy Matteson,100,84.21,64,76
149,T149,T149,John Merrick,83,84.21,48,57
150,151,151,Steve Wheatcroft,56,84.09,37,44
151,152,152,Tommy Gainey,98,84.04,79,94
152,153,153,Heath Slocum,93,83.95,68,81
153,154,154,Brandt Jobe,57,83.72,36,43
154,155,155,Mathew Goggin,65,83.67,41,49
155,T156,T156,Arjun Atwal,79,83.33,55,66
156,T156,T156,Miguel Angel Carballo,73,83.33,40,48
157,T156,T156,Garth Mulroy,59,83.33,30,36
158,T156,T156,D.A. Points,88,83.33,55,66
159,160,160,Michael Bradley,63,82.98,39,47
160,161,161,Will Claxton,99,82.86,58,70
161,162,162,Jason Bohn,81,82.81,53,64
162,163,163,Chris DiMarco,83,82.43,61,74
163,T164,T164,Gavin Coles,72,82.35,42,51
164,T164,T164,Hunter Haas,69,82.35,42,51
165,166,166,Matt Kuchar,86,82.14,46,56
166,167,167,Jeff Maggert,83,82.09,55,67
167,168,168,Jason Day,57,82.05,32,39
168,T169,T169,Matt Bettencourt,80,81.97,50,61
169,T169,T169,Vaughn Taylor,81,81.97,50,61
170,171,171,Jason Dufner,83,81.82,36,44
171,172,172,Kevin Stadler,85,81.69,58,71
172,173,173,"Ted Potter, Jr.",77,81.36,48,59
173,174,174,Josh Teater,97,81.33,61,75
174,175,175,Tommy Biershenk,74,80.95,51,63
175,T176,T176,K.J. Choi,71,80.77,42,52
176,T176,T176,Lee Westwood,60,80.77,21,26
177,178,178,Boo Weekley,74,80.39,41,51
178,179,179,Roberto Castro,92,80.36,45,56
179,180,180,Jhonattan Vegas,77,80.33,49,61
180,181,181,Kyle Thompson,51,79.41,27,34
181,182,182,Daniel Chopra,55,79.31,23,29
182,183,183,Edward Loar,59,79.07,34,43
183,184,184,J.B. Holmes,90,79.03,49,62
184,185,185,Camilo Villegas,79,78.87,56,71
185,186,186,Greg Owen,90,77.36,41,53
186,187,187,Robert Karlsson,54,76.32,29,38
187,188,188,Stephen Gangluff,57,76.0,38,50
188,189,189,Danny Lee,74,75.47,40,53
189,190,190,Cameron Beckman,81,75.0,45,60
190,191,191,Ryo Ishikawa,54,74.07,20,27
