,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
68,T69,T69,Matt Bettencourt,80,"8' 0""",1571.0829999999999,197,179
69,T69,T69,Brian Davis,91,"8' 0""",1598.1670000000001,200,51
70,T69,T69,John Mallinger,74,"8' 0""",1340.1670000000001,168,53
71,T69,T69,William McGirt,96,"8' 0""",1606.1670000000001,200,59
72,T69,T69,Rory McIlroy,60,"8' 0""",955.75,119,33
73,T69,T69,Seung-Yul Noh,105,"8' 0""",1809.5829999999999,227,80
74,T69,T69,Josh Teater,97,"8' 0""",1609.5,202,119
75,T69,T69,Nick Watney,97,"8' 0""",1549.5,193,141
76,T69,T69,Boo Weekley,74,"8' 0""",1070.167,134,168
77,T78,T78,Billy Horschel,63,"8' 1""",853.75,106,36
78,T78,T78,Troy Kelly,68,"8' 1""",831.0830000000001,103,46
79,T78,T78,"Ted Potter, Jr.",77,"8' 1""",1390.3329999999999,172,132
80,T78,T78,Scott Stallings,78,"8' 1""",1580.4170000000001,195,175
81,T82,T82,Aaron Baddeley,73,"8' 2""",1361.0,167,37
82,T82,T82,Roberto Castro,92,"8' 2""",1336.75,163,62
83,T82,T82,Matt Every,80,"8' 2""",1325.0829999999999,163,67
84,T82,T82,Jim Furyk,85,"8' 2""",1214.583,149,3
85,T82,T82,Brian Gay,91,"8' 2""",1584.1670000000001,193,1
86,T82,T82,Chris Kirk,93,"8' 2""",1772.75,218,71
87,T82,T82,David Mathis,83,"8' 2""",1299.833,159,85
88,T82,T82,George McNeill,85,"8' 2""",1603.6670000000001,197,96
89,T82,T82,Ryan Palmer,81,"8' 2""",1667.6670000000001,204,73
90,T82,T82,Carl Pettersson,92,"8' 2""",1767.1670000000001,216,30
91,T82,T82,Chez Reavie,83,"8' 2""",1200.75,147,111
92,T93,T93,Kris Blanks,65,"8' 3""",1084.583,132,149
93,T93,T93,Keegan Bradley,90,"8' 3""",1582.75,191,91
94,T93,T93,Ángel Cabrera,54,"8' 3""",828.9169999999999,100,188
95,T93,T93,Brendon de Jonge,115,"8' 3""",1989.8329999999999,240,59
96,T93,T93,Graham DeLaet,79,"8' 3""",1233.5,150,86
97,T93,T93,Ernie Els,80,"8' 3""",1437.8329999999999,175,24
98,T93,T93,Martin Flores,95,"8' 3""",2119.083,258,47
99,T93,T93,Marc Leishman,84,"8' 3""",1849.25,225,74
100,T93,T93,Davis Love III,64,"8' 3""",1068.417,129,147
101,T93,T93,Bryce Molder,83,"8' 3""",1189.667,144,20
102,T93,T93,Ryan Moore,89,"8' 3""",1616.0,196,107
103,T93,T93,Geoff Ogilvy,73,"8' 3""",1467.1670000000001,178,6
104,T93,T93,Kevin Streelman,89,"8' 3""",1602.9170000000001,194,77
105,T93,T93,Daniel Summerhays,81,"8' 3""",1282.417,155,122
106,T93,T93,D.J. Trahan,73,"8' 3""",1258.417,152,164
107,T108,T108,Miguel Angel Carballo,73,"8' 4""",1239.417,149,178
108,T108,T108,Tim Clark,60,"8' 4""",983.4169999999999,118,79
109,T108,T108,Sergio Garcia,57,"8' 4""",1153.583,139,69
110,T108,T108,Bobby Gates,87,"8' 4""",1545.0829999999999,185,127
111,T108,T108,Tom Gillis,75,"8' 4""",1596.0,192,68
112,T108,T108,David Hearn,95,"8' 4""",1824.3329999999999,219,23
113,T108,T108,John Huh,99,"8' 4""",1744.6670000000001,209,134
114,T108,T108,Jason Kokrak,79,"8' 4""",1490.0,179,115
115,T108,T108,Rocco Mediate,70,"8' 4""",1189.75,143,22
116,T108,T108,Scott Piercy,95,"8' 4""",1893.9170000000001,227,35
117,T108,T108,Henrik Stenson,51,"8' 4""",856.5830000000001,103,47
118,T108,T108,Mark Wilson,84,"8' 4""",1690.8329999999999,202,84
119,T120,T120,Arjun Atwal,79,"8' 5""",1458.5,173,137
120,T120,T120,Graeme McDowell,55,"8' 5""",815.25,97,177
121,T120,T120,Greg Owen,90,"8' 5""",1471.5829999999999,174,154
122,T120,T120,Brendon Todd,78,"8' 5""",1521.5,181,129
123,T124,T124,Chad Campbell,84,"8' 6""",1417.8329999999999,166,145
124,T124,T124,Ryuji Imada,78,"8' 6""",1514.1670000000001,179,74
125,T124,T124,Rod Pampling,88,"8' 6""",1489.0,176,98
126,T127,T127,Robert Allenby,76,"8' 7""",1507.25,175,183
127,T127,T127,Gary Christian,91,"8' 7""",1491.4170000000001,174,139
128,T127,T127,Will Claxton,99,"8' 7""",1786.5829999999999,209,102
129,T127,T127,Garth Mulroy,59,"8' 7""",964.75,112,180
130,T127,T127,Ian Poulter,57,"8' 7""",878.6669999999999,102,2
131,T127,T127,Kyle Thompson,51,"8' 7""",675.75,79,189
132,T133,T133,Michael Bradley,63,"8' 8""",1073.5,124,156
133,T133,T133,Scott Brown,65,"8' 8""",1025.5,118,185
134,T133,T133,Chris DiMarco,83,"8' 8""",1576.3329999999999,182,103
135,T133,T133,Ken Duke,104,"8' 8""",1912.1670000000001,221,26
136,T133,T133,Robert Karlsson,54,"8' 8""",920.1669999999999,106,172
137,T133,T133,Bill Lunde,83,"8' 8""",1285.583,148,54
138,T133,T133,Jeff Maggert,83,"8' 8""",1761.0,204,64
139,T133,T133,Phil Mickelson,79,"8' 8""",1449.0,168,16
140,T133,T133,Heath Slocum,93,"8' 8""",1314.3329999999999,152,70
141,T133,T133,Jhonattan Vegas,77,"8' 8""",1642.1670000000001,189,187
142,T143,T143,Daniel Chopra,55,"8' 9""",1157.833,132,165
143,T143,T143,James Driscoll,83,"8' 9""",1532.4170000000001,175,153
144,T143,T143,Scott Dunlap,57,"8' 9""",883.1669999999999,101,65
145,T143,T143,J.B. Holmes,90,"8' 9""",1701.3329999999999,195,125
146,T143,T143,Colt Knost,79,"8' 9""",1267.167,145,140
147,T143,T143,Dicky Pride,62,"8' 9""",1235.833,141,93
148,T143,T143,Roland Thatcher,55,"8' 9""",906.9169999999999,104,186
149,T150,T150,Harris English,98,"8' 10""",1913.75,217,159
150,T150,T150,Ryo Ishikawa,54,"8' 10""",840.0,95,152
