,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
41,42,42,Luke Donald,63,56.16,41,73
42,43,43,Kyle Reifers,86,56.12,55,98
43,44,44,Stephen Ames,54,56.0,28,50
44,45,45,Matt Every,80,55.95,47,84
45,46,46,Ryo Ishikawa,54,55.93,33,59
46,47,47,Davis Love III,64,55.84,43,77
47,T48,T48,Roberto Castro,92,55.77,58,104
48,T48,T48,Rory Sabbatini,84,55.77,58,104
49,T48,T48,Tiger Woods,69,55.77,29,52
50,51,51,Steve Wheatcroft,56,55.74,34,61
51,52,52,Dicky Pride,62,55.71,39,70
52,53,53,Vaughn Taylor,81,55.56,40,72
53,54,54,Jason Day,57,55.38,36,65
54,55,55,Y.E. Yang,64,55.29,47,85
55,56,56,Gavin Coles,72,54.79,40,73
56,57,57,Robert Karlsson,54,54.39,31,57
57,T58,T58,Stephen Gangluff,57,54.29,38,70
58,T58,T58,Bill Lunde,83,54.29,38,70
59,60,60,Ryuji Imada,78,54.21,58,107
60,61,61,Mark Anderson,75,54.17,52,96
61,62,62,Rickie Fowler,84,53.85,49,91
62,63,63,Vijay Singh,99,53.77,57,106
63,64,64,Stuart Appleby,75,53.41,47,88
64,65,65,Greg Owen,90,53.13,51,96
65,66,66,Rod Pampling,88,53.1,60,113
66,67,67,Nathan Green,73,53.01,44,83
67,T68,T68,Harrison Frazar,56,52.86,37,70
68,T68,T68,John Senden,81,52.86,37,70
69,70,70,Jimmy Walker,101,52.8,66,125
70,71,71,Chris Stroud,86,52.69,49,93
71,72,72,Brian Harman,101,52.59,71,135
72,73,73,Trevor Immelman,76,52.44,43,82
73,74,74,Chris Kirk,93,52.38,55,105
74,75,75,Nick O'Hern,78,52.34,56,107
75,76,76,Mark Wilson,84,52.33,45,86
76,77,77,Tim Herron,88,52.1,62,119
77,T78,T78,Ben Crane,73,52.04,51,98
78,T78,T78,John Huh,99,52.04,51,98
79,80,80,Ernie Els,80,51.95,40,77
80,81,81,Marco Dawson,60,51.72,30,58
81,82,82,Bo Van Pelt,84,51.65,47,91
82,83,83,Harris English,98,51.49,52,101
83,84,84,Mathew Goggin,65,51.43,36,70
84,85,85,Ken Duke,104,51.24,62,121
85,86,86,Ángel Cabrera,54,51.22,21,41
86,87,87,Kevin Kisner,69,50.63,40,79
87,88,88,James Driscoll,83,50.44,57,113
88,89,89,Brian Davis,91,50.43,59,117
89,T90,T90,Cameron Beckman,81,50.0,37,74
90,T90,T90,Danny Lee,74,50.0,35,70
91,T90,T90,Richard Lee,71,50.0,32,64
92,T90,T90,Edward Loar,59,50.0,24,48
93,T90,T90,Troy Matteson,100,50.0,53,106
94,T90,T90,George McNeill,85,50.0,57,114
95,T90,T90,Ryan Palmer,81,50.0,51,102
96,T90,T90,Cameron Tringale,88,50.0,52,104
97,98,98,Blake Adams,107,49.59,61,123
98,T99,T99,David Hearn,95,49.51,51,103
99,T99,T99,Seung-Yul Noh,105,49.51,51,103
100,101,101,Jason Kokrak,79,49.43,43,87
101,102,102,Tom Pernice Jr.,62,49.41,42,85
102,103,103,Kevin Stadler,85,49.38,40,81
103,104,104,Tommy Gainey,98,49.24,65,132
104,105,105,Scott Dunlap,57,49.18,30,61
105,106,106,Jason Bohn,81,49.14,57,116
106,107,107,Steve Stricker,73,49.09,27,55
107,108,108,Henrik Stenson,51,48.98,24,49
108,T109,T109,Hunter Mahan,88,48.96,47,96
109,T109,T109,Pat Perez,81,48.96,47,96
110,111,111,Kyle Thompson,51,48.94,23,47
111,T112,T112,Brendon Todd,78,48.89,44,90
112,T112,T112,Lee Westwood,60,48.89,22,45
113,114,114,Derek Lamely,64,48.68,37,76
114,115,115,Jeff Overton,101,48.6,52,107
115,116,116,Michael Bradley,63,48.33,29,60
116,117,117,Brendon de Jonge,115,48.31,57,118
117,118,118,Colt Knost,79,48.15,52,108
118,119,119,Bryce Molder,83,48.08,50,104
119,120,120,Kevin Chappell,91,47.97,59,123
120,121,121,Sung Kang,75,47.92,46,96
121,122,122,Heath Slocum,93,47.47,47,99
122,123,123,Marc Leishman,84,47.31,44,93
123,124,124,J.B. Holmes,90,47.22,51,108
124,125,125,Kevin Streelman,89,47.17,50,106
125,T126,T126,David Mathis,83,47.06,56,119
126,T126,T126,Adam Scott,59,47.06,24,51
127,128,128,Charlie Wi,86,46.79,51,109
128,129,129,Brandt Jobe,57,46.77,29,62
129,130,130,"Ted Potter, Jr.",77,46.67,42,90
130,131,131,J.J. Henry,93,46.58,34,73
131,T132,T132,Russell Knox,72,46.43,26,56
132,T132,T132,Chez Reavie,83,46.43,39,84
133,134,134,Daniel Summerhays,81,46.32,44,95
134,135,135,Sangmoon Bae,81,46.3,50,108
135,136,136,Patrick Sheehan,58,46.27,31,67
136,T137,T137,Charles Howell III,98,46.0,46,100
137,T137,T137,Justin Leonard,79,46.0,46,100
138,139,139,Brendan Steele,77,45.98,40,87
139,T140,T140,William McGirt,96,45.83,55,120
140,T140,T140,Sean O'Hair,84,45.83,44,96
141,T140,T140,D.J. Trahan,73,45.83,33,72
142,T143,T143,John Daly,50,45.71,16,35
143,T143,T143,Camilo Villegas,79,45.71,32,70
144,145,145,Andres Romero,68,45.57,36,79
145,T146,T146,Scott Piercy,95,45.45,40,88
146,T146,T146,D.A. Points,88,45.45,45,99
147,148,148,Erik Compton,81,45.05,41,91
148,149,149,Chad Campbell,84,44.9,44,98
149,T150,T150,Robert Garrigus,89,44.83,39,87
150,T150,T150,Hunter Haas,69,44.83,39,87
151,152,152,Josh Teater,97,44.76,47,105
152,153,153,Arjun Atwal,79,44.68,42,94
153,T154,T154,John Mallinger,74,44.44,40,90
154,T154,T154,Garth Mulroy,59,44.44,24,54
155,156,156,Bob Estes,78,44.33,43,97
156,157,157,Nick Watney,97,44.32,39,88
157,158,158,Kyle Stanley,86,44.3,35,79
158,159,159,Billy Horschel,63,44.19,19,43
159,160,160,Graham DeLaet,79,43.75,35,80
160,T161,T161,Robert Allenby,76,43.53,37,85
161,T161,T161,Matt Bettencourt,80,43.53,37,85
162,163,163,Stewart Cink,71,43.24,32,74
163,164,164,John Rollins,81,43.0,43,100
164,165,165,Kris Blanks,65,42.86,39,91
165,166,166,Bobby Gates,87,42.71,41,96
166,167,167,Scott Brown,65,42.62,26,61
167,168,168,Gary Christian,91,42.42,42,99
168,169,169,Charley Hoffman,88,42.0,42,100
169,170,170,Charlie Beljan,61,41.86,18,43
170,171,171,Ricky Barnes,92,41.84,41,98
171,172,172,Freddie Jacobson,61,41.82,23,55
172,173,173,Gary Woodland,70,41.67,25,60
173,174,174,Troy Kelly,68,41.25,33,80
174,175,175,Jeff Maggert,83,40.38,42,104
175,176,176,John Merrick,83,40.0,30,75
176,177,177,Chris Couch,61,39.71,27,68
177,178,178,Martin Laird,77,39.68,25,63
178,179,179,Will Claxton,99,39.36,37,94
179,180,180,Johnson Wagner,88,39.13,36,92
180,181,181,Boo Weekley,74,39.06,25,64
181,182,182,Miguel Angel Carballo,73,38.89,28,72
182,183,183,Louis Oosthuizen,65,38.71,24,62
183,184,184,Graeme McDowell,55,37.5,12,32
184,185,185,Jhonattan Vegas,77,37.21,32,86
185,186,186,Scott Stallings,78,36.84,28,76
186,187,187,Tommy Biershenk,74,36.59,30,82
187,188,188,Roland Thatcher,55,33.96,18,53
188,189,189,Ben Curtis,62,33.33,18,54
189,190,190,Bubba Watson,68,32.43,12,37
190,191,191,Alexandre Rocha,62,32.0,16,50
