,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
128,T129,T129,Bobby Gates,87,-.15,71.22,71.07
129,T129,T129,Rocco Mediate,70,-.15,70.9,70.75
130,131,131,Trevor Immelman,76,-.16,71.92,71.76
131,T132,T132,Hunter Haas,69,-.19,71.58,71.39
132,T132,T132,Mark Wilson,84,-.19,71.6,71.41
133,T134,T134,Troy Matteson,100,-.21,71.41,71.2
134,T134,T134,Chez Reavie,83,-.21,71.51,71.3
135,T136,T136,Stewart Cink,71,-.27,72.04,71.77
136,T136,T136,John Daly,50,-.27,71.15,70.88
137,T136,T136,Matt Jones,53,-.27,71.15,70.88
138,139,139,Garth Mulroy,59,-.28,71.12,70.84
139,T140,T140,Mathew Goggin,65,-.30,71.14,70.84
140,T140,T140,Kevin Kisner,69,-.30,71.05,70.75
141,T140,T140,David Mathis,83,-.30,71.51,71.21
142,143,143,Scott Stallings,78,-.31,71.45,71.14
143,144,144,Jhonattan Vegas,77,-.32,71.52,71.2
144,145,145,Gary Woodland,70,-.33,72.01,71.68
145,146,146,Robert Karlsson,54,-.34,71.83,71.49
146,147,147,Jason Bohn,81,-.35,71.31,70.96
147,148,148,Robert Allenby,76,-.39,71.82,71.43
148,149,149,Erik Compton,81,-.40,71.45,71.05
149,T150,T150,Charlie Beljan,61,-.42,70.98,70.56
150,T150,T150,Gavin Coles,72,-.42,71.01,70.59
151,T150,T150,Andres Romero,68,-.42,71.97,71.55
152,T153,T153,Chris DiMarco,83,-.43,71.51,71.08
153,T153,T153,J.J. Killeen,101,-.43,71.58,71.15
154,155,155,Jason Kokrak,79,-.46,71.2,70.74
155,156,156,Ángel Cabrera,54,-.47,72.04,71.57
156,157,157,Nick O'Hern,78,-.52,71.66,71.14
157,T158,T158,Tommy Gainey,98,-.53,71.57,71.04
158,T158,T158,Troy Kelly,68,-.53,71.34,70.81
159,T160,T160,Mark Anderson,75,-.54,71.56,71.02
160,T160,T160,Brendan Steele,77,-.54,71.93,71.39
161,162,162,Justin Leonard,79,-.55,71.69,71.14
162,T163,T163,Sangmoon Bae,81,-.58,72.08,71.5
163,T163,T163,Steve Wheatcroft,56,-.58,71.38,70.8
164,165,165,D.J. Trahan,73,-.60,71.43,70.83
165,166,166,Roland Thatcher,55,-.61,71.25,70.64
166,167,167,Stephen Ames,54,-.62,71.89,71.27
167,168,168,Harrison Frazar,56,-.63,71.91,71.28
168,169,169,Cameron Beckman,81,-.66,71.69,71.03
169,170,170,Scott Dunlap,57,-.69,71.38,70.69
170,171,171,"Ted Potter, Jr.",77,-.72,71.82,71.1
171,172,172,Arjun Atwal,79,-.74,71.43,70.69
172,173,173,Colt Knost,79,-.76,71.96,71.2
173,174,174,Miguel Angel Carballo,73,-.79,71.7,70.91
174,175,175,Scott Brown,65,-.82,71.48,70.66
175,T176,T176,Michael Bradley,63,-.87,71.7,70.83
176,T176,T176,Brendon Todd,78,-.87,71.7,70.83
177,178,178,Derek Lamely,64,-.88,71.72,70.84
178,179,179,Ryuji Imada,78,-.90,71.87,70.97
179,180,180,Patrick Sheehan,58,-.91,71.73,70.82
180,181,181,Daniel Chopra,55,-1.00,71.85,70.85
181,182,182,Edward Loar,59,-1.01,71.88,70.87
182,183,183,Marco Dawson,60,-1.03,71.9,70.87
183,184,184,Alexandre Rocha,62,-1.04,71.72,70.68
184,185,185,Tom Pernice Jr.,62,-1.07,71.81,70.74
185,186,186,Matt Bettencourt,80,-1.08,72.2,71.12
186,187,187,Billy Hurley III,70,-1.15,72.34,71.19
187,188,188,Tommy Biershenk,74,-1.32,72.4,71.08
188,189,189,Kyle Thompson,51,-1.35,72.14,70.79
189,190,190,Sung Kang,75,-1.51,72.66,71.15
190,191,191,Stephen Gangluff,57,-1.98,72.75,70.77
