,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
73,T74,T74,Hunter Haas,69,70.71,1697,24
74,T74,T74,Phil Mickelson,79,70.71,1202,17
75,T74,T74,Brandt Snedeker,81,70.71,1202,17
76,77,77,Seung-Yul Noh,105,70.72,2546,36
77,78,78,Graeme McDowell,55,70.73,1061,15
78,79,79,Cameron Tringale,88,70.75,2264,32
79,80,80,Matt Bettencourt,80,70.76,1203,17
80,81,81,Chris Kirk,93,70.78,2265,32
81,82,82,David Toms,60,70.79,1345,19
82,83,83,Kyle Stanley,86,70.83,2054,29
83,84,84,Boo Weekley,74,70.84,1771,25
84,85,85,Ben Crane,73,70.85,1842,26
85,86,86,Charley Hoffman,88,70.87,2197,31
86,87,87,Luke Donald,63,70.88,1205,17
87,88,88,Billy Mayfair,90,70.89,1347,19
88,89,89,Rory Sabbatini,84,70.91,2269,32
89,T90,T90,Chris Couch,61,70.94,1135,16
90,T90,T90,Geoff Ogilvy,73,70.94,2199,31
91,92,92,Jason Dufner,83,70.95,1348,19
92,93,93,Michael Thompson,80,70.96,1845,26
93,T94,T94,James Driscoll,83,71.0,1988,28
94,T94,T94,Ryuji Imada,78,71.0,1775,25
95,T94,T94,Chez Reavie,83,71.0,2130,30
96,T94,T94,Johnson Wagner,88,71.0,2201,31
97,98,98,David Hearn,95,71.03,2415,34
98,T99,T99,Miguel Angel Carballo,73,71.04,1776,25
99,T99,T99,Martin Laird,77,71.04,1847,26
100,101,101,Troy Kelly,68,71.06,1279,18
101,T102,T102,Kris Blanks,65,71.08,1706,24
102,T102,T102,John Daly,50,71.08,924,13
103,T104,T104,Erik Compton,81,71.1,1493,21
104,T104,T104,Robert Garrigus,89,71.1,2133,30
105,T104,T104,Mathew Goggin,65,71.1,1422,20
106,107,107,John Rollins,81,71.11,1351,19
107,108,108,Bud Cauley,99,71.12,1849,26
108,109,109,Ben Curtis,62,71.13,1138,16
109,T110,T110,Tom Gillis,75,71.14,2063,29
110,T110,T110,Ryan Moore,89,71.14,1565,22
111,T112,T112,Chad Campbell,84,71.15,1850,26
112,T112,T112,Steve Stricker,73,71.15,925,13
113,T114,T114,Aaron Baddeley,73,71.19,2278,32
114,T114,T114,Brian Davis,91,71.19,1495,21
115,T116,T116,Mark Anderson,75,71.23,1852,26
116,T116,T116,Charlie Wi,86,71.23,1852,26
117,118,118,Troy Matteson,100,71.25,2280,32
118,119,119,John Merrick,83,71.26,1639,23
119,120,120,D.J. Trahan,73,71.29,998,14
120,121,121,Rocco Mediate,70,71.33,1498,21
121,122,122,Rickie Fowler,84,71.34,2069,29
122,T123,T123,Jonathan Byrd,69,71.35,1641,23
123,T123,T123,Derek Lamely,64,71.35,1427,20
124,125,125,Kyle Thompson,51,71.38,928,13
125,T126,T126,Chris DiMarco,83,71.39,1642,23
126,T126,T126,Garth Mulroy,59,71.39,1285,18
127,T128,T128,Arjun Atwal,79,71.41,1928,27
128,T128,T128,Kevin Kisner,69,71.41,1214,17
129,130,130,John Huh,99,71.43,3000,42
130,131,131,Roland Thatcher,55,71.44,1286,18
131,132,132,Matt Every,80,71.46,1715,24
132,133,133,Bobby Gates,87,71.48,1787,25
133,T134,T134,Sangmoon Bae,81,71.5,1716,24
134,T134,T134,Daniel Chopra,55,71.5,1001,14
135,T134,T134,Gavin Coles,72,71.5,1716,24
136,T134,T134,Jason Day,57,71.5,1287,18
137,138,138,Bryce Molder,83,71.52,1931,27
138,139,139,John Mallinger,74,71.53,1359,19
139,T140,T140,Marc Leishman,84,71.55,2075,29
140,T140,T140,Camilo Villegas,79,71.55,1431,20
141,T142,T142,Jason Bohn,81,71.58,1718,24
142,T142,T142,Rod Pampling,88,71.58,2720,38
143,144,144,Tommy Gainey,98,71.6,1432,20
144,145,145,Ernie Els,80,71.61,1289,18
145,T146,T146,Scott Dunlap,57,71.62,931,13
146,T146,T146,Freddie Jacobson,61,71.62,1504,21
147,148,148,Matt Jones,53,71.64,1003,14
148,T149,T149,Harrison Frazar,56,71.65,1218,17
149,T149,T149,Edward Loar,59,71.65,1218,17
150,151,151,Kevin Chappell,91,71.66,2078,29
151,T152,T152,Stuart Appleby,75,71.67,860,12
152,T152,T152,Heath Slocum,93,71.67,2150,30
153,T154,T154,J.J. Henry,93,71.68,2437,34
154,T154,T154,Colt Knost,79,71.68,1577,22
155,T156,T156,Ryo Ishikawa,54,71.71,1004,14
156,T156,T156,Charl Schwartzel,56,71.71,1004,14
157,158,158,Scott Stallings,78,71.72,1793,25
158,159,159,Brendon Todd,78,71.78,1292,18
159,160,160,Jhonattan Vegas,77,71.79,2010,28
160,T161,T161,Harris English,98,71.81,2298,32
161,T161,T161,Brandt Jobe,57,71.81,1867,26
162,163,163,Billy Hurley III,70,71.82,2011,28
163,164,164,Rory McIlroy,60,71.86,503,7
164,165,165,Steve Wheatcroft,56,71.87,1078,15
165,166,166,Tommy Biershenk,74,71.92,1726,24
166,167,167,Stephen Ames,54,71.93,1007,14
167,168,168,Robert Karlsson,54,71.95,1439,20
168,169,169,Ricky Barnes,92,71.96,1727,24
169,T170,T170,Robert Allenby,76,72.0,2160,30
170,T170,T170,George McNeill,85,72.0,2520,35
171,T170,T170,Tom Pernice Jr.,62,72.0,864,12
172,173,173,Alexandre Rocha,62,72.04,1657,23
173,174,174,Cameron Beckman,81,72.05,1441,20
174,175,175,Jason Kokrak,79,72.06,1297,18
175,176,176,J.J. Killeen,101,72.08,1874,26
176,177,177,Y.E. Yang,64,72.14,1515,21
177,178,178,Trevor Immelman,76,72.15,1876,26
178,179,179,Tim Clark,60,72.18,1227,17
179,180,180,Marco Dawson,60,72.2,1444,20
180,181,181,Ángel Cabrera,54,72.24,1228,17
181,T182,T182,Nick O'Hern,78,72.33,1736,24
182,T182,T182,Brendan Steele,77,72.33,1953,27
183,184,184,"Ted Potter, Jr.",77,72.42,1883,26
184,185,185,Michael Bradley,63,72.44,1811,25
185,186,186,Justin Leonard,79,72.46,1884,26
186,187,187,Mark Wilson,84,72.47,2754,38
187,188,188,Sung Kang,75,72.54,1741,24
188,189,189,Andres Romero,68,72.72,1309,18
189,190,190,Stewart Cink,71,72.73,1600,22
190,191,191,Stephen Gangluff,57,73.4,1101,15
