,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
63,T63,T63,D.J. Trahan,73,70.8,1416,20
64,65,65,Carl Pettersson,92,70.81,2266,32
65,T66,T66,Mark Anderson,75,70.83,850,12
66,T66,T66,Charlie Beljan,61,70.83,1275,18
67,T66,T66,Kevin Kisner,69,70.83,1275,18
68,T69,T69,Tim Clark,60,70.84,1771,25
69,T69,T69,Justin Leonard,79,70.84,1346,19
70,T71,T71,Jhonattan Vegas,77,70.85,1417,20
71,T71,T71,Lee Westwood,60,70.85,1913,27
72,T71,T71,Steve Wheatcroft,56,70.85,921,13
73,74,74,Camilo Villegas,79,70.86,2055,29
74,75,75,Michael Thompson,80,70.87,1630,23
75,76,76,Nick O'Hern,78,70.88,1134,16
76,77,77,Bryce Molder,83,70.91,1631,23
77,78,78,Cameron Beckman,81,70.95,1490,21
78,79,79,Kevin Streelman,89,70.96,1916,27
79,T80,T80,Gavin Coles,72,71.0,1207,17
80,T80,T80,Charley Hoffman,88,71.0,1420,20
81,T80,T80,William McGirt,96,71.0,1917,27
82,T80,T80,D.A. Points,88,71.0,1633,23
83,T80,T80,Vijay Singh,99,71.0,2556,36
84,T80,T80,Vaughn Taylor,81,71.0,1562,22
85,T80,T80,Cameron Tringale,88,71.0,1420,20
86,T87,T87,Harris English,98,71.03,2131,30
87,T87,T87,Rickie Fowler,84,71.03,2202,31
88,T87,T87,Billy Mayfair,90,71.03,2131,30
89,90,90,Jonathan Byrd,69,71.07,1919,27
90,91,91,Hunter Mahan,88,71.09,2346,33
91,T92,T92,David Hearn,95,71.1,1493,21
92,T92,T92,Danny Lee,74,71.1,1422,20
93,T94,T94,Kevin Chappell,91,71.11,1991,28
94,T94,T94,Richard Lee,71,71.11,1351,19
95,96,96,John Daly,50,71.12,1209,17
96,97,97,Chris Couch,61,71.14,1565,22
97,98,98,Jason Kokrak,79,71.16,1779,25
98,T99,T99,Bill Lunde,83,71.17,1281,18
99,T99,T99,Chez Reavie,83,71.17,1281,18
100,T101,T101,Kevin Na,80,71.19,1922,27
101,T101,T101,Chris Stroud,86,71.19,1922,27
102,103,103,Jeff Overton,101,71.2,1780,25
103,T104,T104,Scott Brown,65,71.21,997,14
104,T104,T104,Charlie Wi,86,71.21,1994,28
105,T106,T106,Troy Matteson,100,71.24,2066,29
106,T106,T106,Nick Watney,97,71.24,2707,38
107,108,108,Matt Jones,53,71.27,1069,15
108,T109,T109,Brian Davis,91,71.29,2495,35
109,T109,T109,Johnson Wagner,88,71.29,1996,28
110,T111,T111,Jerry Kelly,84,71.3,1426,20
111,T111,T111,Sean O'Hair,84,71.3,1640,23
112,T111,T111,Kyle Stanley,86,71.3,1925,27
113,114,114,Mathew Goggin,65,71.33,642,9
114,T115,T115,Charles Howell III,98,71.36,2355,33
115,T115,T115,David Toms,60,71.36,1570,22
116,T117,T117,Jason Bohn,81,71.37,1356,19
117,T117,T117,J.J. Killeen,101,71.37,1927,27
118,T119,T119,Arjun Atwal,79,71.38,928,13
119,T119,T119,Jimmy Walker,101,71.38,2641,37
120,121,121,Greg Owen,90,71.41,1928,27
121,T122,T122,Tim Herron,88,71.43,1643,23
122,T122,T122,Brendon Todd,78,71.43,1500,21
123,T124,T124,Nathan Green,73,71.44,1286,18
124,T124,T124,Josh Teater,97,71.44,1786,25
125,T126,T126,Pat Perez,81,71.45,2072,29
126,T126,T126,Boo Weekley,74,71.45,1429,20
127,128,128,George McNeill,85,71.46,929,13
128,129,129,Harrison Frazar,56,71.47,1072,15
129,T130,T130,Trevor Immelman,76,71.48,1787,25
130,T130,T130,Russell Knox,72,71.48,1501,21
131,T132,T132,Robert Allenby,76,71.5,1001,14
132,T132,T132,Ian Poulter,57,71.5,1716,24
133,T134,T134,Stephen Ames,54,71.53,1216,17
134,T134,T134,"Ted Potter, Jr.",77,71.53,1359,19
135,T136,T136,Martin Flores,95,71.54,2003,28
136,T136,T136,Ryan Palmer,81,71.54,1860,26
137,138,138,Billy Hurley III,70,71.58,859,12
138,T139,T139,Marc Leishman,84,71.61,2005,28
139,T139,T139,Kyle Reifers,86,71.61,2005,28
140,141,141,Blake Adams,107,71.63,2292,32
141,T142,T142,Kris Blanks,65,71.64,1003,14
142,T142,T142,Sergio Garcia,57,71.64,2006,28
143,T144,T144,J.B. Holmes,90,71.68,2007,28
144,T144,T144,Spencer Levin,81,71.68,1362,19
145,146,146,Ricky Barnes,92,71.74,1650,23
146,T147,T147,Erik Compton,81,71.75,1435,20
147,T147,T147,Kyle Thompson,51,71.75,861,12
148,149,149,Gary Christian,91,71.76,1794,25
149,150,150,Brian Gay,91,71.77,1579,22
150,151,151,Greg Chalmers,88,71.79,2082,29
151,152,152,Robert Karlsson,54,71.8,718,10
152,153,153,Garth Mulroy,59,71.81,1149,16
153,T154,T154,Daniel Chopra,55,71.82,1221,17
154,T154,T154,Brendan Steele,77,71.82,790,11
155,156,156,James Driscoll,83,71.85,1868,26
156,T157,T157,Chris DiMarco,83,71.86,1581,22
157,T157,T157,Bob Estes,78,71.86,1509,21
158,159,159,Aaron Baddeley,73,71.89,1294,18
159,160,160,Andres Romero,68,71.91,1582,22
160,161,161,Henrik Stenson,51,71.92,1798,25
161,T162,T162,Brandt Jobe,57,72.0,792,11
162,T162,T162,Geoff Ogilvy,73,72.0,1512,21
163,164,164,Brian Harman,101,72.06,2234,31
164,165,165,Tommy Gainey,98,72.09,3100,43
165,166,166,Sung Kang,75,72.12,1226,17
166,167,167,Rory Sabbatini,84,72.14,1587,22
167,168,168,Edward Loar,59,72.15,938,13
168,169,169,Ryo Ishikawa,54,72.17,1299,18
169,170,170,David Mathis,83,72.19,1949,27
170,171,171,Troy Kelly,68,72.24,1228,17
171,172,172,Jeff Maggert,83,72.3,1663,23
172,173,173,Freddie Jacobson,61,72.33,1519,21
173,174,174,K.J. Choi,71,72.44,1956,27
174,175,175,Martin Laird,77,72.48,1812,25
175,176,176,Stewart Cink,71,72.55,1596,22
176,177,177,Hunter Haas,69,72.57,1016,14
177,178,178,Gary Woodland,70,72.63,1961,27
178,179,179,Y.E. Yang,64,72.65,1235,17
179,180,180,Sangmoon Bae,81,72.79,1747,24
180,181,181,Patrick Sheehan,58,72.82,801,11
181,182,182,Michael Bradley,63,72.83,874,12
182,183,183,Tom Pernice Jr.,62,72.88,1166,16
183,184,184,Marco Dawson,60,72.91,802,11
184,T185,T185,Miguel Angel Carballo,73,72.92,948,13
185,T185,T185,Stephen Gangluff,57,72.92,875,12
186,187,187,Ángel Cabrera,54,73.0,1168,16
187,188,188,Derek Lamely,64,73.06,1169,16
188,189,189,Tommy Biershenk,74,73.21,1025,14
189,190,190,Matt Bettencourt,80,73.35,1467,20
190,191,191,Ryuji Imada,78,73.53,1250,17
