,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
44,T45,T45,Jason Dufner,83,15.16,47,310
45,T45,T45,Harris English,98,15.16,52,343
46,T45,T45,William McGirt,96,15.16,47,310
47,T45,T45,Geoff Ogilvy,73,15.16,37,244
48,49,49,Brian Harman,101,15.25,52,341
49,T50,T50,Martin Flores,95,15.26,49,321
50,T50,T50,Chez Reavie,83,15.26,38,249
51,52,52,John Rollins,81,15.44,42,272
52,53,53,Seung-Yul Noh,105,15.47,54,349
53,54,54,Tom Pernice Jr.,62,15.48,26,168
54,T55,T55,Nick O'Hern,78,15.49,33,213
55,T55,T55,Brendan Steele,77,15.49,33,213
56,57,57,Louis Oosthuizen,65,15.52,36,232
57,T58,T58,Jonathan Byrd,69,15.56,35,225
58,T58,T58,Webb Simpson,77,15.56,47,302
59,60,60,Billy Mayfair,90,15.59,41,263
60,61,61,Mathew Goggin,65,15.61,32,205
61,62,62,Will Claxton,99,15.65,54,345
62,63,63,Kevin Stadler,85,15.67,42,268
63,64,64,Phil Mickelson,79,15.72,47,299
64,65,65,Ben Crane,73,15.83,44,278
65,66,66,Andres Romero,68,15.94,33,207
66,67,67,Cameron Tringale,88,15.95,48,301
67,T68,T68,Jonas Blixt,72,15.99,43,269
68,T68,T68,Ryan Moore,89,15.99,55,344
69,70,70,Rory Sabbatini,84,16.03,46,287
70,71,71,Kevin Chappell,91,16.07,45,280
71,T72,T72,Ernie Els,80,16.12,39,242
72,T72,T72,Justin Rose,69,16.12,39,242
73,74,74,J.J. Henry,93,16.17,43,266
74,75,75,Jason Bohn,81,16.18,39,241
75,76,76,Johnson Wagner,88,16.26,47,289
76,77,77,Kevin Kisner,69,16.27,34,209
77,78,78,Russell Knox,72,16.3,37,227
78,T79,T79,Matt Jones,53,16.36,27,165
79,T79,T79,Chris Kirk,93,16.36,53,324
80,T79,T79,John Merrick,83,16.36,44,269
81,82,82,Tommy Gainey,98,16.37,55,336
82,83,83,Spencer Levin,81,16.41,42,256
83,84,84,Steve Wheatcroft,56,16.45,25,152
84,85,85,Jeff Maggert,83,16.48,44,267
85,86,86,Charl Schwartzel,56,16.49,31,188
86,87,87,Garth Mulroy,59,16.58,33,199
87,88,88,Heath Slocum,93,16.61,45,271
88,89,89,Matt Every,80,16.72,49,293
89,90,90,Graham DeLaet,79,16.73,44,263
90,T91,T91,Charlie Beljan,61,16.75,35,209
91,T91,T91,Jason Day,57,16.75,33,197
92,T91,T91,Sung Kang,75,16.75,34,203
93,T91,T91,Dicky Pride,62,16.75,32,191
94,T95,T95,Freddie Jacobson,61,16.76,31,185
95,T95,T95,Jeff Overton,101,16.76,62,370
96,97,97,J.J. Killeen,101,16.79,47,280
97,98,98,Trevor Immelman,76,16.81,38,226
98,99,99,J.B. Holmes,90,16.83,52,309
99,100,100,Chris Stroud,86,16.91,46,272
100,T101,T101,Derek Lamely,64,16.92,34,201
101,T101,T101,Carl Pettersson,92,16.92,55,325
102,103,103,Chad Campbell,84,17.04,46,270
103,104,104,D.J. Trahan,73,17.06,36,211
104,T105,T105,Stephen Gangluff,57,17.09,27,158
105,T105,T105,Graeme McDowell,55,17.09,34,199
106,107,107,Michael Thompson,80,17.1,46,269
107,108,108,Arjun Atwal,79,17.11,39,228
108,109,109,Billy Hurley III,70,17.19,33,192
109,110,110,Josh Teater,97,17.21,58,337
110,111,111,Roland Thatcher,55,17.22,31,180
111,112,112,Charles Howell III,98,17.24,55,319
112,113,113,Mark Wilson,84,17.26,39,226
113,114,114,Danny Lee,74,17.27,43,249
114,115,115,Hunter Mahan,88,17.28,47,272
115,116,116,Jim Furyk,85,17.29,46,266
116,117,117,Jhonattan Vegas,77,17.31,45,260
117,T118,T118,Tim Herron,88,17.34,47,271
118,T118,T118,David Mathis,83,17.34,43,248
119,120,120,John Senden,81,17.38,49,282
120,121,121,Jimmy Walker,101,17.39,64,368
121,122,122,Sean O'Hair,84,17.45,52,298
122,123,123,Ángel Cabrera,54,17.47,29,166
123,124,124,John Huh,99,17.48,61,349
124,T125,T125,Jason Kokrak,79,17.5,42,240
125,T125,T125,Bo Van Pelt,84,17.5,56,320
126,T127,T127,Martin Laird,77,17.51,45,257
127,T127,T127,Justin Leonard,79,17.51,38,217
128,129,129,Kyle Reifers,86,17.56,46,262
129,130,130,John Mallinger,74,17.57,39,222
130,131,131,Aaron Baddeley,73,17.72,42,237
131,132,132,James Driscoll,83,17.73,50,282
132,133,133,Ryo Ishikawa,54,17.76,27,152
133,134,134,Patrick Sheehan,58,17.79,29,163
134,135,135,Cameron Beckman,81,17.86,45,252
135,136,136,Adam Scott,59,17.89,39,218
136,137,137,Greg Chalmers,88,17.96,51,284
137,138,138,Vaughn Taylor,81,18.21,51,280
138,139,139,George McNeill,85,18.25,50,274
139,140,140,Robert Allenby,76,18.3,43,235
140,141,141,Rocco Mediate,70,18.31,39,213
141,142,142,Davis Love III,64,18.39,41,223
142,143,143,Kevin Streelman,89,18.4,53,288
143,144,144,Charlie Wi,86,18.44,52,282
144,145,145,Scott Dunlap,57,18.47,29,157
145,146,146,Keegan Bradley,90,18.62,62,333
146,147,147,John Daly,50,19.02,31,163
147,148,148,Gary Christian,91,19.18,56,292
148,149,149,Stephen Ames,54,19.21,29,151
149,150,150,Rickie Fowler,84,19.29,54,280
150,151,151,"Ted Potter, Jr.",77,19.33,46,238
151,T152,T152,Brian Gay,91,19.5,55,282
152,T152,T152,Nathan Green,73,19.5,47,241
153,154,154,Nick Watney,97,19.53,66,338
154,155,155,Y.E. Yang,64,19.59,38,194
155,156,156,Chris Couch,61,19.61,40,204
156,157,157,Chris DiMarco,83,19.62,51,260
157,158,158,Roberto Castro,92,19.87,59,297
158,159,159,Marco Dawson,60,19.9,38,191
159,160,160,Stewart Cink,71,20.2,41,203
160,161,161,Scott Stallings,78,20.23,52,257
161,162,162,Miguel Angel Carballo,73,20.35,46,226
162,163,163,Gavin Coles,72,20.36,45,221
163,164,164,Mark Anderson,75,20.39,52,255
164,165,165,Ryuji Imada,78,20.43,48,235
165,166,166,Harrison Frazar,56,20.47,35,171
166,167,167,Kyle Stanley,86,20.55,60,292
167,168,168,Robert Karlsson,54,20.65,38,184
168,169,169,Charley Hoffman,88,20.66,63,305
169,170,170,Rod Pampling,88,20.77,54,260
170,171,171,Matt Bettencourt,80,20.83,50,240
171,172,172,Brandt Jobe,57,20.88,38,182
172,173,173,Greg Owen,90,20.94,67,320
173,174,174,K.J. Choi,71,21.1,46,218
174,175,175,Erik Compton,81,21.18,54,255
175,T176,T176,Brendon Todd,78,21.21,49,231
176,T176,T176,Lee Westwood,60,21.21,42,198
177,178,178,Hunter Haas,69,21.29,43,202
178,179,179,Scott Brown,65,21.3,46,216
179,180,180,Daniel Chopra,55,21.39,37,173
180,181,181,Ricky Barnes,92,21.77,64,294
181,182,182,Kyle Thompson,51,21.83,31,142
182,183,183,Bobby Gates,87,22.22,60,270
183,184,184,Sangmoon Bae,81,22.26,61,274
184,185,185,Troy Matteson,100,22.29,70,314
185,186,186,Colt Knost,79,22.55,53,235
186,187,187,Gary Woodland,70,22.77,51,224
187,T188,T188,Tommy Biershenk,74,23.08,54,234
188,T188,T188,Edward Loar,59,23.08,42,182
189,190,190,Marc Leishman,84,23.13,62,268
190,191,191,Sergio Garcia,57,23.65,48,203
