,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
57,58,58,Kevin Stadler,85,286
58,T59,T59,James Driscoll,83,285
59,T59,T59,Jerry Kelly,84,285
60,T61,T61,Tom Gillis,75,284
61,T61,T61,Vaughn Taylor,81,284
62,T61,T61,Camilo Villegas,79,284
63,T64,T64,Tim Herron,88,282
64,T64,T64,Hunter Mahan,88,282
65,T64,T64,George McNeill,85,282
66,T64,T64,Heath Slocum,93,282
67,T64,T64,Chris Stroud,86,282
68,69,69,Chad Campbell,84,281
69,T70,T70,Sangmoon Bae,81,280
70,T70,T70,Ben Crane,73,280
71,T70,T70,Marc Leishman,84,280
72,T70,T70,John Merrick,83,280
73,T74,T74,Kevin Na,80,279
74,T74,T74,Daniel Summerhays,81,279
75,T76,T76,J.J. Henry,93,278
76,T76,T76,John Rollins,81,278
77,T76,T76,Michael Thompson,80,278
78,T79,T79,Bobby Gates,87,275
79,T79,T79,Jeff Maggert,83,275
80,81,81,Jim Furyk,85,273
81,T82,T82,Jonas Blixt,72,272
82,T82,T82,Billy Mayfair,90,272
83,T84,T84,Graham DeLaet,79,270
84,T84,T84,Martin Laird,77,270
85,T84,T84,Bill Lunde,83,270
86,T84,T84,Rod Pampling,88,270
87,T84,T84,Jhonattan Vegas,77,270
88,T89,T89,Bill Haas,79,268
89,T89,T89,Kyle Reifers,86,268
90,T91,T91,Mark Anderson,75,266
91,T91,T91,Steve Stricker,73,266
92,T91,T91,Tiger Woods,69,266
93,94,94,Chris DiMarco,83,265
94,T95,T95,Cameron Beckman,81,264
95,T95,T95,Spencer Levin,81,264
96,T95,T95,Scott Stallings,78,264
97,98,98,Erik Compton,81,262
98,99,99,Bryce Molder,83,261
99,100,100,Chez Reavie,83,260
100,T101,T101,Matt Bettencourt,80,254
101,T101,T101,David Mathis,83,254
102,T103,T103,Aaron Baddeley,73,253
103,T103,T103,Bob Estes,78,253
104,105,105,Danny Lee,74,252
105,T106,T106,Jason Bohn,81,251
106,T106,T106,Ernie Els,80,251
107,T106,T106,Dustin Johnson,70,251
108,T106,T106,Geoff Ogilvy,73,251
109,T106,T106,Justin Rose,69,251
110,T106,T106,Bubba Watson,68,251
111,112,112,Nathan Green,73,250
112,113,113,"Ted Potter, Jr.",77,249
113,114,114,Jason Kokrak,79,248
114,115,115,Richard Lee,71,247
115,T116,T116,Tommy Biershenk,74,246
116,T116,T116,Ryuji Imada,78,246
117,118,118,Robert Allenby,76,245
118,119,119,Colt Knost,79,240
119,T120,T120,Trevor Immelman,76,238
120,T120,T120,Louis Oosthuizen,65,238
121,122,122,Mark Wilson,84,237
122,123,123,John Mallinger,74,235
123,124,124,Gavin Coles,72,234
124,T125,T125,Justin Leonard,79,233
125,T125,T125,Brendon Todd,78,233
126,127,127,Davis Love III,64,232
127,T128,T128,Jonathan Byrd,69,231
128,T128,T128,Miguel Angel Carballo,73,231
129,T128,T128,K.J. Choi,71,231
130,131,131,Stuart Appleby,75,229
131,T132,T132,Rory McIlroy,60,227
132,T132,T132,D.J. Trahan,73,227
133,T132,T132,Boo Weekley,74,227
134,T135,T135,Arjun Atwal,79,226
135,T135,T135,Nick O'Hern,78,226
136,137,137,Russell Knox,72,225
137,138,138,Gary Woodland,70,224
138,139,139,Ben Curtis,62,222
139,T140,T140,Padraig Harrington,67,221
140,T140,T140,Brendan Steele,77,221
141,142,142,Scott Brown,65,220
142,143,143,Adam Scott,59,219
143,T144,T144,Luke Donald,63,218
144,T144,T144,Rocco Mediate,70,218
145,146,146,Andres Romero,68,215
146,147,147,Hunter Haas,69,212
147,148,148,Mathew Goggin,65,211
148,149,149,Kevin Kisner,69,210
149,T150,T150,Charlie Beljan,61,209
150,T150,T150,Kris Blanks,65,209
151,T150,T150,Chris Couch,61,209
152,153,153,Lee Westwood,60,208
153,T154,T154,Billy Horschel,63,207
154,T154,T154,Sung Kang,75,207
155,T156,T156,Stewart Cink,71,206
156,T156,T156,Garth Mulroy,59,206
157,158,158,Derek Lamely,64,205
158,T159,T159,Sergio Garcia,57,204
159,T159,T159,Graeme McDowell,55,204
160,161,161,Y.E. Yang,64,203
161,T162,T162,Michael Bradley,63,200
162,T162,T162,Jason Day,57,200
163,164,164,Dicky Pride,62,199
164,165,165,Troy Kelly,68,197
165,166,166,David Toms,60,196
166,167,167,Charl Schwartzel,56,195
167,T168,T168,Billy Hurley III,70,194
168,T168,T168,Robert Karlsson,54,194
169,170,170,Marco Dawson,60,192
170,T171,T171,Freddie Jacobson,61,191
171,T171,T171,Ian Poulter,57,191
172,173,173,Brandt Jobe,57,187
173,T174,T174,Henrik Stenson,51,185
174,T174,T174,Roland Thatcher,55,185
175,176,176,Edward Loar,59,183
176,177,177,Tim Clark,60,182
177,178,178,Daniel Chopra,55,177
178,179,179,Harrison Frazar,56,176
179,180,180,Tom Pernice Jr.,62,175
180,181,181,Alexandre Rocha,62,174
181,T182,T182,Ángel Cabrera,54,169
182,T182,T182,Matt Jones,53,169
183,T182,T182,Patrick Sheehan,58,169
184,185,185,John Daly,50,167
185,186,186,Scott Dunlap,57,165
186,187,187,Stephen Gangluff,57,163
187,188,188,Stephen Ames,54,161
188,189,189,Steve Wheatcroft,56,159
189,190,190,Ryo Ishikawa,54,154
190,191,191,Kyle Thompson,51,151
