,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
120,121,121,Jimmy Walker,101,71.4,3713,52
121,T122,T122,Gary Christian,91,71.41,2928,41
122,T122,T122,Sergio Garcia,57,71.41,2285,32
123,124,124,Alexandre Rocha,62,71.42,1857,26
124,125,125,John Daly,50,71.43,1643,23
125,126,126,Chris Stroud,86,71.44,3215,45
126,T127,T127,Troy Kelly,68,71.45,2358,33
127,T127,T127,Kyle Reifers,86,71.45,2858,40
128,129,129,Garth Mulroy,59,71.46,2001,28
129,130,130,Johnson Wagner,88,71.47,3216,45
130,T131,T131,Bob Estes,78,71.49,2645,37
131,T131,T131,Martin Flores,95,71.49,2931,41
132,133,133,James Driscoll,83,71.5,2860,40
133,T134,T134,Chez Reavie,83,71.51,2932,41
134,T134,T134,Rory Sabbatini,84,71.51,2789,39
135,136,136,Ian Poulter,57,71.52,2217,31
136,137,137,Mathew Goggin,65,71.53,2146,30
137,138,138,Brian Harman,101,71.55,3005,42
138,139,139,Harrison Frazar,56,71.57,2147,30
139,140,140,Nick O'Hern,78,71.59,2434,34
140,141,141,Bill Lunde,83,71.6,2506,35
141,142,142,Greg Chalmers,88,71.63,3080,43
142,T143,T143,Marc Leishman,84,71.64,2794,39
143,T143,T143,David Toms,60,71.64,2006,28
144,145,145,Robert Karlsson,54,71.68,1362,19
145,146,146,Michael Bradley,63,71.69,1864,26
146,T147,T147,Robert Allenby,76,71.71,2510,35
147,T147,T147,Brandt Jobe,57,71.71,1506,21
148,T149,T149,Chris DiMarco,83,71.72,2797,39
149,T149,T149,J.J. Killeen,101,71.72,3299,46
150,T149,T149,Henrik Stenson,51,71.72,2080,29
151,T152,T152,Stewart Cink,71,71.74,2224,31
152,T152,T152,Josh Teater,97,71.74,2798,39
153,154,154,Martin Laird,77,71.78,2943,41
154,T155,T155,Arjun Atwal,79,71.81,2657,37
155,T155,T155,Greg Owen,90,71.81,3088,43
156,157,157,Ryo Ishikawa,54,71.85,1868,26
157,158,158,Stephen Ames,54,71.86,2012,28
158,T159,T159,Mark Anderson,75,71.89,2516,35
159,T159,T159,Tommy Gainey,98,71.89,3882,54
160,161,161,Aaron Baddeley,73,71.91,2445,34
161,162,162,Miguel Angel Carballo,73,71.93,2158,30
162,163,163,Brendon Todd,78,71.95,2734,38
163,T164,T164,Sangmoon Bae,81,72.03,2593,36
164,T164,T164,Scott Brown,65,72.03,2305,32
165,166,166,Scott Dunlap,57,72.04,2017,28
166,167,167,Colt Knost,79,72.06,2522,35
167,168,168,Marco Dawson,60,72.08,1730,24
168,169,169,Kris Blanks,65,72.1,2163,30
169,170,170,Brendan Steele,77,72.11,2019,28
170,171,171,Edward Loar,59,72.15,1876,26
171,172,172,"Ted Potter, Jr.",77,72.16,2742,38
172,T173,T173,Freddie Jacobson,61,72.23,2239,31
173,T173,T173,Andres Romero,68,72.23,2239,31
174,175,175,Derek Lamely,64,72.34,2098,29
175,T176,T176,David Mathis,83,72.36,2822,39
176,T176,T176,Y.E. Yang,64,72.36,2026,28
177,178,178,K.J. Choi,71,72.38,2316,32
178,179,179,Daniel Chopra,55,72.39,2027,28
179,T180,T180,Ángel Cabrera,54,72.44,1811,25
180,T180,T180,Kyle Thompson,51,72.44,1811,25
181,182,182,Hunter Haas,69,72.48,2102,29
182,183,183,Sung Kang,75,72.6,2541,35
183,184,184,Ryuji Imada,78,72.62,2469,34
184,T185,T185,Patrick Sheehan,58,72.7,1963,27
185,T185,T185,Gary Woodland,70,72.7,2690,37
186,187,187,Matt Bettencourt,80,72.83,2549,35
187,188,188,Tom Pernice Jr.,62,72.85,1894,26
188,189,189,Stephen Gangluff,57,72.89,2041,28
189,190,190,Tommy Biershenk,74,73.16,2341,32
190,191,191,Billy Hurley III,70,73.17,2195,30
