,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
118,119,119,Chad Campbell,111,16.37,65,397
119,120,120,Sergio Garcia,79,16.41,43,262
120,T121,T121,David Duval,78,16.45,50,304
121,T121,T121,Dudley Hart,88,16.45,51,310
122,123,123,Greg Chalmers,94,16.47,55,334
123,124,124,Miguel Angel Jiménez,60,16.58,31,187
124,125,125,Fred Couples,64,16.6,39,235
125,126,126,Brandel Chamblee,85,16.61,47,283
126,T127,T127,Frank Lickliter II,94,16.67,53,318
127,T127,T127,Scott McCarron,106,16.67,62,372
128,T127,T127,Dicky Pride,51,16.67,27,162
129,130,130,Kent Jones,105,16.71,60,359
130,131,131,Mathew Goggin,64,16.81,38,226
131,132,132,Lee Janzen,101,16.89,63,373
132,T133,T133,Greg Kraft,86,16.91,46,272
133,T133,T133,Hal Sutton,74,16.91,35,207
134,135,135,Notah Begay III,76,16.92,44,260
135,136,136,David Frost,90,16.96,48,283
136,137,137,Pat Bates,94,17.07,57,334
137,138,138,Brian Bateman,94,17.11,51,298
138,139,139,Chris Smith,103,17.13,61,356
139,140,140,Tom Scherrer,98,17.16,52,303
140,141,141,Phil Tataurangi,88,17.21,53,308
141,142,142,Pete Jordan,78,17.26,39,226
142,143,143,Steve Flesch,110,17.32,66,381
143,144,144,Brett Quigley,93,17.46,55,315
144,145,145,Paul Gow,99,17.51,52,297
145,146,146,Tripp Isenhour,68,17.53,44,251
146,T147,T147,Jonathan Kaye,83,17.56,49,279
147,T147,T147,Steve Pate,64,17.56,36,205
148,149,149,Michael Clark II,97,17.63,55,312
149,150,150,Mark O'Meara,68,17.73,36,203
150,151,151,Mike Weir,94,17.87,62,347
151,152,152,Paul Goydos,66,17.89,39,218
152,153,153,Jesper Parnevik,85,17.92,50,279
153,154,154,Jeff Maggert,83,17.95,49,273
154,155,155,Stephen Gangluff,75,17.98,48,267
155,156,156,Billy Mayfair,99,18.28,53,290
156,157,157,J.L. Lewis,98,18.32,70,382
157,158,158,Jerry Smith,91,18.36,47,256
158,159,159,Paul Claxton,83,18.46,48,260
159,160,160,Matt Kuchar,82,18.48,51,276
160,161,161,Dennis Paulson,89,18.6,56,301
161,162,162,Jess Daley,76,18.7,43,230
162,163,163,Franklin Langham,72,18.72,38,203
163,164,164,Jim Carter,98,18.81,60,319
164,T165,T165,Woody Austin,102,18.87,60,318
165,T165,T165,Lee Porter,91,18.87,50,265
166,T165,T165,Brian Watts,58,18.87,30,159
167,168,168,Bryce Molder,65,18.88,44,233
168,T169,T169,Carl Paulson,84,19.01,54,284
169,T169,T169,Garrett Willis,80,19.01,50,263
170,171,171,Blaine McCallister,75,19.03,43,226
171,172,172,Brad Elder,76,19.07,45,236
172,173,173,Corey Pavin,78,19.09,46,241
173,174,174,Paul Stankowski,100,19.17,69,360
174,175,175,Kaname Yokoo,74,19.49,46,236
175,176,176,Michael Muehr,73,19.71,41,208
176,177,177,Steve Stricker,68,19.75,47,238
177,178,178,Donnie Hammond,60,19.91,44,221
178,179,179,Brett Wetterich,89,20.2,62,307
179,180,180,Scott Simpson,61,20.22,36,178
180,181,181,Fulton Allem,64,20.45,36,176
181,182,182,Mike Hulbert,55,20.51,32,156
182,183,183,Edward Fryatt,94,20.54,61,297
183,184,184,Tom Lehman,78,20.75,44,212
184,185,185,Brad Lardon,59,20.86,34,163
185,186,186,Deane Pappas,90,20.92,59,282
186,187,187,Eduardo Herrera,59,21.12,34,161
187,188,188,Paul Azinger,69,21.26,44,207
188,189,189,Boo Weekley,57,21.28,40,188
189,190,190,Bob Heintz,68,21.51,54,251
190,191,191,Richard Zokol,53,21.74,30,138
191,192,192,John Daly,62,21.88,49,224
192,193,193,Craig Perks,91,21.89,65,297
193,194,194,Mark Calcavecchia,84,22.22,70,315
194,195,195,Bo Van Pelt,78,22.26,59,265
195,196,196,Jason Hill,59,22.47,40,178
196,197,197,Robin Freeman,79,22.52,59,262
197,198,198,Gary Nicklaus,66,22.78,41,180
198,199,199,Bradley Hughes,60,22.95,42,183
199,T200,T200,Brenden Pappas,62,23.24,43,185
200,T200,T200,Tommy Tolles,64,23.24,56,241
201,202,202,Scott Dunlap,74,23.62,47,199
