,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
190,191,191,Scott Simpson,61,183
191,192,192,Jason Hill,59,182
192,193,193,Fulton Allem,64,181
193,194,194,Bernhard Langer,55,175
194,T195,T195,Brad Lardon,59,170
195,T195,T195,Dicky Pride,51,170
196,T197,T197,Eduardo Herrera,59,166
197,T197,T197,Brian Watts,58,166
198,199,199,Mike Hulbert,55,157
199,200,200,José Coceres,51,151
200,201,201,Joe Ogilvie,50,149
201,202,202,Richard Zokol,53,146
