,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
37,T36,T36,Kirk Triplett,84,70.11,2664,38
38,T39,T39,Brian Gay,117,70.12,3506,50
39,T39,T39,Rocco Mediate,79,70.12,2314,33
40,T41,T41,Robert Allenby,96,70.19,2948,42
41,T41,T41,Shaun Micheel,100,70.19,3790,54
42,43,43,Donnie Hammond,60,70.21,1966,28
43,44,44,Shigeki Maruyama,87,70.22,2598,37
44,45,45,Ernie Els,68,70.23,1826,26
45,46,46,David Peoples,105,70.25,3723,53
46,T47,T47,Stuart Appleby,97,70.29,2952,42
47,T47,T47,Craig Parry,69,70.29,2179,31
48,T49,T49,Pat Bates,94,70.31,2953,42
49,T49,T49,J.P. Hayes,78,70.31,2461,35
50,T49,T49,J.L. Lewis,98,70.31,2953,42
51,T52,T52,Lee Janzen,101,70.33,3235,46
52,T52,T52,Ian Leggatt,97,70.33,3376,48
53,T52,T52,Bob Tway,103,70.33,3657,52
54,T55,T55,David Duval,78,70.34,2462,35
55,T55,T55,Brent Geiberger,95,70.34,2884,41
56,T57,T57,Stewart Cink,92,70.36,2533,36
57,T57,T57,Phil Tataurangi,88,70.36,2744,39
58,59,59,Per-Ulrik Johansson,87,70.4,2957,42
59,60,60,David Gossett,95,70.45,3311,47
60,T61,T61,Steve Lowery,98,70.48,3101,44
61,T61,T61,John Senden,96,70.48,2960,42
62,T61,T61,Esteban Toledo,106,70.48,3665,52
63,T64,T64,Glen Day,107,70.49,3313,47
64,T64,T64,Bob May,91,70.49,2890,41
65,66,66,Glen Hnatiuk,95,70.5,3102,44
66,67,67,K.J. Choi,93,70.52,3244,46
67,T68,T68,Chad Campbell,111,70.53,3879,55
68,T68,T68,Tim Petrovic,92,70.53,3033,43
69,70,70,John Riegger,88,70.55,2681,38
70,T71,T71,Jonathan Byrd,96,70.57,3458,49
71,T71,T71,Bernhard Langer,55,70.57,988,14
72,T71,T71,Billy Mayfair,99,70.57,2470,35
73,74,74,Stephen Ames,89,70.58,2682,38
74,75,75,Robert Gamez,69,70.59,2612,37
75,T76,T76,Joey Sindelar,104,70.6,3389,48
76,T76,T76,Craig Stadler,72,70.6,2118,30
77,78,78,Brandt Jobe,94,70.61,3460,49
78,79,79,Steve Stricker,68,70.62,1836,26
79,T80,T80,Jim Carter,98,70.65,2826,40
80,T80,T80,Brandel Chamblee,85,70.65,2826,40
81,T80,T80,Skip Kendall,103,70.65,3250,46
82,83,83,Fred Couples,64,70.67,1696,24
83,84,84,Steve Flesch,110,70.68,4029,57
84,85,85,Bob Burns,99,70.69,3464,49
85,86,86,Pat Perez,89,70.7,3252,46
86,87,87,Tripp Isenhour,68,70.71,2192,31
87,88,88,Cameron Beckman,87,70.72,3324,47
88,T89,T89,Jay Don Blake,107,70.73,3395,48
89,T89,T89,Peter Jacobsen,67,70.73,2334,33
90,T91,T91,Joe Durant,87,70.74,2476,35
91,T91,T91,Brett Quigley,93,70.74,2971,42
92,93,93,Steve Pate,64,70.76,2052,29
93,94,94,Tim Clark,76,70.78,2265,32
94,T95,T95,Dudley Hart,88,70.79,2761,39
95,T95,T95,John Rollins,124,70.79,4106,58
96,97,97,Paul Goydos,66,70.81,1841,26
97,98,98,Carlos Franco,107,70.85,3330,47
98,T99,T99,Briny Baird,110,70.86,3543,50
99,T99,T99,Mike Weir,94,70.86,2622,37
100,101,101,Tom Byrum,77,70.88,2410,34
101,T102,T102,Olin Browne,107,70.91,3262,46
102,T102,T102,Brad Elder,76,70.91,2411,34
103,T104,T104,"David Berganio, Jr.",80,70.92,2624,37
104,T104,T104,Robert Damron,85,70.92,2553,36
105,106,106,Brian Henninger,66,70.93,2128,30
106,107,107,José Coceres,51,70.95,1348,19
107,108,108,Hidemichi Tanaka,104,70.96,3832,54
108,109,109,Carl Paulson,84,70.97,2768,39
109,T110,T110,Bart Bryant,69,71.0,2130,30
110,T110,T110,Ben Crane,91,71.0,3266,46
111,T110,T110,Luke Donald,106,71.0,3905,55
112,113,113,Stephen Gangluff,75,71.03,2415,34
113,114,114,Heath Slocum,96,71.04,3197,45
114,115,115,Jeff Brehaut,87,71.05,2842,40
115,116,116,Kevin Sutherland,96,71.06,2558,36
116,T117,T117,Mark O'Meara,68,71.08,1848,26
117,T117,T117,Geoff Ogilvy,90,71.08,2630,37
118,T119,T119,Woody Austin,102,71.09,3128,44
119,T119,T119,Rich Beem,99,71.09,3128,44
120,T119,T119,Tom Pernice Jr.,101,71.09,3128,44
121,T122,T122,Paul Azinger,69,71.11,1991,28
122,T122,T122,Neal Lancaster,101,71.11,3271,46
123,T124,T124,Greg Chalmers,94,71.13,3201,45
124,T124,T124,J.J. Henry,112,71.13,3272,46
125,T126,T126,Notah Begay III,76,71.14,2632,37
126,T126,T126,Jay Williamson,91,71.14,3130,44
127,T128,T128,Blaine McCallister,75,71.16,2633,37
128,T128,T128,Frank Nobilo,94,71.16,3131,44
129,130,130,Brian Bateman,94,71.18,2847,40
130,131,131,Grant Waite,98,71.19,2990,42
131,T132,T132,Spike McRoy,69,71.2,2136,30
132,T132,T132,Jesper Parnevik,85,71.2,2492,35
133,134,134,Mathew Goggin,64,71.21,2065,29
134,135,135,Harrison Frazar,88,71.22,3276,46
135,136,136,Steve Allan,93,71.24,2707,38
136,137,137,Rod Pampling,98,71.25,3420,48
137,138,138,Deane Pappas,90,71.26,2708,38
138,139,139,Kent Jones,105,71.28,3350,47
139,T140,T140,Jay Haas,83,71.29,2923,41
140,T140,T140,Frank Lickliter II,94,71.29,2709,38
141,T140,T140,Rory Sabbatini,69,71.29,2424,34
142,T143,T143,David Frost,90,71.32,3138,44
143,T143,T143,Craig Perks,91,71.32,2639,37
144,T145,T145,Michael Clark II,97,71.33,2853,40
145,T145,T145,Kaname Yokoo,74,71.33,2568,36
146,T147,T147,Jeff Gove,89,71.34,3139,44
147,T147,T147,Jeff Maggert,83,71.34,2711,38
148,149,149,Mike Hulbert,55,71.35,1855,26
149,150,150,John Daly,62,71.38,1856,26
150,151,151,Steve Elkington,82,71.4,2856,40
151,152,152,Miguel Angel Jiménez,60,71.41,1928,27
152,T153,T153,Mark Calcavecchia,84,71.47,2287,32
153,T153,T153,Bryce Molder,65,71.47,2430,34
154,155,155,Paul Stankowski,100,71.48,3145,44
155,156,156,Greg Kraft,86,71.49,2645,37
156,T157,T157,Matt Gogel,79,71.5,2431,34
157,T157,T157,Andrew Magee,91,71.5,3003,42
158,T157,T157,Dicky Pride,51,71.5,1430,20
159,160,160,Matt Peterson,80,71.51,2646,37
160,161,161,Paul Gow,99,71.52,3290,46
161,162,162,Craig Barlow,62,71.57,2147,30
162,163,163,Mark Brooks,97,71.59,2792,39
163,164,164,Mike Sposa,111,71.62,3366,47
164,165,165,Tommy Tolles,64,71.67,2150,30
165,166,166,Steve Jones,71,71.68,2222,31
166,167,167,Dennis Paulson,89,71.7,3083,43
167,168,168,Russ Cochran,68,71.71,2223,31
168,169,169,Jess Daley,76,71.74,2511,35
169,170,170,Jerry Smith,91,71.77,2799,39
170,171,171,Corey Pavin,78,71.78,2297,32
171,172,172,Paul Claxton,83,71.79,2441,34
172,173,173,Kenneth Staton,104,71.81,3016,42
173,174,174,Hal Sutton,74,71.89,1941,27
174,175,175,Brian Watts,58,71.91,1654,23
175,176,176,Tommy Armour III,82,71.92,2805,39
176,T177,T177,Michael Muehr,73,71.97,2231,31
177,T177,T177,Lee Porter,91,71.97,2807,39
178,T177,T177,Tom Scherrer,98,71.97,2663,37
179,180,180,Edward Fryatt,94,72.02,3025,42
180,T181,T181,Robin Freeman,79,72.03,2161,30
181,T181,T181,Scott Simpson,61,72.03,2161,30
182,183,183,Michael Long,71,72.05,2666,37
183,184,184,Eduardo Herrera,59,72.1,2163,30
184,T185,T185,Bradley Hughes,60,72.19,1949,27
185,T185,T185,Franklin Langham,72,72.19,2310,32
186,187,187,Michael Allen,76,72.29,2530,35
187,188,188,Fulton Allem,64,72.3,2169,30
188,189,189,David Morland IV,58,72.31,2097,29
189,190,190,Brett Wetterich,89,72.33,3110,43
190,191,191,Joe Ogilvie,50,72.38,1520,21
191,192,192,Jason Hill,59,72.41,2100,29
192,193,193,Garrett Willis,80,72.42,2390,33
193,194,194,Pete Jordan,78,72.53,2611,36
194,195,195,Scott Dunlap,74,72.57,2540,35
195,T196,T196,Brad Lardon,59,72.58,1742,24
196,T196,T196,Bo Van Pelt,78,72.58,2903,40
197,198,198,Bob Heintz,68,72.64,2615,36
198,199,199,Boo Weekley,57,72.97,2262,31
199,200,200,Richard Zokol,53,73.0,1606,22
200,201,201,Gary Nicklaus,66,73.03,2264,31
201,202,202,Brenden Pappas,62,73.14,2048,28
