,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
164,165,165,Lee Porter,91,71.51,3504,49
165,166,166,Greg Kraft,86,71.53,3362,47
166,167,167,Bo Van Pelt,78,71.55,2719,38
167,168,168,Brian Bateman,94,71.57,3650,51
168,169,169,Blaine McCallister,75,71.61,2578,36
169,170,170,Brad Elder,76,71.65,2866,40
170,T171,T171,Edward Fryatt,94,71.66,3583,50
171,T171,T171,Bob Heintz,68,71.66,2293,32
172,T173,T173,Michael Allen,76,71.68,2652,37
173,T173,T173,Kaname Yokoo,74,71.68,2437,34
174,175,175,Brandel Chamblee,85,71.7,3155,44
175,176,176,Hal Sutton,74,71.71,2725,38
176,177,177,José Coceres,51,71.77,1579,22
177,178,178,Jonathan Kaye,83,71.78,2871,40
178,T179,T179,Pete Jordan,78,71.8,2872,40
179,T179,T179,Brett Wetterich,89,71.8,3159,44
180,181,181,Miguel Angel Jiménez,60,71.88,1797,25
181,182,182,Woody Austin,102,71.92,3812,53
182,183,183,Carl Paulson,84,71.93,2949,41
183,184,184,Michael Muehr,73,72.03,2737,38
184,185,185,Bradley Hughes,60,72.09,2379,33
185,186,186,Richard Zokol,53,72.1,2091,29
186,187,187,Brenden Pappas,62,72.12,2452,34
187,188,188,Gary Nicklaus,66,72.17,2526,35
188,189,189,Brett Quigley,93,72.24,3612,50
189,190,190,Scott Dunlap,74,72.29,2530,35
190,191,191,Garrett Willis,80,72.31,3254,45
191,192,192,Joe Ogilvie,50,72.34,2098,29
192,193,193,Robert Damron,85,72.41,3331,46
193,194,194,Jason Hill,59,72.43,2173,30
194,195,195,Scott Simpson,61,72.45,2246,31
195,196,196,Brian Watts,58,72.48,2247,31
196,197,197,Jerry Smith,91,72.56,3483,48
197,198,198,Deane Pappas,90,72.68,3634,50
198,199,199,Brad Lardon,59,72.71,2254,31
199,200,200,Mike Hulbert,55,72.78,1965,27
200,201,201,Fulton Allem,64,72.85,2477,34
201,202,202,Eduardo Herrera,59,73.21,2123,29
