,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
158,159,159,Spike McRoy,69,71.58,859,12
159,160,160,Michael Long,71,71.59,1217,17
160,161,161,Shaun Micheel,100,71.6,1432,20
161,162,162,Jeff Gove,89,71.65,1218,17
162,T163,T163,Brandel Chamblee,85,71.67,1075,15
163,T163,T163,Jeff Maggert,83,71.67,860,12
164,165,165,Greg Kraft,86,71.8,1436,20
165,166,166,Robin Freeman,79,71.84,1365,19
166,T167,T167,Miguel Angel Jiménez,60,71.88,575,8
167,T167,T167,Michael Muehr,73,71.88,1222,17
168,T167,T167,Gary Nicklaus,66,71.88,1150,16
169,T167,T167,Jerry Smith,91,71.88,1150,16
170,171,171,Pat Perez,89,71.89,647,9
171,T172,T172,Chris DiMarco,111,71.9,719,10
172,T172,T172,Brad Faxon,93,71.9,719,10
173,T172,T172,Stephen Gangluff,75,71.9,1510,21
174,T175,T175,Edward Fryatt,94,71.92,1870,26
175,T175,T175,Dicky Pride,51,71.92,863,12
176,177,177,Deane Pappas,90,71.96,1871,26
177,T178,T178,Brent Geiberger,95,72.0,720,10
178,T178,T178,Paul Gow,99,72.0,1728,24
179,180,180,Richard Zokol,53,72.08,937,13
180,181,181,Boo Weekley,57,72.1,721,10
181,182,182,Garrett Willis,80,72.11,649,9
182,183,183,Brenden Pappas,62,72.18,794,11
183,184,184,Kaname Yokoo,74,72.21,1011,14
184,185,185,Woody Austin,102,72.25,1734,24
185,186,186,Bradley Hughes,60,72.31,940,13
186,187,187,Brad Lardon,59,72.33,868,12
187,188,188,Eduardo Herrera,59,72.38,941,13
188,189,189,Brett Quigley,93,72.39,1303,18
189,190,190,Briny Baird,110,72.47,1087,15
190,191,191,Tommy Armour III,82,72.55,798,11
191,192,192,Jason Hill,59,72.56,1161,16
192,193,193,Dan Forsman,83,72.7,727,10
193,194,194,Scott Dunlap,74,72.75,1164,16
194,195,195,Robert Damron,85,72.81,1165,16
195,196,196,Scott Simpson,61,72.82,801,11
196,197,197,Joe Ogilvie,50,72.83,874,12
197,198,198,Fulton Allem,64,73.0,1095,15
198,199,199,Pete Jordan,78,73.06,1315,18
199,200,200,Bo Van Pelt,78,73.08,950,13
200,201,201,Mike Hulbert,55,73.18,805,11
201,202,202,Michael Allen,76,73.86,1034,14
