,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
108,T109,T109,Briny Baird,110,25.0,98,392
109,T109,T109,Fred Couples,64,25.0,33,132
110,T109,T109,Luke Donald,106,25.0,96,384
111,T109,T109,Chris Riley,104,25.0,92,368
112,113,113,Steve Stricker,68,24.84,39,157
113,114,114,Hidemichi Tanaka,104,24.72,89,360
114,T115,T115,Brian Bateman,94,24.71,86,348
115,T115,T115,Matt Gogel,79,24.71,63,255
116,117,117,David Frost,90,24.54,80,326
117,118,118,Mathew Goggin,64,24.53,52,212
118,119,119,José Coceres,51,24.5,37,151
119,120,120,Dennis Paulson,89,24.46,68,278
120,121,121,Jim Carter,98,24.44,77,315
121,122,122,Jay Don Blake,107,24.38,88,361
122,123,123,Bob Heintz,68,24.26,49,202
123,124,124,Edward Fryatt,94,24.2,68,281
124,125,125,"David Berganio, Jr.",80,24.19,75,310
125,126,126,Tom Scherrer,98,24.15,78,323
126,127,127,Robert Gamez,69,24.07,65,270
127,128,128,Blaine McCallister,75,24.0,66,275
128,129,129,Mike Sposa,111,23.93,95,397
129,130,130,David Gossett,95,23.84,87,365
130,131,131,J.J. Henry,112,23.68,94,397
131,132,132,Mark O'Meara,68,23.67,40,169
132,133,133,Stephen Gangluff,75,23.65,70,296
133,T134,T134,Corey Pavin,78,23.53,64,272
134,T134,T134,Craig Stadler,72,23.53,44,187
135,T136,T136,Per-Ulrik Johansson,87,23.45,68,290
136,T136,T136,Billy Mayfair,99,23.45,72,307
137,138,138,Michael Muehr,73,23.44,45,192
138,139,139,Mark Brooks,97,23.43,71,303
139,T140,T140,Tripp Isenhour,68,23.41,59,252
140,T140,T140,Kevin Sutherland,96,23.41,59,252
141,142,142,Jesper Parnevik,85,23.39,40,171
142,143,143,Tom Byrum,77,23.34,67,287
143,144,144,Hal Sutton,74,23.29,51,219
144,145,145,Jess Daley,76,23.22,62,267
145,146,146,Brent Geiberger,95,23.17,73,315
146,147,147,Steve Elkington,82,23.11,52,225
147,148,148,Olin Browne,107,23.1,94,407
148,149,149,Tom Lehman,78,23.08,42,182
149,150,150,Justin Leonard,97,23.05,74,321
150,151,151,Carlos Franco,107,23.0,92,400
151,152,152,Bob May,91,22.96,73,318
152,153,153,Paul Goydos,66,22.94,64,279
153,154,154,Dudley Hart,88,22.76,56,246
154,155,155,Nick Price,69,22.75,53,233
155,156,156,Woody Austin,102,22.71,77,339
156,157,157,Brad Elder,76,22.69,54,238
157,158,158,Fulton Allem,64,22.62,50,221
158,T159,T159,Len Mattiace,106,22.51,86,382
159,T159,T159,Frank Nobilo,94,22.51,79,351
160,T159,T159,David Peoples,105,22.51,86,382
161,162,162,Scott Dunlap,74,22.45,55,245
162,163,163,Neal Lancaster,101,22.4,71,317
163,164,164,Michael Clark II,97,22.38,79,353
164,T165,T165,Gary Nicklaus,66,22.32,50,224
165,T165,T165,Lee Porter,91,22.32,75,336
166,167,167,Kirk Triplett,84,22.26,59,265
167,168,168,Bob Burns,99,22.19,71,320
168,169,169,Deane Pappas,90,22.18,57,257
169,170,170,Loren Roberts,93,22.13,81,366
170,171,171,Tommy Armour III,82,22.09,57,258
171,172,172,Jeff Maggert,83,21.92,57,260
172,173,173,Steve Jones,71,21.9,46,210
173,174,174,Kenneth Staton,104,21.72,81,373
174,175,175,Heath Slocum,96,21.62,72,333
175,176,176,Glen Day,107,21.56,94,436
176,177,177,Paul Claxton,83,21.54,70,325
177,178,178,Dicky Pride,51,21.5,43,200
178,179,179,Matt Peterson,80,21.49,72,335
179,180,180,Jason Hill,59,21.47,41,191
180,181,181,Brian Watts,58,21.43,39,182
181,182,182,Kaname Yokoo,74,21.31,52,244
182,183,183,Brandel Chamblee,85,21.19,64,302
183,T184,T184,Brian Henninger,66,21.14,52,246
184,T184,T184,Richard Zokol,53,21.14,37,175
185,186,186,Bradley Hughes,60,21.13,45,213
186,187,187,Jerry Smith,91,21.09,66,313
187,188,188,Spike McRoy,69,20.95,44,210
188,189,189,Greg Kraft,86,20.75,66,318
189,190,190,Peter Jacobsen,67,20.26,47,232
190,191,191,Sergio Garcia,79,20.1,39,194
191,192,192,Esteban Toledo,106,20.06,63,314
192,193,193,Russ Cochran,68,20.0,43,215
193,194,194,Joe Ogilvie,50,19.9,39,196
194,195,195,Pete Jordan,78,19.8,59,298
195,196,196,Miguel Angel Jiménez,60,19.76,33,167
196,197,197,Franklin Langham,72,19.69,50,254
197,198,198,Bob Tway,103,19.05,60,315
198,199,199,Scott Simpson,61,19.0,42,221
199,200,200,Brad Lardon,59,18.45,38,206
200,201,201,Eduardo Herrera,59,17.96,37,206
201,202,202,Mike Hulbert,55,17.61,25,142
