,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
31,32,32,José María Olazábal,71,+.88,71.13,72.01
32,33,33,Jeff Sluman,118,+.86,70.44,71.3
33,34,34,David Duval,78,+.83,70.6,71.43
34,35,35,John Rollins,124,+.81,70.22,71.03
35,36,36,Brad Faxon,93,+.80,70.88,71.68
36,T37,T37,Lee Janzen,101,+.77,70.79,71.56
37,T37,T37,Duffy Waldorf,90,+.77,70.43,71.2
38,39,39,Stephen Ames,89,+.76,70.68,71.44
39,40,40,Kirk Triplett,84,+.75,70.46,71.21
40,T41,T41,Billy Andrade,100,+.74,70.61,71.35
41,T41,T41,Mike Weir,94,+.74,70.79,71.53
42,43,43,Jay Haas,83,+.73,70.65,71.38
43,T44,T44,Luke Donald,106,+.72,70.66,71.38
44,T44,T44,Len Mattiace,106,+.72,70.63,71.35
45,T46,T46,Glen Hnatiuk,95,+.71,70.2,70.91
46,T46,T46,Shaun Micheel,100,+.71,70.56,71.27
47,T46,T46,David Peoples,105,+.71,70.19,70.9
48,T49,T49,Dan Forsman,83,+.70,70.26,70.96
49,T49,T49,Rod Pampling,98,+.70,70.5,71.2
50,T49,T49,Phil Tataurangi,88,+.70,70.58,71.28
51,T52,T52,Stewart Cink,92,+.69,70.76,71.45
52,T52,T52,Tom Lehman,78,+.69,71.0,71.69
53,54,54,Scott McCarron,106,+.66,70.62,71.28
54,55,55,Cameron Beckman,87,+.65,70.31,70.96
55,56,56,Donnie Hammond,60,+.64,70.43,71.07
56,57,57,Tom Byrum,77,+.63,70.79,71.42
57,58,58,Tim Herron,102,+.62,70.59,71.21
58,59,59,Dudley Hart,88,+.61,70.9,71.51
59,60,60,Ian Leggatt,97,+.59,70.75,71.34
60,61,61,John Senden,96,+.57,70.55,71.12
61,62,62,Steve Stricker,68,+.56,71.13,71.69
62,T63,T63,Jonathan Byrd,96,+.53,70.39,70.92
63,T63,T63,Fred Couples,64,+.53,70.47,71.0
64,T63,T63,Bernhard Langer,55,+.53,71.48,72.01
65,66,66,Brian Gay,117,+.51,70.58,71.09
66,T67,T67,Briny Baird,110,+.50,70.76,71.26
67,T67,T67,Bart Bryant,69,+.50,70.59,71.09
68,T69,T69,Steve Elkington,82,+.48,71.19,71.67
69,T69,T69,Steve Lowery,98,+.48,70.76,71.24
70,T69,T69,Craig Parry,69,+.48,70.97,71.45
71,72,72,Robert Gamez,69,+.44,70.58,71.02
72,T73,T73,Chris Smith,103,+.43,70.72,71.15
73,T73,T73,Hidemichi Tanaka,104,+.43,70.72,71.15
74,75,75,Skip Kendall,103,+.42,70.78,71.2
75,76,76,Rory Sabbatini,69,+.41,70.94,71.35
76,77,77,John Cook,85,+.40,70.84,71.24
77,T78,T78,Rich Beem,99,+.39,70.56,70.95
78,T78,T78,Jonathan Kaye,83,+.39,71.01,71.4
79,T78,T78,J.L. Lewis,98,+.39,70.63,71.02
80,T81,T81,Pat Bates,94,+.38,70.37,70.75
81,T81,T81,Olin Browne,107,+.38,70.7,71.08
82,T83,T83,Glen Day,107,+.37,70.6,70.97
83,T83,T83,Joey Sindelar,104,+.37,70.97,71.34
84,85,85,Jim Carter,98,+.36,71.07,71.43
85,86,86,Craig Stadler,72,+.35,71.09,71.44
86,T87,T87,Chad Campbell,111,+.34,70.54,70.88
87,T87,T87,Peter Jacobsen,67,+.34,70.79,71.13
88,T87,T87,Per-Ulrik Johansson,87,+.34,70.76,71.1
89,T87,T87,Matt Kuchar,82,+.34,71.0,71.34
90,T87,T87,Billy Mayfair,99,+.34,71.06,71.4
91,92,92,Kevin Sutherland,96,+.32,71.18,71.5
92,93,93,Ben Crane,91,+.31,70.66,70.97
93,T94,T94,Bob May,91,+.30,70.58,70.88
94,T94,T94,Pat Perez,89,+.30,71.06,71.36
95,96,96,Frank Lickliter II,94,+.29,71.08,71.37
96,97,97,Mark O'Meara,68,+.28,71.44,71.72
97,98,98,Brent Geiberger,95,+.27,70.68,70.95
98,99,99,Kent Jones,105,+.26,71.07,71.33
99,T100,T100,Carlos Franco,107,+.25,70.67,70.92
100,T100,T100,Tripp Isenhour,68,+.25,70.96,71.21
101,102,102,Tim Clark,76,+.24,70.93,71.17
102,103,103,Corey Pavin,78,+.23,71.17,71.4
103,104,104,Brandt Jobe,94,+.22,70.66,70.88
104,T105,T105,Steve Allan,93,+.21,70.88,71.09
105,T105,T105,Neal Lancaster,101,+.21,71.1,71.31
106,T105,T105,Tim Petrovic,92,+.21,70.66,70.87
107,108,108,Jay Don Blake,107,+.20,70.92,71.12
108,109,109,Jesper Parnevik,85,+.19,71.42,71.61
109,110,110,Geoff Ogilvy,90,+.17,70.86,71.03
110,T111,T111,Bob Burns,99,+.16,70.68,70.84
111,T111,T111,J.P. Hayes,78,+.16,70.88,71.04
112,T113,T113,Joe Durant,87,+.15,71.01,71.16
113,T113,T113,John Riegger,88,+.15,70.63,70.78
114,T113,T113,Esteban Toledo,106,+.15,70.81,70.96
115,116,116,Mathew Goggin,64,+.12,71.14,71.26
116,117,117,Harrison Frazar,88,+.11,71.2,71.31
117,T118,T118,Mark Calcavecchia,84,+.10,71.37,71.47
118,T118,T118,Greg Chalmers,94,+.10,71.24,71.34
119,T118,T118,Jeff Maggert,83,+.10,71.51,71.61
120,121,121,Jay Williamson,91,+.08,71.07,71.15
121,122,122,Tom Pernice Jr.,101,+.07,71.24,71.31
122,123,123,J.J. Henry,112,+.05,70.98,71.03
123,124,124,Craig Barlow,62,+.03,71.03,71.06
124,125,125,Frank Nobilo,94,+.02,71.15,71.17
125,T126,T126,Paul Azinger,69,E,71.63,71.63
126,T126,T126,Dennis Paulson,89,E,71.16,71.16
127,T126,T126,Paul Stankowski,100,E,71.23,71.23
128,T129,T129,David Gossett,95,-.01,70.81,70.8
129,T129,T129,Craig Perks,91,-.01,71.72,71.71
130,131,131,Bryce Molder,65,-.03,71.14,71.11
131,132,132,David Frost,90,-.04,71.31,71.27
132,133,133,Brian Henninger,66,-.05,70.95,70.9
133,134,134,Grant Waite,98,-.07,71.05,70.98
134,135,135,"David Berganio, Jr.",80,-.08,70.85,70.77
135,136,136,Matt Gogel,79,-.09,71.43,71.34
136,137,137,Paul Goydos,66,-.10,71.38,71.28
137,138,138,Mike Sposa,111,-.13,71.07,70.94
138,139,139,Mark Brooks,97,-.14,71.56,71.42
139,140,140,Steve Pate,64,-.16,71.08,70.92
140,T141,T141,Jeff Brehaut,87,-.17,71.2,71.03
141,T141,T141,Stephen Gangluff,75,-.17,71.28,71.11
142,T141,T141,Matt Peterson,80,-.17,71.14,70.97
143,144,144,Tommy Tolles,64,-.19,71.39,71.2
144,145,145,Brett Quigley,93,-.20,71.55,71.35
145,T146,T146,Brandel Chamblee,85,-.21,71.2,70.99
146,T146,T146,Andrew Magee,91,-.21,71.11,70.9
147,148,148,Carl Paulson,84,-.23,71.57,71.34
148,149,149,Heath Slocum,96,-.27,71.51,71.24
149,150,150,Paul Claxton,83,-.29,71.54,71.25
150,151,151,Blaine McCallister,75,-.30,71.56,71.26
151,152,152,Brian Bateman,94,-.31,71.4,71.09
152,153,153,Michael Clark II,97,-.32,71.26,70.94
153,154,154,Miguel Angel Jiménez,60,-.35,71.69,71.34
154,155,155,Tom Scherrer,98,-.36,71.46,71.1
155,156,156,Dicky Pride,51,-.38,71.27,70.89
156,T157,T157,John Daly,62,-.39,71.95,71.56
157,T157,T157,Spike McRoy,69,-.39,71.58,71.19
158,T159,T159,Steve Jones,71,-.40,71.57,71.17
159,T159,T159,Franklin Langham,72,-.40,71.87,71.47
160,T161,T161,José Coceres,51,-.42,71.96,71.54
161,T161,T161,Jeff Gove,89,-.42,71.25,70.83
162,T161,T161,Hal Sutton,74,-.42,72.16,71.74
163,164,164,Tommy Armour III,82,-.47,71.6,71.13
164,165,165,Notah Begay III,76,-.48,71.08,70.6
165,166,166,Russ Cochran,68,-.51,71.45,70.94
166,167,167,Michael Long,71,-.54,71.58,71.04
167,168,168,Woody Austin,102,-.55,71.67,71.12
168,169,169,Paul Gow,99,-.56,71.59,71.03
169,170,170,Kenneth Staton,104,-.57,71.45,70.88
170,171,171,Robin Freeman,79,-.60,71.63,71.03
171,T172,T172,Jess Daley,76,-.61,71.49,70.88
172,T172,T172,Brad Elder,76,-.61,71.31,70.7
173,T172,T172,David Morland IV,58,-.61,71.5,70.89
174,T175,T175,Greg Kraft,86,-.68,71.51,70.83
175,T175,T175,Kaname Yokoo,74,-.68,71.69,71.01
176,177,177,Lee Porter,91,-.69,71.72,71.03
177,178,178,Brian Watts,58,-.76,72.24,71.48
178,179,179,Robert Damron,85,-.78,71.76,70.98
179,180,180,Michael Allen,76,-.79,72.14,71.35
180,181,181,Edward Fryatt,94,-.84,71.83,70.99
181,182,182,Michael Muehr,73,-.85,72.15,71.3
182,183,183,Brett Wetterich,89,-.88,72.06,71.18
183,184,184,Jerry Smith,91,-.96,72.21,71.25
184,185,185,Mike Hulbert,55,-.97,72.08,71.11
185,186,186,Bob Heintz,68,-.98,72.18,71.2
186,187,187,Bo Van Pelt,78,-1.01,72.08,71.07
187,T188,T188,Deane Pappas,90,-1.04,72.07,71.03
188,T188,T188,Scott Simpson,61,-1.04,72.25,71.21
189,T188,T188,Boo Weekley,57,-1.04,72.16,71.12
190,191,191,Bradley Hughes,60,-1.05,72.13,71.08
191,192,192,Scott Dunlap,74,-1.10,72.54,71.44
192,193,193,Pete Jordan,78,-1.20,72.28,71.08
193,194,194,Richard Zokol,53,-1.21,72.49,71.28
194,195,195,Fulton Allem,64,-1.23,72.59,71.36
195,196,196,Jason Hill,59,-1.27,72.42,71.15
196,T197,T197,Brad Lardon,59,-1.31,72.78,71.47
197,T197,T197,Joe Ogilvie,50,-1.31,72.36,71.05
198,199,199,Gary Nicklaus,66,-1.33,72.58,71.25
199,200,200,Brenden Pappas,62,-1.36,72.58,71.22
200,201,201,Garrett Willis,80,-1.38,72.36,70.98
201,202,202,Eduardo Herrera,59,-1.54,72.64,71.1
