,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
85,T86,T86,Paul Goydos,70.92,922,13
86,T86,T86,Brian Henninger,70.92,851,12
87,88,88,David Duval,70.93,993,14
88,89,89,Steve Allan,70.94,1135,16
89,T90,T90,Fred Couples,71.0,852,12
90,T90,T90,Mathew Goggin,71.0,852,12
91,T90,T90,Donnie Hammond,71.0,852,12
92,T90,T90,Jonathan Kaye,71.0,1065,15
93,T90,T90,Pat Perez,71.0,994,14
94,T90,T90,Phil Tataurangi,71.0,1278,18
95,T96,T96,Per-Ulrik Johansson,71.06,1137,16
96,T96,T96,J.L. Lewis,71.06,1208,17
97,T96,T96,Duffy Waldorf,71.06,1279,18
98,99,99,Michael Clark II,71.07,995,14
99,100,100,Dennis Paulson,71.08,924,13
100,T101,T101,Michael Allen,71.11,640,9
101,T101,T101,Tom Pernice Jr.,71.11,1351,19
102,T103,T103,Craig Barlow,71.13,569,8
103,T103,T103,Luke Donald,71.13,1636,23
104,105,105,Heath Slocum,71.14,996,14
105,106,106,J.J. Henry,71.15,1423,20
106,T107,T107,Jim Carter,71.16,1352,19
107,T107,T107,Len Mattiace,71.16,1779,25
108,109,109,Lee Porter,71.17,854,12
109,110,110,Frank Lickliter II,71.18,1210,17
110,111,111,Tim Herron,71.2,1424,20
111,112,112,Corey Pavin,71.21,997,14
112,113,113,Bob Burns,71.22,1282,18
113,114,114,Glen Day,71.24,1496,21
114,115,115,Steve Jones,71.27,784,11
115,116,116,Esteban Toledo,71.3,1426,20
116,117,117,Matt Peterson,71.31,927,13
117,T118,T118,Tom Byrum,71.33,1070,15
118,T118,T118,David Frost,71.33,1070,15
119,T118,T118,David Gossett,71.33,1284,18
120,121,121,Bart Bryant,71.36,999,14
121,T122,T122,Matt Gogel,71.38,928,13
122,T122,T122,Paul Gow,71.38,928,13
123,T122,T122,Jesper Parnevik,71.38,1142,16
124,T125,T125,Lee Janzen,71.4,1428,20
125,T125,T125,Bo Van Pelt,71.4,714,10
126,T127,T127,Billy Mayfair,71.41,1214,17
127,T127,T127,Scott McCarron,71.41,1571,22
128,129,129,Ian Leggatt,71.42,1357,19
129,T130,T130,Jeff Brehaut,71.43,1000,14
130,T130,T130,Mike Weir,71.43,1500,21
131,T132,T132,Carlos Franco,71.45,1572,22
132,T132,T132,Deane Pappas,71.45,786,11
133,134,134,Brandel Chamblee,71.46,929,13
134,135,135,Tom Lehman,71.47,1072,15
135,T136,T136,Bob Heintz,71.5,429,6
136,T136,T136,Skip Kendall,71.5,1430,20
137,T136,T136,Geoff Ogilvy,71.5,1144,16
138,T136,T136,Tommy Tolles,71.5,858,12
139,140,140,Mark Calcavecchia,71.53,1073,15
140,141,141,Paul Claxton,71.54,930,13
141,T142,T142,Briny Baird,71.55,1574,22
142,T142,T142,John Daly,71.55,787,11
143,T142,T142,Rory Sabbatini,71.55,787,11
144,T142,T142,Chris Smith,71.55,1431,20
145,146,146,Brandt Jobe,71.61,1289,18
146,T147,T147,Craig Parry,71.62,931,13
147,T147,T147,Mike Sposa,71.62,1504,21
148,149,149,Jay Williamson,71.63,1146,16
149,150,150,Jeff Sluman,71.65,1863,26
150,T151,T151,Paul Azinger,71.67,860,12
151,T151,T151,Harrison Frazar,71.67,1075,15
152,T151,T151,Bernhard Langer,71.67,860,12
153,T151,T151,Richard Zokol,71.67,430,6
154,155,155,Kirk Triplett,71.69,1147,16
155,T156,T156,Scott Dunlap,71.71,502,7
156,T156,T156,Grant Waite,71.71,1219,17
157,158,158,Cameron Beckman,71.72,1291,18
158,159,159,Mark Brooks,71.73,1076,15
159,160,160,Woody Austin,71.77,933,13
160,161,161,Steve Lowery,71.79,1364,19
161,162,162,Hidemichi Tanaka,71.85,1437,20
162,163,163,Bradley Hughes,71.88,575,8
163,T164,T164,Brad Faxon,72.0,1440,20
164,T164,T164,Neal Lancaster,72.0,1440,20
165,T164,T164,Blaine McCallister,72.0,648,9
166,T164,T164,David Morland IV,72.0,576,8
167,168,168,Steve Flesch,72.05,1513,21
168,169,169,Andrew Magee,72.06,1153,16
169,170,170,Tripp Isenhour,72.07,1009,14
170,171,171,Bob Tway,72.1,1514,21
171,172,172,Kent Jones,72.11,1370,19
172,173,173,Kevin Sutherland,72.12,1226,17
173,174,174,Brian Bateman,72.13,1082,15
174,175,175,Jason Hill,72.17,433,6
175,176,176,Bryce Molder,72.2,722,10
176,177,177,Carl Paulson,72.21,1011,14
177,178,178,Craig Stadler,72.33,868,12
178,179,179,Paul Stankowski,72.39,1303,18
179,180,180,Franklin Langham,72.4,724,10
180,181,181,Craig Perks,72.44,1159,16
181,182,182,Brett Quigley,72.47,1087,15
182,T183,T183,Gary Nicklaus,72.5,435,6
183,T183,T183,Scott Simpson,72.5,435,6
184,185,185,Hal Sutton,72.6,726,10
185,186,186,Tommy Armour III,72.62,944,13
186,187,187,Jerry Smith,72.64,799,11
187,188,188,Fulton Allem,72.67,436,6
188,189,189,Joe Ogilvie,72.8,364,5
189,190,190,Garrett Willis,72.85,947,13
190,191,191,Jeff Maggert,72.86,1020,14
191,192,192,Pete Jordan,72.89,656,9
192,193,193,Brenden Pappas,73.0,438,6
193,194,194,Michael Muehr,73.11,658,9
194,195,195,Eduardo Herrera,73.29,513,7
195,196,196,Russ Cochran,73.67,884,12
196,197,197,Brad Lardon,73.88,591,8
197,T198,T198,Mike Hulbert,74.0,444,6
198,T198,T198,Miguel Angel Jiménez,74.0,740,10
199,T200,T200,José Coceres,74.33,669,9
200,T200,T200,Brian Watts,74.33,446,6
201,202,202,Brett Wetterich,74.83,898,12
