,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
183,T184,T184,Tommy Tolles,20,3.08,197,64
184,T184,T184,Garrett Willis,29,3.08,240,78
185,186,186,Mike Hulbert,20,3.09,164,53
186,T187,T187,Craig Perks,28,3.1,270,87
187,T187,T187,Steve Stricker,22,3.1,195,63
188,T189,T189,John Daly,21,3.15,192,61
189,T189,T189,Pete Jordan,30,3.15,246,78
190,191,191,Scott Simpson,25,3.16,193,61
191,192,192,Kaname Yokoo,28,3.18,229,72
192,193,193,Fulton Allem,26,3.22,203,63
193,194,194,Brett Wetterich,32,3.26,284,87
194,195,195,Eduardo Herrera,23,3.27,193,59
195,196,196,Bob Heintz,28,3.28,223,68
196,197,197,Gary Nicklaus,26,3.29,217,66
197,198,198,Scott Dunlap,30,3.33,240,72
198,T199,T199,Jason Hill,24,3.34,197,59
199,T199,T199,Brenden Pappas,25,3.34,207,62
200,201,201,Bo Van Pelt,28,3.38,264,78
201,202,202,Brad Lardon,23,3.42,202,59
