,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
56,T56,T56,Craig Parry,69,15.3,190,1242
57,58,58,Tim Herron,102,15.38,274,1782
58,59,59,Grant Waite,98,15.45,267,1728
59,60,60,Kirk Triplett,84,15.47,220,1422
60,61,61,Billy Mayfair,99,15.48,262,1692
61,62,62,Jonathan Kaye,83,15.5,226,1458
62,63,63,Brian Gay,117,15.51,321,2070
63,T64,T64,Briny Baird,110,15.53,302,1944
64,T64,T64,J.J. Henry,112,15.53,302,1944
65,66,66,Per-Ulrik Johansson,87,15.58,244,1566
66,67,67,Olin Browne,107,15.6,292,1872
67,T68,T68,Brandel Chamblee,85,15.61,236,1512
68,T68,T68,Jeff Gove,89,15.61,250,1602
69,70,70,Kevin Sutherland,96,15.68,254,1620
70,T71,T71,Stephen Ames,89,15.71,246,1566
71,T71,T71,John Senden,96,15.71,263,1674
72,73,73,Jay Williamson,91,15.81,259,1638
73,74,74,Brad Faxon,93,15.82,242,1530
74,T75,T75,Joey Sindelar,104,15.85,291,1836
75,T75,T75,Hidemichi Tanaka,104,15.85,291,1836
76,T77,T77,Craig Barlow,62,15.9,166,1044
77,T77,T77,Duffy Waldorf,90,15.9,249,1566
78,79,79,John Cook,85,15.92,235,1476
79,80,80,Donnie Hammond,60,15.93,172,1080
80,81,81,Brent Geiberger,95,15.94,264,1656
81,82,82,Stuart Appleby,97,15.96,270,1692
82,83,83,Jay Don Blake,107,15.98,302,1890
83,T84,T84,Jim Carter,98,15.99,282,1764
84,T84,T84,Mark O'Meara,68,15.99,190,1188
85,86,86,Neal Lancaster,101,16.01,291,1818
86,87,87,Jonathan Byrd,96,16.02,271,1692
87,88,88,J.L. Lewis,98,16.04,283,1764
88,89,89,Bernhard Langer,55,16.05,156,972
89,90,90,Phil Tataurangi,88,16.07,243,1512
90,T91,T91,Stewart Cink,92,16.1,255,1584
91,T91,T91,Steve Elkington,82,16.1,229,1422
92,93,93,Chris Smith,103,16.11,290,1800
93,94,94,Matt Gogel,79,16.15,221,1368
94,95,95,Robert Gamez,69,16.18,201,1242
95,T96,T96,Fred Couples,64,16.2,175,1080
96,T96,T96,Dudley Hart,88,16.2,245,1512
97,98,98,Tim Clark,76,16.21,213,1314
98,99,99,David Gossett,95,16.25,272,1674
99,100,100,Rich Beem,99,16.26,278,1710
100,101,101,Shigeki Maruyama,87,16.28,255,1566
101,102,102,Mike Weir,94,16.3,270,1656
102,103,103,Tom Pernice Jr.,101,16.33,291,1782
103,104,104,Frank Nobilo,94,16.37,277,1692
104,105,105,Scott McCarron,106,16.38,289,1764
105,T106,T106,Greg Kraft,86,16.4,248,1512
106,T106,T106,Matt Kuchar,82,16.4,242,1476
107,T108,T108,José María Olazábal,71,16.41,189,1152
108,T108,T108,Dennis Paulson,89,16.41,257,1566
109,110,110,David Frost,90,16.42,266,1620
110,111,111,Steve Flesch,110,16.51,312,1890
111,112,112,J.P. Hayes,78,16.52,226,1368
112,113,113,Jeff Brehaut,87,16.54,259,1566
113,114,114,Ian Leggatt,97,16.55,277,1674
114,T115,T115,Mathew Goggin,64,16.58,191,1152
115,T115,T115,Spike McRoy,69,16.58,200,1206
116,117,117,K.J. Choi,93,16.6,266,1602
117,T118,T118,Kent Jones,105,16.61,308,1854
118,T118,T118,Tom Scherrer,98,16.61,284,1710
119,T120,T120,Billy Andrade,100,16.67,288,1728
120,T120,T120,Michael Clark II,97,16.67,285,1710
121,T120,T120,Sergio Garcia,79,16.67,216,1296
122,T120,T120,Steve Pate,64,16.67,180,1080
123,T120,T120,Craig Stadler,72,16.67,204,1224
124,125,125,Andrew Magee,91,16.73,265,1584
125,T126,T126,Jess Daley,76,16.74,229,1368
126,T126,T126,Michael Long,71,16.74,214,1278
127,128,128,David Duval,78,16.81,227,1350
128,T129,T129,Ben Crane,91,16.85,270,1602
129,T129,T129,Heath Slocum,96,16.85,279,1656
130,131,131,Harrison Frazar,88,16.92,268,1584
131,T132,T132,Russ Cochran,68,17.0,205,1206
132,T132,T132,Paul Goydos,66,17.0,202,1188
133,134,134,Lee Janzen,101,17.01,294,1728
134,135,135,Steve Lowery,98,17.03,282,1656
135,136,136,Frank Lickliter II,94,17.04,273,1602
136,137,137,Mark Brooks,97,17.08,286,1674
137,T138,T138,Stephen Gangluff,75,17.11,231,1350
138,T138,T138,Blaine McCallister,75,17.11,231,1350
139,140,140,Notah Begay III,76,17.12,228,1332
140,141,141,Jeff Maggert,83,17.14,256,1494
141,142,142,Steve Allan,93,17.16,281,1638
142,143,143,Rory Sabbatini,69,17.19,198,1152
143,T144,T144,Paul Claxton,83,17.2,257,1494
144,T144,T144,Jesper Parnevik,85,17.2,260,1512
145,146,146,Dicky Pride,51,17.21,158,918
146,147,147,Geoff Ogilvy,90,17.38,269,1548
147,148,148,Brian Bateman,94,17.4,285,1638
148,149,149,Brian Henninger,66,17.42,207,1188
149,150,150,Corey Pavin,78,17.47,239,1368
150,151,151,Paul Azinger,69,17.55,199,1134
151,152,152,Kenneth Staton,104,17.59,323,1836
152,153,153,Greg Chalmers,94,17.64,289,1638
153,154,154,Lee Porter,91,17.68,280,1584
154,155,155,Pat Perez,89,17.69,277,1566
155,156,156,David Morland IV,58,17.72,185,1044
156,157,157,Bryce Molder,65,17.81,202,1134
157,158,158,Tripp Isenhour,68,17.89,219,1224
158,T159,T159,José Coceres,51,17.97,165,918
159,T159,T159,Steve Jones,71,17.97,220,1224
160,161,161,Miguel Angel Jiménez,60,18.01,188,1044
161,162,162,Paul Gow,99,18.06,312,1728
162,163,163,Brad Elder,76,18.17,242,1332
163,164,164,Brian Watts,58,18.21,177,972
164,165,165,Brett Quigley,93,18.24,302,1656
165,T166,T166,Woody Austin,102,18.29,326,1782
166,T166,T166,Robert Damron,85,18.29,270,1476
167,168,168,Franklin Langham,72,18.36,228,1242
168,169,169,Carl Paulson,84,18.43,272,1476
169,170,170,Hal Sutton,74,18.49,243,1314
170,171,171,Tommy Armour III,82,18.59,271,1458
171,172,172,Paul Stankowski,100,18.71,330,1764
172,173,173,Steve Stricker,68,18.78,213,1134
173,174,174,Jerry Smith,91,18.9,296,1566
174,175,175,Edward Fryatt,94,18.96,314,1656
175,176,176,Mike Hulbert,55,18.97,181,954
176,T177,T177,Michael Allen,76,18.99,253,1332
177,T177,T177,Mark Calcavecchia,84,18.99,270,1422
178,179,179,Robin Freeman,79,19.04,257,1350
179,180,180,Bradley Hughes,60,19.07,206,1080
180,181,181,Craig Perks,91,19.28,302,1566
181,182,182,Michael Muehr,73,19.33,247,1278
182,183,183,Tommy Tolles,64,19.36,223,1152
183,184,184,Pete Jordan,78,19.37,272,1404
184,185,185,Richard Zokol,53,19.39,178,918
185,186,186,Scott Simpson,61,19.4,213,1098
186,187,187,Boo Weekley,57,19.49,200,1026
187,188,188,Fulton Allem,64,19.53,225,1152
188,189,189,Deane Pappas,90,19.63,311,1584
189,190,190,Kaname Yokoo,74,19.68,255,1296
190,191,191,Gary Nicklaus,66,20.2,240,1188
191,192,192,Joe Ogilvie,50,20.33,183,900
192,193,193,Garrett Willis,80,20.66,290,1404
193,194,194,Eduardo Herrera,59,20.81,221,1062
194,195,195,Scott Dunlap,74,20.83,270,1296
195,196,196,Jason Hill,59,21.09,224,1062
196,197,197,John Daly,62,21.13,232,1098
197,198,198,Brett Wetterich,89,21.2,332,1566
198,199,199,Brenden Pappas,62,21.24,237,1116
199,200,200,Bo Van Pelt,78,21.51,302,1404
200,201,201,Brad Lardon,59,21.75,231,1062
201,202,202,Bob Heintz,68,21.9,268,1224
