,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
58,59,59,David Peoples,105,21.43,405,1890,23
59,60,60,Joey Sindelar,104,21.41,393,1836,24
60,61,61,Pat Bates,94,21.37,350,1638,49
61,62,62,Chad Campbell,111,21.36,419,1962,21
62,63,63,Donnie Hammond,60,21.3,230,1080,53
63,64,64,Joel Edwards,101,21.29,387,1818,37
64,65,65,John Cook,85,21.27,314,1476,44
65,66,66,Brian Gay,117,21.26,440,2070,129
66,67,67,Sergio Garcia,79,21.22,275,1296,130
67,T68,T68,Stewart Cink,92,21.21,336,1584,66
68,T68,T68,David Gossett,95,21.21,355,1674,36
69,70,70,Rory Sabbatini,69,21.18,244,1152,79
70,T71,T71,Bart Bryant,69,21.13,251,1188,12
71,T71,T71,Nick Price,69,21.13,251,1188,134
72,73,73,Shigeki Maruyama,87,21.07,330,1566,148
73,74,74,Frank Lickliter II,94,21.04,337,1602,60
74,75,75,Craig Stadler,72,21.0,257,1224,89
75,76,76,Brett Wetterich,89,20.95,328,1566,139
76,77,77,Olin Browne,107,20.94,392,1872,113
77,78,78,Jerry Kelly,99,20.86,368,1764,59
78,T79,T79,Briny Baird,110,20.83,405,1944,54
79,T79,T79,Harrison Frazar,88,20.83,330,1584,132
80,81,81,Stephen Gangluff,75,20.81,281,1350,155
81,82,82,Notah Begay III,76,20.8,277,1332,73
82,83,83,Scott Hoch,71,20.79,262,1260,115
83,84,84,Stephen Ames,89,20.75,325,1566,82
84,T85,T85,Carlos Franco,107,20.74,392,1890,41
85,T85,T85,Skip Kendall,103,20.74,377,1818,161
86,T85,T85,John Riegger,88,20.74,321,1548,17
87,T88,T88,Glen Day,107,20.71,384,1854,58
88,T88,T88,Tim Herron,102,20.71,369,1782,109
89,T90,T90,Bob Estes,93,20.69,324,1566,11
90,T90,T90,Brandt Jobe,94,20.69,350,1692,26
91,92,92,Shaun Micheel,100,20.68,361,1746,4
92,93,93,Jeff Sluman,118,20.66,435,2106,22
93,94,94,Brad Faxon,93,20.65,316,1530,154
94,95,95,Hidemichi Tanaka,104,20.64,379,1836,69
95,96,96,Brent Geiberger,95,20.59,341,1656,64
96,97,97,Robert Damron,85,20.53,303,1476,179
97,98,98,Andrew Magee,91,20.52,325,1584,160
98,99,99,Dennis Paulson,89,20.5,321,1566,118
99,100,100,Mathew Goggin,64,20.4,235,1152,103
100,101,101,Jay Haas,83,20.39,290,1422,156
101,T102,T102,Jay Don Blake,107,20.37,385,1890,140
102,T102,T102,Brian Henninger,66,20.37,242,1188,102
103,T102,T102,Per-Ulrik Johansson,87,20.37,319,1566,92
104,105,105,Luke Donald,106,20.35,381,1872,27
105,106,106,Bob Burns,99,20.31,351,1728,91
106,T107,T107,Robin Freeman,79,20.3,274,1350,96
107,T107,T107,Bo Van Pelt,78,20.3,285,1404,128
108,109,109,Craig Parry,69,20.29,252,1242,46
109,110,110,Kent Jones,105,20.28,376,1854,121
110,111,111,Glen Hnatiuk,95,20.25,339,1674,15
111,112,112,David Morland IV,58,20.21,211,1044,167
112,T113,T113,Carl Paulson,84,20.19,298,1476,123
113,T113,T113,Loren Roberts,93,20.19,338,1674,35
114,115,115,Craig Perks,91,20.18,316,1566,186
115,116,116,Brett Quigley,93,20.17,334,1656,168
116,T117,T117,Tom Pernice Jr.,101,20.09,358,1782,123
117,T117,T117,Bob Tway,103,20.09,358,1782,38
118,119,119,Len Mattiace,106,20.07,383,1908,94
119,120,120,Bob May,91,20.04,321,1602,33
120,121,121,Tim Petrovic,92,19.98,320,1602,61
121,122,122,Steve Pate,64,19.91,215,1080,20
122,123,123,Boo Weekley,57,19.88,204,1026,90
123,124,124,Matt Kuchar,82,19.85,293,1476,138
124,125,125,Frank Nobilo,94,19.8,335,1692,115
125,126,126,Brian Bateman,94,19.78,324,1638,93
126,127,127,Jim Furyk,88,19.74,302,1530,2
127,T128,T128,Craig Barlow,62,19.73,206,1044,80
128,T128,T128,Jeff Brehaut,87,19.73,309,1566,56
129,T130,T130,Paul Azinger,69,19.66,223,1134,185
130,T130,T130,Garrett Willis,80,19.66,276,1404,172
131,132,132,Jonathan Kaye,83,19.62,286,1458,111
132,133,133,Brandel Chamblee,85,19.58,296,1512,103
133,134,134,Jesper Parnevik,85,19.51,295,1512,126
134,135,135,Kenneth Staton,104,19.5,358,1836,50
135,136,136,Neal Lancaster,101,19.47,354,1818,137
136,137,137,José María Olazábal,71,19.44,224,1152,191
137,138,138,Jay Williamson,91,19.35,317,1638,101
138,T139,T139,"David Berganio, Jr.",80,19.34,275,1422,32
139,T139,T139,Jeff Maggert,83,19.34,289,1494,141
140,T139,T139,Esteban Toledo,106,19.34,355,1836,125
141,142,142,Grant Waite,98,19.33,334,1728,97
142,143,143,Michael Clark II,97,19.3,330,1710,99
143,144,144,Kaname Yokoo,74,19.29,250,1296,199
144,145,145,Paul Goydos,66,19.28,229,1188,152
145,146,146,Edward Fryatt,94,19.2,318,1656,165
146,147,147,Matt Gogel,79,19.15,262,1368,162
147,148,148,Brad Elder,76,19.14,255,1332,153
148,149,149,Greg Kraft,86,19.11,289,1512,169
149,150,150,Peter Jacobsen,67,19.07,230,1206,75
150,151,151,Heath Slocum,96,18.96,314,1656,117
151,152,152,Michael Long,71,18.94,242,1278,62
152,153,153,Deane Pappas,90,18.9,296,1566,188
153,154,154,Tom Scherrer,98,18.83,322,1710,120
154,155,155,Jim Carter,98,18.82,332,1764,158
155,156,156,Tommy Armour III,82,18.79,274,1458,133
156,157,157,David Frost,90,18.77,304,1620,174
157,158,158,Woody Austin,102,18.74,334,1782,180
158,159,159,Corey Pavin,78,18.71,256,1368,196
159,160,160,Joe Durant,87,18.67,289,1548,9
160,161,161,Russ Cochran,68,18.66,225,1206,108
161,162,162,Steve Elkington,82,18.64,265,1422,173
162,163,163,Dicky Pride,51,18.63,171,918,47
163,164,164,Tom Byrum,77,18.61,258,1386,87
164,165,165,Jeff Gove,89,18.6,298,1602,72
165,T166,T166,Paul Gow,99,18.58,321,1728,112
166,T166,T166,Kevin Sutherland,96,18.58,301,1620,43
167,168,168,Paul Claxton,83,18.54,277,1494,143
168,169,169,Mark Brooks,97,18.52,310,1674,170
169,170,170,Miguel Angel Jiménez,60,18.49,193,1044,178
170,171,171,Billy Mayfair,99,18.38,311,1692,76
171,T172,T172,Mark O'Meara,68,18.35,218,1188,142
172,T172,T172,Mike Sposa,111,18.35,360,1962,131
173,174,174,Bernhard Langer,55,18.31,178,972,146
174,175,175,Steve Jones,71,18.3,224,1224,149
175,176,176,Bradley Hughes,60,18.24,197,1080,45
176,177,177,Tom Lehman,78,18.02,227,1260,8
177,T178,T178,J.J. Henry,112,18.0,350,1944,30
178,T178,T178,Blaine McCallister,75,18.0,243,1350,77
179,180,180,Lee Porter,91,17.87,283,1584,175
180,181,181,Matt Peterson,80,17.85,257,1440,57
181,182,182,Jess Daley,76,17.84,244,1368,149
182,183,183,Brenden Pappas,62,17.83,199,1116,158
183,184,184,Michael Muehr,73,17.76,227,1278,184
184,185,185,Spike McRoy,69,17.74,214,1206,82
185,186,186,Michael Allen,76,17.72,236,1332,192
186,187,187,Jason Hill,59,17.61,187,1062,119
187,188,188,Brian Watts,58,17.39,169,972,189
188,189,189,Franklin Langham,72,17.31,215,1242,177
189,190,190,Jerry Smith,91,17.24,270,1566,190
190,191,191,Joe Ogilvie,50,17.22,155,900,200
191,T192,T192,José Coceres,51,16.88,155,918,198
192,T192,T192,Mike Hulbert,55,16.88,161,954,193
193,T192,T192,Pete Jordan,78,16.88,237,1404,182
194,195,195,Scott Simpson,61,16.76,184,1098,197
195,196,196,Scott Dunlap,74,16.67,216,1296,110
196,197,197,Hal Sutton,74,16.51,217,1314,95
197,198,198,Brad Lardon,59,16.38,174,1062,145
198,199,199,Richard Zokol,53,16.23,149,918,194
199,200,200,Eduardo Herrera,59,16.2,172,1062,201
200,201,201,Gary Nicklaus,66,16.16,192,1188,175
201,202,202,Fulton Allem,64,15.96,181,1134,181
