,Consecutive_Holes_Below_Par_RANK THIS WEEK,Consecutive_Holes_Below_Par_RANK LAST WEEK,Consecutive_Holes_Below_Par_PLAYER NAME,Consecutive_Holes_Below_Par_EVENTS,Consecutive_Holes_Below_Par_NUMBER OF HOLES
392,T316,T316,Sandy Lyle,3,2
393,T316,T316,Curtis Malm,1,2
394,T316,T316,Roger Maltbie,1,2
395,T316,T316,Eric Manning,1,2
396,T316,T316,Kevin Marsh,1,2
397,T316,T316,Andrew Marshall,1,2
398,T316,T316,Blaine McCallister,10,2
399,T316,T316,Brian McCann,1,2
400,T316,T316,Jim McGovern,8,2
401,T316,T316,Spike McRoy,9,2
402,T316,T316,Scott Miller,3,2
403,T316,T316,Colin Montgomerie,8,2
404,T316,T316,Will Moore,2,2
405,T316,T316,John Morgan,1,2
406,T316,T316,David Morland IV,1,2
407,T316,T316,John Morse,1,2
408,T316,T316,Toshinori Muto,1,2
409,T316,T316,Chris Nallen,1,2
410,T316,T316,Mac O'Grady,1,2
411,T316,T316,David Oh,2,2
412,T316,T316,Louis Oosthuizen,2,2
413,T316,T316,John Panek,1,2
414,T316,T316,Scott Parel,1,2
415,T316,T316,Chris Parra,1,2
416,T316,T316,Steve Pate,2,2
417,T316,T316,Chris Perry,3,2
418,T316,T316,Mark Pilkington,1,2
419,T316,T316,Vinnie Poncino,1,2
420,T316,T316,Jyoti Randhawa,2,2
421,T316,T316,Sam Randolph,1,2
422,T316,T316,Stephen Reed,1,2
423,T316,T316,Lee Rinker,2,2
424,T316,T316,Loren Roberts,4,2
425,T316,T316,Robert Rock,1,2
426,T316,T316,David Roesch,1,2
427,T316,T316,Tony Rohlik,2,2
428,T316,T316,Tim Ruddo,1,2
429,T316,T316,Brett Rumford,1,2
430,T316,T316,Dave Rummells,1,2
431,T316,T316,David Sanchez,1,2
432,T316,T316,Tom Scherrer,4,2
433,T316,T316,Phil Schmitt,2,2
434,T316,T316,Steve Schneiter,2,2
435,T316,T316,Alan Schulte,1,2
436,T316,T316,Cary Sciorra,1,2
437,T316,T316,Paul Sheehan,1,2
438,T316,T316,Scott Simpson,1,2
439,T316,T316,Webb Simpson,1,2
440,T316,T316,Jeev Milkha Singh,3,2
441,T316,T316,Sonny Skinner,1,2
442,T316,T316,David Smail,1,2
443,T316,T316,Mike Small,9,2
444,T316,T316,Mick Soli,1,2
445,T316,T316,Mike Springer,6,2
446,T316,T316,Mike Standly,1,2
447,T316,T316,Chris Starkjohann,1,2
448,T316,T316,Chip Sullivan,1,2
449,T316,T316,Roland Thatcher,1,2
450,T316,T316,Craig Thomas,1,2
451,T316,T316,Marius Thorp,1,2
452,T316,T316,Jeremy Tucker,1,2
453,T316,T316,Brett Wayment,1,2
