,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
119,120,,Jim Furyk,86,74.44,600,806
120,121,,Retief Goosen,74,74.42,451,606
121,T122,,Brad Adamonis,70,74.4,401,539
122,T122,,Brian Davis,103,74.4,686,922
123,124,,Mike Weir,85,74.39,552,742
124,125,,Anthony Kim,76,74.37,415,558
125,126,,Kris Blanks,60,74.35,371,499
126,T127,,Ben Crane,93,74.26,652,878
127,T127,,John Rollins,92,74.26,600,808
128,129,,Padraig Harrington,66,74.25,372,501
129,130,,Justin Rose,71,74.17,471,635
130,131,,Chez Reavie,81,74.14,562,758
131,T132,,Ken Duke,87,74.11,561,757
132,T132,,Todd Hamilton,83,74.11,541,730
133,134,,Billy Mayfair,83,74.07,600,810
134,135,,Jason Gore,74,74.02,470,635
135,136,,Patrick Sheehan,51,74.0,313,423
136,137,,Colt Knost,71,73.98,452,611
137,138,,Vaughn Taylor,88,73.97,577,780
138,T139,,Tommy Armour III,58,73.96,409,553
139,T139,,Nathan Green,104,73.96,625,845
140,141,,Derek Fathauer,63,73.94,332,449
141,142,,Pat Perez,74,73.89,467,632
142,143,,Jeff Quinney,78,73.88,543,735
143,144,,Ángel Cabrera,55,73.78,287,389
144,145,,Ben Curtis,63,73.67,414,562
145,T146,,David Mathis,82,73.56,484,658
146,T146,,Rick Price,54,73.56,331,450
147,148,,Woody Austin,84,73.46,548,746
148,149,,John Mallinger,90,73.45,603,821
149,150,,Matt Kuchar,82,73.44,553,753
150,151,,Alex Cejka,82,73.43,550,749
151,152,,Richard Johnson,85,73.42,591,805
152,153,,Joe Ogilvie,85,73.41,486,662
153,154,,Peter Lonard,86,73.39,557,759
154,155,,Jerry Kelly,90,73.38,543,740
155,156,,Peter Tomasulo,61,73.36,358,488
156,157,,Brendon Todd,53,73.24,323,441
157,158,,Brandt Snedeker,81,73.14,550,752
158,159,,Cliff Kresge,78,73.09,478,654
159,160,,Stewart Cink,79,73.04,439,601
160,161,,Scott McCarron,91,72.98,678,929
161,162,,Lee Janzen,74,72.84,429,589
162,163,,Ryuji Imada,85,72.68,532,732
163,164,,Webb Simpson,94,72.6,567,781
164,165,,Chris Riley,77,72.56,513,707
165,166,,Tom Pernice Jr.,82,72.37,529,731
166,167,,Brian Vranesh,51,72.36,301,416
167,168,,Kirk Triplett,60,72.26,435,602
168,169,,Brian Gay,96,72.23,671,929
169,170,,Freddie Jacobson,83,72.22,481,666
170,171,,Daniel Chopra,89,72.07,516,716
171,172,,Aaron Baddeley,66,71.98,370,514
172,173,,Jason Day,61,71.91,320,445
173,174,,Leif Olson,51,71.9,261,363
174,175,,Greg Kraft,51,71.84,301,419
175,176,,Marc Turnesa,77,71.45,508,711
176,177,,Parker McLachlin,71,71.38,384,538
177,178,,Bart Bryant,58,71.11,384,540
178,179,,Eric Axley,71,71.1,337,474
179,180,,Corey Pavin,73,70.94,454,640
180,181,,Paul Goydos,79,70.89,526,742
181,182,,Ian Poulter,59,70.84,362,511
182,183,,Mark Brooks,55,70.35,325,462
183,184,,Brad Faxon,59,66.18,319,482
