,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
73,74,74,Scott Piercy,85,66.19,965,1458,-0.28
74,75,75,Vijay Singh,71,66.18,822,1242,-0.23
75,76,76,Y.E. Yang,83,66.17,941,1422,-0.27
76,77,77,Ryan Moore,89,66.14,1012,1530,-0.28
77,78,78,Nick Watney,86,66.09,1023,1548,-0.3
78,79,79,Ernie Els,70,66.08,785,1188,-0.25
79,80,80,Dustin Johnson,85,66.07,999,1512,-0.31
80,81,81,K.J. Choi,65,66.06,761,1152,-0.23
81,82,82,Brett Quigley,92,66.01,998,1512,-0.26
82,T83,T83,Chez Reavie,81,65.95,914,1386,-0.24
83,T83,T83,Justin Rose,71,65.95,831,1260,-0.27
84,85,85,Rod Pampling,72,65.88,842,1278,-0.26
85,86,86,Aron Price,89,65.71,958,1458,-0.23
86,87,87,Harrison Frazar,93,65.67,1052,1602,-0.31
87,88,88,Lucas Glover,93,65.65,1099,1674,-0.28
88,89,89,Johnson Wagner,81,65.64,957,1458,-0.26
89,T90,T90,Rocco Mediate,79,65.63,886,1350,-0.22
90,T90,T90,Darron Stiles,52,65.63,567,864,-0.22
91,T90,T90,Matt Weibring,65,65.63,697,1062,-0.28
92,T93,T93,Mathew Goggin,76,65.62,874,1332,-0.25
93,T93,T93,Jason Gore,74,65.62,815,1242,-0.23
94,95,95,Sergio Garcia,59,65.61,685,1044,-0.26
95,T96,T96,Kent Jones,73,65.56,767,1170,-0.22
96,T96,T96,Rory Sabbatini,81,65.56,944,1440,-0.28
97,T98,T98,Cameron Beckman,87,65.53,979,1494,-0.24
98,T98,T98,Jim Furyk,86,65.53,979,1494,-0.29
99,T100,T100,Mark Calcavecchia,72,65.51,849,1296,-0.25
100,T100,T100,Greg Chalmers,85,65.51,908,1386,-0.3
101,102,102,Tim Petrovic,97,65.44,1119,1710,-0.26
102,103,103,Richard Johnson,85,65.41,989,1512,-0.25
103,T104,T104,Scott McCarron,91,65.38,1071,1638,-0.27
104,T104,T104,Ryan Palmer,78,65.38,918,1404,-0.27
105,106,106,Woody Austin,84,65.34,988,1512,-0.26
106,107,107,Gary Woodland,53,65.13,551,846,-0.24
107,108,108,Jarrod Lyle,65,65.11,668,1026,-0.22
108,109,109,Dean Wilson,81,65.01,901,1386,-0.28
109,110,110,Vaughn Taylor,88,64.95,982,1512,-0.3
110,111,111,John Merrick,91,64.93,970,1494,-0.28
111,112,112,Andres Romero,58,64.91,666,1026,-0.28
112,113,113,Ben Crane,93,64.87,1086,1674,-0.28
113,114,114,Peter Lonard,86,64.84,957,1476,-0.21
114,T115,T115,John Mallinger,90,64.79,1003,1548,-0.27
115,T115,T115,Chris Riley,77,64.79,828,1278,-0.28
116,117,117,Jason Day,61,64.78,618,954,-0.3
117,118,118,Tom Pernice Jr.,82,64.77,956,1476,-0.25
118,119,119,Brian Bateman,55,64.75,641,990,-0.23
119,120,120,Charlie Wi,92,64.73,1072,1656,-0.3
120,T121,T121,Brian Davis,103,64.65,1152,1782,-0.29
121,T121,T121,Bob Heintz,59,64.65,640,990,-0.28
122,T121,T121,Peter Tomasulo,61,64.65,640,990,-0.23
123,124,124,Jerry Kelly,90,64.63,954,1476,-0.29
124,125,125,Chris DiMarco,97,64.58,1081,1674,-0.25
125,126,126,Michael Letzig,96,64.43,1067,1656,-0.28
126,127,127,Phil Mickelson,66,64.29,729,1134,-0.31
127,128,128,Geoff Ogilvy,78,64.27,833,1296,-0.29
128,T129,T129,Ben Curtis,63,64.25,717,1116,-0.23
129,T129,T129,Bob Estes,78,64.25,902,1404,-0.27
130,131,131,Kevin Na,91,64.24,1006,1566,-0.29
131,T132,T132,Matt Kuchar,82,64.23,948,1476,-0.28
132,T132,T132,Bubba Watson,73,64.23,844,1314,-0.3
133,134,134,John Rollins,92,64.2,1017,1584,-0.27
134,135,135,Steve Lowery,83,64.12,958,1494,-0.26
135,136,136,Lee Janzen,74,64.05,784,1224,-0.26
136,137,137,Mark Brooks,55,63.95,541,846,-0.21
137,T138,T138,Tim Herron,87,63.92,1001,1566,-0.26
138,T138,T138,Brandt Snedeker,81,63.92,886,1386,-0.27
139,140,140,Brian Vranesh,51,63.83,540,846,-0.22
140,141,141,Cliff Kresge,78,63.81,827,1296,-0.24
141,142,142,George McNeill,82,63.68,917,1440,-0.28
142,143,143,Todd Hamilton,83,63.65,928,1458,-0.24
143,144,144,Stewart Cink,79,63.47,834,1314,-0.26
144,145,145,Paul Goydos,79,63.42,879,1386,-0.27
145,146,146,Jeff Quinney,78,63.39,890,1404,-0.27
146,147,147,James Nitties,86,63.35,935,1476,-0.28
147,148,148,Freddie Jacobson,83,63.31,923,1458,-0.27
148,149,149,Jimmy Walker,74,63.24,774,1224,-0.28
149,150,150,Stuart Appleby,79,63.18,887,1404,-0.22
150,151,151,Pat Perez,74,63.12,818,1296,-0.29
151,152,152,Daniel Chopra,89,63.11,1011,1602,-0.31
152,153,153,Ken Duke,87,63.09,988,1566,-0.23
153,154,154,David Mathis,82,63.08,863,1368,-0.24
154,155,155,Matt Bettencourt,98,63.04,1112,1764,-0.27
155,156,156,Mike Weir,85,63.03,953,1512,-0.28
156,157,157,Luke Donald,79,63.01,862,1368,-0.29
157,T158,T158,Brad Adamonis,70,62.99,771,1224,-0.23
158,T158,T158,Corey Pavin,73,62.99,737,1170,-0.27
159,T158,T158,Marc Turnesa,77,62.99,873,1386,-0.2
160,161,161,Nathan Green,104,62.89,1132,1800,-0.25
161,162,162,Adam Scott,53,62.82,588,936,-0.22
162,163,163,Bart Bryant,58,62.76,610,972,-0.24
163,164,164,Anthony Kim,76,62.69,835,1332,-0.33
164,165,165,Greg Kraft,51,62.65,530,846,-0.18
165,166,166,Webb Simpson,94,62.59,1059,1692,-0.28
166,167,167,Carl Pettersson,86,62.53,968,1548,-0.26
167,168,168,Brian Gay,96,62.44,1034,1656,-0.28
168,169,169,Ángel Cabrera,55,62.35,606,972,-0.27
169,170,170,Retief Goosen,74,62.33,819,1314,-0.28
170,171,171,Joe Ogilvie,85,62.32,931,1494,-0.3
171,T172,T172,Ryuji Imada,85,61.44,940,1530,-0.26
172,T172,T172,Brendon Todd,53,61.44,564,918,-0.19
173,174,174,Jeff Overton,92,61.43,973,1584,-0.28
174,175,175,Padraig Harrington,66,61.2,716,1170,-0.26
175,176,176,J.B. Holmes,74,61.19,815,1332,-0.26
176,177,177,Leif Olson,51,61.11,517,846,-0.25
177,178,178,Ian Poulter,59,61.01,615,1008,-0.26
178,179,179,David Duval,56,60.91,614,1008,-0.28
179,180,180,Derek Fathauer,63,60.33,619,1026,-0.26
180,181,181,Aaron Baddeley,66,59.57,697,1170,-0.31
181,182,182,Parker McLachlin,71,58.37,746,1278,-0.26
182,183,183,Eric Axley,71,57.3,691,1206,-0.24
183,184,184,Brad Faxon,59,52.35,556,1062,-0.25
