,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
28,29,29,Sean O'Hair,81,62.96,272379.1,432623
29,30,30,Lucas Glover,91,62.95,332394.8,528048
30,31,31,Kenny Perry,97,62.9,367654.9,584463
31,32,32,Nicholas Thompson,113,62.82,383944.5,611183
32,33,33,Brenden Pappas,66,62.77,222835.8,355001
33,34,34,Rory Sabbatini,77,62.76,253932.0,404629
34,35,35,John Huston,56,62.73,195275.2,311278
35,36,36,Boo Weekley,86,62.72,257961.4,411311
36,37,37,Brandt Jobe,52,62.66,186311.4,297360
37,38,38,Pat Perez,93,62.61,315181.5,503368
38,39,39,Steve Marino,119,62.6,414095.8,661500
39,40,40,Tim Herron,97,62.58,344010.7,549718
40,41,41,Charles Howell III,101,62.56,350219.1,559774
41,42,42,D.J. Trahan,94,62.55,309466.0,494741
42,43,43,Mathias Grönberg,87,62.52,314352.3,502824
43,44,44,George McNeill,97,62.51,358511.3,573486
44,45,45,Troy Matteson,94,62.48,354733.1,567787
45,T46,T46,Ted Purdy,68,62.47,234309.9,375088
46,T46,T46,Kevin Stadler,90,62.47,292561.5,468313
47,48,48,Stewart Cink,87,62.46,256162.5,410100
48,49,49,Joe Ogilvie,100,62.44,345276.5,552950
49,50,50,Ryan Palmer,69,62.4,237929.2,381302
50,51,51,Michael Letzig,88,62.38,293030.0,469766
51,52,52,Mark Hensby,71,62.37,254386.3,407868
52,53,53,Matt Jones,95,62.36,334350.8,536182
53,T54,T54,Padraig Harrington,52,62.34,128555.1,206228
54,T54,T54,John Merrick,98,62.34,306479.5,491647
55,T56,T56,James Driscoll,85,62.33,300213.9,481636
56,T56,T56,Mathew Goggin,91,62.33,325149.9,521625
57,58,58,Jason Gore,94,62.32,336709.1,540256
58,59,59,Bo Van Pelt,101,62.31,367253.1,589407
59,T60,T60,Sergio Garcia,72,62.29,223670.6,359064
60,T60,T60,John Riegger,73,62.29,253039.8,406222
61,62,62,Steve Lowery,74,62.25,265726.4,426864
62,63,63,Brad Adamonis,87,62.22,300549.0,483023
63,64,64,Jon Mills,95,62.19,307356.2,494251
64,65,65,Nick Flanagan,89,62.17,314975.2,506666
65,T66,T66,Bob Sowards,61,62.16,205250.2,330199
66,T66,T66,Camilo Villegas,79,62.16,251006.2,403794
67,68,68,Todd Demsey,80,61.99,280140.9,451948
68,69,69,Paul Casey,55,61.92,142314.8,229835
69,70,70,Jimmy Walker,73,61.9,243556.0,393455
70,71,71,Kevin Sutherland,98,61.88,347167.5,561005
71,72,72,Hunter Mahan,87,61.83,285309.3,461461
72,73,73,Geoff Ogilvy,65,61.8,193978.3,313876
73,74,74,J.J. Henry,108,61.72,389593.7,631229
74,75,75,David Toms,70,61.71,218238.8,353662
75,76,76,Stuart Appleby,87,61.69,265024.2,429574
76,T77,T77,Tommy Armour III,77,61.65,257124.1,417083
77,T77,T77,Aaron Baddeley,76,61.65,238559.1,386928
78,T77,T77,Kyle Thompson,70,61.65,223616.0,362744
79,80,80,Ernie Els,51,61.64,141878.7,230169
80,81,81,Jeff Maggert,86,61.59,309995.2,503356
81,T82,T82,Woody Austin,109,61.52,347019.0,564045
82,T82,T82,John Rollins,94,61.52,311232.8,505919
83,84,84,Brad Elder,67,61.51,210272.6,341844
84,85,85,Rod Pampling,83,61.5,267055.6,434254
85,86,86,Chad Campbell,94,61.48,331433.1,539108
86,T87,T87,Cody Freeman,66,61.47,215853.3,351177
87,T87,T87,Chris Stroud,81,61.47,258175.3,420003
88,89,89,Ryan Moore,72,61.46,246847.9,401623
89,90,90,John Senden,93,61.45,321331.0,522943
90,91,91,Mark Calcavecchia,67,61.43,211753.6,344709
91,92,92,Rich Beem,90,61.42,310339.2,505264
92,93,93,Charlie Wi,97,61.41,342148.9,557156
93,T94,T94,Ben Curtis,80,61.39,246797.4,402022
94,T94,T94,Mike Weir,88,61.39,259953.4,423461
95,T96,T96,Ryan Armour,87,61.38,296204.6,482553
96,T96,T96,Frank Lickliter II,107,61.38,389793.9,635038
97,T96,T96,Parker McLachlin,88,61.38,309501.1,504269
98,99,99,Vaughn Taylor,103,61.37,367883.2,599422
99,T100,T100,Joe Durant,92,61.27,308252.6,503106
100,T100,T100,Y.E. Yang,89,61.27,313301.5,511319
101,102,102,Ben Crane,86,61.26,292228.4,477018
102,103,103,Will MacKenzie,62,61.25,221730.4,361986
103,T104,T104,David Lutterus,59,61.24,193939.8,316685
104,T104,T104,Mark Wilson,107,61.24,405539.1,662194
105,106,106,Robert Allenby,108,61.21,339124.7,554048
106,107,107,Carl Pettersson,110,61.19,379701.2,620576
107,T108,T108,Jonathan Byrd,88,61.18,300832.5,491726
108,T108,T108,Peter Lonard,92,61.18,310851.9,508123
109,110,110,K.J. Choi,74,61.17,225185.9,368158
110,111,111,Jeff Gove,50,61.16,171446.2,280333
111,112,112,Eric Axley,113,61.15,381843.8,624450
112,113,113,Brett Rumford,72,61.12,236925.5,387619
113,114,114,Ken Duke,116,61.11,407959.9,667561
114,115,115,Jesper Parnevik,88,61.1,291587.5,477267
115,116,116,Stephen Ames,83,61.04,256787.9,420694
116,T117,T117,Justin Leonard,101,61.0,284912.1,467060
117,T117,T117,Ian Poulter,51,61.0,140249.4,229903
118,T117,T117,Steve Stricker,75,61.0,227600.3,373116
119,T120,T120,Kenneth Ferrie,72,60.96,234482.6,384655
120,T120,T120,J.P. Hayes,67,60.96,244210.5,400583
121,T122,T122,Steve Elkington,84,60.94,283755.7,465649
122,T122,T122,Retief Goosen,59,60.94,163791.0,268791
123,T122,T122,Billy Mayfair,103,60.94,367538.6,603124
124,125,125,Trevor Immelman,70,60.93,210538.0,345538
125,126,126,Tom Scherrer,56,60.92,171502.2,281506
126,127,127,Freddie Jacobson,78,60.91,249354.8,409379
127,T128,T128,Tim Petrovic,97,60.88,314552.9,516686
128,T128,T128,Brett Quigley,80,60.88,282833.8,464593
129,130,130,Johnson Wagner,83,60.87,264727.2,434905
130,131,131,Todd Hamilton,92,60.85,287473.2,472419
131,T132,T132,Scott McCarron,63,60.82,209331.8,344168
132,T132,T132,Brandt Snedeker,85,60.82,260461.5,428230
133,134,134,Billy Andrade,71,60.8,238214.9,391771
134,135,135,Marco Dawson,64,60.79,209266.3,344265
135,136,136,Jay Williamson,96,60.77,310010.4,510118
136,137,137,Michael Allen,91,60.76,304383.5,500934
137,T138,T138,Briny Baird,113,60.73,371277.4,611382
138,T138,T138,Tom Lehman,51,60.73,147009.0,242057
139,140,140,Carlos Franco,73,60.72,244450.2,402595
140,141,141,Patrick Sheehan,124,60.71,404039.1,665530
141,142,142,Tim Clark,90,60.69,282792.7,465975
142,T143,T143,Justin Bolli,87,60.65,284489.3,469070
143,T143,T143,Steve Flesch,95,60.65,313356.7,516653
144,145,145,Nathan Green,95,60.64,350694.5,578282
145,T146,T146,Alejandro Cañizares,52,60.61,157580.3,259990
146,T146,T146,David Duval,51,60.61,159861.6,263763
147,148,148,Scott Sterling,89,60.51,285294.5,471466
148,149,149,Bob Tway,70,60.49,218268.7,360834
149,150,150,Jim Furyk,95,60.48,291797.1,482471
150,151,151,Kent Jones,68,60.44,211203.0,349417
151,152,152,Tom Pernice Jr.,104,60.43,374602.1,619897
152,T153,T153,Kevin Na,97,60.41,348959.6,577652
153,T153,T153,Scott Verplank,82,60.41,250459.9,414577
154,T155,T155,Cameron Beckman,87,60.4,285791.3,473140
155,T155,T155,Rocco Mediate,87,60.4,265419.8,439453
156,T157,T157,Doug LaBelle II,65,60.31,195955.5,324916
157,T157,T157,Marc Turnesa,87,60.31,291870.1,483939
158,159,159,Alex Cejka,75,60.3,231251.5,383522
159,160,160,Cliff Kresge,84,60.26,279458.2,463722
160,161,161,Robert Gamez,79,60.24,271412.7,450556
161,162,162,Heath Slocum,104,60.2,329092.9,546704
162,T163,T163,Bob Estes,90,60.19,329658.4,547682
163,T163,T163,Jim McGovern,75,60.19,239600.7,398086
164,T165,T165,Brian Davis,108,60.18,390592.1,649085
165,T165,T165,John Mallinger,95,60.18,320003.0,531774
166,167,167,Chez Reavie,102,60.14,343777.3,571644
167,168,168,Richard Johnson,60,60.12,185937.5,309295
168,169,169,Tim Wilkinson,95,60.03,306965.8,511354
169,170,170,Zach Johnson,85,60.01,273405.7,455591
170,T171,T171,Dudley Hart,74,59.9,255983.4,427324
171,T171,T171,Lee Janzen,89,59.9,285857.9,477212
172,173,173,Chris DiMarco,87,59.85,289172.7,483139
173,174,174,Matt Kuchar,88,59.83,267224.3,446602
174,175,175,Glen Day,64,59.81,211348.2,353352
175,176,176,Bart Bryant,81,59.75,254797.0,426459
176,T177,T177,Jerry Kelly,89,59.74,281689.8,471506
177,T177,T177,Greg Kraft,63,59.74,189717.7,317568
178,179,179,Ryuji Imada,80,59.7,260409.0,436199
179,180,180,Dean Wilson,109,59.63,352582.7,591267
180,181,181,Omar Uresti,74,59.61,239606.8,401962
181,182,182,Chris Riley,51,59.56,151090.9,253689
182,183,183,Chad Collins,72,59.51,238017.2,399929
183,184,184,Shane Bertsch,96,59.43,337980.7,568695
184,185,185,Ron Whittaker,54,59.42,154284.5,259660
185,186,186,Paul Goydos,78,59.36,253360.8,426824
186,187,187,Craig Kanada,65,59.23,206951.6,349403
187,188,188,Paul Claxton,63,59.19,187736.0,317201
188,T189,T189,Olin Browne,77,58.99,261745.4,443737
189,T189,T189,Nick O'Hern,82,58.99,267967.1,454297
190,191,191,Jin Park,85,58.92,262728.0,445936
191,192,192,Shigeki Maruyama,50,58.76,156045.5,265562
192,193,193,Stephen Leaney,53,58.68,168336.4,286879
193,194,194,Jeff Quinney,87,58.6,273258.1,466306
194,195,195,Brian Gay,102,58.46,319551.4,546573
195,196,196,Gavin Coles,54,58.16,162911.9,280108
196,197,197,Corey Pavin,69,56.37,197641.2,350605
