,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
33,T34,T34,Chez Reavie,102,1.53,19,1242,+0.95
34,T34,T34,Jay Williamson,96,1.53,17,1111,+0.82
35,T36,T36,Chad Campbell,94,1.54,18,1171,+0.61
36,T36,T36,Ben Crane,86,1.54,16,1036,+0.56
37,T38,T38,John Riegger,73,1.57,14,889,+0.86
38,T38,T38,Scott Sterling,89,1.57,16,1019,+0.75
39,40,40,Kenny Perry,97,1.58,20,1268,+0.55
40,41,41,Ben Curtis,80,1.59,14,878,+0.50
41,42,42,Scott McCarron,63,1.6,12,750,+0.83
42,43,43,Nick O'Hern,82,1.62,16,986,+0.69
43,T44,T44,Robert Gamez,79,1.64,16,977,+0.94
44,T44,T44,John Mallinger,95,1.64,19,1162,+0.63
45,46,46,Shane Bertsch,96,1.68,21,1248,+0.29
46,47,47,Jonathan Byrd,88,1.69,18,1065,+0.56
47,T48,T48,Tom Pernice Jr.,104,1.7,23,1353,+0.57
48,T48,T48,Tim Petrovic,97,1.7,19,1120,+0.53
49,T50,T50,Hunter Mahan,87,1.71,17,996,+0.53
50,T50,T50,Rory Sabbatini,77,1.71,15,876,+0.80
51,52,52,Ryan Armour,87,1.72,18,1046,+0.61
52,T53,T53,Briny Baird,113,1.74,23,1322,+0.48
53,T53,T53,Chad Collins,72,1.74,15,864,+1.07
54,T53,T53,Joe Ogilvie,100,1.74,21,1205,+0.57
55,56,56,Jerry Kelly,89,1.75,18,1030,+0.78
56,57,57,J.J. Henry,108,1.76,24,1365,+0.58
57,T58,T58,Bob Estes,90,1.77,21,1187,+0.62
58,T58,T58,Richard Johnson,60,1.77,12,679,+0.67
59,T58,T58,D.J. Trahan,94,1.77,19,1072,+1.16
60,61,61,Tim Clark,90,1.78,18,1014,+0.61
61,62,62,David Toms,70,1.8,14,776,+0.64
62,63,63,Chris DiMarco,87,1.81,19,1051,+0.58
63,64,64,Nick Flanagan,89,1.82,20,1101,+0.75
64,65,65,Tom Scherrer,56,1.83,11,602,+1.55
65,66,66,Doug LaBelle II,65,1.84,13,705,+0.85
66,67,67,Carlos Franco,73,1.87,16,854,+0.63
67,68,68,Rocco Mediate,87,1.88,18,958,+0.61
68,69,69,John Merrick,98,1.89,20,1061,+0.90
69,70,70,Peter Lonard,92,1.9,21,1105,+0.43
70,71,71,Boo Weekley,86,1.91,17,888,-0.06
71,T72,T72,Freddie Jacobson,78,1.92,17,884,+0.88
72,T72,T72,Will MacKenzie,62,1.92,15,780,+0.40
73,74,74,Paul Goydos,78,1.93,18,934,+0.28
74,75,75,Vijay Singh,82,1.94,17,877,+0.41
75,T76,T76,Stuart Appleby,87,1.95,18,923,+0.78
76,T76,T76,Matt Kuchar,88,1.95,19,974,+0.84
77,78,78,Todd Hamilton,92,1.96,20,1022,+0.75
78,T79,T79,Chris Stroud,81,1.97,18,912,+0.33
79,T79,T79,Charlie Wi,97,1.97,24,1219,+0.71
80,81,81,Justin Bolli,87,1.98,20,1012,+0.70
81,T82,T82,Lucas Glover,91,2.0,23,1149,+0.48
82,T82,T82,Kevin Stadler,90,2.0,20,1001,+0.65
83,84,84,Marc Turnesa,87,2.01,21,1047,+0.81
84,85,85,Jeff Maggert,86,2.02,22,1090,+0.95
85,T86,T86,Paul Casey,55,2.03,10,492,+0.80
86,T86,T86,Rod Pampling,83,2.03,19,938,+0.47
87,T88,T88,Jason Gore,94,2.04,24,1176,+0.67
88,T88,T88,John Senden,93,2.04,23,1125,+0.04
89,T90,T90,Alex Cejka,75,2.06,17,826,+0.82
90,T90,T90,Kevin Sutherland,98,2.06,25,1216,+0.28
91,T92,T92,Jesper Parnevik,88,2.07,21,1016,+0.95
92,T92,T92,Mark Wilson,107,2.07,30,1446,+0.60
93,94,94,Padraig Harrington,52,2.08,9,433,+1.00
94,95,95,Bo Van Pelt,101,2.09,27,1294,+1.00
95,T96,T96,Rich Beem,90,2.1,23,1096,+0.52
96,T96,T96,Kent Jones,68,2.1,16,762,+0.94
97,98,98,Ryuji Imada,80,2.13,20,938,+0.45
98,99,99,Bob Tway,70,2.15,17,789,+0.41
99,100,100,Frank Lickliter II,107,2.17,30,1382,+0.97
100,T101,T101,Stephen Ames,83,2.18,20,917,+0.15
101,T101,T101,Cliff Kresge,84,2.18,22,1007,+0.73
102,T101,T101,Nicholas Thompson,113,2.18,29,1330,+0.93
103,104,104,Pat Perez,93,2.19,24,1095,+0.33
104,T105,T105,Parker McLachlin,88,2.21,24,1084,+0.42
105,T105,T105,Phil Mickelson,80,2.21,18,815,+0.33
106,T107,T107,John Huston,56,2.22,15,675,+0.33
107,T107,T107,Kevin Na,97,2.22,28,1263,+0.86
108,109,109,Tommy Gainey,60,2.23,14,628,+1.14
109,110,110,Bob Sowards,61,2.24,16,713,+0.63
110,111,111,Charles Warren,79,2.25,23,1022,+0.74
111,T112,T112,Mark Calcavecchia,67,2.26,17,752,+0.82
112,T112,T112,K.J. Choi,74,2.26,18,795,+0.72
113,T114,T114,Tim Herron,97,2.27,27,1192,+0.63
114,T114,T114,Mike Weir,88,2.27,21,925,+0.24
115,116,116,Cody Freeman,66,2.28,17,746,+0.47
116,T117,T117,Alejandro Cañizares,52,2.29,13,567,+1.38
117,T117,T117,Jin Park,85,2.29,22,960,+1.09
118,T117,T117,Patrick Sheehan,124,2.29,33,1440,+0.82
119,120,120,Sergio Garcia,72,2.33,18,774,+0.67
120,121,121,Tim Wilkinson,95,2.34,26,1111,+0.50
121,122,122,Todd Demsey,80,2.36,23,976,+0.61
122,123,123,Carl Pettersson,110,2.4,32,1333,+0.59
123,124,124,Trevor Immelman,70,2.42,18,744,+0.61
124,T125,T125,Tommy Armour III,77,2.43,22,907,+1.14
125,T125,T125,Lee Janzen,89,2.43,25,1027,+0.60
126,T125,T125,George McNeill,97,2.43,30,1237,+0.57
127,T128,T128,Stewart Cink,87,2.44,21,861,+0.57
128,T128,T128,Fred Couples,60,2.44,17,696,+0.88
129,T128,T128,Jon Mills,95,2.44,26,1066,+0.65
130,131,131,Kevin Streelman,114,2.46,33,1339,+0.48
131,T132,T132,Mathew Goggin,91,2.47,28,1132,+0.57
132,T132,T132,Brandt Snedeker,85,2.47,23,930,+0.57
133,134,134,Bill Haas,99,2.5,31,1239,+0.55
134,135,135,Dean Wilson,109,2.51,32,1275,+0.72
135,136,136,Steve Stricker,75,2.52,20,793,+0.40
136,T137,T137,Anthony Kim,81,2.55,23,902,+0.39
137,T137,T137,Chris Riley,51,2.55,14,550,+0.43
138,139,139,Davis Love III,78,2.57,23,896,+0.30
139,T140,T140,Jason Day,81,2.58,27,1048,+0.26
140,T140,T140,Jeff Quinney,87,2.58,26,1007,+0.85
141,142,142,Steve Flesch,95,2.61,29,1113,+0.52
142,143,143,Camilo Villegas,79,2.63,23,875,+0.43
143,144,144,Michael Letzig,88,2.64,27,1023,+0.15
144,145,145,Sean O'Hair,81,2.67,25,938,+0.28
145,T146,T146,Brad Adamonis,87,2.69,28,1040,+0.57
146,T146,T146,Ken Duke,116,2.69,39,1452,+0.51
147,148,148,Vaughn Taylor,103,2.7,35,1295,+0.74
148,149,149,Nathan Green,95,2.72,34,1250,+0.85
149,150,150,Stephen Leaney,53,2.73,17,623,+0.71
150,151,151,Marco Dawson,64,2.74,20,730,+0.85
151,152,152,Martin Laird,98,2.75,32,1164,+0.63
152,T153,T153,Retief Goosen,59,2.76,16,580,+0.75
153,T153,T153,Mathias Grönberg,87,2.76,30,1086,+0.73
154,T153,T153,J.P. Hayes,67,2.76,24,869,+0.92
155,156,156,Shigeki Maruyama,50,2.8,16,572,+0.75
156,157,157,Dudley Hart,74,2.81,26,926,+0.81
157,T158,T158,Steve Lowery,74,2.82,26,921,+0.27
158,T158,T158,Y.E. Yang,89,2.82,31,1098,+1.19
159,160,160,Ernie Els,51,2.84,14,493,+0.29
160,161,161,Aaron Baddeley,76,2.87,24,835,+0.50
161,162,162,Brett Quigley,80,2.89,29,1002,+0.66
162,163,163,Ryan Palmer,69,2.9,24,827,+0.42
163,164,164,Charley Hoffman,94,2.94,35,1190,+0.43
164,165,165,Harrison Frazar,73,2.96,25,846,+1.00
165,166,166,Johnson Wagner,83,2.99,28,937,+0.71
166,167,167,Brenden Pappas,66,3.05,23,753,+0.70
167,168,168,Ted Purdy,68,3.07,25,815,+0.76
168,169,169,Charles Howell III,101,3.1,37,1194,+0.41
169,170,170,Nick Watney,96,3.18,37,1162,+0.51
170,171,171,J.B. Holmes,86,3.22,30,933,+0.30
171,172,172,Jim McGovern,75,3.24,28,865,+0.89
172,173,173,Troy Matteson,94,3.28,40,1218,+0.53
173,174,174,David Lutterus,59,3.33,23,691,+0.78
174,175,175,Daniel Chopra,84,3.41,32,939,+0.44
175,176,176,Brandt Jobe,52,3.55,23,647,+0.57
176,177,177,Jimmy Walker,73,3.61,30,830,+0.73
177,178,178,Mark Hensby,71,3.64,32,879,+1.03
178,T179,T179,Billy Andrade,71,3.66,31,846,+0.61
179,T179,T179,Brett Rumford,72,3.66,30,820,+1.00
180,181,181,Kyle Thompson,70,3.7,29,784,+0.90
181,T182,T182,Jason Allred,63,3.71,25,674,+0.24
182,T182,T182,Eric Axley,113,3.71,49,1320,+0.41
183,184,184,Steve Allan,58,3.82,25,654,+0.64
184,185,185,Jeff Overton,103,3.84,48,1249,+0.48
185,186,186,Matt Jones,95,3.87,44,1137,+0.64
186,T187,T187,Ángel Cabrera,55,3.93,21,535,+0.52
187,T187,T187,David Duval,51,3.93,21,535,+1.10
188,189,189,Adam Scott,51,4.16,20,481,+0.20
189,190,190,Richard Johnson,77,4.22,39,925,+0.67
190,191,191,James Driscoll,85,4.24,44,1038,+0.61
191,192,192,Tag Ridings,88,4.26,47,1103,+0.70
192,193,193,Andres Romero,69,4.3,29,675,+0.52
193,194,194,Bubba Watson,97,4.55,50,1099,+0.40
194,195,195,Travis Perkins,53,4.76,26,546,+1.00
195,196,196,Robert Garrigus,90,4.89,57,1166,+0.63
196,197,197,Dustin Johnson,92,4.93,54,1095,+0.59
