,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
44,T44,T44,Richard Johnson,60,+.068
45,46,46,Sean O'Hair,81,+.071
46,47,47,Zach Johnson,85,+.074
47,T48,T48,Ryuji Imada,80,+.075
48,T48,T48,Bob Tway,70,+.075
49,50,50,Davis Love III,78,+.077
50,T51,T51,Matt Jones,95,+.078
51,T51,T51,David Toms,70,+.078
52,T53,T53,Frank Lickliter II,107,+.079
53,T53,T53,Hunter Mahan,87,+.079
54,T53,T53,Travis Perkins,53,+.079
55,56,56,Michael Letzig,88,+.080
56,T57,T57,Jesper Parnevik,88,+.082
57,T57,T57,Rory Sabbatini,77,+.082
58,59,59,Briny Baird,113,+.083
59,60,60,Mathew Goggin,91,+.086
60,T61,T61,Ángel Cabrera,55,+.087
61,T61,T61,Justin Leonard,101,+.087
62,T63,T63,Jason Gore,94,+.088
63,T63,T63,Scott Verplank,82,+.088
64,65,65,Brett Quigley,80,+.090
65,66,66,David Duval,51,+.092
66,T67,T67,J.P. Hayes,67,+.093
67,T67,T67,Kevin Stadler,90,+.093
68,T69,T69,Ben Crane,86,+.094
69,T69,T69,Kevin Na,97,+.094
70,T71,T71,Daniel Chopra,84,+.095
71,T71,T71,James Driscoll,85,+.095
72,T71,T71,Dean Wilson,109,+.095
73,74,74,Jeff Overton,103,+.096
74,T75,T75,Freddie Jacobson,78,+.098
75,T75,T75,Scott Sterling,89,+.098
76,77,77,Richard Johnson,77,+.099
77,T78,T78,Ryan Moore,72,+.100
78,T78,T78,Charlie Wi,97,+.100
79,80,80,Chris DiMarco,87,+.101
80,T81,T81,Peter Lonard,92,+.102
81,T81,T81,Mike Weir,88,+.102
82,83,83,Cody Freeman,66,+.104
83,84,84,Kenny Perry,97,+.105
84,T85,T85,Stephen Ames,83,+.109
85,T85,T85,Kevin Sutherland,98,+.109
86,87,87,Jim McGovern,75,+.111
87,88,88,Ian Poulter,51,+.113
88,T89,T89,Marco Dawson,64,+.114
89,T89,T89,Tom Scherrer,56,+.114
90,T91,T91,Shigeki Maruyama,50,+.115
91,T91,T91,D.J. Trahan,94,+.115
92,T93,T93,Pat Perez,93,+.116
93,T93,T93,Bo Van Pelt,101,+.116
94,T93,T93,Jimmy Walker,73,+.116
95,96,96,Brett Rumford,72,+.117
96,97,97,Charley Hoffman,94,+.118
97,T98,T98,Mathias Grönberg,87,+.120
98,T98,T98,J.B. Holmes,86,+.120
99,T98,T98,Jin Park,85,+.120
100,101,101,Troy Matteson,94,+.121
101,T102,T102,Jim Furyk,95,+.127
102,T102,T102,John Merrick,98,+.127
103,104,104,Tim Herron,97,+.128
104,T105,T105,Tag Ridings,88,+.129
105,T105,T105,Marc Turnesa,87,+.129
106,107,107,Billy Mayfair,103,+.130
107,T108,T108,Brian Davis,108,+.132
108,T108,T108,Steve Marino,119,+.132
109,110,110,Heath Slocum,104,+.134
110,T111,T111,Steve Allan,58,+.135
111,T111,T111,Rod Pampling,83,+.135
112,T113,T113,Tommy Armour III,77,+.138
113,T113,T113,Chris Riley,51,+.138
114,T115,T115,Scott McCarron,63,+.140
115,T115,T115,Mark Wilson,107,+.140
116,117,117,Tim Wilkinson,95,+.144
117,118,118,Ron Whittaker,54,+.145
118,119,119,Alejandro Cañizares,52,+.146
119,120,120,Jeff Maggert,86,+.147
120,T121,T121,John Riegger,73,+.148
121,T121,T121,Andres Romero,69,+.148
122,T123,T123,Dudley Hart,74,+.150
123,T123,T123,Jeff Quinney,87,+.150
124,T125,T125,Chad Campbell,94,+.151
125,T125,T125,Lucas Glover,91,+.151
126,127,127,Nathan Green,95,+.154
127,T128,T128,John Mallinger,95,+.157
128,T128,T128,George McNeill,97,+.157
129,T128,T128,Johnson Wagner,83,+.157
130,131,131,Charles Warren,79,+.158
131,132,132,Tim Petrovic,97,+.159
132,T133,T133,Doug LaBelle II,65,+.160
133,T133,T133,Nick O'Hern,82,+.160
134,T135,T135,Glen Day,64,+.162
135,T135,T135,Jerry Kelly,89,+.162
136,T135,T135,Rocco Mediate,87,+.162
137,138,138,Nick Flanagan,89,+.163
138,139,139,Justin Bolli,87,+.167
139,140,140,Ted Purdy,68,+.168
140,141,141,Camilo Villegas,79,+.169
141,T142,T142,Patrick Sheehan,124,+.175
142,T142,T142,Brandt Snedeker,85,+.175
143,144,144,Brian Gay,102,+.176
144,145,145,Eric Axley,113,+.177
145,T146,T146,Alex Cejka,75,+.179
146,T146,T146,J.J. Henry,108,+.179
147,148,148,Y.E. Yang,89,+.180
148,149,149,K.J. Choi,74,+.181
149,T150,T150,Michael Allen,91,+.182
150,T150,T150,Ernie Els,51,+.182
151,T150,T150,Geoff Ogilvy,65,+.182
152,153,153,Ben Curtis,80,+.183
153,154,154,Brad Elder,67,+.184
154,T155,T155,Billy Andrade,71,+.186
155,T155,T155,Jon Mills,95,+.186
156,T155,T155,Nicholas Thompson,113,+.186
157,T158,T158,Jonathan Byrd,88,+.187
158,T158,T158,Vaughn Taylor,103,+.187
159,160,160,Jason Day,81,+.192
160,161,161,Todd Hamilton,92,+.194
161,162,162,Bart Bryant,81,+.195
162,T163,T163,Tom Pernice Jr.,104,+.200
163,T163,T163,Chez Reavie,102,+.200
164,165,165,Lee Janzen,89,+.201
165,166,166,Kenneth Ferrie,72,+.202
166,167,167,Martin Laird,98,+.203
167,168,168,Shane Bertsch,96,+.204
168,169,169,Jason Allred,63,+.206
169,170,170,John Huston,56,+.207
170,171,171,Joe Durant,92,+.211
171,172,172,Cameron Beckman,87,+.214
172,173,173,Nick Watney,96,+.215
173,174,174,Will MacKenzie,62,+.219
174,175,175,Cliff Kresge,84,+.222
175,176,176,Robert Gamez,79,+.223
176,177,177,Jeff Gove,50,+.226
177,178,178,Boo Weekley,86,+.227
178,179,179,Craig Kanada,65,+.236
179,T180,T180,Retief Goosen,59,+.240
180,T180,T180,Bob Sowards,61,+.240
181,182,182,Paul Casey,55,+.247
182,T183,T183,Ryan Armour,87,+.250
183,T183,T183,Chad Collins,72,+.250
184,T183,T183,David Lutterus,59,+.250
185,T183,T183,John Senden,93,+.250
186,T183,T183,Kyle Thompson,70,+.250
187,188,188,Chris Stroud,81,+.256
188,189,189,Corey Pavin,69,+.261
189,190,190,Trevor Immelman,70,+.263
190,191,191,Paul Goydos,78,+.272
191,192,192,Tommy Gainey,60,+.274
192,193,193,Stephen Leaney,53,+.284
193,194,194,Olin Browne,77,+.286
194,195,195,Greg Kraft,63,+.300
195,196,196,Jay Williamson,96,+.310
196,197,197,Paul Claxton,63,+.375
