,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
70,71,71,Chris Riley,51,13.45,74,550,+0.09
71,72,72,Jim McGovern,75,13.53,117,865,+0.18
72,T73,T73,Mark Calcavecchia,67,13.56,102,752,+0.04
73,T73,T73,Alex Cejka,75,13.56,112,826,+0.15
74,75,75,Nicholas Thompson,113,13.68,182,1330,+0.10
75,76,76,Y.E. Yang,89,13.75,151,1098,+0.19
76,77,77,Ryan Armour,87,13.77,144,1046,+0.25
77,T78,T78,Ryan Moore,72,13.82,120,868,+0.28
78,T78,T78,Vaughn Taylor,103,13.82,179,1295,+0.10
79,80,80,Briny Baird,113,13.84,183,1322,+0.08
80,81,81,Robert Allenby,108,13.9,165,1187,+0.16
81,T82,T82,John Riegger,73,13.95,124,889,+0.13
82,T82,T82,Tom Scherrer,56,13.95,84,602,+0.26
83,84,84,Stephen Ames,83,13.96,128,917,+0.08
84,85,85,Mark Wilson,107,13.97,202,1446,+0.17
85,86,86,Shigeki Maruyama,50,13.99,80,572,+0.19
86,87,87,Chad Campbell,94,14.01,164,1171,+0.11
87,88,88,Billy Mayfair,103,14.05,185,1317,+0.11
88,89,89,Hunter Mahan,87,14.06,140,996,+0.17
89,90,90,Kevin Stadler,90,14.09,141,1001,+0.08
90,91,91,Mark Hensby,71,14.11,124,879,+0.14
91,92,92,Justin Bolli,87,14.13,143,1012,+0.18
92,93,93,Kyle Thompson,70,14.16,111,784,+0.12
93,T94,T94,Paul Casey,55,14.23,70,492,+0.19
94,T94,T94,Scott Sterling,89,14.23,145,1019,+0.09
95,96,96,Frank Lickliter II,107,14.25,197,1382,+0.19
96,97,97,Kevin Sutherland,98,14.31,174,1216,+0.09
97,98,98,Charlie Wi,97,14.36,175,1219,+0.08
98,99,99,Steve Stricker,75,14.38,114,793,+0.18
99,100,100,Michael Letzig,88,14.47,148,1023,+0.12
100,T101,T101,Marco Dawson,64,14.52,106,730,+0.28
101,T101,T101,Pat Perez,93,14.52,159,1095,+0.06
102,103,103,Retief Goosen,59,14.66,85,580,+0.13
103,104,104,John Huston,56,14.67,99,675,+0.06
104,105,105,Nick Flanagan,89,14.71,162,1101,+0.12
105,106,106,Rocco Mediate,87,14.72,141,958,+0.16
106,107,107,David Toms,70,14.82,115,776,+0.04
107,108,108,Bob Estes,90,14.83,176,1187,+0.02
108,109,109,John Rollins,94,14.86,163,1097,+0.14
109,T110,T110,Lucas Glover,91,14.88,171,1149,+0.14
110,T110,T110,Nathan Green,95,14.88,186,1250,+0.01
111,112,112,Brad Elder,67,14.89,109,732,+0.09
112,113,113,Tommy Armour III,77,14.99,136,907,+0.13
113,114,114,Johnson Wagner,83,15.05,141,937,+0.15
114,115,115,Dean Wilson,109,15.06,192,1275,+0.17
115,116,116,Richard Johnson,60,15.17,103,679,+0.20
116,117,117,Davis Love III,78,15.18,136,896,+0.02
117,118,118,Ted Purdy,68,15.21,124,815,+0.15
118,119,119,Brett Quigley,80,15.27,153,1002,+0.05
119,120,120,Camilo Villegas,79,15.31,134,875,-0.01
120,121,121,Troy Matteson,94,15.35,187,1218,+0.09
121,122,122,Marc Turnesa,87,15.47,162,1047,+0.10
122,123,123,Will MacKenzie,62,15.51,121,780,+0.19
123,124,124,Padraig Harrington,52,15.7,68,433,-0.06
124,125,125,Steve Lowery,74,15.74,145,921,+0.17
125,126,126,Jesper Parnevik,88,15.85,161,1016,+0.21
126,127,127,Alejandro Cañizares,52,15.87,90,567,+0.11
127,128,128,Sean O'Hair,81,15.88,149,938,+0.12
128,129,129,Corey Pavin,69,15.89,123,774,+0.24
129,130,130,Chris Stroud,81,15.9,145,912,+0.13
130,131,131,Jason Day,81,15.94,167,1048,+0.13
131,132,132,D.J. Trahan,94,15.95,171,1072,+0.24
132,133,133,Tom Pernice Jr.,104,15.96,216,1353,+0.10
133,134,134,John Merrick,98,16.02,170,1061,+0.12
134,T135,T135,Chris DiMarco,87,16.18,170,1051,+0.11
135,T135,T135,Freddie Jacobson,78,16.18,143,884,+0.15
136,137,137,Tim Herron,97,16.19,193,1192,+0.08
137,138,138,David Lutterus,59,16.21,112,691,+0.24
138,139,139,Boo Weekley,86,16.22,144,888,+0.08
139,140,140,Jon Mills,95,16.23,173,1066,+0.18
140,141,141,Phil Mickelson,80,16.32,133,815,+0.12
141,142,142,Jeff Quinney,87,16.39,165,1007,+0.21
142,T143,T143,Billy Andrade,71,16.43,139,846,+0.10
143,T143,T143,Mike Weir,88,16.43,152,925,-0.02
144,145,145,Charley Hoffman,94,16.47,196,1190,+0.07
145,146,146,Kevin Streelman,114,16.58,222,1339,+0.15
146,147,147,J.B. Holmes,86,16.61,155,933,+0.04
147,148,148,Jason Allred,63,16.62,112,674,+0.17
148,149,149,George McNeill,97,16.65,206,1237,+0.11
149,150,150,Eric Axley,113,16.67,220,1320,+0.19
150,151,151,Sergio Garcia,72,16.8,130,774,+0.07
151,152,152,Anthony Kim,81,16.85,152,902,-0.03
152,153,153,Richard Johnson,77,16.86,156,925,+0.04
153,154,154,Bill Haas,99,16.87,209,1239,+0.06
154,155,155,Brandt Snedeker,85,16.88,157,930,+0.08
155,156,156,Tom Lehman,51,16.89,89,527,+0.19
156,157,157,Martin Laird,98,17.1,199,1164,+0.10
157,158,158,Geoff Ogilvy,65,17.14,115,671,+0.09
158,159,159,Brenden Pappas,66,17.26,130,753,+0.01
159,160,160,Robert Garrigus,90,17.32,202,1166,+0.07
160,T161,T161,Harrison Frazar,73,17.38,147,846,+0.07
161,T161,T161,J.P. Hayes,67,17.38,151,869,+0.22
162,163,163,Ken Duke,116,17.42,253,1452,+0.13
163,T164,T164,Rory Sabbatini,77,17.47,153,876,+0.14
164,T164,T164,Bo Van Pelt,101,17.47,226,1294,+0.08
165,166,166,Tag Ridings,88,17.5,193,1103,+0.13
166,167,167,James Driscoll,85,17.53,182,1038,+0.17
167,168,168,Ryuji Imada,80,17.59,165,938,+0.12
168,169,169,Ernie Els,51,17.65,87,493,+0.25
169,170,170,Dustin Johnson,92,17.72,194,1095,+0.12
170,171,171,Chad Collins,72,17.94,155,864,+0.07
171,172,172,Bob Sowards,61,18.09,129,713,+0.15
172,173,173,Cody Freeman,66,18.1,135,746,+0.13
173,174,174,Tommy Gainey,60,18.15,114,628,+0.11
174,175,175,Brad Adamonis,87,18.17,189,1040,+0.17
175,176,176,Trevor Immelman,70,18.28,136,744,+0.17
176,177,177,Stuart Appleby,87,18.31,169,923,+0.07
177,178,178,Vijay Singh,82,18.36,161,877,+0.02
178,179,179,Charles Howell III,101,18.51,221,1194,+0.04
179,T180,T180,Aaron Baddeley,76,18.56,155,835,+0.10
180,T180,T180,Bubba Watson,97,18.56,204,1099,+0.05
181,182,182,Nick Watney,96,18.67,217,1162,+0.02
182,183,183,Ian Poulter,51,18.76,94,501,+0.11
183,184,184,Brett Rumford,72,18.78,154,820,+0.05
184,185,185,Matt Jones,95,18.82,214,1137,+0.18
185,186,186,Jimmy Walker,73,18.92,157,830,+0.11
186,187,187,Jeff Overton,103,19.3,241,1249,+0.09
187,188,188,Adam Scott,51,19.54,94,481,+0.13
188,189,189,Steve Allan,58,19.88,130,654,E
189,T190,T190,Stewart Cink,87,20.09,173,861,+0.04
190,T190,T190,Brandt Jobe,52,20.09,130,647,+0.10
191,192,192,Daniel Chopra,84,20.13,189,939,+0.01
192,193,193,Fred Couples,60,20.83,145,696,+0.08
193,194,194,Parker McLachlin,88,20.94,227,1084,+0.04
194,195,195,Andres Romero,69,21.04,142,675,+0.11
195,196,196,Travis Perkins,53,21.06,115,546,+0.10
196,197,197,Ángel Cabrera,55,21.87,117,535,+0.20
