,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
139,140,140,Matt Jones,31,54.1,291,538,+1.92
140,141,141,Tim Wilkinson,29,54.2,200,369,+2.15
141,142,142,John Rollins,28,54.6,190,348,+1.63
142,T143,T143,Chad Collins,24,54.7,199,364,+1.31
143,T143,T143,Boo Weekley,24,54.7,176,322,+0.51
144,T143,T143,Jay Williamson,33,54.7,176,322,+1.93
145,T146,T146,Travis Perkins,23,55.0,144,262,+2.08
146,T146,T146,Camilo Villegas,22,55.0,191,347,+1.05
147,148,148,David Toms,20,55.1,145,263,+1.52
148,T149,T149,Frank Lickliter II,32,55.2,271,491,+2.55
149,T149,T149,Andres Romero,20,55.2,190,344,+2.58
150,T149,T149,Bubba Watson,29,55.2,275,498,+1.05
151,T152,T152,Jeff Gove,18,55.4,93,168,+1.94
152,T152,T152,Chris Riley,17,55.4,102,184,+1.57
153,154,154,Ken Duke,33,55.5,306,551,+1.83
154,T155,T155,Jonathan Byrd,27,55.6,190,342,+1.84
155,T155,T155,Paul Goydos,25,55.6,153,275,+1.90
156,T155,T155,Freddie Jacobson,24,55.6,189,340,+2.38
157,T155,T155,Martin Laird,29,55.6,252,453,+1.43
158,T159,T159,Alex Cejka,25,55.9,166,297,+2.59
159,T159,T159,Zach Johnson,25,55.9,142,254,+2.04
160,161,161,Tom Pernice Jr.,30,56.2,273,486,+2.12
161,162,162,D.J. Trahan,27,56.3,210,373,+3.00
162,163,163,Brett Rumford,26,56.4,211,374,+1.80
163,164,164,Bob Estes,28,56.5,225,398,+0.80
164,T165,T165,Brandt Jobe,19,56.6,159,281,+1.51
165,T165,T165,Mark Wilson,29,56.6,241,426,+1.95
166,T167,T167,Ángel Cabrera,17,56.8,155,273,+2.19
167,T167,T167,Geoff Ogilvy,20,56.8,154,271,+0.39
168,169,169,Paul Claxton,23,56.9,116,204,+2.59
169,T170,T170,Steve Allan,21,57.0,162,284,+1.36
170,T170,T170,Troy Matteson,30,57.0,276,484,+1.78
171,172,172,Charles Howell III,31,57.1,300,525,+1.07
172,T173,T173,Stuart Appleby,23,57.3,223,389,+0.90
173,T173,T173,Ian Poulter,15,57.3,114,199,+2.02
174,T175,T175,J.P. Hayes,26,57.5,187,325,+2.51
175,T175,T175,Jesper Parnevik,29,57.5,229,398,+3.32
176,T177,T177,David Lutterus,23,57.9,158,273,+3.67
177,T177,T177,Chris Stroud,29,57.9,176,304,+2.33
178,179,179,Nick Watney,27,58.0,267,460,+1.05
179,180,180,Jim Furyk,26,58.1,179,308,+1.34
180,181,181,Ernie Els,16,58.2,121,208,+2.15
181,182,182,Harrison Frazar,23,58.3,203,348,+1.67
182,183,183,John Merrick,28,58.5,216,369,+2.13
183,184,184,Jeff Quinney,28,58.8,220,374,+2.86
184,185,185,Aaron Baddeley,22,58.9,196,333,+0.77
185,T186,T186,Rory Sabbatini,23,59.1,189,320,+1.69
186,T186,T186,Scott Verplank,24,59.1,137,232,+1.39
187,188,188,Trevor Immelman,22,59.2,173,292,+3.01
188,189,189,Tommy Gainey,24,59.8,156,261,+2.63
189,190,190,Ryan Armour,32,60.0,192,320,+3.13
190,191,191,Stewart Cink,23,60.9,238,391,+1.89
191,192,192,Billy Mayfair,29,61.7,226,366,+1.24
192,193,193,Corey Pavin,20,61.9,143,231,+2.24
193,194,194,Fred Couples,18,62.0,189,305,+2.06
194,195,195,Tom Lehman,17,62.3,114,183,+2.89
195,196,196,Parker McLachlin,27,62.5,282,451,+0.78
196,197,197,Bob Sowards,22,63.3,179,283,+2.68
