,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
77,T75,T75,Tim Petrovic,32,183,129,54
78,T79,T79,Ted Purdy,25,184,54,130
79,T79,T79,Bubba Watson,29,184,1,183
80,T81,T81,Fred Couples,18,185,16,169
81,T81,T81,Kevin Stadler,30,185,68,117
82,T81,T81,Omar Uresti,24,185,183,2
83,T84,T84,Padraig Harrington,15,186,32,154
84,T84,T84,Zach Johnson,25,186,181,5
85,86,86,Scott Sterling,28,188,125,63
86,T87,T87,Jim Furyk,26,190,162,28
87,T87,T87,Doug LaBelle II,22,190,153,37
88,T89,T89,Justin Bolli,28,191,125,66
89,T89,T89,Ron Whittaker,22,191,177,14
90,T91,T91,Cameron Beckman,29,192,150,42
91,T91,T91,George McNeill,29,192,40,152
92,T91,T91,Kevin Sutherland,26,192,71,121
93,T91,T91,Vaughn Taylor,32,192,82,110
94,T95,T95,Adam Scott,15,193,8,185
95,T95,T95,Y.E. Yang,29,193,100,93
96,T97,T97,Olin Browne,27,195,194,1
97,T97,T97,Dustin Johnson,30,195,4,191
98,T97,T97,John Mallinger,29,195,169,26
99,T97,T97,Nick O'Hern,26,195,183,12
100,T97,T97,Marc Turnesa,29,195,117,78
101,T102,T102,Sergio Garcia,19,196,43,153
102,T102,T102,Justin Leonard,25,196,156,40
103,104,104,Kevin Na,29,197,158,39
104,T105,T105,Paul Claxton,23,198,180,18
105,T105,T105,J.B. Holmes,26,198,3,195
106,T105,T105,Brandt Jobe,19,198,21,177
107,108,108,Bob Estes,28,201,145,56
108,109,109,Brad Elder,23,202,78,124
109,T110,T110,Jason Allred,23,206,22,184
110,T110,T110,Travis Perkins,23,206,16,190
111,T112,T112,Frank Lickliter II,32,207,125,82
112,T112,T112,Sean O'Hair,25,207,69,138
113,T114,T114,Shane Bertsch,29,208,187,21
114,T114,T114,Alejandro Cañizares,16,208,97,111
115,T116,T116,Ángel Cabrera,17,209,13,196
116,T116,T116,Stewart Cink,23,209,28,181
117,T116,T116,Paul Goydos,25,209,190,19
118,T116,T116,Jon Mills,32,209,51,158
119,120,120,Gavin Coles,16,210,195,15
120,T121,T121,Brenden Pappas,24,211,42,169
121,T121,T121,Andres Romero,20,211,19,192
122,T121,T121,Bob Tway,20,211,167,44
123,T124,T124,Mark Calcavecchia,25,213,139,74
124,T124,T124,Brian Gay,31,213,196,17
125,T124,T124,Will MacKenzie,21,213,108,105
126,T124,T124,Jeff Overton,32,213,26,187
127,128,128,Glen Day,19,215,183,32
128,T129,T129,David Lutterus,23,216,84,132
129,T129,T129,Phil Mickelson,21,216,35,181
130,T129,T129,Brett Quigley,25,216,94,122
131,T129,T129,Camilo Villegas,22,216,50,166
132,T133,T133,Richard Johnson,29,217,29,188
133,T133,T133,Peter Lonard,30,217,153,64
134,T135,T135,Alex Cejka,25,218,142,76
135,T135,T135,David Toms,20,218,146,72
136,T135,T135,Tim Wilkinson,29,218,165,53
137,T138,T138,Craig Kanada,23,219,192,27
138,T138,T138,Jin Park,30,219,186,33
139,T138,T138,Bob Sowards,22,219,84,135
140,T138,T138,Kyle Thompson,26,219,111,108
141,T142,T142,J.P. Hayes,26,222,124,98
142,T142,T142,Geoff Ogilvy,20,222,57,165
143,T144,T144,Aaron Baddeley,22,223,73,150
144,T144,T144,Charles Howell III,31,223,48,175
145,T144,T144,Greg Kraft,21,223,189,34
146,T144,T144,Chris Riley,17,223,168,55
147,148,148,Mike Weir,26,225,119,106
148,149,149,Corey Pavin,20,226,197,29
149,T150,T150,James Driscoll,28,229,40,189
150,T150,T150,Jesper Parnevik,29,229,93,136
151,T150,T150,Jimmy Walker,24,229,36,193
152,153,153,Ken Duke,33,230,118,112
153,154,154,K.J. Choi,21,232,106,126
154,T155,T155,Lee Janzen,28,233,132,101
155,T155,T155,Matt Jones,31,233,47,186
156,T157,T157,Richard Johnson,21,235,146,89
157,T157,T157,Jerry Kelly,31,235,176,59
158,T157,T157,Tom Lehman,17,235,148,87
159,T160,T160,Stephen Ames,24,236,133,103
160,T160,T160,Stuart Appleby,23,236,72,164
161,162,162,Ernie Els,16,237,64,173
162,163,163,Daniel Chopra,27,238,44,194
163,164,164,Mark Hensby,26,239,79,160
164,T165,T165,Tim Clark,27,240,157,83
165,T165,T165,Stephen Leaney,17,240,191,49
166,167,167,Brad Adamonis,29,242,75,167
167,168,168,Steve Lowery,25,243,99,144
168,169,169,Marco Dawson,21,247,106,141
169,170,170,Tom Pernice Jr.,30,251,161,90
170,171,171,Carl Pettersson,29,253,108,145
171,T172,T172,Matt Kuchar,27,255,182,73
172,T172,T172,Jim McGovern,26,255,163,92
173,174,174,Rocco Mediate,27,256,170,86
174,175,175,Cody Freeman,26,257,86,171
175,176,176,Parker McLachlin,27,262,105,157
176,177,177,Eric Axley,35,264,88,176
177,T178,T178,Retief Goosen,18,271,97,174
178,T178,T178,Cliff Kresge,28,271,158,113
179,T178,T178,Johnson Wagner,26,271,138,133
180,181,181,Chris DiMarco,29,274,175,99
181,182,182,Carlos Franco,25,275,112,163
182,183,183,Ian Poulter,15,281,135,146
183,184,184,Nathan Green,30,283,134,149
184,T185,T185,Steve Flesch,29,284,150,134
185,T185,T185,Freddie Jacobson,24,284,142,142
186,187,187,Billy Andrade,24,292,137,155
187,188,188,Brandt Snedeker,26,297,160,137
188,189,189,Dean Wilson,32,301,178,123
189,190,190,Dudley Hart,22,308,179,129
190,191,191,David Duval,20,310,113,197
191,192,192,Jeff Quinney,28,312,193,119
192,193,193,Steve Stricker,22,313,135,178
193,194,194,Ryuji Imada,25,317,170,147
194,195,195,Brett Rumford,26,322,142,180
195,196,196,Chad Collins,24,330,174,156
196,197,197,Shigeki Maruyama,18,360,188,172
