,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
48,T47,T47,Mike Weir,26,"22' 6""",5955.3330000000005,265
49,T50,T50,Scott McCarron,22,"22' 8""",3631.667,160
50,T50,T50,Ian Poulter,15,"22' 8""",3675.25,162
51,T50,T50,Charlie Wi,27,"22' 8""",6095.6669999999995,269
52,T53,T53,Tommy Armour III,25,"22' 10""",4797.417,210
53,T53,T53,Greg Kraft,21,"22' 10""",3335.083,146
54,T53,T53,Will MacKenzie,21,"22' 10""",4860.417,213
55,T56,T56,Alejandro Cañizares,16,"22' 11""",4301.667,188
56,T56,T56,Michael Letzig,29,"22' 11""",5015.5,219
57,T58,T58,Ryan Armour,32,"23' 0""",4467.0,194
58,T58,T58,Paul Claxton,23,"23' 0""",2665.75,116
59,T58,T58,John Huston,18,"23' 0""",2438.083,106
60,T58,T58,Kevin Streelman,32,"23' 0""",8241.75,358
61,T62,T62,Sean O'Hair,25,"23' 1""",6196.0,268
62,T62,T62,Jin Park,30,"23' 1""",4863.583,211
63,T62,T62,Camilo Villegas,22,"23' 1""",5672.4169999999995,246
64,T65,T65,Chez Reavie,30,"23' 2""",5395.0,233
65,T65,T65,John Rollins,28,"23' 2""",5889.0,254
66,T65,T65,Nick Watney,27,"23' 2""",7817.5,337
67,68,68,Chris Stroud,29,"23' 3""",5021.667,216
68,T69,T69,Lucas Glover,26,"23' 4""",6614.4169999999995,283
69,T69,T69,Mark Wilson,29,"23' 4""",7152.5,307
70,71,71,John Mallinger,29,"23' 5""",5971.0,255
71,T72,T72,Robert Allenby,28,"23' 6""",8224.333,350
72,T72,T72,Woody Austin,30,"23' 6""",6997.0,298
73,T72,T72,Olin Browne,27,"23' 6""",2912.0,124
74,T72,T72,J.P. Hayes,26,"23' 6""",4613.75,196
75,T72,T72,Stephen Leaney,17,"23' 6""",3149.917,134
76,T72,T72,Marc Turnesa,29,"23' 6""",6282.3330000000005,267
77,78,78,Doug LaBelle II,22,"23' 9""",3799.75,160
78,T79,T79,Jason Gore,33,"23' 10""",6397.25,268
79,T79,T79,Hunter Mahan,27,"23' 10""",6567.1669999999995,276
80,T79,T79,Scott Sterling,28,"23' 10""",5415.5,227
81,T82,T82,Chris DiMarco,29,"24' 0""",6637.1669999999995,277
82,T82,T82,Kent Jones,23,"24' 0""",3307.417,138
83,T84,T84,Frank Lickliter II,32,"24' 1""",8619.083,358
84,T84,T84,Shigeki Maruyama,18,"24' 1""",4336.0,180
85,T84,T84,Tim Petrovic,32,"24' 1""",6784.5830000000005,282
86,T84,T84,Charles Warren,29,"24' 1""",5860.9169999999995,243
87,T88,T88,Brandt Snedeker,26,"24' 2""",7230.9169999999995,299
88,T88,T88,Nicholas Thompson,36,"24' 2""",7595.9169999999995,314
89,T88,T88,D.J. Trahan,27,"24' 2""",6335.0830000000005,262
90,T91,T91,Mathias Grönberg,30,"24' 3""",6847.4169999999995,282
91,T91,T91,John Merrick,28,"24' 3""",6717.4169999999995,277
92,T93,T93,Alex Cejka,25,"24' 4""",4593.5,189
93,T93,T93,J.J. Henry,34,"24' 4""",8907.583,366
94,T93,T93,Jeff Maggert,28,"24' 4""",6628.6669999999995,272
95,T93,T93,Vijay Singh,23,"24' 4""",6968.3330000000005,286
96,T97,T97,Jonathan Byrd,27,"24' 5""",5723.0,234
97,T97,T97,Ken Duke,33,"24' 5""",9290.917,380
98,99,99,Ryan Palmer,22,"24' 7""",3909.5,159
99,T100,T100,Justin Bolli,28,"24' 8""",5406.25,219
100,T100,T100,Ryan Moore,24,"24' 8""",5305.75,215
101,T100,T100,Kevin Stadler,30,"24' 8""",6808.5,276
102,103,103,Tom Lehman,17,"24' 10""",3225.833,130
103,104,104,Patrick Sheehan,35,"24' 11""",8428.583,338
104,T105,T105,Stuart Appleby,23,"25' 0""",7343.0830000000005,294
105,T105,T105,Nick Flanagan,29,"25' 0""",7716.0830000000005,309
106,T105,T105,Freddie Jacobson,24,"25' 0""",5743.4169999999995,230
107,T105,T105,Kenny Perry,26,"25' 0""",8549.333,342
108,T105,T105,Chris Riley,17,"25' 0""",1949.5829999999999,78
109,T105,T105,Kevin Sutherland,26,"25' 0""",8619.167,345
110,T111,T111,Chad Campbell,28,"25' 1""",8521.833,340
111,T111,T111,Anthony Kim,22,"25' 1""",7421.5830000000005,296
112,T113,T113,Steve Lowery,25,"25' 2""",6468.0,257
113,T113,T113,Pat Perez,27,"25' 2""",6992.5830000000005,278
114,T113,T113,Kyle Thompson,26,"25' 2""",5029.0,200
115,T116,T116,Briny Baird,30,"25' 3""",8944.917,354
116,T116,T116,Bob Sowards,22,"25' 3""",3933.583,156
117,T116,T116,Vaughn Taylor,32,"25' 3""",8622.333,341
118,119,119,Ted Purdy,25,"25' 4""",5320.3330000000005,210
119,120,120,Joe Ogilvie,29,"25' 5""",7627.25,300
120,T121,T121,Geoff Ogilvy,20,"25' 8""",5497.9169999999995,214
121,T121,T121,Travis Perkins,23,"25' 8""",3776.333,147
122,T121,T121,Jeff Quinney,28,"25' 8""",7113.4169999999995,277
123,T124,T124,Steve Marino,32,"25' 10""",9460.167,366
124,T124,T124,Jim McGovern,26,"25' 10""",4182.833,162
125,T126,T126,Dudley Hart,22,"25' 11""",6560.0,253
126,T126,T126,Rory Sabbatini,23,"25' 11""",7628.3330000000005,294
127,T126,T126,Dean Wilson,32,"25' 11""",8453.333,326
128,129,129,Steve Flesch,29,"26' 0""",8114.75,312
129,T130,T130,Mathew Goggin,27,"26' 1""",7633.0,293
130,T130,T130,Martin Laird,29,"26' 1""",8384.667,321
131,T132,T132,Mark Hensby,26,"26' 2""",7274.75,278
132,T132,T132,Trevor Immelman,22,"26' 2""",6168.5830000000005,236
133,T134,T134,Retief Goosen,18,"26' 3""",4889.333,186
134,T134,T134,Jon Mills,32,"26' 3""",7902.9169999999995,301
135,T134,T134,John Senden,28,"26' 3""",7385.25,281
136,137,137,Paul Casey,16,"26' 5""",4148.333,157
137,138,138,Brad Elder,23,"26' 6""",4458.917,168
138,T139,T139,Brad Adamonis,29,"26' 7""",8309.833,313
139,T139,T139,Steve Allan,21,"26' 7""",4256.583,160
140,T139,T139,Todd Hamilton,28,"26' 7""",5742.0830000000005,216
141,T139,T139,Carl Pettersson,29,"26' 7""",11633.833,438
142,T143,T143,Tommy Gainey,24,"26' 10""",4583.833,171
143,T143,T143,Tim Herron,28,"26' 10""",8749.5,326
144,T143,T143,Parker McLachlin,27,"26' 10""",7972.6669999999995,297
145,T146,T146,Aaron Baddeley,22,"27' 1""",7330.6669999999995,271
146,T146,T146,Nathan Green,30,"27' 1""",10326.583,381
147,T146,T146,Charley Hoffman,29,"27' 1""",7823.9169999999995,289
148,T149,T149,Bill Haas,31,"27' 2""",8912.75,328
149,T149,T149,Tom Scherrer,20,"27' 2""",4190.0,154
150,151,151,Brandt Jobe,19,"27' 4""",4211.75,154
151,152,152,Ryuji Imada,25,"27' 5""",8830.5,322
152,153,153,Phil Mickelson,21,"27' 6""",8454.917,307
153,154,154,George McNeill,29,"27' 7""",10512.25,381
154,155,155,Y.E. Yang,29,"27' 8""",8863.167,320
155,T156,T156,Ernie Els,16,"27' 9""",5164.5,186
156,T156,T156,Sergio Garcia,19,"27' 9""",7100.1669999999995,256
157,T156,T156,Davis Love III,23,"27' 9""",7875.8330000000005,284
158,T156,T156,Jeff Overton,32,"27' 9""",11507.083,415
159,160,160,Marco Dawson,21,"28' 1""",4356.417,155
160,T161,T161,Harrison Frazar,23,"28' 2""",5131.667,182
161,T161,T161,Lee Janzen,28,"28' 2""",7152.75,254
162,T161,T161,Steve Stricker,22,"28' 2""",8318.667,295
163,164,164,Cody Freeman,26,"28' 3""",6729.5,238
164,T165,T165,Todd Demsey,25,"28' 4""",5699.4169999999995,201
165,T165,T165,David Lutterus,23,"28' 4""",4957.75,175
166,167,167,Ron Whittaker,22,"28' 6""",2790.083,98
167,T168,T168,Fred Couples,18,"28' 9""",6411.25,223
168,T168,T168,Adam Scott,15,"28' 9""",5925.0,206
169,T170,T170,Daniel Chopra,27,"28' 10""",10176.5,353
170,T170,T170,Charles Howell III,31,"28' 10""",11805.833,410
171,172,172,Robert Garrigus,29,"29' 0""",9162.5,316
172,T173,T173,James Driscoll,28,"29' 1""",9931.25,341
173,T173,T173,Troy Matteson,30,"29' 1""",10111.083,348
174,T175,T175,Brett Quigley,25,"29' 2""",8770.333,301
175,T175,T175,Andres Romero,20,"29' 2""",8593.583,295
176,177,177,Billy Andrade,24,"29' 4""",6278.5830000000005,214
177,T178,T178,Chad Collins,24,"29' 5""",7242.5830000000005,246
178,T178,T178,Brenden Pappas,24,"29' 5""",5888.4169999999995,200
179,180,180,Tag Ridings,29,"29' 6""",8947.5,303
180,181,181,Dustin Johnson,30,"30' 3""",10483.333,347
181,182,182,Jesper Parnevik,29,"30' 4""",9433.5,311
182,183,183,Matt Jones,31,"30' 5""",12351.917,406
183,184,184,Bubba Watson,29,"30' 9""",10030.75,326
184,185,185,Johnson Wagner,26,"31' 0""",8253.417,266
185,186,186,Richard Johnson,29,"31' 6""",9945.417,316
186,187,187,Carlos Franco,25,"31' 9""",8504.917,268
187,T188,T188,Jason Day,28,"31' 11""",8938.333,280
188,T188,T188,Brett Rumford,26,"31' 11""",7505.5,235
189,190,190,Jason Allred,23,"32' 2""",6117.6669999999995,190
190,191,191,Ángel Cabrera,17,"32' 10""",8181.1669999999995,249
191,192,192,Eric Axley,35,"32' 11""",13882.917,422
192,193,193,Padraig Harrington,15,"33' 3""",5154.083,155
193,194,194,Stewart Cink,23,"33' 6""",11114.417,332
194,195,195,Jimmy Walker,24,"33' 9""",8813.583,261
195,196,196,J.B. Holmes,26,"35' 7""",12832.0,361
196,197,197,David Duval,20,"37' 1""",7305.0830000000005,197
