,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
91,T90,T90,Ryan Moore,72,280.5,246869,880
92,T93,T93,Tommy Armour III,77,280.4,257144,917
93,T93,T93,Carl Pettersson,110,280.4,379701,1354
94,T95,T95,Steve Stricker,75,280.3,227601,812
95,T95,T95,Y.E. Yang,89,280.3,313338,1118
96,97,97,Joe Durant,92,280.2,308253,1100
97,T98,T98,Mark Calcavecchia,67,280.1,211754,756
98,T98,T98,Mike Weir,88,280.1,259953,928
99,T100,T100,Trevor Immelman,70,280.0,210538,752
100,T100,T100,Frank Lickliter II,107,280.0,389794,1392
101,T100,T100,Will MacKenzie,62,280.0,221730,792
102,T100,T100,Vaughn Taylor,103,280.0,367883,1314
103,104,104,Ben Curtis,80,279.8,246805,882
104,T105,T105,Jonathan Byrd,88,279.6,300833,1076
105,T105,T105,Brad Elder,67,279.6,210289,752
106,T107,T107,Eric Axley,113,279.5,381853,1366
107,T107,T107,Chad Campbell,94,279.5,331433,1186
108,T107,T107,David Duval,51,279.5,159875,572
109,T107,T107,Retief Goosen,59,279.5,163791,586
110,T111,T111,Ben Crane,86,279.4,292239,1046
111,T111,T111,Brett Rumford,72,279.4,236933,848
112,T113,T113,Michael Allen,91,279.3,304406,1090
113,T113,T113,Tom Scherrer,56,279.3,171502,614
114,T113,T113,Mark Wilson,107,279.3,405539,1452
115,T116,T116,Ken Duke,116,279.1,407991,1462
116,T116,T116,Peter Lonard,92,279.1,310877,1114
117,T116,T116,David Lutterus,59,279.1,193940,695
118,T116,T116,David Toms,70,279.1,218268,782
119,T116,T116,Charlie Wi,97,279.1,342171,1226
120,T121,T121,Marco Dawson,64,279.0,209266,750
121,T121,T121,Jesper Parnevik,88,279.0,291604,1045
122,T123,T123,Jeff Gove,50,278.8,171454,615
123,T123,T123,Todd Hamilton,92,278.8,287473,1031
124,T125,T125,Steve Elkington,84,278.7,283756,1018
125,T125,T125,Johnson Wagner,83,278.7,264729,950
126,T127,T127,Justin Bolli,87,278.4,284516,1022
127,T127,T127,Carlos Franco,73,278.4,244450,878
128,T127,T127,Tim Petrovic,97,278.4,314570,1130
129,T130,T130,Freddie Jacobson,78,278.3,249355,896
130,T130,T130,Ian Poulter,51,278.3,140249,504
131,T132,T132,Stephen Ames,83,278.2,256788,923
132,T132,T132,J.P. Hayes,67,278.2,244220,878
133,134,134,Brett Quigley,80,277.8,282834,1018
134,T135,T135,Justin Leonard,101,277.7,284912,1026
135,T135,T135,Brandt Snedeker,85,277.7,260469,938
136,137,137,Briny Baird,113,277.5,371302,1338
137,T138,T138,Steve Flesch,95,277.3,313357,1130
138,T138,T138,Jay Williamson,96,277.3,310027,1118
139,T140,T140,Cameron Beckman,87,277.2,285791,1031
140,T140,T140,Billy Mayfair,103,277.2,367539,1326
141,142,142,Nathan Green,95,277.0,350714,1266
142,T143,T143,Jim Furyk,95,276.9,291811,1054
143,T143,T143,Scott McCarron,63,276.9,209334,756
144,145,145,Tim Clark,90,276.7,282793,1022
145,T146,T146,Alex Cejka,75,276.6,231252,836
146,T146,T146,Patrick Sheehan,124,276.6,404044,1461
147,T148,T148,Alejandro Cañizares,52,276.5,157583,570
148,T148,T148,Scott Sterling,89,276.5,285300,1032
149,150,150,Billy Andrade,71,276.4,238227,862
150,151,151,Tom Lehman,51,276.3,147009,532
151,152,152,Kent Jones,68,275.8,211228,766
152,T153,T153,Rocco Mediate,87,275.3,265420,964
153,T153,T153,Marc Turnesa,87,275.3,291870,1060
154,155,155,Bob Estes,90,275.2,329658,1198
155,156,156,Cliff Kresge,84,275.1,279459,1016
156,157,157,Kevin Na,97,275.0,348960,1269
157,158,158,Bob Tway,70,274.9,218269,794
158,T159,T159,Brian Davis,108,274.7,390613,1422
159,T159,T159,Robert Gamez,79,274.7,271413,988
160,T159,T159,Ryuji Imada,80,274.7,260409,948
161,T162,T162,Tom Pernice Jr.,104,274.6,374602,1364
162,T162,T162,Chez Reavie,102,274.6,343799,1252
163,T162,T162,Scott Verplank,82,274.6,250460,912
164,T162,T162,Tim Wilkinson,95,274.6,306967,1118
165,166,166,Doug LaBelle II,65,274.4,195956,714
166,167,167,Heath Slocum,104,274.2,329097,1200
167,168,168,Lee Janzen,89,274.1,285858,1043
168,169,169,Zach Johnson,85,274.0,273408,998
169,170,170,John Mallinger,95,273.8,320036,1169
170,171,171,Jerry Kelly,89,273.0,281691,1032
171,T172,T172,Dudley Hart,74,272.9,255983,938
172,T172,T172,Jim McGovern,75,272.9,239605,878
173,T172,T172,Omar Uresti,74,272.9,239607,878
174,T175,T175,Bart Bryant,81,272.8,254797,934
175,T175,T175,Chris DiMarco,87,272.8,289191,1060
176,177,177,Matt Kuchar,88,272.7,267224,980
177,178,178,Richard Johnson,60,272.6,185945,682
178,179,179,Dean Wilson,109,272.1,352583,1296
179,180,180,Greg Kraft,63,271.8,189733,698
180,181,181,Chris Riley,51,271.7,151091,556
181,182,182,Glen Day,64,271.3,211348,779
182,183,183,Chad Collins,72,271.1,238017,878
183,184,184,Ron Whittaker,54,270.7,154296,570
184,185,185,Nick O'Hern,82,270.1,267967,992
185,186,186,Shane Bertsch,96,270.0,337984,1252
186,187,187,Paul Goydos,78,269.8,253361,939
187,T188,T188,Paul Claxton,63,269.7,187745,696
188,T188,T188,Jin Park,85,269.7,262728,974
189,190,190,Craig Kanada,65,269.5,206957,768
190,191,191,Olin Browne,77,268.7,261745,974
191,192,192,Shigeki Maruyama,50,268.6,156046,581
192,193,193,Stephen Leaney,53,268.1,168336,628
193,194,194,Jeff Quinney,87,267.6,273258,1021
194,195,195,Gavin Coles,54,266.2,162927,612
195,196,196,Brian Gay,102,265.8,319551,1202
196,197,197,Corey Pavin,69,254.7,197641,776
