,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
32,33,33,Vijay Singh,82,188.4,11117.7,59,200.6,168.9
33,34,34,Matt Jones,95,188.0,13161.0,70,205.6,166.4
34,T35,T35,Kevin Streelman,114,187.8,16151.0,86,201.7,162.2
35,T35,T35,Bo Van Pelt,101,187.8,14274.2,76,206.4,174.8
36,37,37,Padraig Harrington,52,187.7,4504.9,24,198.6,166.3
37,T38,T38,Woody Austin,109,187.5,16313.9,87,202.3,164.1
38,T38,T38,Aaron Baddeley,76,187.5,9564.0,51,203.4,163.7
39,T38,T38,Geoff Ogilvy,65,187.5,8626.0,46,202.0,168.2
40,41,41,Ryan Palmer,69,187.0,7666.9,41,199.4,149.5
41,T42,T42,Jason Day,81,186.5,13242.6,71,200.7,150.0
42,T42,T42,Jimmy Walker,73,186.5,8949.9,48,204.0,159.5
43,T44,T44,Phil Mickelson,80,186.3,9314.6,50,204.6,164.2
44,T44,T44,Andres Romero,69,186.3,7638.4,41,205.0,164.2
45,46,46,Jonathan Byrd,88,186.2,14340.5,77,198.7,162.0
46,47,47,Boo Weekley,86,186.1,11907.5,64,211.8,156.6
47,48,48,Steve Allan,58,186.0,7625.2,41,199.9,157.5
48,T49,T49,David Duval,51,185.7,5385.6,29,208.0,124.3
49,T49,T49,Nicholas Thompson,113,185.7,16152.2,87,200.5,165.7
50,51,51,Carlos Franco,73,185.0,8139.1,44,204.7,157.5
51,52,52,Trevor Immelman,70,184.7,9050.7,49,198.7,148.2
52,53,53,Bob Sowards,61,184.3,7741.2,42,195.0,163.2
53,T54,T54,Robert Allenby,108,184.1,13991.7,76,196.5,166.7
54,T54,T54,Johnson Wagner,83,184.1,11784.4,64,199.2,169.7
55,56,56,Sean O'Hair,81,184.0,11225.4,61,197.1,149.9
56,57,57,Brad Adamonis,87,183.9,12508.5,68,201.1,163.6
57,T58,T58,Mathew Goggin,91,183.7,12122.2,66,198.2,168.6
58,T58,T58,John Huston,56,183.7,8082.4,44,196.1,169.8
59,60,60,John Rollins,94,183.4,13390.9,73,195.7,166.7
60,61,61,Kevin Sutherland,98,183.3,14846.0,81,196.1,163.5
61,62,62,Nick Flanagan,89,183.2,13190.0,72,201.2,158.4
62,T63,T63,Stuart Appleby,87,183.1,11352.6,62,196.9,168.4
63,T63,T63,John Merrick,98,183.1,12635.4,69,196.6,164.7
64,65,65,Brett Quigley,80,182.8,10966.0,60,206.2,79.6
65,T66,T66,Brenden Pappas,66,182.7,7308.0,40,198.7,155.7
66,T66,T66,Steve Stricker,75,182.7,9681.0,53,197.9,167.4
67,T68,T68,Mathias Grönberg,87,182.5,11318.0,62,195.5,165.7
68,T68,T68,Todd Hamilton,92,182.5,8030.6,44,197.0,144.5
69,T68,T68,Y.E. Yang,89,182.5,12776.2,70,194.7,156.6
70,71,71,D.J. Trahan,94,182.4,12948.9,71,194.6,156.4
71,72,72,Ted Purdy,68,182.2,7835.3,43,196.0,162.0
72,73,73,Joe Durant,92,182.1,13472.7,74,197.6,139.8
73,T74,T74,Michael Letzig,88,181.9,12186.4,67,199.4,156.3
74,T74,T74,Jon Mills,95,181.9,9823.7,54,198.5,160.0
75,T74,T74,Brett Rumford,72,181.9,10002.7,55,196.5,151.7
76,77,77,Kenny Perry,97,181.8,15088.2,83,196.9,144.5
77,T78,T78,Nathan Green,95,181.7,12174.5,67,196.5,164.4
78,T78,T78,Camilo Villegas,79,181.7,10358.2,57,198.2,130.7
79,80,80,Billy Andrade,71,181.6,8896.6,49,193.2,163.9
80,T81,T81,Rich Beem,90,181.4,13061.2,72,193.9,161.7
81,T81,T81,Steve Lowery,74,181.4,11248.5,62,196.6,161.8
82,83,83,Marc Turnesa,87,181.2,12141.3,67,194.6,161.1
83,T84,T84,Todd Demsey,80,181.1,11408.9,63,195.8,163.5
84,T84,T84,Will MacKenzie,62,181.1,9959.0,55,193.1,151.0
85,86,86,Tommy Gainey,60,180.7,7047.0,39,202.8,156.7
86,T87,T87,Chad Campbell,94,180.4,15876.2,88,196.3,164.1
87,T87,T87,Steve Marino,119,180.4,15514.0,86,197.7,163.0
88,89,89,Jeff Overton,103,180.2,13152.7,73,202.0,132.7
89,T90,T90,Stephen Ames,83,179.9,13129.7,73,205.9,141.2
90,T90,T90,J.J. Henry,108,179.9,15471.0,86,202.5,145.5
91,T90,T90,John Riegger,73,179.9,9713.6,54,192.7,162.7
92,T90,T90,Kevin Stadler,90,179.9,10071.8,56,195.3,149.3
93,94,94,Jim Furyk,95,179.8,14746.5,82,194.0,156.4
94,95,95,Lee Janzen,89,179.7,12038.2,67,193.5,157.2
95,T96,T96,Hunter Mahan,87,179.6,12390.4,69,194.5,141.3
96,T96,T96,Rory Sabbatini,77,179.6,10957.2,61,200.0,145.5
97,98,98,Scott McCarron,63,179.4,8971.7,50,189.4,163.4
98,99,99,Rocco Mediate,87,179.3,11656.4,65,191.4,161.4
99,T100,T100,Brad Elder,67,179.1,8419.3,47,194.8,153.6
100,T100,T100,Ernie Els,51,179.1,6807.2,38,190.8,158.8
101,102,102,Briny Baird,113,178.9,15204.6,85,199.7,159.4
102,103,103,Frank Lickliter II,107,178.8,15909.3,89,192.7,160.7
103,104,104,Retief Goosen,59,178.6,6606.4,37,196.3,153.0
104,105,105,Chris DiMarco,87,178.4,12844.6,72,193.3,152.3
105,106,106,Charlie Wi,97,178.3,14799.6,83,200.1,157.4
106,T107,T107,Carl Pettersson,110,178.0,16198.4,91,193.7,156.2
107,T107,T107,Jay Williamson,96,178.0,11924.0,67,190.7,164.7
108,T109,T109,K.J. Choi,74,177.9,10850.6,61,196.3,160.2
109,T109,T109,Parker McLachlin,88,177.9,11918.5,67,203.7,159.8
110,111,111,Chris Stroud,81,177.6,11191.0,63,203.3,155.4
111,T112,T112,Ben Curtis,80,177.5,11538.9,65,197.9,157.8
112,T112,T112,Tim Herron,97,177.5,13315.5,75,192.7,157.9
113,114,114,Jesper Parnevik,88,177.0,12569.6,71,197.5,151.3
114,115,115,Tim Petrovic,97,176.9,12560.8,71,196.4,152.9
115,116,116,Mark Calcavecchia,67,176.7,8127.8,46,190.6,147.2
116,117,117,Ian Poulter,51,176.5,6529.5,37,187.1,166.8
117,T118,T118,Cody Freeman,66,176.3,8284.4,47,194.2,145.6
118,T118,T118,Ryuji Imada,80,176.3,11107.9,63,190.6,163.7
119,T118,T118,Ryan Moore,72,176.3,9520.1,54,192.0,153.7
120,121,121,Joe Ogilvie,100,176.2,14094.0,80,191.1,158.6
121,122,122,Justin Leonard,101,175.9,13547.2,77,188.7,150.2
122,T123,T123,Justin Bolli,87,175.7,11946.6,68,189.1,140.0
123,T123,T123,Marco Dawson,64,175.7,7730.8,44,193.3,148.6
124,T123,T123,Rod Pampling,83,175.7,10717.4,61,199.0,155.9
125,T126,T126,Michael Allen,91,175.5,12110.7,69,198.3,144.3
126,T126,T126,Alex Cejka,75,175.5,9126.5,52,185.6,158.1
127,T126,T126,Steve Flesch,95,175.5,13337.7,76,188.9,146.9
128,T129,T129,Eric Axley,113,175.4,14736.1,84,192.7,146.3
129,T129,T129,Tom Lehman,51,175.4,6489.3,37,184.5,163.3
130,131,131,Freddie Jacobson,78,175.3,10869.6,62,190.4,131.2
131,132,132,Mark Wilson,107,175.1,18210.3,104,186.4,152.4
132,133,133,Mike Weir,88,174.8,11361.4,65,189.4,157.2
133,T134,T134,Ryan Armour,87,174.5,11345.0,65,190.0,147.5
134,T134,T134,Kent Jones,68,174.5,8550.1,49,194.3,154.1
135,136,136,Billy Mayfair,103,174.4,15345.5,88,185.5,156.6
136,137,137,Ben Crane,86,174.3,12549.5,72,185.8,155.6
137,138,138,Ken Duke,116,174.2,15854.8,91,191.0,146.6
138,139,139,Kevin Na,97,174.1,13930.5,80,191.3,150.1
139,140,140,David Toms,70,174.0,9221.8,53,184.3,148.7
140,141,141,Mark Hensby,71,173.8,9386.5,54,191.4,152.8
141,T142,T142,David Lutterus,59,173.7,7469.9,43,186.8,139.1
142,T142,T142,Ron Whittaker,54,173.7,6426.7,37,185.7,153.3
143,144,144,Kyle Thompson,70,173.6,9547.6,55,191.0,138.0
144,145,145,Cliff Kresge,84,173.4,11791.4,68,186.6,153.0
145,T146,T146,Tommy Armour III,77,173.1,9867.5,57,190.2,146.6
146,T146,T146,Tom Scherrer,56,173.1,6404.9,37,190.3,144.7
147,T148,T148,Dudley Hart,74,173.0,10899.3,63,190.4,152.9
148,T148,T148,Patrick Sheehan,124,173.0,16089.8,93,186.0,150.8
149,T148,T148,Dean Wilson,109,173.0,14535.0,84,186.2,143.6
150,151,151,Chad Collins,72,172.6,10185.9,59,187.4,135.8
151,152,152,Chris Riley,51,172.5,5349.0,31,187.8,138.8
152,153,153,Jeff Gove,50,172.4,6549.7,38,185.2,153.9
153,154,154,Omar Uresti,74,172.3,9305.6,54,183.9,150.4
154,T155,T155,Kenneth Ferrie,72,172.0,9460.3,55,186.2,151.7
155,T155,T155,Tim Wilkinson,95,172.0,12555.7,73,186.2,146.4
156,T157,T157,Cameron Beckman,87,170.9,10252.8,60,189.5,140.9
157,T157,T157,Tom Pernice Jr.,104,170.9,16407.8,96,188.3,143.3
158,T159,T159,Jeff Maggert,86,170.8,13148.0,77,186.9,148.8
159,T159,T159,Bob Tway,70,170.8,8197.4,48,187.3,154.6
160,T161,T161,Doug LaBelle II,65,170.7,7000.0,41,185.2,149.2
161,T161,T161,Brandt Snedeker,85,170.7,11780.1,69,185.8,146.1
162,163,163,Alejandro Cañizares,52,170.6,6826.0,40,184.9,128.9
163,164,164,Scott Sterling,89,170.5,10739.1,63,185.5,133.3
164,165,165,Vaughn Taylor,103,170.3,14476.3,85,185.1,147.8
165,166,166,Stephen Leaney,53,170.2,6637.6,39,184.1,149.0
166,167,167,Richard Johnson,60,170.1,7992.8,47,187.0,132.4
167,168,168,Tim Clark,90,169.9,11214.5,66,185.4,149.1
168,T169,T169,Jim McGovern,75,169.8,9848.3,58,191.8,140.2
169,T169,T169,Chez Reavie,102,169.8,15283.4,90,184.3,144.6
170,171,171,Brian Davis,108,169.6,16279.6,96,186.8,146.9
171,172,172,Zach Johnson,85,169.5,12372.1,73,181.9,154.6
172,173,173,Matt Kuchar,88,169.3,10835.3,64,181.1,145.9
173,174,174,Bob Estes,90,169.2,12010.3,71,187.1,146.3
174,175,175,Peter Lonard,92,168.7,12991.2,77,184.5,137.1
175,176,176,Jeff Quinney,87,168.5,10279.2,61,179.3,138.0
176,177,177,Robert Gamez,79,168.3,10768.9,64,182.6,134.3
177,178,178,Heath Slocum,104,168.1,14794.8,88,184.1,102.3
178,179,179,Bart Bryant,81,167.7,11070.9,66,182.5,146.1
179,180,180,Jerry Kelly,89,167.6,12238.0,73,180.6,142.6
180,181,181,John Mallinger,95,167.4,12723.6,76,179.8,148.8
181,182,182,J.P. Hayes,67,167.2,10031.7,60,179.1,148.2
182,183,183,Steve Elkington,84,167.1,10195.7,61,185.7,143.9
183,184,184,Scott Verplank,82,166.3,11643.0,70,177.4,135.9
184,185,185,Paul Claxton,63,166.1,7476.4,45,175.9,147.2
185,186,186,Paul Goydos,78,165.8,10613.0,64,179.5,142.5
186,187,187,Jin Park,85,164.5,10531.0,64,183.5,124.3
187,188,188,Nick O'Hern,82,163.9,9836.4,60,179.1,141.2
188,189,189,Glen Day,64,163.0,7659.0,47,174.0,151.4
189,T190,T190,Olin Browne,77,162.4,10067.8,62,174.1,85.7
190,T190,T190,Greg Kraft,63,162.4,7145.6,44,175.8,142.6
191,192,192,Brian Gay,102,160.8,13509.8,84,172.8,144.2
192,193,193,Shigeki Maruyama,50,160.7,6909.6,43,179.4,137.8
193,194,194,Craig Kanada,65,160.2,7690.1,48,171.5,140.7
194,195,195,Shane Bertsch,96,157.6,13553.3,86,176.1,133.6
195,196,196,Gavin Coles,54,157.0,5810.8,37,198.5,131.8
196,197,197,Corey Pavin,69,155.6,7623.5,49,171.4,128.0
