,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
43,44,44,Mathew Goggin,91,2.427,276.6,113.939,65,2.807
44,T45,T45,Eric Axley,113,2.426,269.6,111.096,78,2.7039999999999997
45,T45,T45,Padraig Harrington,52,2.426,280.1,115.446,22,2.612
46,T45,T45,Dustin Johnson,92,2.426,297.7,122.745,51,2.648
47,T45,T45,John Rollins,94,2.426,273.3,112.677,70,2.7039999999999997
48,49,49,Paul Casey,55,2.425,289.1,119.24,29,2.6210000000000004
49,50,50,Woody Austin,109,2.424,277.4,114.419,86,2.778
50,T51,T51,Ryan Armour,87,2.423,268.3,110.735,62,2.6919999999999997
51,T51,T51,Tim Herron,97,2.423,271.3,111.99600000000001,72,2.7089999999999996
52,53,53,Billy Andrade,71,2.4219999999999997,272.5,112.514,44,2.7110000000000003
53,54,54,Carl Pettersson,110,2.421,271.5,112.139,90,2.72
54,T55,T55,Tommy Armour III,77,2.419,265.2,109.637,53,2.648
55,T55,T55,Ted Purdy,68,2.419,275.1,113.729,40,2.59
56,T57,T57,Ben Curtis,80,2.418,268.6,111.044,64,2.685
57,T57,T57,Brian Davis,108,2.418,258.8,107.046,96,2.716
58,T57,T57,Kevin Stadler,90,2.418,273.8,113.21,52,2.681
59,T60,T60,Cameron Beckman,87,2.417,263.0,108.83200000000001,60,2.6830000000000003
60,T60,T60,Daniel Chopra,84,2.417,285.4,118.06,54,2.7089999999999996
61,T60,T60,Martin Laird,98,2.417,283.5,117.31299999999999,70,2.7039999999999997
62,T60,T60,Brett Quigley,80,2.417,273.2,113.029,56,2.6180000000000003
63,T64,T64,Fred Couples,60,2.416,284.7,117.82700000000001,34,2.6460000000000004
64,T64,T64,Stephen Leaney,53,2.416,258.7,107.068,36,2.557
65,T64,T64,Rocco Mediate,87,2.416,266.7,110.399,61,2.762
66,T64,T64,Tom Pernice Jr.,104,2.416,260.3,107.765,94,2.736
67,68,68,Nick Flanagan,89,2.415,275.6,114.09200000000001,65,2.707
68,T69,T69,Glen Day,64,2.414,252.9,104.77799999999999,45,2.622
69,T69,T69,Lucas Glover,91,2.414,283.7,117.535,73,2.6510000000000002
70,T69,T69,Kyle Thompson,70,2.414,267.4,110.758,50,2.7310000000000003
71,T72,T72,Jim Furyk,95,2.4130000000000003,268.6,111.32600000000001,80,2.665
72,T72,T72,Nick Watney,96,2.4130000000000003,291.6,120.837,70,2.6889999999999996
73,74,74,Scott Verplank,82,2.412,257.1,106.595,67,2.7230000000000003
74,T75,T75,Stuart Appleby,87,2.411,273.1,113.23899999999999,60,2.707
75,T75,T75,Jay Williamson,96,2.411,264.9,109.87700000000001,62,2.614
76,T77,T77,Jason Day,81,2.41,279.3,115.88799999999999,63,2.6460000000000004
77,T77,T77,John Huston,56,2.41,274.1,113.72399999999999,42,2.677
78,T77,T77,Heath Slocum,104,2.41,257.5,106.85700000000001,87,2.65
79,T80,T80,Paul Goydos,78,2.4090000000000003,253.3,105.14,64,2.8480000000000003
80,T80,T80,Adam Scott,51,2.4090000000000003,285.2,118.37799999999999,32,2.6319999999999997
81,T82,T82,David Lutterus,59,2.408,268.2,111.338,38,2.647
82,T82,T82,Ian Poulter,51,2.408,266.7,110.74600000000001,35,2.635
83,T84,T84,Kent Jones,68,2.407,262.9,109.21700000000001,49,2.6639999999999997
84,T84,T84,Pat Perez,93,2.407,282.6,117.391,71,2.6460000000000004
85,T86,T86,Rich Beem,90,2.405,269.9,112.215,68,2.575
86,T86,T86,J.P. Hayes,67,2.405,261.1,108.554,56,2.658
87,T86,T86,Johnson Wagner,83,2.405,272.0,113.096,61,2.7089999999999996
88,T89,T89,Brad Elder,67,2.404,269.6,112.152,44,2.6
89,T89,T89,Greg Kraft,63,2.404,251.5,104.61399999999999,42,2.6260000000000003
90,T89,T89,Sean O'Hair,81,2.404,277.6,115.486,57,2.713
91,92,92,Frank Lickliter II,107,2.403,267.5,111.302,87,2.645
92,T93,T93,Robert Allenby,108,2.4019999999999997,274.6,114.32,73,2.616
93,T93,T93,Tim Clark,90,2.4019999999999997,259.9,108.177,62,2.661
94,95,95,Jimmy Walker,73,2.399,277.5,115.661,46,2.6260000000000003
95,T96,T96,Robert Gamez,79,2.398,257.3,107.29,60,2.6919999999999997
96,T96,T96,D.J. Trahan,94,2.398,274.1,114.294,68,2.658
97,T98,T98,Jonathan Byrd,88,2.397,274.3,114.432,73,2.699
98,T98,T98,Zach Johnson,85,2.397,257.1,107.24799999999999,69,2.65
99,T98,T98,Troy Matteson,94,2.397,281.9,117.601,78,2.6189999999999998
100,T98,T98,Jon Mills,95,2.397,274.5,114.51100000000001,51,2.6319999999999997
101,T102,T102,Jim McGovern,75,2.395,259.4,108.33200000000001,57,2.603
102,T102,T102,Nick O'Hern,82,2.395,253.0,105.63,60,2.695
103,T102,T102,Travis Perkins,53,2.395,289.9,121.06299999999999,20,2.544
104,T102,T102,Rory Sabbatini,77,2.395,274.8,114.74600000000001,54,2.6719999999999997
105,T102,T102,Omar Uresti,74,2.395,256.2,107.005,54,2.612
106,T107,T107,Brad Adamonis,87,2.394,274.4,114.616,64,2.617
107,T107,T107,Ernie Els,51,2.394,274.1,114.501,35,2.713
108,T107,T107,Michael Letzig,88,2.394,272.3,113.735,64,2.6310000000000002
109,T107,T107,Chris Stroud,81,2.394,269.1,112.40899999999999,55,2.6310000000000002
110,T111,T111,Mark Hensby,71,2.3930000000000002,266.2,111.235,54,2.714
111,T111,T111,John Merrick,98,2.3930000000000002,274.2,114.575,65,2.697
112,113,113,Patrick Sheehan,124,2.39,262.7,109.917,87,2.6719999999999997
113,T114,T114,Tommy Gainey,60,2.3890000000000002,277.7,116.257,35,2.6260000000000003
114,T114,T114,John Mallinger,95,2.3890000000000002,257.5,107.792,75,2.656
115,T114,T114,Boo Weekley,86,2.3890000000000002,276.1,115.57799999999999,60,2.785
116,T117,T117,Briny Baird,113,2.385,265.6,111.361,79,2.5610000000000004
117,T117,T117,Matt Jones,95,2.385,277.1,116.18299999999999,66,2.6060000000000003
118,T117,T117,Matt Kuchar,88,2.385,255.0,106.926,63,2.591
119,T117,T117,Peter Lonard,92,2.385,260.4,109.15899999999999,74,2.714
120,T121,T121,Todd Demsey,80,2.383,270.8,113.633,59,2.645
121,T121,T121,Jesper Parnevik,88,2.383,266.5,111.82700000000001,64,2.637
122,123,123,Mike Weir,88,2.3819999999999997,266.3,111.819,61,2.641
123,T124,T124,Jason Allred,63,2.381,287.1,120.57,34,2.745
124,T124,T124,Cody Freeman,66,2.381,266.3,111.829,44,2.74
125,T124,T124,Tag Ridings,88,2.381,288.0,120.98200000000001,61,2.656
126,T124,T124,Brett Rumford,72,2.381,269.2,113.08,52,2.6919999999999997
127,T124,T124,Bob Sowards,61,2.381,269.4,113.155,39,2.6919999999999997
128,T129,T129,Mark Calcavecchia,67,2.38,269.8,113.353,42,2.7230000000000003
129,T129,T129,Chris DiMarco,87,2.38,260.8,109.569,65,2.602
130,T129,T129,Jerry Kelly,89,2.38,255.1,107.165,68,2.6069999999999998
131,132,132,Rod Pampling,83,2.379,266.3,111.904,59,2.633
132,133,133,Kenneth Ferrie,72,2.378,260.8,109.671,54,2.596
133,T134,T134,Phil Mickelson,80,2.376,278.1,117.072,44,2.63
134,T134,T134,Jeff Quinney,87,2.376,256.0,107.73899999999999,56,2.65
135,T134,T134,Bubba Watson,97,2.376,294.0,123.74799999999999,53,2.702
136,137,137,Ron Whittaker,54,2.374,256.5,108.04799999999999,36,2.495
137,138,138,Freddie Jacobson,78,2.372,262.1,110.51700000000001,56,2.677
138,T139,T139,Olin Browne,77,2.371,250.6,105.694,60,2.638
139,T139,T139,Chad Campbell,94,2.371,266.5,112.417,86,2.735
140,T141,T141,Steve Flesch,95,2.37,263.7,111.26700000000001,70,2.6630000000000003
141,T141,T141,Bill Haas,99,2.37,281.3,118.681,78,2.5869999999999997
142,T141,T141,Jin Park,85,2.37,253.1,106.781,63,2.702
143,T144,T144,Craig Kanada,65,2.3680000000000003,246.8,104.212,48,2.648
144,T144,T144,Camilo Villegas,79,2.3680000000000003,271.2,114.53299999999999,54,2.615
145,T146,T146,Dudley Hart,74,2.367,259.5,109.611,59,2.645
146,T146,T146,Justin Leonard,101,2.367,260.8,110.145,73,2.698
147,T148,T148,Jeff Overton,103,2.366,273.9,115.76899999999999,66,2.655
148,T148,T148,Marc Turnesa,87,2.366,266.6,112.671,64,2.568
149,T150,T150,Marco Dawson,64,2.365,265.8,112.39,41,2.531
150,T150,T150,Retief Goosen,59,2.365,271.5,114.806,34,2.6719999999999997
151,T152,T152,David Duval,51,2.364,277.0,117.139,24,2.569
152,T152,T152,Ryan Moore,72,2.364,267.0,112.948,53,2.6
153,154,154,Ryuji Imada,80,2.363,262.2,110.944,60,2.592
154,155,155,Alejandro Cañizares,52,2.362,260.2,110.15899999999999,39,2.633
155,156,156,Dean Wilson,109,2.3609999999999998,257.0,108.86,78,2.5639999999999996
156,T157,T157,Aaron Baddeley,76,2.36,274.7,116.40100000000001,46,2.633
157,T157,T157,Tim Wilkinson,95,2.36,255.5,108.257,70,2.605
158,159,159,Tom Scherrer,56,2.358,263.3,111.662,30,2.536
159,T160,T160,Lee Janzen,89,2.355,267.1,113.38799999999999,66,2.668
160,T160,T160,Chris Riley,51,2.355,257.7,109.412,31,2.6489999999999996
161,162,162,Charlie Wi,97,2.354,263.7,112.03200000000001,74,2.674
162,163,163,Will MacKenzie,62,2.353,268.8,114.25399999999999,55,2.5669999999999997
163,164,164,Nathan Green,95,2.352,267.2,113.60600000000001,64,2.6460000000000004
164,165,165,John Riegger,73,2.351,264.8,112.64200000000001,49,2.718
165,T166,T166,Scott McCarron,63,2.35,266.6,113.439,48,2.6660000000000004
166,T166,T166,Kevin Na,97,2.35,258.4,109.962,76,2.62
167,168,168,Tom Lehman,51,2.349,260.2,110.75399999999999,36,2.5780000000000003
168,169,169,Steve Elkington,84,2.3480000000000003,256.4,109.191,60,2.7039999999999997
169,T170,T170,Paul Claxton,63,2.346,250.7,106.885,41,2.552
170,T170,T170,Shigeki Maruyama,50,2.346,248.4,105.9,40,2.718
171,T170,T170,Kevin Streelman,114,2.346,276.3,117.796,82,2.76
172,T173,T173,Joe Durant,92,2.345,266.0,113.42399999999999,71,2.565
173,T173,T173,Brandt Jobe,52,2.345,277.3,118.256,32,2.512
174,175,175,Tim Petrovic,97,2.343,262.7,112.12700000000001,70,2.642
175,T176,T176,Gavin Coles,54,2.3409999999999997,242.4,103.53200000000001,36,2.478
176,T176,T176,James Driscoll,85,2.3409999999999997,280.4,119.814,60,2.668
177,T176,T176,Parker McLachlin,88,2.3409999999999997,262.5,112.111,63,2.7039999999999997
178,T176,T176,Scott Sterling,89,2.3409999999999997,259.4,110.792,62,2.573
179,T180,T180,John Senden,93,2.339,276.6,118.274,66,2.597
180,T180,T180,Y.E. Yang,89,2.339,267.6,114.40899999999999,68,2.701
181,182,182,Stephen Ames,83,2.338,264.1,112.978,69,2.638
182,183,183,Brian Gay,102,2.3369999999999997,244.4,104.56200000000001,84,2.611
183,184,184,Bob Tway,70,2.336,255.5,109.384,47,2.6060000000000003
184,185,185,Trevor Immelman,70,2.332,268.4,115.135,48,2.6510000000000002
185,186,186,J.J. Henry,108,2.331,267.8,114.87700000000001,87,2.6830000000000003
186,187,187,Sergio Garcia,72,2.324,279.3,120.164,45,2.753
187,188,188,Shane Bertsch,96,2.318,245.5,105.931,80,2.623
188,189,189,Charles Howell III,101,2.315,274.9,118.756,71,2.615
189,190,190,Richard Johnson,60,2.313,252.6,109.221,45,2.603
190,191,191,Chad Collins,72,2.31,255.8,110.70700000000001,54,2.492
191,192,192,Corey Pavin,69,2.307,234.6,101.721,45,2.6630000000000003
192,193,193,Ken Duke,116,2.294,257.7,112.29899999999999,86,2.556
193,194,194,Michael Allen,91,2.275,259.8,114.219,68,2.582
194,195,195,Bart Bryant,81,2.274,249.0,109.508,63,2.513
195,196,196,Bob Estes,90,2.273,254.0,111.725,69,2.603
196,197,197,Carlos Franco,73,2.249,265.6,118.115,41,2.496
