,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
28,29,29,Henrik Stenson,15,1.51,"$1,894,234","$125,300,000"
29,T30,T30,Edoardo Molinari,2,1.5,"$288,911","$19,200,000"
30,T30,T30,John Senden,27,1.5,"$2,856,683","$190,000,000"
31,32,32,Marc Leishman,24,1.48,"$2,558,655","$173,200,000"
32,33,33,Harris English,28,1.47,"$2,947,320","$200,300,000"
33,34,34,Gary Woodland,25,1.46,"$2,734,148","$186,800,000"
34,35,35,Keegan Bradley,26,1.44,"$2,828,633","$196,100,000"
35,36,36,Graham DeLaet,24,1.43,"$2,616,515","$182,800,000"
36,37,37,Charl Schwartzel,18,1.41,"$1,997,480","$141,900,000"
37,38,38,J.B. Holmes,24,1.38,"$2,365,204","$171,800,000"
38,T39,T39,Matt Every,26,1.37,"$2,540,368","$184,900,000"
39,T39,T39,Bill Haas,28,1.37,"$2,841,518","$207,800,000"
40,41,41,Phil Mickelson,21,1.34,"$2,158,017","$161,100,000"
41,42,42,Jamie Donaldson,12,1.31,"$1,329,822","$101,800,000"
42,T43,T43,Bob Estes,2,1.3,"$156,000","$12,000,000"
43,T43,T43,Steve Stricker,11,1.3,"$1,154,746","$88,800,000"
44,T45,T45,Jason Dufner,17,1.25,"$1,651,488","$132,400,000"
45,T45,T45,Russell Henley,29,1.25,"$2,590,492","$207,100,000"
46,T45,T45,George McNeill,24,1.25,"$2,014,355","$161,700,000"
47,48,48,Jason Allred,9,1.24,"$626,733","$50,700,000"
48,49,49,Tim Clark,26,1.21,"$2,066,342","$170,200,000"
49,T50,T50,Shiv Kapur,2,1.2,"$191,968","$16,000,000"
50,T50,T50,Kevin Stadler,26,1.2,"$2,300,303","$191,500,000"
51,52,52,Ian Poulter,17,1.19,"$1,616,692","$136,100,000"
52,53,53,Robert Karlsson,7,1.18,"$545,694","$46,400,000"
53,T54,T54,Seung-Yul Noh,27,1.17,"$2,115,231","$181,500,000"
54,T54,T54,Kevin Streelman,24,1.17,"$2,107,991","$180,000,000"
55,56,56,Charley Hoffman,25,1.16,"$1,977,292","$170,900,000"
56,57,57,Shawn Stefani,17,1.15,"$1,369,256","$119,100,000"
57,58,58,Brian Harman,32,1.13,"$2,414,332","$213,200,000"
58,T59,T59,Ángel Cabrera,23,1.11,"$1,868,557","$167,800,000"
59,T59,T59,Francesco Molinari,12,1.11,"$1,116,573","$100,900,000"
60,T61,T61,Cody Gribble,1,1.1,"$98,598","$9,000,000"
61,T61,T61,Chris Stroud,25,1.1,"$1,826,397","$165,800,000"
62,63,63,Richard Sterne,7,1.09,"$654,232","$60,000,000"
63,T64,T64,Luke Donald,17,1.08,"$1,451,438","$134,500,000"
64,T64,T64,Matt Jones,25,1.08,"$1,928,151","$178,300,000"
65,T66,T66,Charles Howell III,29,1.05,"$1,997,042","$189,500,000"
66,T66,T66,Freddie Jacobson,27,1.05,"$1,901,787","$181,400,000"
67,T66,T66,Will MacKenzie,27,1.05,"$1,853,821","$175,800,000"
68,T69,T69,Geoff Ogilvy,26,1.04,"$1,809,631","$174,500,000"
69,T69,T69,Cameron Tringale,31,1.04,"$2,169,720","$209,000,000"
70,T71,T71,K.J. Choi,23,1.03,"$1,677,845","$162,300,000"
71,T71,T71,Robert Streb,21,1.03,"$1,300,072","$125,900,000"
72,T73,T73,Brooks Koepka,16,1.0,"$1,043,112","$103,800,000"
73,T73,T73,Brian Stuard,29,1.0,"$1,852,528","$185,000,000"
74,75,75,Ernie Els,24,0.99,"$1,799,566","$181,900,000"
75,76,76,Jerry Kelly,23,0.98,"$1,451,058","$148,200,000"
76,77,77,Jason Bohn,25,0.97,"$1,585,189","$163,600,000"
77,T78,T78,Erik Compton,28,0.95,"$1,796,142","$189,600,000"
78,T78,T78,Miguel Angel Jiménez,8,0.95,"$689,000","$72,700,000"
79,T78,T78,Jason Kokrak,19,0.95,"$1,200,379","$126,500,000"
80,81,81,Mikko Ilonen,5,0.94,"$429,475","$45,700,000"
81,82,82,Ben Crane,25,0.92,"$1,534,632","$167,300,000"
82,T83,T83,Chesson Hadley,29,0.9,"$1,703,314","$189,600,000"
83,T83,T83,Ben Martin,26,0.9,"$1,482,833","$165,300,000"
84,T83,T83,Brandt Snedeker,25,0.9,"$1,652,378","$183,700,000"
85,T86,T86,Ryo Ishikawa,24,0.89,"$1,380,578","$155,800,000"
86,T86,T86,Russell Knox,26,0.89,"$1,513,629","$170,700,000"
87,T86,T86,Alvaro Quiros,2,0.89,"$84,171","$9,500,000"
88,T86,T86,Camilo Villegas,29,0.89,"$1,642,121","$184,800,000"
89,T90,T90,Steven Bowditch,30,0.88,"$1,734,691","$197,300,000"
90,T90,T90,George Coetzee,6,0.88,"$428,238","$48,700,000"
91,T90,T90,Jaco Van Zyl,1,0.88,"$75,100","$8,500,000"
92,93,93,Lee Westwood,18,0.87,"$1,223,102","$141,000,000"
93,T94,T94,Jonas Blixt,21,0.85,"$1,342,195","$158,100,000"
94,T94,T94,Marc Warren,2,0.85,"$164,140","$19,200,000"
95,96,96,Daniel Summerhays,27,0.84,"$1,509,538","$178,800,000"
96,97,97,Justin Hicks,30,0.83,"$1,544,058","$186,000,000"
97,98,98,Kiradech Aphibarnrat,9,0.82,"$584,428","$71,700,000"
98,T99,T99,Stuart Appleby,29,0.81,"$1,477,969","$182,400,000"
99,T99,T99,Pat Perez,25,0.81,"$1,315,078","$162,200,000"
100,T99,T99,Marcel Siem,3,0.81,"$156,679","$19,400,000"
101,T102,T102,Morgan Hoffmann,32,0.8,"$1,595,921","$199,300,000"
102,T102,T102,Andrew Svoboda,24,0.8,"$1,168,071","$146,100,000"
103,T104,T104,Thomas Bjørn,9,0.79,"$629,950","$79,700,000"
104,T104,T104,Scott Hend,3,0.79,"$193,766","$24,500,000"
105,T106,T106,Paul Casey,16,0.78,"$877,968","$112,200,000"
106,T106,T106,David Howell,3,0.78,"$208,942","$26,700,000"
107,T106,T106,Brendan Steele,26,0.78,"$1,359,887","$174,300,000"
108,109,109,Shane Lowry,3,0.77,"$217,866","$28,200,000"
109,T110,T110,Scott Brown,30,0.76,"$1,441,722","$189,700,000"
110,T110,T110,Carl Pettersson,28,0.76,"$1,348,392","$177,500,000"
111,T110,T110,Siddikur Rahman,1,0.76,"$53,433","$7,000,000"
112,T113,T113,Mark Brown,1,0.75,"$64,000","$8,500,000"
113,T113,T113,Wenyi Huang,1,0.75,"$64,000","$8,500,000"
114,T115,T115,Kevin Chappell,28,0.74,"$1,343,409","$182,000,000"
115,T115,T115,Troy Merritt,20,0.74,"$882,862","$119,500,000"
116,T115,T115,Jeff Overton,24,0.74,"$1,115,466","$150,300,000"
117,118,118,Louis Oosthuizen,16,0.73,"$946,133","$129,000,000"
118,119,119,Matteo Manassero,10,0.72,"$559,317","$78,100,000"
119,T120,T120,Byeong Hun An,1,0.71,"$65,350","$9,200,000"
120,T120,T120,Scott Stallings,28,0.71,"$1,385,687","$194,800,000"
121,122,122,William McGirt,29,0.7,"$1,275,735","$181,200,000"
122,T123,T123,Robert Garrigus,25,0.69,"$1,095,472","$157,800,000"
123,T123,T123,Billy Hurley III,26,0.69,"$1,145,297","$167,000,000"
124,T123,T123,Jay McLuen,2,0.69,"$84,171","$12,200,000"
125,T126,T126,Andres Gonzales,2,0.68,"$75,000","$11,000,000"
126,T126,T126,HaoTong Li,1,0.68,"$58,000","$8,500,000"
127,T128,T128,Jason Gore,7,0.67,"$273,857","$40,700,000"
128,T128,T128,David Toms,20,0.67,"$801,353","$120,100,000"
129,T130,T130,Daniel Berger,1,0.66,"$59,588","$9,000,000"
130,T130,T130,Michael Thompson,22,0.66,"$932,300","$140,200,000"
131,132,132,Steven Ihm,1,0.65,"$30,628","$4,700,000"
132,T133,T133,Martin Flores,26,0.64,"$1,035,444","$162,900,000"
133,T133,T133,Scott Langley,29,0.64,"$1,151,495","$179,700,000"
134,T133,T133,Willy Wilcox,16,0.64,"$586,156","$91,500,000"
135,136,136,David Hearn,28,0.63,"$1,138,321","$181,600,000"
136,T137,T137,Aaron Baddeley,24,0.62,"$942,557","$152,300,000"
137,T137,T137,Darren Fichardt,2,0.62,"$107,750","$17,500,000"
138,T137,T137,Rory Sabbatini,26,0.62,"$1,024,735","$165,300,000"
139,T140,T140,Rafael Campos,1,0.61,"$21,306","$3,500,000"
140,T140,T140,Emiliano Grillo,1,0.61,"$21,306","$3,500,000"
141,T140,T140,David Skinns,1,0.61,"$21,306","$3,500,000"
142,T143,T143,Kevin Kisner,26,0.6,"$954,495","$158,800,000"
143,T143,T143,Vijay Singh,25,0.6,"$989,026","$164,500,000"
144,T145,T145,Jon Curran,1,0.59,"$37,952","$6,400,000"
145,T145,T145,Bo Van Pelt,25,0.59,"$982,216","$166,100,000"
146,T145,T145,Chris Wood,3,0.59,"$162,251","$27,700,000"
147,T148,T148,Briny Baird,17,0.58,"$616,315","$107,100,000"
148,T148,T148,Grégory Bourdy,2,0.58,"$102,458","$17,700,000"
149,T148,T148,Kristoffer Broberg,1,0.58,"$52,963","$9,200,000"
150,T148,T148,Bud Cauley,19,0.58,"$647,884","$112,100,000"
151,T148,T148,Hiroyuki Fujita,1,0.58,"$49,000","$8,500,000"
152,T148,T148,Mike Hendry,1,0.58,"$49,000","$8,500,000"
153,T154,T154,Thongchai Jaidee,9,0.57,"$475,210","$82,700,000"
154,T154,T154,Alexander Levy,2,0.57,"$108,500","$19,000,000"
155,T156,T156,Brad Fritsch,18,0.56,"$568,389","$102,000,000"
156,T156,T156,Stephen Gallacher,12,0.56,"$561,250","$99,800,000"
157,T156,T156,Justin Leonard,22,0.56,"$807,948","$144,600,000"
158,T156,T156,Mike Weir,25,0.56,"$854,413","$152,300,000"
159,T160,T160,Hideto Tanihara,3,0.55,"$119,000","$21,700,000"
160,T160,T160,Jhonattan Vegas,23,0.55,"$751,761","$135,500,000"
161,T160,T160,Tim Wilkinson,25,0.55,"$824,177","$148,800,000"
162,T163,T163,Gaganjeet Bhullar,2,0.54,"$83,925","$15,500,000"
163,T163,T163,Stewart Cink,25,0.54,"$929,163","$170,700,000"
164,T163,T163,Brendon de Jonge,31,0.54,"$1,171,391","$215,700,000"
165,T163,T163,John Huh,28,0.54,"$974,042","$181,700,000"
166,T163,T163,José María Olazábal,1,0.54,"$48,600","$9,000,000"
167,T168,T168,WC Liang,2,0.53,"$93,500","$17,500,000"
168,T168,T168,Bryce Molder,25,0.53,"$828,603","$155,000,000"
169,T168,T168,Fabrizio Zanotti,2,0.53,"$100,575","$19,000,000"
170,T171,T171,Gonzalo Fernandez-Castaño,25,0.51,"$926,492","$183,000,000"
171,T171,T171,Luke Guthrie,26,0.51,"$840,554","$165,200,000"
172,T171,T171,Jin Jeong,3,0.51,"$135,250","$26,700,000"
173,T171,T171,Scott Piercy,12,0.51,"$411,634","$80,200,000"
174,T171,T171,Nick Watney,25,0.51,"$913,396","$179,100,000"
175,T176,T176,Retief Goosen,26,0.5,"$826,067","$163,600,000"
176,T176,T176,Daniel Popovic,1,0.5,"$42,875","$8,500,000"
177,T176,T176,Jim Renner,25,0.5,"$763,977","$152,000,000"
178,T179,T179,Raphael Jacquelin,1,0.49,"$41,250","$8,500,000"
179,T179,T179,Andres Romero,26,0.49,"$782,182","$161,200,000"
180,T179,T179,Boo Weekley,24,0.49,"$832,672","$170,800,000"
181,T182,T182,Fred Couples,3,0.48,"$101,160","$21,000,000"
182,T182,T182,Brian Davis,28,0.48,"$842,538","$177,100,000"
183,T182,T182,Mu Hu,1,0.48,"$40,750","$8,500,000"
184,T182,T182,Daisuke Maruyama,1,0.48,"$43,000","$9,000,000"
185,T186,T186,Tano Goya,1,0.47,"$42,000","$9,000,000"
186,T186,T186,Martin Laird,20,0.47,"$583,662","$124,200,000"
187,T186,T186,Danny Lee,28,0.47,"$781,292","$166,800,000"
188,T186,T186,Mingjie Huang,1,0.47,"$40,250","$8,500,000"
189,T186,T186,Yoshitaka Takeya,1,0.47,"$42,625","$9,000,000"
190,T186,T186,Bernd Wiesberger,4,0.47,"$175,888","$37,200,000"
191,T192,T192,Sangmoon Bae,24,0.46,"$718,108","$156,200,000"
192,T192,T192,Chad Campbell,18,0.46,"$470,796","$101,900,000"
193,T192,T192,Peter Hanson,13,0.46,"$415,530","$89,700,000"
194,T192,T192,Joost Luiten,9,0.46,"$368,250","$80,900,000"
195,196,196,Charlie Beljan,26,0.45,"$712,651","$157,200,000"
196,T197,T197,Ricky Barnes,27,0.44,"$706,851","$160,100,000"
197,T197,T197,Joe Durant,15,0.44,"$369,267","$84,500,000"
198,T197,T197,James Hahn,27,0.44,"$735,258","$168,500,000"
199,T197,T197,Andrew Loupe,22,0.44,"$563,119","$127,600,000"
200,T197,T197,Michael Putnam,30,0.44,"$818,795","$184,600,000"
201,T202,T202,Jonathan Byrd,24,0.43,"$617,013","$143,900,000"
202,T202,T202,Ben Curtis,24,0.43,"$625,513","$146,100,000"
203,T204,T204,Lucas Bjerregaard,1,0.42,"$37,754","$9,000,000"
204,T204,T204,Zac Blair,1,0.42,"$37,754","$9,000,000"
205,T204,T204,Max Homa,8,0.42,"$195,924","$46,400,000"
206,T204,T204,David Lingmerth,26,0.42,"$676,658","$159,800,000"
207,T204,T204,Garth Mulroy,1,0.42,"$37,754","$9,000,000"
208,T204,T204,Heath Slocum,23,0.42,"$566,164","$135,800,000"
209,T210,T210,Steve Marino,13,0.39,"$294,564","$75,100,000"
210,T210,T210,Justin Thomas,7,0.39,"$170,236","$44,100,000"
211,T210,T210,Nicholas Thompson,30,0.39,"$713,376","$181,100,000"
212,T213,T213,Branden Grace,11,0.38,"$334,368","$88,200,000"
213,T213,T213,Richard Lee,27,0.38,"$618,442","$164,500,000"
214,T215,T215,Brice Garnett,28,0.37,"$617,800","$165,500,000"
215,T215,T215,Brian Gay,26,0.37,"$605,365","$161,500,000"
216,T215,T215,Rod Pampling,7,0.37,"$154,051","$41,600,000"
217,T218,T218,Koumei Oda,2,0.36,"$69,752","$19,200,000"
218,T218,T218,Wes Roach,22,0.36,"$453,616","$127,400,000"
219,T220,T220,Eric Axley,10,0.35,"$180,734","$52,300,000"
220,T220,T220,Seuk-hyun Baek,2,0.35,"$54,700","$15,500,000"
221,T220,T220,Greg Chalmers,27,0.35,"$578,976","$165,700,000"
222,T220,T220,Masahiro Kawamura,2,0.35,"$49,000","$14,100,000"
223,T220,T220,Thorbjørn Olesen,14,0.35,"$335,221","$97,000,000"
224,225,225,Roberto Castro,27,0.34,"$615,932","$181,100,000"
225,T226,T226,Tommy Gainey,26,0.33,"$490,588","$150,800,000"
226,T226,T226,J.J. Henry,28,0.33,"$554,612","$168,500,000"
227,T226,T226,Prayad Marksaeng,1,0.33,"$23,100","$7,000,000"
228,T226,T226,John Merrick,25,0.33,"$516,146","$156,600,000"
229,T226,T226,Kevin Penner,1,0.33,"$19,800","$6,000,000"
230,T226,T226,Dicky Pride,13,0.33,"$243,592","$72,800,000"
231,T226,T226,Hudson Swafford,26,0.33,"$513,882","$154,800,000"
232,T226,T226,Danny Willett,3,0.33,"$92,828","$28,200,000"
233,T234,T234,Kenny Perry,5,0.32,"$130,588","$40,600,000"
234,T234,T234,Brett Rumford,3,0.32,"$86,000","$26,700,000"
235,T234,T234,Ryan Sullivan,1,0.32,"$11,223","$3,500,000"
236,T237,T237,Tommy Fleetwood,3,0.31,"$87,000","$27,700,000"
237,T237,T237,Tyrone Van Aswegen,25,0.31,"$454,856","$144,900,000"
238,T239,T239,Robert Allenby,29,0.3,"$514,286","$174,100,000"
239,T239,T239,Jeff Maggert,19,0.3,"$360,155","$120,700,000"
240,T239,T239,Sam Saunders,1,0.3,"$18,476","$6,200,000"
241,242,242,Troy Matteson,23,0.29,"$387,795","$133,100,000"
242,T243,T243,Ken Duke,25,0.28,"$455,588","$160,400,000"
243,T243,T243,Sean O'Hair,25,0.28,"$408,792","$148,300,000"
244,T243,T243,Kyle Stanley,28,0.28,"$473,579","$172,100,000"
245,T243,T243,Johnson Wagner,24,0.28,"$393,728","$141,700,000"
246,T247,T247,Trevor Immelman,28,0.27,"$447,515","$167,600,000"
247,T247,T247,Jamie Lovemark,20,0.27,"$305,942","$114,900,000"
248,T249,T249,Mark Anderson,8,0.26,"$122,598","$47,500,000"
249,T249,T249,Berry Henson,1,0.26,"$18,223","$7,000,000"
250,T249,T249,Kevin Lucas,1,0.26,"$7,810","$3,000,000"
251,T249,T249,David Lynn,11,0.26,"$207,413","$79,400,000"
252,T249,T249,John Mallinger,14,0.26,"$209,958","$81,500,000"
253,T249,T249,Peter Malnati,18,0.26,"$271,326","$102,500,000"
254,T249,T249,"Ted Potter, Jr.",24,0.26,"$386,338","$146,900,000"
255,T256,T256,Josh Broadaway,1,0.25,"$13,671","$5,500,000"
256,T256,T256,Chad Collins,28,0.25,"$408,433","$166,000,000"
257,T256,T256,Tim Herron,15,0.25,"$212,771","$86,200,000"
258,T256,T256,Nicholas Lindheim,1,0.25,"$22,649","$9,000,000"
259,T256,T256,Jamie McLeary,1,0.25,"$22,808","$9,200,000"
260,T256,T256,Larry Mize,1,0.25,"$22,680","$9,000,000"
261,T256,T256,Fran Quinn,1,0.25,"$22,649","$9,000,000"
262,T256,T256,Chris Rodgers,1,0.25,"$22,808","$9,200,000"
263,T256,T256,Dawie van der Walt,2,0.25,"$46,000","$18,200,000"
264,T256,T256,Charlie Wi,25,0.25,"$384,794","$152,300,000"
265,T266,T266,Ashun Wu,2,0.24,"$42,375","$17,700,000"
266,T266,T266,Patrick Cantlay,5,0.24,"$76,131","$31,400,000"
267,T266,T266,James Driscoll,25,0.24,"$371,404","$152,500,000"
268,T266,T266,Oscar Fraustro,1,0.24,"$14,660","$6,000,000"
269,T266,T266,Peter Uihlein,7,0.24,"$122,250","$51,000,000"
270,T266,T266,Brady Watt,4,0.24,"$61,288","$25,800,000"
271,T272,T272,Joel Dahmen,1,0.23,"$13,034","$5,700,000"
272,T272,T272,Rhein Gibson,1,0.23,"$20,843","$9,200,000"
273,T272,T272,Adam Hadwin,1,0.23,"$13,034","$5,700,000"
274,T272,T272,Spencer Levin,20,0.23,"$277,780","$123,100,000"
275,T272,T272,Clayton Rask,1,0.23,"$20,775","$9,000,000"
276,T277,T277,Woody Austin,22,0.22,"$292,821","$136,000,000"
277,T277,T277,Derek Fathauer,1,0.22,"$13,320","$6,000,000"
278,T277,T277,Toru Taniguchi,1,0.22,"$19,980","$9,000,000"
279,T280,T280,Blake Adams,8,0.21,"$98,437","$47,300,000"
280,T280,T280,Marco Dawson,1,0.21,"$7,245","$3,500,000"
281,T280,T280,Nicholas Fung,1,0.21,"$14,980","$7,000,000"
282,T280,T280,Ryuji Imada,9,0.21,"$98,185","$46,700,000"
283,T280,T280,Davis Love III,22,0.21,"$284,799","$132,800,000"
284,T280,T280,Carlos Ortiz,1,0.21,"$12,834","$6,200,000"
285,T280,T280,Josh Teater,28,0.21,"$366,238","$171,700,000"
286,T287,T287,Scott Gardiner,18,0.2,"$209,270","$106,400,000"
287,T287,T287,Mark Hubbard,1,0.2,"$10,100","$5,000,000"
288,T287,T287,Kent Jones,2,0.2,"$15,480","$7,700,000"
289,T287,T287,Pablo Larrazabal,5,0.2,"$92,250","$46,200,000"
290,T287,T287,Wade Ormsby,1,0.2,"$14,070","$7,000,000"
291,T287,T287,Greg Owen,8,0.2,"$95,116","$48,100,000"
292,T287,T287,Tim Petrovic,10,0.2,"$109,299","$53,900,000"
293,T287,T287,D.A. Points,27,0.2,"$364,651","$180,200,000"
294,T287,T287,Patrick Rodgers,7,0.2,"$75,103","$37,900,000"
295,T287,T287,Derek Tolan,1,0.2,"$11,144","$5,600,000"
296,T297,T297,Miguel Angel Carballo,15,0.19,"$161,490","$84,900,000"
297,T297,T297,Rashid Ismail,1,0.19,"$13,230","$7,000,000"
298,T297,T297,Hyung-Sung Kim,6,0.19,"$92,982","$49,000,000"
299,T297,T297,Toshinori Muto,1,0.19,"$10,696","$5,600,000"
300,T297,T297,Tiger Woods,7,0.19,"$108,275","$55,800,000"
301,T302,T302,José Coceres,6,0.18,"$57,620","$32,000,000"
302,T302,T302,Eric Dugas,1,0.18,"$10,304","$5,600,000"
303,T302,T302,Steve Flesch,5,0.18,"$46,352","$25,100,000"
304,T302,T302,Colin Montgomerie,1,0.18,"$18,033","$10,000,000"
305,T302,T302,Brett Quigley,1,0.18,"$10,260","$5,700,000"
306,T307,T307,Rafa Cabrera Bello,5,0.17,"$59,950","$34,600,000"
307,T307,T307,Alex Cejka,6,0.17,"$57,059","$34,300,000"
308,T307,T307,Derek Ernst,28,0.17,"$305,653","$175,900,000"
309,T307,T307,Dudley Hart,4,0.17,"$40,217","$24,300,000"
310,T307,T307,John Rollins,28,0.17,"$289,756","$168,100,000"
311,T312,T312,Nicolas Colsaerts,12,0.16,"$123,367","$74,800,000"
312,T312,T312,Padraig Harrington,16,0.16,"$169,175","$103,900,000"
313,T312,T312,Jim Herman,21,0.16,"$187,336","$120,400,000"
314,T312,T312,Lee Janzen,8,0.16,"$63,946","$41,200,000"
315,T312,T312,Bronson La'Cassie,18,0.16,"$160,632","$102,500,000"
316,T312,T312,Billy Mayfair,4,0.16,"$32,118","$20,000,000"
317,T312,T312,John Peterson,25,0.16,"$238,229","$151,300,000"
318,319,319,Sandy Lyle,2,0.15,"$27,972","$18,200,000"
319,T320,T320,Mark Calcavecchia,8,0.14,"$68,608","$48,000,000"
320,T320,T320,Glen Day,5,0.14,"$30,628","$22,300,000"
321,T320,T320,Y.E. Yang,28,0.14,"$254,524","$181,100,000"
322,T323,T323,Stephen Ames,18,0.13,"$141,143","$106,600,000"
323,T323,T323,Lucas Glover,26,0.13,"$210,166","$163,900,000"
324,T323,T323,Doug LaBelle II,12,0.13,"$84,209","$66,000,000"
325,T323,T323,Anirban Lahiri,3,0.13,"$34,510","$26,200,000"
326,T323,T323,Vaughn Taylor,3,0.13,"$20,451","$15,500,000"
327,T323,T323,Tom Watson,5,0.13,"$53,726","$40,500,000"
328,T329,T329,Matt Bettencourt,14,0.12,"$96,825","$78,900,000"
329,T329,T329,Darren Clarke,15,0.12,"$128,293","$108,900,000"
330,T329,T329,Will Claxton,8,0.12,"$56,886","$46,500,000"
331,T329,T329,Fabián Gómez,4,0.12,"$27,616","$23,000,000"
332,T329,T329,Kevin Tway,23,0.12,"$167,278","$135,400,000"
333,T334,T334,Cameron Beckman,12,0.11,"$72,834","$65,100,000"
334,T334,T334,David Duval,15,0.11,"$94,709","$87,400,000"
335,T334,T334,D.H. Lee,20,0.11,"$138,642","$122,400,000"
336,T334,T334,Len Mattiace,4,0.11,"$20,660","$19,000,000"
337,T334,T334,Chez Reavie,2,0.11,"$11,766","$11,000,000"
338,T334,T334,Kyle Reifers,2,0.11,"$12,300","$11,500,000"
339,T334,T334,Marc Turnesa,6,0.11,"$30,959","$28,700,000"
340,T341,T341,Justin Bolli,6,0.1,"$29,326","$29,300,000"
341,T341,T341,Jeff Curl,2,0.1,"$13,440","$12,900,000"
342,T341,T341,Kevin Foley,15,0.1,"$87,737","$85,800,000"
343,T341,T341,Alex Prugh,16,0.1,"$90,606","$90,900,000"
344,T341,T341,Harold Varner III,2,0.1,"$13,199","$13,600,000"
345,T341,T341,Mark Wilson,25,0.1,"$155,311","$154,300,000"
346,T347,T347,Bubba Dickerson,2,0.09,"$12,224","$13,100,000"
347,T347,T347,Ben Kohles,3,0.09,"$14,784","$17,000,000"
348,T347,T347,Chris Smith,7,0.09,"$33,620","$36,400,000"
349,T347,T347,Chris Thompson,2,0.09,"$14,559","$15,900,000"
350,T347,T347,Lee Williams,13,0.09,"$66,073","$76,600,000"
351,T352,T352,John Daly,15,0.08,"$76,634","$91,500,000"
352,T352,T352,Oliver Goss,7,0.08,"$37,160","$45,900,000"
353,T352,T352,Nathan Green,4,0.08,"$13,034","$16,900,000"
354,T352,T352,Tag Ridings,12,0.08,"$53,647","$67,800,000"
355,T352,T352,Bobby Wyatt,5,0.08,"$20,405","$25,700,000"
356,T357,T357,Michael Block,2,0.07,"$10,736","$16,100,000"
357,T357,T357,Fred Funk,8,0.07,"$32,417","$44,700,000"
358,T357,T357,Joe Ogilvie,13,0.07,"$52,035","$76,500,000"
359,T360,T360,Thomas Aiken,3,0.06,"$11,286","$18,700,000"
360,T360,T360,Paul Stankowski,3,0.06,"$6,720","$11,200,000"
361,T362,T362,Harrison Frazar,15,0.05,"$47,247","$90,800,000"
362,T362,T362,Todd Hamilton,4,0.05,"$10,387","$22,200,000"
363,T362,T362,Jesper Parnevik,3,0.05,"$7,245","$15,200,000"
364,T362,T362,D.J. Trahan,5,0.05,"$12,900","$23,800,000"
365,T362,T362,Chris Williams,4,0.05,"$13,176","$24,100,000"
366,T367,T367,Arjun Atwal,4,0.04,"$6,980","$19,500,000"
367,T367,T367,Kris Blanks,8,0.04,"$17,326","$46,700,000"
368,T367,T367,Paul Goydos,19,0.04,"$43,441","$113,800,000"
369,T370,T370,Benjamín Alvarado,6,0.03,"$13,240","$38,400,000"
