,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
74,T75,,Branden Grace,20,"25' 11""",5956.0830000000005,230
75,T75,,Hunter Mahan,26,"25' 11""",7613.5830000000005,294
76,77,,Nick Taylor,29,"26' 0""",11056.667,425
77,T78,,Chris Kirk,28,"26' 1""",9221.833,353
78,T78,,J.J. Spaun,29,"26' 1""",8861.833,340
79,80,,Blayne Barber,25,"26' 2""",8980.25,343
80,81,,Justin Rose,18,"26' 3""",6807.5,259
81,82,,Cameron Percy,23,"26' 4""",7767.1669999999995,295
82,T83,,Kevin Na,26,"26' 6""",8262.917,312
83,T83,,Brett Stegmaier,27,"26' 6""",7897.6669999999995,298
84,85,,Tag Ridings,20,"26' 7""",7445.5,280
85,T86,,Hideki Matsuyama,22,"26' 9""",8136.9169999999995,304
86,T86,,Harold Varner III,31,"26' 9""",12482.167,466
87,T86,,Jhonattan Vegas,29,"26' 9""",10425.75,390
88,T89,,Miguel Angel Carballo,22,"26' 10""",6073.5,226
89,T89,,Billy Hurley III,25,"26' 10""",9601.25,358
90,T91,,Brett Drewitt,19,"26' 11""",6354.75,236
91,T91,,Charley Hoffman,31,"26' 11""",13488.167,501
92,T93,,James Hahn,28,"27' 0""",10676.333,395
93,T93,,Martin Laird,25,"27' 0""",8660.167,321
94,95,,Hudson Swafford,28,"27' 1""",10677.0,394
95,T96,,Billy Horschel,28,"27' 2""",11173.75,411
96,T96,,Sung Kang,32,"27' 2""",12261.917,451
97,98,,Ryan Blaum,29,"27' 3""",12075.5,443
98,T99,,Charles Howell III,23,"27' 5""",11376.333,415
99,T99,,Sam Saunders,24,"27' 5""",7983.4169999999995,291
100,T101,,Tom Hoge,17,"27' 7""",6200.6669999999995,225
101,T101,,Michael Kim,28,"27' 7""",12063.5,438
102,T101,,Danny Lee,32,"27' 7""",10264.75,372
103,T101,,Sean O'Hair,25,"27' 7""",9706.833,352
104,T101,,Geoff Ogilvy,25,"27' 7""",9274.75,336
105,T106,,Mark Hubbard,27,"27' 8""",8863.75,320
106,T106,,J.T. Poston,28,"27' 8""",11270.25,407
107,T108,,Troy Merritt,28,"27' 9""",9773.833,352
108,T108,,Rory Sabbatini,23,"27' 9""",7152.5,258
109,110,,Bill Haas,25,"27' 10""",10187.5,366
110,111,,Xander Schauffele,28,"27' 11""",10339.5,370
111,T112,,Rafa Cabrera Bello,19,"28' 0""",6071.9169999999995,217
112,T112,,Bud Cauley,28,"28' 0""",11550.083,412
113,T114,,Chad Collins,26,"28' 1""",8109.0,289
114,T114,,Si Woo Kim,30,"28' 1""",9089.75,324
115,T114,,Marc Leishman,25,"28' 1""",10860.417,387
116,T114,,Bryce Molder,26,"28' 1""",10382.917,370
117,T114,,Shawn Stefani,26,"28' 1""",8959.5,319
118,119,,Scott Piercy,22,"28' 2""",7455.9169999999995,265
119,T120,,Patrick Cantlay,13,"28' 3""",6585.5,233
120,T120,,J.J. Henry,29,"28' 3""",10845.167,384
121,T120,,Tyrone Van Aswegen,32,"28' 3""",11950.0,423
122,T123,,Patrick Reed,29,"28' 5""",12642.417,445
123,T123,,Cameron Smith,26,"28' 5""",11495.167,405
124,125,,Michael Thompson,21,"28' 6""",6723.0830000000005,236
125,T126,,Kelly Kraft,27,"28' 7""",9943.417,348
126,T126,,Grayson Murray,30,"28' 7""",13424.083,469
127,128,,Gary Woodland,26,"28' 8""",9371.917,327
128,129,,Mark Anderson,20,"28' 9""",6840.0,238
129,T130,,Julián Etulain,22,"28' 11""",7549.6669999999995,261
130,T130,,Justin Thomas,25,"28' 11""",10105.083,349
131,132,,Jonas Blixt,25,"29' 0""",9036.667,312
132,133,,Nicholas Lindheim,21,"29' 1""",7829.5,269
133,T134,,Ricky Barnes,31,"29' 2""",14105.5,483
134,T134,,Bryson DeChambeau,31,"29' 2""",11001.5,377
135,T136,,Morgan Hoffmann,29,"29' 4""",12557.75,428
136,T136,,Ollie Schniederjans,28,"29' 4""",15118.917,516
137,T138,,Adam Scott,16,"29' 5""",7005.75,238
138,T138,,Bubba Watson,22,"29' 5""",7414.8330000000005,252
139,T140,,Brian Campbell,20,"29' 6""",6372.25,216
140,T140,,Brad Fritsch,18,"29' 6""",7605.8330000000005,258
141,142,,Sebastián Muñoz,17,"29' 8""",6977.75,235
142,143,,Stewart Cink,26,"29' 9""",14030.5,471
143,144,,Wesley Bryan,28,"29' 11""",12310.0,412
144,145,,Charl Schwartzel,18,"30' 1""",8417.833,280
145,146,,Nick Watney,23,"30' 2""",11133.417,369
146,147,,Robert Garrigus,26,"30' 7""",9552.917,312
147,T148,,Kevin Chappell,27,"30' 8""",11342.417,370
148,T148,,Retief Goosen,19,"30' 8""",7138.0830000000005,233
149,150,,Camilo Villegas,25,"30' 9""",11620.5,378
150,T151,,Tony Finau,29,"30' 10""",14823.667,481
151,T151,,Andres Gonzales,24,"30' 10""",10519.083,341
152,T151,,Carl Pettersson,27,"30' 10""",10479.417,340
153,T154,,Jason Kokrak,28,"30' 11""",12971.0,420
154,T154,,Robert Streb,30,"30' 11""",14382.25,465
155,T156,,Derek Fathauer,27,"31' 0""",11920.667,385
156,T156,,Martin Flores,27,"31' 0""",13087.167,422
157,T156,,Seamus Power,25,"31' 0""",13374.5,431
158,159,,Smylie Kaufman,26,"31' 2""",11691.083,375
159,T160,,Dustin Johnson,20,"31' 4""",9816.0,313
160,T160,,Ryan Palmer,20,"31' 4""",8341.583,266
161,T162,,Aaron Baddeley,20,"31' 5""",8702.167,277
162,T162,,Jamie Lovemark,28,"31' 5""",13526.75,431
163,T162,,Scott Stallings,27,"31' 5""",12370.583,394
164,165,,Dominic Bozzelli,24,"31' 6""",10026.0,318
165,T166,,Trey Mullinax,28,"31' 8""",12722.167,402
166,T166,,Patrick Rodgers,27,"31' 8""",12977.0,410
167,168,,Phil Mickelson,22,"31' 10""",12862.417,404
168,169,,Gonzalo Fernandez-Castaño,22,"31' 11""",8798.083,276
169,170,,Whee Kim,27,"32' 3""",11679.917,362
170,171,,Patton Kizzire,28,"32' 4""",14273.333,441
171,172,,Ryo Ishikawa,20,"32' 5""",9341.5,288
172,T173,,Ernie Els,20,"33' 3""",6381.9169999999995,192
173,T173,,Kevin Tway,27,"33' 3""",15673.917,471
174,T173,,Jimmy Walker,21,"33' 3""",9008.583,271
175,176,,Matt Jones,20,"33' 4""",9655.5,290
176,177,,Cody Gribble,28,"33' 5""",13850.583,414
177,178,,Luke List,31,"33' 6""",16509.583,493
178,179,,Luke Donald,18,"33' 8""",8118.1669999999995,241
179,180,,Cameron Tringale,28,"33' 10""",12845.75,380
180,181,,J.B. Holmes,23,"33' 11""",12734.167,375
181,182,,Harris English,27,"34' 0""",14817.0,436
182,183,,Ryan Brehm,25,"35' 6""",13982.25,394
183,184,,Brooks Koepka,24,"35' 7""",12787.833,359
184,185,,Jason Day,20,"36' 8""",11551.417,315
185,T186,,Matt Every,30,"36' 9""",14597.0,397
186,T186,,Seung-Yul Noh,31,"36' 9""",16591.75,451
187,188,,Brandon Hagy,26,"38' 1""",16343.667,429
188,189,,Andrew Loupe,21,"39' 4""",12617.667,321
189,190,,Steven Bowditch,27,"44' 2""",13997.333,317
