,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
124,125,,Steven Alker,69,"99' 3""","4269' 4""",43,"125' 7""","79' 9"""
125,126,,Kyle Reifers,96,"98' 5""","6690' 9""",68,"142' 11""","71' 2"""
126,127,,William McGirt,89,"98' 3""","6386' 9""",65,"128' 6""","67' 0"""
127,T128,,Brad Fritsch,56,"98' 1""","3826' 9""",39,"156' 4""","58' 0"""
128,T128,,Daniel Summerhays,100,"98' 1""","6866' 7""",70,"137' 3""","56' 0"""
129,T130,,Paul Casey,94,"97' 9""",4985',51,"126' 2""","64' 10"""
130,T130,,Brian Harman,104,"97' 9""","6253' 7""",64,"126' 1""","66' 3"""
131,132,,Emiliano Grillo,90,"97' 4""","5741' 3""",59,"147' 5""","54' 3"""
132,133,,Jason Dufner,89,"97' 3""","6223' 8""",64,"136' 11""","57' 7"""
133,134,,Brian Campbell,55,"97' 2""","3692' 6""",38,"133' 0""","49' 7"""
134,T135,,Stewart Cink,93,"96' 10""",6778',70,"127' 9""","67' 11"""
135,T135,,Seamus Power,86,"96' 10""","4646' 3""",48,"143' 11""","63' 10"""
136,T137,,K.J. Choi,72,"96' 8""","5122' 4""",53,"127' 11""","77' 8"""
137,T137,,Fabián Gómez,61,"96' 8""",4444',46,"133' 10""","63' 1"""
138,T139,,Chad Campbell,97,"96' 6""","6950' 4""",72,"131' 5""","57' 1"""
139,T139,,Tyrone Van Aswegen,105,"96' 6""",5695',59,"129' 10""","60' 4"""
140,141,,Steve Wheatcroft,51,"96' 1""","2979' 3""",31,"119' 6""","66' 3"""
141,142,,Jim Herman,77,"95' 10""",5174',54,"121' 8""","59' 11"""
142,143,,Peter Malnati,91,"95' 8""",6984',73,"128' 10""","64' 10"""
143,144,,Brian Gay,82,"95' 5""",6299',66,"123' 6""","62' 5"""
144,145,,Ryan Moore,82,"95' 3""","5713' 2""",60,"135' 5""","48' 9"""
145,146,,Ben Crane,86,"95' 1""","6180' 9""",65,"117' 4""","72' 2"""
146,147,,Gonzalo Fernandez-Castaño,63,"94' 10""","3223' 8""",34,"127' 3""","58' 2"""
147,148,,Andres Gonzales,73,"94' 9""","4737' 8""",50,"123' 11""","71' 2"""
148,149,,Matt Jones,64,"94' 7""","4349' 6""",46,"124' 6""","67' 0"""
149,T150,,Rafa Cabrera Bello,63,"94' 6""","3306' 9""",35,"131' 4""","54' 6"""
150,T150,,Webb Simpson,102,"94' 6""","6614' 8""",70,"122' 4""","69' 8"""
151,152,,Chad Collins,66,"94' 3""","4430' 9""",47,"132' 1""","61' 8"""
152,153,,Kevin Tway,96,"94' 1""","4984' 9""",53,"141' 10""","48' 0"""
153,T154,,D.A. Points,68,"93' 6""",4673',50,"126' 11""","65' 0"""
154,T154,,J.T. Poston,95,"93' 6""","6262' 4""",67,"122' 2""","62' 9"""
155,156,,Kevin Na,86,"93' 5""","4762' 2""",51,"147' 4""","56' 4"""
156,157,,Brian Stuard,93,"93' 3""","5690' 6""",61,"117' 9""","59' 8"""
157,158,,Steven Bowditch,59,"92' 11""","3901' 3""",42,"139' 7""","50' 6"""
158,159,,Chris Kirk,89,"92' 4""","5999' 5""",65,"116' 5""","67' 3"""
159,160,,Graeme McDowell,56,"92' 1""","3407' 1""",37,"124' 0""","55' 6"""
160,161,,Aaron Baddeley,61,"91' 5""",4021',44,"125' 0""","48' 7"""
161,162,,Michael Thompson,60,"91' 4""","3654' 4""",40,"113' 7""","61' 5"""
162,163,,Brett Drewitt,57,"91' 2""","3192' 1""",35,"124' 2""","51' 4"""
163,164,,Mark Anderson,54,"90' 3""",3791',42,"113' 3""","64' 9"""
164,165,,Ryan Armour,63,"90' 1""","3785' 2""",42,"149' 2""","47' 9"""
165,166,,Russell Knox,75,"89' 10""","4133' 5""",46,"117' 4""","59' 8"""
166,167,,Tim Wilkinson,64,"89' 1""","3829' 9""",43,"120' 11""","60' 11"""
167,168,,Ben Martin,86,"88' 9""","5855' 3""",66,"117' 7""","65' 9"""
168,169,,Lucas Glover,93,"88' 0""",5633',64,"123' 3""","54' 10"""
169,170,,Branden Grace,70,"87' 6""","2973' 8""",34,"117' 11""","38' 11"""
170,T171,,Russell Henley,99,"87' 0""",6351',73,"119' 2""","62' 4"""
171,T171,,Carl Pettersson,63,"87' 0""","3391' 6""",39,"129' 7""","55' 11"""
172,173,,Wesley Bryan,95,"86' 9""","4942' 5""",57,"138' 6""","46' 1"""
173,174,,Nicholas Lindheim,58,"86' 8""",3378',39,"114' 7""","48' 3"""
174,175,,Jim Furyk,54,"86' 6""","3201' 7""",37,"127' 8""","56' 10"""
175,176,,Charles Howell III,86,"86' 0""","4987' 9""",58,"119' 0""","54' 0"""
176,T177,,Søren Kjeldsen,58,"85' 7""","2311' 5""",27,"125' 8""","66' 11"""
177,T177,,Camilo Villegas,76,"85' 7""",4363',51,"118' 4""","25' 7"""
178,179,,Bryce Molder,74,"85' 5""","5122' 9""",60,"129' 9""","46' 0"""
179,180,,Jason Bohn,75,"83' 10""","4860' 2""",58,"112' 6""","44' 3"""
180,181,,Greg Chalmers,75,"83' 7""",5267',63,"112' 3""","54' 2"""
181,182,,Robert Streb,98,"83' 2""","5820' 5""",70,"121' 1""","44' 5"""
182,183,,Boo Weekley,75,"82' 9""","4219' 3""",51,"110' 4""","43' 8"""
183,184,,Spencer Levin,89,"82' 8""","5207' 8""",63,"135' 7""","50' 9"""
184,185,,Ian Poulter,72,"82' 1""","4023' 4""",49,"102' 5""","55' 5"""
185,186,,Jonathan Randolph,68,"80' 9""","3713' 5""",46,"118' 6""","52' 7"""
186,187,,Ken Duke,77,"80' 6""","3540' 4""",44,"102' 5""","53' 10"""
187,188,,Ollie Schniederjans,92,"73' 9""","4353' 8""",59,"166' 4""","4' 7"""
188,189,,Rod Pampling,71,"72' 0""","3527' 0""",49,"110' 9""","26' 1"""
189,190,,Ricky Barnes,100,"67' 10""","3390' 2""",50,"114' 7""","41' 10"""
