,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
44,45,,Scott Brown,95,13.62,148,1087,+0.07
45,46,,Jason Kokrak,95,13.67,149,1090,+0.11
46,47,,Jim Furyk,54,13.72,76,554,+0.13
47,48,,Jonathan Randolph,68,13.76,90,654,+0.11
48,49,,Bud Cauley,92,13.81,152,1101,+0.07
49,50,,Brett Stegmaier,78,13.86,111,801,+0.28
50,51,,Lucas Glover,93,13.87,162,1168,+0.09
51,52,,John Huh,92,13.89,147,1058,+0.18
52,53,,Wesley Bryan,95,13.91,144,1035,+0.11
53,54,,J.J. Henry,92,13.93,145,1041,+0.23
54,55,,Danny Lee,93,13.99,147,1051,+0.10
55,56,,Paul Casey,94,14.0,131,936,+0.11
56,57,,Patrick Reed,107,14.02,156,1113,+0.08
57,58,,J.J. Spaun,92,14.13,141,998,+0.16
58,T59,,Zac Blair,105,14.15,160,1131,+0.03
59,T59,,Jonas Blixt,74,14.15,115,813,+0.12
60,T61,,Rick Lamb,54,14.18,75,529,+0.31
61,T61,,Louis Oosthuizen,69,14.18,93,656,+0.01
62,63,,Luke Donald,50,14.21,84,591,+0.07
63,64,,James Hahn,96,14.24,161,1131,+0.02
64,65,,Bubba Watson,71,14.25,101,709,+0.10
65,66,,Justin Rose,66,14.27,101,708,+0.07
66,67,,Martin Laird,83,14.3,135,944,+0.06
67,68,,Robert Garrigus,78,14.32,118,824,+0.08
68,69,,Brian Gay,82,14.36,138,961,+0.12
69,T70,,Jason Dufner,89,14.43,141,977,+0.04
70,T70,,Ben Martin,86,14.43,140,970,+0.14
71,72,,Carl Pettersson,63,14.47,103,712,+0.19
72,73,,Julián Etulain,68,14.49,103,711,+0.11
73,74,,Matt Every,76,14.63,120,820,+0.13
74,75,,Russell Henley,99,14.65,167,1140,+0.09
75,76,,Shawn Stefani,72,14.73,123,835,+0.07
76,77,,Roberto Castro,70,14.76,107,725,+0.09
77,78,,Cameron Percy,71,14.77,113,765,+0.07
78,79,,Scott Stallings,81,14.79,139,940,+0.09
79,80,,Kevin Na,86,14.85,128,862,+0.05
80,81,,Ben Crane,86,14.93,143,958,+0.22
81,T82,,Byeong Hun An,77,15.0,114,760,+0.19
82,T82,,Daniel Summerhays,100,15.0,163,1087,+0.11
83,T84,,Steven Alker,69,15.03,107,712,+0.17
84,T84,,Sung Kang,104,15.03,171,1138,+0.15
85,86,,Ryan Blaum,100,15.1,172,1139,+0.16
86,T87,,Retief Goosen,52,15.12,85,562,+0.16
87,T87,,Tyrone Van Aswegen,105,15.12,168,1111,+0.17
88,89,,Brendan Steele,89,15.17,142,936,+0.08
89,90,,Sam Saunders,76,15.19,129,849,+0.06
90,91,,Greg Chalmers,75,15.22,144,946,+0.16
91,92,,Patrick Cantlay,52,15.23,97,637,-0.04
92,93,,Chris Stroud,67,15.27,102,668,+0.21
93,94,,Hunter Mahan,73,15.28,125,818,+0.10
94,95,,Seung-Yul Noh,91,15.29,157,1027,+0.02
95,96,,Emiliano Grillo,90,15.32,137,894,+0.20
96,97,,Geoff Ogilvy,80,15.38,143,930,+0.12
97,98,,Nick Taylor,97,15.45,178,1152,+0.04
98,99,,Harold Varner III,101,15.49,184,1188,+0.09
99,100,,Bill Haas,92,15.5,146,942,+0.07
100,101,,Cameron Tringale,89,15.55,139,894,+0.17
101,T102,,Dustin Johnson,77,15.57,123,790,+0.01
102,T102,,Jordan Spieth,85,15.57,139,893,+0.01
103,104,,Brian Harman,104,15.61,178,1140,+0.09
104,105,,David Hearn,93,15.69,155,988,+0.23
105,106,,Cody Gribble,79,15.7,152,968,+0.22
106,107,,Steven Bowditch,59,15.72,94,598,+0.18
107,108,,Sebastián Muñoz,51,15.73,84,534,+0.07
108,109,,Nick Watney,75,15.76,139,882,+0.06
109,110,,Chris Kirk,89,15.83,154,973,+0.04
110,111,,Ricky Barnes,100,15.84,169,1067,+0.08
111,112,,Jason Bohn,75,15.89,137,862,+0.11
112,113,,Grayson Murray,94,15.93,188,1180,+0.04
113,114,,Brian Campbell,55,15.94,91,571,+0.05
114,115,,Jon Rahm,90,15.97,142,889,-0.06
115,116,,Hudson Swafford,94,16.0,168,1050,+0.08
116,T117,,Ryan Brehm,83,16.01,134,837,+0.08
117,T117,,Ken Duke,77,16.01,134,837,+0.12
118,T117,,Ian Poulter,72,16.01,122,762,+0.11
119,120,,Rafa Cabrera Bello,63,16.04,94,586,+0.03
120,121,,Mark Anderson,54,16.07,94,585,+0.13
121,122,,Charl Schwartzel,63,16.11,102,633,+0.07
122,123,,Luke List,102,16.12,191,1185,-0.04
123,124,,Brooks Koepka,88,16.3,141,865,+0.13
124,125,,Stewart Cink,93,16.35,174,1064,+0.07
125,126,,Ollie Schniederjans,92,16.37,183,1118,+0.02
126,127,,Gary Woodland,94,16.38,145,885,+0.03
127,128,,Bryson DeChambeau,91,16.41,160,975,+0.08
128,129,,Peter Malnati,91,16.49,167,1013,+0.08
129,130,,Patton Kizzire,84,16.58,164,989,+0.10
130,131,,Tony Finau,106,16.63,210,1263,-0.01
131,132,,Matt Jones,64,16.67,118,708,+0.03
132,133,,Cameron Smith,86,16.68,164,983,+0.10
133,134,,Rory Sabbatini,71,16.71,123,736,+0.02
134,135,,Chad Collins,66,16.73,125,747,+0.17
135,136,,Mackenzie Hughes,106,16.74,224,1338,+0.08
136,137,,Justin Thomas,86,16.79,141,840,-0.11
137,138,,Si Woo Kim,80,16.84,131,778,+0.28
138,139,,Camilo Villegas,76,16.88,144,853,+0.04
139,140,,Billy Horschel,88,16.9,183,1083,+0.08
140,141,,Pat Perez,93,16.94,168,992,-0.01
141,142,,Tom Hoge,54,16.95,91,537,+0.19
142,143,,Mark Hubbard,81,16.98,143,842,+0.15
143,144,,Tag Ridings,67,17.1,119,696,+0.08
144,145,,Kevin Chappell,95,17.11,161,941,+0.04
145,146,,Morgan Hoffmann,92,17.18,195,1135,+0.14
146,147,,Rory McIlroy,51,17.2,81,471,E
147,148,,Patrick Rodgers,76,17.21,157,912,+0.11
148,149,,Jhonattan Vegas,95,17.24,166,963,+0.04
149,150,,Branden Grace,70,17.25,103,597,-0.02
150,151,,Jamie Lovemark,98,17.27,181,1048,+0.02
151,152,,Whee Kim,74,17.31,138,797,+0.03
152,153,,Kevin Tway,96,17.32,176,1016,+0.01
153,154,,Jason Day,71,17.56,128,729,-0.08
154,155,,Anirban Lahiri,72,17.58,144,819,+0.20
155,156,,Smylie Kaufman,76,17.66,154,872,+0.17
156,157,,J.T. Poston,95,17.7,174,983,+0.05
157,158,,Miguel Angel Carballo,63,17.76,106,597,+0.09
158,159,,Charles Howell III,86,17.78,167,939,+0.11
159,T160,,Ernie Els,52,17.8,81,455,+0.15
160,T160,,Harris English,84,17.8,165,927,-0.01
161,162,,Kelly Kraft,75,17.88,160,895,+0.16
162,163,,Troy Merritt,82,17.9,169,944,+0.11
163,164,,Fabián Gómez,61,18.07,129,714,+0.10
164,165,,Derek Fathauer,81,18.11,161,889,+0.11
165,166,,Trey Mullinax,88,18.15,165,909,+0.03
166,167,,Seamus Power,86,18.17,171,941,-0.01
167,168,,Daniel Berger,91,18.4,172,935,+0.03
168,T169,,Brett Drewitt,57,18.46,110,596,+0.09
169,T169,,Xander Schauffele,96,18.46,180,975,E
170,171,,Hideki Matsuyama,83,18.47,142,769,+0.06
171,172,,Ryan Palmer,61,18.49,120,649,+0.08
172,173,,Brandon Hagy,85,18.57,176,948,-0.01
173,174,,Aaron Baddeley,61,18.59,119,640,+0.07
174,175,,Jimmy Walker,68,18.7,124,663,+0.10
175,176,,Andres Gonzales,73,18.73,148,790,+0.03
176,177,,J.B. Holmes,83,18.89,147,778,+0.06
177,178,,Charley Hoffman,112,18.98,235,1238,+0.04
178,179,,Rod Pampling,71,19.13,176,920,+0.18
179,180,,Dominic Bozzelli,69,19.74,149,755,+0.03
180,181,,Bryce Molder,74,19.75,175,886,+0.07
181,182,,Scott Piercy,70,20.06,131,653,+0.11
182,183,,Martin Flores,88,20.11,185,920,+0.10
183,184,,Gonzalo Fernandez-Castaño,63,20.3,123,606,+0.07
184,185,,Andrew Loupe,55,20.38,129,633,+0.05
185,186,,Adam Scott,58,21.35,117,548,+0.03
186,187,,Marc Leishman,94,21.4,205,958,+0.04
187,188,,Ryo Ishikawa,56,21.5,126,586,+0.22
188,189,,Nicholas Lindheim,58,22.41,136,607,+0.15
189,190,,Brad Fritsch,56,23.06,134,581,+0.17
