,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
55,T52,,Robert Streb,30,"23' 2""",15148.917,654
56,T52,,Gary Woodland,26,"23' 2""",12134.917,523
57,T58,,J.B. Holmes,23,"23' 3""",8868.417,381
58,T58,,Kelly Kraft,27,"23' 3""",12233.917,526
59,T58,,Danny Lee,32,"23' 3""",15022.833,646
60,T58,,Nick Taylor,29,"23' 3""",16182.5,695
61,T62,,Blayne Barber,25,"23' 4""",13226.0,566
62,T62,,Miguel Angel Carballo,22,"23' 4""",8278.333,355
63,T62,,Peter Malnati,29,"23' 4""",14790.083,633
64,T62,,Webb Simpson,28,"23' 4""",16945.833,727
65,T62,,Harold Varner III,31,"23' 4""",16071.333,688
66,T67,,Dominic Bozzelli,24,"23' 5""",9848.667,421
67,T67,,Bill Haas,25,"23' 5""",12935.5,552
68,T67,,Morgan Hoffmann,29,"23' 5""",15568.917,664
69,T67,,Trey Mullinax,28,"23' 5""",11156.5,476
70,T71,,Mark Anderson,20,"23' 6""",7936.5,338
71,T71,,Brad Fritsch,18,"23' 6""",7434.9169999999995,316
72,T71,,Mark Hubbard,27,"23' 6""",11827.917,503
73,T71,,Carl Pettersson,27,"23' 6""",8575.667,365
74,T71,,Tyrone Van Aswegen,32,"23' 6""",15573.583,662
75,T76,,Jonas Blixt,25,"23' 7""",11212.5,476
76,T76,,Roberto Castro,25,"23' 7""",11002.417,467
77,T76,,Andres Gonzales,24,"23' 7""",10094.917,428
78,T76,,Si Woo Kim,30,"23' 7""",10029.25,425
79,T76,,Kyle Reifers,32,"23' 7""",15401.833,653
80,T76,,Sam Saunders,24,"23' 7""",12724.833,539
81,T82,,Brian Campbell,20,"23' 8""",8024.3330000000005,339
82,T82,,Sergio Garcia,17,"23' 8""",8131.3330000000005,343
83,T82,,William McGirt,28,"23' 8""",15533.583,656
84,T82,,Ryan Moore,24,"23' 8""",14558.417,615
85,T82,,Rory Sabbatini,23,"23' 8""",11037.0,467
86,T82,,Shawn Stefani,26,"23' 8""",11469.583,485
87,T88,,Adam Hadwin,28,"23' 9""",15187.083,639
88,T88,,Spencer Levin,31,"23' 9""",14814.0,623
89,T88,,Kevin Na,26,"23' 9""",12334.083,519
90,91,,Dustin Johnson,20,"23' 10""",10689.583,448
91,T92,,Zac Blair,32,"23' 11""",18367.5,768
92,T92,,Tom Hoge,17,"23' 11""",7129.3330000000005,298
93,T92,,Billy Horschel,28,"23' 11""",15281.75,638
94,T92,,Ryo Ishikawa,20,"23' 11""",6798.1669999999995,284
95,T92,,Whee Kim,27,"23' 11""",9933.417,415
96,T97,,Stewart Cink,26,"24' 0""",13524.167,563
97,T97,,Retief Goosen,19,"24' 0""",7639.4169999999995,318
98,T97,,Michael Kim,28,"24' 0""",16554.25,690
99,T97,,Phil Mickelson,22,"24' 0""",12444.167,519
100,T97,,Kevin Streelman,26,"24' 0""",16695.25,696
101,102,,Marc Leishman,25,"24' 1""",12836.583,533
102,T103,,Ryan Armour,20,"24' 2""",12001.667,497
103,T103,,K.J. Choi,25,"24' 2""",11775.333,488
104,T103,,Patton Kizzire,28,"24' 2""",12364.667,511
105,T103,,Russell Knox,24,"24' 2""",11580.0,480
106,T103,,Adam Scott,16,"24' 2""",7100.4169999999995,294
107,T103,,Richy Werenski,26,"24' 2""",13348.167,552
108,T109,,Byeong Hun An,22,"24' 3""",10642.333,439
109,T109,,Gonzalo Fernandez-Castaño,22,"24' 3""",7661.9169999999995,316
110,T109,,Sean O'Hair,25,"24' 3""",13400.333,553
111,T109,,Pat Perez,26,"24' 3""",14610.917,602
112,T109,,Cameron Tringale,28,"24' 3""",12095.667,498
113,T109,,Nick Watney,23,"24' 3""",11748.833,485
114,T115,,Jason Kokrak,28,"24' 4""",15404.417,633
115,T115,,Troy Merritt,28,"24' 4""",13649.417,560
116,T115,,Grayson Murray,30,"24' 4""",15844.0,651
117,T115,,Patrick Reed,29,"24' 4""",15192.333,625
118,T115,,Brendan Steele,25,"24' 4""",13805.417,568
119,T115,,Vaughn Taylor,26,"24' 4""",17411.583,715
120,T121,,Chad Collins,26,"24' 5""",10801.417,442
121,T121,,Sebastián Muñoz,17,"24' 5""",7050.9169999999995,289
122,T123,,Bryson DeChambeau,31,"24' 6""",13924.167,568
123,T123,,Julián Etulain,22,"24' 6""",10424.75,426
124,T123,,Robert Garrigus,26,"24' 6""",12067.333,492
125,T123,,Charles Howell III,23,"24' 6""",12148.0,495
126,T123,,Jonathan Randolph,22,"24' 6""",9839.5,402
127,T128,,Jason Bohn,28,"24' 7""",13047.0,530
128,T128,,Martin Flores,27,"24' 7""",11697.333,476
129,T128,,Sung Kang,32,"24' 7""",15794.083,642
130,T128,,Smylie Kaufman,26,"24' 7""",11364.583,463
131,T128,,Jamie Lovemark,28,"24' 7""",14074.0,573
132,T128,,Seamus Power,25,"24' 7""",11757.667,478
133,T134,,Matt Jones,20,"24' 8""",9594.25,389
134,T134,,Seung-Yul Noh,31,"24' 8""",13309.917,540
135,T134,,Xander Schauffele,28,"24' 8""",13817.667,560
136,T134,,Camilo Villegas,25,"24' 8""",11502.0,467
137,T138,,Harris English,27,"24' 9""",11428.667,462
138,T138,,Brooks Koepka,24,"24' 9""",11248.5,455
139,T140,,Jim Herman,25,"24' 10""",15419.167,620
140,T140,,Luke List,31,"24' 10""",15944.0,642
141,T140,,Brian Stuard,31,"24' 10""",15900.333,640
142,T143,,Mackenzie Hughes,31,"24' 11""",19604.667,786
143,T143,,John Huh,28,"24' 11""",16429.667,660
144,T143,,Rick Lamb,19,"24' 11""",8258.5,332
145,T143,,Hunter Mahan,26,"24' 11""",12526.917,502
146,T143,,Charl Schwartzel,18,"24' 11""",8201.417,329
147,T143,,Brett Stegmaier,27,"24' 11""",11885.583,477
148,T149,,Anirban Lahiri,22,"25' 0""",11690.417,468
149,T149,,Hideki Matsuyama,22,"25' 0""",10620.917,425
150,T151,,Ben Crane,26,"25' 1""",15900.25,633
151,T151,,Luke Donald,18,"25' 1""",8455.5,337
152,T151,,Charley Hoffman,31,"25' 1""",17430.833,696
153,T151,,Rory McIlroy,14,"25' 1""",6304.75,251
154,T151,,Justin Rose,18,"25' 1""",10529.917,420
155,T151,,Chris Stroud,22,"25' 1""",10725.167,428
156,157,,Steven Bowditch,27,"25' 2""",6889.5,274
157,T158,,Matt Every,30,"25' 3""",10279.0,407
158,T158,,Branden Grace,20,"25' 3""",8804.667,349
159,160,,Ricky Barnes,31,"25' 4""",14140.417,559
160,T161,,Kevin Tway,27,"25' 5""",12940.333,509
161,T161,,Steve Wheatcroft,17,"25' 5""",9465.833,372
162,163,,James Hahn,28,"25' 6""",17965.417,704
163,T164,,Derek Fathauer,27,"25' 7""",12248.583,478
164,T164,,Tony Finau,29,"25' 7""",18350.917,717
165,T164,,Rod Pampling,22,"25' 7""",13780.417,539
166,T164,,Jordan Spieth,23,"25' 7""",13467.917,526
167,T168,,Wesley Bryan,28,"25' 8""",15355.417,598
168,T168,,Cody Gribble,28,"25' 8""",13108.333,511
169,T170,,Daniel Berger,26,"25' 9""",14188.083,551
170,T170,,Tag Ridings,20,"25' 9""",10085.75,392
171,T170,,Jhonattan Vegas,29,"25' 9""",13617.667,529
172,T173,,Cameron Percy,23,"25' 11""",11496.833,444
173,T173,,Patrick Rodgers,27,"25' 11""",12150.417,469
174,T175,,Brett Drewitt,19,"26' 0""",9039.333,348
175,T175,,Jim Furyk,18,"26' 0""",9899.75,381
176,T175,,Bubba Watson,22,"26' 0""",11075.417,426
177,178,,Ollie Schniederjans,28,"26' 1""",14807.75,568
178,179,,Fabián Gómez,21,"26' 2""",11297.5,432
179,180,,Bryce Molder,26,"26' 3""",12850.917,489
180,T181,,Brandon Hagy,26,"26' 5""",13149.0,497
181,T181,,Justin Thomas,25,"26' 5""",11700.833,443
182,T183,,Nicholas Lindheim,21,"26' 7""",8817.833,332
183,T183,,Jimmy Walker,21,"26' 7""",9926.583,373
184,185,,Jason Day,20,"26' 8""",10485.083,393
185,186,,Billy Hurley III,25,"26' 10""",15330.25,571
186,187,,Greg Chalmers,28,"27' 3""",15198.917,557
187,188,,Andrew Loupe,21,"27' 4""",8036.5,294
188,189,,Aaron Baddeley,20,"27' 10""",9452.25,340
189,190,,Brandt Snedeker,15,"28' 5""",9349.667,329
