,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
110,T110,,Whee Kim,27,49.5,182,368,1.43
111,T110,,Chez Reavie,28,49.5,154,311,1.36
112,T110,,Tag Ridings,20,49.5,143,289,0.56
113,T114,,Mark Anderson,20,49.8,119,239,1.18
114,T114,,Retief Goosen,19,49.8,116,233,1.81
115,T116,,Tyrone Van Aswegen,32,49.9,215,431,1.67
116,T116,,Gary Woodland,26,49.9,167,335,1.8
117,118,,Graham DeLaet,25,50.1,172,343,2.27
118,119,,Julián Etulain,22,50.2,135,269,1.48
119,T120,,Francesco Molinari,21,50.4,117,232,1.54
120,T120,,Hudson Swafford,28,50.4,201,399,1.04
121,T120,,Jhonattan Vegas,29,50.4,198,393,1.67
122,T123,,Kevin Kisner,28,50.5,163,323,0.43
123,T123,,Seung-Yul Noh,31,50.5,233,461,1.59
124,T125,,J.J. Henry,29,50.6,195,385,1.49
125,T125,,Patton Kizzire,28,50.6,229,453,2.1
126,127,,John Huh,28,50.7,190,375,1.21
127,T128,,J.B. Holmes,23,50.8,187,368,1.66
128,T128,,Boo Weekley,27,50.8,120,236,2.58
129,130,,Trey Mullinax,28,50.9,208,409,1.25
130,131,,Seamus Power,25,51.0,222,435,0.59
131,132,,Dustin Johnson,20,51.1,157,307,-0.06
132,T133,,Luke Donald,18,51.2,127,248,2.44
133,T133,,Patrick Rodgers,27,51.2,214,418,1.68
134,T133,,Vaughn Taylor,26,51.2,168,328,0.89
135,T136,,Cameron Percy,23,51.3,154,300,2.08
136,T136,,Brandt Snedeker,15,51.3,97,189,0.21
137,T138,,Brandon Hagy,26,51.5,218,423,1.06
138,T138,,Danny Lee,32,51.5,195,379,2.21
139,T138,,Justin Rose,18,51.5,135,262,0.81
140,T141,,Ryan Blaum,29,51.6,229,444,1.75
141,T141,,Zach Johnson,23,51.6,147,285,2.11
142,T141,,Nick Watney,23,51.6,195,378,1.49
143,T144,,Blayne Barber,25,51.7,182,352,2.09
144,T144,,Jonathan Randolph,22,51.7,122,236,2.3
145,T144,,Camilo Villegas,25,51.7,194,375,1.24
146,T147,,Justin Thomas,25,52.0,182,350,0.49
147,T147,,Steve Wheatcroft,17,52.0,90,173,2.56
148,149,,Paul Casey,24,52.1,170,326,0.53
149,T150,,Scott Brown,29,52.2,200,383,1.95
150,T150,,Adam Hadwin,28,52.2,191,366,1.88
151,T150,,Patrick Reed,29,52.2,234,448,0.85
152,153,,Johnson Wagner,26,52.3,147,281,1.22
153,T154,,Stewart Cink,26,52.4,249,475,0.52
154,T154,,Sung Kang,32,52.4,240,458,1.08
155,T154,,Jason Kokrak,28,52.4,221,422,1.58
156,T154,,Kevin Tway,27,52.4,244,466,2.25
157,158,,Charl Schwartzel,18,52.5,147,280,0.27
158,T159,,Rickie Fowler,21,52.8,141,267,2.06
159,T159,,Brooks Koepka,24,52.8,189,358,1.48
160,T159,,Ryan Moore,24,52.8,143,271,1.89
161,162,,Scott Stallings,27,53.0,212,400,1.46
162,T163,,Harris English,27,53.2,235,442,1.28
163,T163,,Ollie Schniederjans,28,53.2,275,517,2.07
164,165,,Sean O'Hair,25,54.0,195,361,1.44
165,T166,,Alex Cejka,28,54.1,152,281,2.17
166,T166,,Sebastián Muñoz,17,54.1,125,231,1.36
167,T166,,Michael Thompson,21,54.1,132,244,2.2
168,169,,Cameron Tringale,28,54.2,206,380,1.46
169,170,,Webb Simpson,28,54.3,197,363,1.37
170,171,,Cody Gribble,28,54.4,230,423,1.48
171,T172,,Ricky Barnes,31,54.7,267,488,0.97
172,T172,,C.T. Pan,29,54.7,199,364,1.41
173,174,,Graeme McDowell,17,55.0,110,200,3.18
174,175,,D.A. Points,22,55.1,150,272,2.13
175,T176,,Wesley Bryan,28,55.5,228,411,1.23
176,T176,,Spencer Levin,31,55.5,162,292,2.16
177,178,,Chad Campbell,29,55.8,218,391,1.06
178,179,,Sergio Garcia,17,55.9,118,211,1.69
179,T180,,Matt Every,30,56.3,222,394,1.44
180,T180,,Carl Pettersson,27,56.3,191,339,1.88
181,182,,David Lingmerth,23,56.8,187,329,1.93
182,183,,Ryan Brehm,25,57.5,227,395,0.53
183,184,,Brian Stuard,31,57.7,162,281,2.28
184,T185,,Robert Streb,30,58.0,273,471,1.36
185,T185,,Richy Werenski,26,58.0,166,286,2.41
186,187,,Jim Herman,25,58.1,161,277,1.43
187,188,,Steven Bowditch,27,58.9,188,319,2.77
188,189,,Phil Mickelson,22,62.6,254,406,1.38
189,190,,Billy Hurley III,25,63.5,235,370,1.87
