,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
92,93,,Jason Bohn,75,11.17,658.81,59,6.21,14.84
93,94,,Dominic Bozzelli,69,11.16,557.94,50,7.63,14.96
94,95,,Harold Varner III,101,11.14,846.37,76,4.17,16.47
95,96,,Matt Every,76,11.07,597.95,54,7.5,14.61
96,97,,Brooks Koepka,88,11.05,519.23,47,7.95,15.2
97,98,,Graham DeLaet,82,10.99,670.29,61,4.03,15.1
98,99,,Chris Stroud,67,10.98,406.25,37,6.24,14.97
99,100,,David Lingmerth,79,10.94,656.64,60,6.85,13.81
100,101,,Brian Stuard,93,10.93,699.65,64,5.77,15.75
101,102,,Rick Lamb,54,10.89,392.22,36,8.41,14.09
102,103,,Ben Crane,86,10.88,707.46,65,7.65,14.85
103,104,,Hudson Swafford,94,10.85,650.74,60,6.88,13.51
104,105,,Kevin Streelman,90,10.84,780.61,72,6.9,13.8
105,106,,Sebastián Muñoz,51,10.81,378.37,35,8.15,14.22
106,107,,Patton Kizzire,84,10.8,755.94,70,7.97,14.23
107,T108,,Bill Haas,92,10.78,603.9,56,7.39,15.2
108,T108,,Martin Laird,83,10.78,560.7,52,8.24,13.09
109,110,,Trey Mullinax,88,10.77,667.46,62,7.21,13.87
110,111,,Tyrone Van Aswegen,105,10.74,655.19,61,6.13,14.43
111,112,,Steve Wheatcroft,51,10.72,332.4,31,5.38,14.14
112,113,,Gary Woodland,94,10.71,546.02,51,8.29,14.12
113,T114,,Luke List,102,10.69,737.36,69,6.37,14.57
114,T114,,Daniel Summerhays,100,10.69,748.57,70,5.58,16.56
115,116,,Andrew Loupe,55,10.68,437.78,41,4.28,14.6
116,117,,Shawn Stefani,72,10.67,576.1,54,5.99,14.14
117,118,,Carl Pettersson,63,10.66,415.73,39,6.28,14.78
118,T119,,Chad Collins,66,10.58,497.36,47,7.32,13.35
119,T119,,Chris Kirk,89,10.58,687.95,65,6.83,14.15
120,T121,,Jason Dufner,89,10.52,673.14,64,6.11,15.18
121,T121,,Graeme McDowell,56,10.52,389.35,37,7.08,13.62
122,123,,Mackenzie Hughes,106,10.51,946.11,90,6.5,14.86
123,124,,Patrick Rodgers,76,10.47,492.09,47,4.98,17.54
124,125,,Greg Chalmers,75,10.46,658.74,63,6.78,13.7
125,126,,Miguel Angel Carballo,63,10.43,396.27,38,6.72,13.22
126,127,,Fabián Gómez,61,10.42,489.84,47,7.86,13.45
127,128,,Cameron Smith,86,10.41,666.42,64,5.65,14.43
128,129,,Ryo Ishikawa,56,10.37,414.89,40,5.87,16.85
129,130,,Rafa Cabrera Bello,63,10.34,362.07,35,7.49,13.38
130,131,,Jim Furyk,54,10.32,381.98,37,6.24,15.89
131,132,,Spencer Levin,89,10.27,647.14,63,6.52,13.92
132,133,,Camilo Villegas,76,10.26,523.19,51,5.77,13.46
133,134,,Gonzalo Fernandez-Castaño,63,10.25,358.86,35,5.95,12.45
134,135,,Martin Flores,88,10.23,654.7,64,5.32,15.51
135,136,,William McGirt,89,10.22,664.13,65,5.57,14.3
136,137,,Ken Duke,77,10.2,459.07,45,5.58,15.52
137,138,,Emiliano Grillo,90,10.19,611.42,60,5.92,16.97
138,139,,Charl Schwartzel,63,10.15,375.67,37,7.81,12.49
139,140,,Marc Leishman,94,10.03,591.82,59,5.54,12.92
140,T141,,Bryson DeChambeau,91,10.02,631.35,63,5.03,13.87
141,T141,,Kevin Na,86,10.02,511.06,51,5.3,15.94
142,T143,,Stewart Cink,93,10.01,700.73,70,5.86,14.67
143,T143,,Bubba Watson,71,10.01,410.41,41,3.69,18.43
144,145,,Harris English,84,9.96,607.46,61,5.94,13.19
145,T146,,Adam Hadwin,98,9.93,695.45,70,5.83,14.72
146,T146,,Michael Thompson,60,9.93,397.16,40,7.05,13.13
147,148,,Brendan Steele,89,9.92,585.44,59,5.87,14.36
148,149,,Tony Finau,106,9.91,772.62,78,6.61,13.81
149,150,,Adam Scott,58,9.89,296.68,30,7.04,12.62
150,151,,Patrick Reed,107,9.86,640.95,65,6.41,15.89
151,152,,Daniel Berger,91,9.78,508.33,52,4.55,13.1
152,T153,,Wesley Bryan,95,9.75,565.24,58,5.49,13.82
153,T153,,Russell Knox,75,9.75,448.51,46,3.68,14.19
154,155,,J.T. Poston,95,9.7,649.59,67,6.35,13.1
155,156,,Jim Herman,77,9.59,527.56,55,5.1,12.85
156,157,,Roberto Castro,70,9.57,459.3,48,3.65,14.45
157,158,,Mark Hubbard,81,9.54,534.47,56,5.64,13.25
158,159,,Brad Fritsch,56,9.52,371.41,39,5.36,13.44
159,160,,Seamus Power,86,9.51,456.54,48,5.68,15.67
160,161,,Grayson Murray,94,9.5,607.91,64,6.3,12.13
161,T162,,Paul Casey,94,9.47,483.13,51,6.04,13.81
162,T162,,Ben Martin,86,9.47,624.83,66,5.51,13.68
163,164,,Andres Gonzales,73,9.42,471.12,50,6.73,11.82
164,165,,Brandon Hagy,85,9.37,533.93,57,4.08,14.06
165,166,,Sergio Garcia,65,9.31,316.53,34,4.48,13.29
166,167,,Bryce Molder,74,9.26,555.54,60,5.31,13.96
167,168,,Mark Anderson,54,9.19,386.08,42,6.29,12.24
168,169,,Lucas Glover,93,9.14,594.26,65,5.02,13.31
169,170,,Ian Poulter,72,9.02,451.03,50,5.68,11.97
170,171,,Charles Howell III,86,8.95,519.06,58,5.68,13.53
171,172,,Ryan Armour,63,8.94,375.69,42,5.61,13.9
172,173,,Steven Bowditch,59,8.93,384.01,43,4.72,12.92
173,T174,,Brett Drewitt,57,8.82,308.75,35,4.84,11.89
174,T174,,Jonathan Randolph,68,8.82,405.64,46,4.71,13.23
175,T176,,Ryan Brehm,83,8.79,272.48,31,5.49,11.85
176,T176,,Nick Watney,75,8.79,501.04,57,4.78,13.46
177,178,,Kevin Tway,96,8.77,464.59,53,3.71,14.2
178,179,,Russell Henley,99,8.73,637.62,73,5.04,12.3
179,180,,Brian Campbell,55,8.54,324.52,38,4.9,11.21
180,181,,Boo Weekley,75,8.47,440.61,52,5.64,11.74
181,182,,Søren Kjeldsen,58,8.42,227.42,27,5.33,12.96
182,183,,Matt Jones,64,8.37,385.02,46,6.17,11.79
183,184,,Aaron Baddeley,61,8.32,366.3,44,3.34,12.31
184,185,,Rod Pampling,71,8.17,400.31,49,3.03,11.86
185,186,,Robert Streb,98,8.08,573.52,71,4.54,12.16
186,187,,Jhonattan Vegas,95,8.0,392.13,49,5.36,11.03
187,188,,Branden Grace,70,7.92,269.17,34,4.67,10.96
188,189,,Ollie Schniederjans,92,6.71,375.95,56,-1.42,11.61
189,190,,Ricky Barnes,100,6.36,311.54,49,3.13,9.93
