,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
91,92,,Jason Dufner,89,13.41,131,977,+0.07
92,93,,Danny Lee,93,13.42,141,1051,+0.07
93,94,,Aaron Baddeley,61,13.44,86,640,-0.02
94,95,,Scott Brown,95,13.52,147,1087,+0.10
95,96,,Bud Cauley,92,13.53,149,1101,+0.01
96,T97,,Alex Cejka,85,13.57,117,862,+0.14
97,T97,,Branden Grace,70,13.57,81,597,+0.09
98,T97,,Louis Oosthuizen,69,13.57,89,656,+0.09
99,100,,Grayson Murray,94,13.64,161,1180,+0.09
100,101,,Jason Kokrak,95,13.67,149,1090,-0.01
101,102,,Tyrone Van Aswegen,105,13.68,152,1111,+0.03
102,103,,Charles Howell III,86,13.74,129,939,+0.03
103,104,,Jonas Blixt,74,13.78,112,813,+0.13
104,105,,Kevin Na,86,13.81,119,862,-0.06
105,106,,Brian Stuard,93,13.87,130,937,+0.14
106,T107,,Adam Hadwin,98,13.89,144,1037,+0.13
107,T107,,Johnson Wagner,71,13.89,110,792,+0.04
108,109,,Chad Collins,66,13.92,104,747,+0.05
109,110,,Paul Casey,94,14.0,131,936,-0.07
110,111,,Jamie Lovemark,98,14.03,147,1048,-0.06
111,112,,Julián Etulain,68,14.06,100,711,+0.01
112,113,,Brett Stegmaier,78,14.11,113,801,+0.14
113,114,,Tim Wilkinson,64,14.15,90,636,+0.10
114,115,,Kevin Chappell,95,14.24,134,941,+0.07
115,116,,Bubba Watson,71,14.25,101,709,+0.05
116,T117,,Matt Jones,64,14.27,101,708,+0.03
117,T117,,Si Woo Kim,80,14.27,111,778,+0.12
118,T119,,Bill Haas,92,14.33,135,942,+0.07
119,T119,,David Lingmerth,79,14.33,129,900,-0.02
120,121,,Rick Lamb,54,14.37,76,529,+0.08
121,122,,Greg Chalmers,75,14.38,136,946,+0.15
122,123,,Derek Fathauer,81,14.4,128,889,+0.15
123,124,,Justin Rose,66,14.41,102,708,-0.08
124,T125,,John Huh,92,14.46,153,1058,+0.07
125,T125,,Gary Woodland,94,14.46,128,885,+0.09
126,127,,Brandt Snedeker,53,14.55,78,536,-0.08
127,128,,Luke List,102,14.68,174,1185,-0.10
128,129,,Mark Anderson,54,14.7,86,585,-0.01
129,130,,Shawn Stefani,72,14.73,123,835,+0.18
130,131,,Brooks Koepka,88,14.8,128,865,+0.05
131,132,,Sean O'Hair,84,14.85,140,943,+0.09
132,133,,Brian Campbell,55,14.89,85,571,+0.08
133,134,,D.A. Points,68,14.92,121,811,+0.14
134,135,,Robert Garrigus,78,14.93,123,824,+0.02
135,136,,Bryson DeChambeau,91,14.97,146,975,+0.14
136,137,,Blayne Barber,77,15.15,141,931,+0.16
137,138,,Sung Kang,104,15.2,173,1138,-0.02
138,139,,J.J. Henry,92,15.27,159,1041,+0.07
139,140,,Richy Werenski,81,15.29,130,850,+0.21
140,141,,Chad Campbell,97,15.31,181,1182,+0.08
141,142,,Andres Gonzales,73,15.32,121,790,+0.03
142,143,,Michael Thompson,60,15.38,94,611,+0.15
143,144,,Ryo Ishikawa,56,15.53,91,586,+0.07
144,T145,,Cody Gribble,79,15.6,151,968,-0.03
145,T145,,Jonathan Randolph,68,15.6,102,654,+0.13
146,147,,Hudson Swafford,94,15.62,164,1050,+0.01
147,148,,Nick Watney,75,15.65,138,882,+0.01
148,149,,Retief Goosen,52,15.66,88,562,+0.08
149,150,,Dustin Johnson,77,15.7,124,790,-0.10
150,151,,Ryan Blaum,100,15.72,179,1139,+0.11
151,152,,Wesley Bryan,95,15.75,163,1035,+0.07
152,T153,,C.T. Pan,88,15.81,163,1031,+0.07
153,T153,,Patrick Reed,107,15.81,176,1113,+0.01
154,155,,Jhonattan Vegas,95,15.99,154,963,+0.09
155,156,,Gonzalo Fernandez-Castaño,63,16.01,97,606,-0.01
156,157,,Cameron Percy,71,16.08,123,765,+0.13
157,158,,Tag Ridings,67,16.09,112,696,-0.10
158,159,,Tom Hoge,54,16.2,87,537,E
159,160,,Martin Flores,88,16.3,150,920,-0.01
160,161,,Jason Day,71,16.46,120,729,+0.08
161,T162,,Robert Streb,98,16.55,192,1160,E
162,T162,,Cameron Tringale,89,16.55,148,894,+0.03
163,164,,Scott Stallings,81,16.7,157,940,+0.04
164,165,,Smylie Kaufman,76,16.86,147,872,+0.01
165,166,,Andrew Loupe,55,17.06,108,633,+0.16
166,T167,,Whee Kim,74,17.19,137,797,+0.04
167,T167,,Patton Kizzire,84,17.19,170,989,+0.09
168,169,,Kevin Tway,96,17.42,177,1016,+0.12
169,170,,Seung-Yul Noh,91,17.43,179,1027,+0.04
170,171,,Stewart Cink,93,17.58,187,1064,-0.01
171,172,,Sergio Garcia,65,17.64,103,584,+0.12
172,173,,Camilo Villegas,76,17.7,151,853,+0.05
173,174,,Patrick Rodgers,76,17.76,162,912,+0.09
174,175,,Trey Mullinax,88,17.93,163,909,+0.02
175,176,,Seamus Power,86,18.07,170,941,-0.02
176,177,,Justin Thomas,86,18.1,152,840,-0.05
177,178,,Brandon Hagy,85,18.25,173,948,+0.01
178,179,,Charl Schwartzel,63,18.33,116,633,-0.07
179,180,,Sebastián Muñoz,51,18.35,98,534,+0.06
180,181,,Ricky Barnes,100,18.56,198,1067,E
181,182,,Harris English,84,18.77,174,927,+0.02
182,183,,Billy Hurley III,80,18.85,181,960,+0.09
183,184,,J.B. Holmes,83,19.28,150,778,+0.05
184,185,,Matt Every,76,19.51,160,820,+0.14
185,186,,Carl Pettersson,63,19.94,142,712,+0.13
186,187,,Phil Mickelson,85,19.96,190,952,+0.04
187,188,,Ollie Schniederjans,92,20.21,226,1118,+0.12
188,189,,Ryan Brehm,83,20.91,175,837,-0.01
189,190,,Steven Bowditch,59,21.4,128,598,+0.18
