,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
112,T112,,James Hahn,28,53.1,213,401,0.99
113,T112,,Luke List,31,53.1,262,493,0.99
114,T112,,Harold Varner III,31,53.1,250,471,1.88
115,T116,,Jonas Blixt,25,53.3,169,317,2.66
116,T116,,Russell Henley,27,53.3,215,403,1.77
117,T118,,Tony Finau,29,53.4,257,481,0.7
118,T118,,Jamie Lovemark,28,53.4,230,431,0.83
119,T118,,Bubba Watson,22,53.4,135,253,1.78
120,T121,,William McGirt,28,53.5,146,273,2.4
121,T121,,Jordan Spieth,23,53.5,176,329,0.97
122,T123,,Byeong Hun An,22,53.6,156,291,2.31
123,T123,,Keegan Bradley,29,53.6,210,392,2.38
124,125,,Billy Horschel,28,53.7,224,417,1.47
125,126,,Daniel Summerhays,29,53.8,213,396,1.88
126,127,,Geoff Ogilvy,25,54.0,183,339,1.8
127,128,,Brendan Steele,25,54.1,177,327,1.69
128,T129,,Gonzalo Fernandez-Castaño,22,54.2,150,277,1.33
129,T129,,Hideki Matsuyama,22,54.2,166,306,0.84
130,131,,J.J. Spaun,29,54.4,187,344,1.5
131,132,,Patrick Cantlay,13,54.7,127,232,0.87
132,133,,K.J. Choi,25,54.9,139,253,1.51
133,134,,Rafa Cabrera Bello,19,55.0,122,222,1.8
134,135,,Brian Gay,25,55.3,183,331,1.53
135,136,,Andres Gonzales,24,55.4,191,345,1.36
136,T137,,Brian Harman,30,55.5,237,427,1.31
137,T137,,Andrew Loupe,21,55.5,176,317,1.7
138,T139,,Rory McIlroy,14,55.6,100,180,0.9
139,T139,,Troy Merritt,28,55.6,202,363,1.39
140,T141,,Roberto Castro,25,55.9,138,247,1.88
141,T141,,Matt Jones,20,55.9,167,299,1.44
142,T143,,Chad Collins,26,56.0,163,291,2.21
143,T143,,Martin Laird,25,56.0,181,323,1.88
144,145,,Lucas Glover,26,56.1,216,385,1.67
145,T146,,Chris Kirk,28,56.3,205,364,1.76
146,T146,,Cameron Smith,26,56.3,229,407,1.62
147,T148,,Jim Furyk,18,56.4,92,163,1.85
148,T148,,Kyle Stanley,29,56.4,216,383,1.76
149,150,,Steven Alker,23,56.5,134,237,2.09
150,151,,Emiliano Grillo,25,56.6,171,302,1.93
151,T152,,Russell Knox,24,56.7,131,231,2.52
152,T152,,J.T. Poston,28,56.7,233,411,1.72
153,T154,,Jason Bohn,28,56.8,180,317,2.17
154,T154,,Xander Schauffele,28,56.8,216,380,0.88
155,156,,Ian Poulter,20,57.1,161,282,1.68
156,157,,Brett Drewitt,19,57.3,138,241,1.88
157,158,,Ryan Armour,20,57.4,105,183,1.71
158,159,,Pat Perez,26,57.5,211,367,0.95
159,160,,Mackenzie Hughes,31,57.6,295,512,1.49
160,161,,Miguel Angel Carballo,22,57.7,131,227,1.53
161,162,,Peter Malnati,29,57.8,211,365,1.56
162,T163,,Morgan Hoffmann,29,58.2,255,438,1.84
163,T163,,Charles Howell III,23,58.2,242,416,1.4
164,T163,,Si Woo Kim,30,58.2,189,325,3.12
165,T163,,Anirban Lahiri,22,58.2,188,323,2.66
166,167,,Kelly Kraft,27,58.6,205,350,2.34
167,168,,Ryo Ishikawa,20,58.7,169,288,3.02
168,169,,Ryan Palmer,20,58.9,159,270,1.26
169,170,,Ben Crane,26,59.0,183,310,2.4
170,171,,Mark Hubbard,27,59.1,191,323,1.88
171,172,,Ernie Els,20,59.2,116,196,2.33
172,T173,,Scott Piercy,22,59.3,159,268,1.95
173,T173,,Jimmy Walker,21,59.3,160,270,2.06
174,175,,Sam Saunders,24,59.5,175,294,1.6
175,176,,Rory Sabbatini,23,60.2,154,256,1.3
176,177,,Branden Grace,20,60.4,136,225,0.59
177,178,,Fabián Gómez,21,60.5,159,263,1.07
178,179,,Dominic Bozzelli,24,60.9,195,320,1.23
179,180,,Charley Hoffman,31,61.2,304,497,1.02
180,181,,David Hearn,29,61.5,206,335,2.72
181,182,,Zac Blair,32,61.9,216,349,0.93
182,183,,Daniel Berger,26,62.5,217,347,1.24
183,184,,Bryce Molder,26,64.0,245,383,1.71
184,185,,Adam Scott,16,64.1,150,234,1.13
185,186,,Marc Leishman,25,64.3,249,387,1.04
186,187,,Nicholas Lindheim,21,64.6,173,268,2.72
187,188,,Rod Pampling,22,64.9,229,353,2.27
188,189,,Brad Fritsch,18,66.1,170,257,2.0
189,190,,Ken Duke,26,67.3,179,266,1.79
