,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
55,56,,Adam Hadwin,98,3.57,37,1037,+0.35
56,T57,,Jim Herman,77,3.58,33,923,+0.42
57,T57,,Russell Knox,75,3.58,26,727,+0.62
58,59,,Nicholas Lindheim,58,3.62,22,607,+0.82
59,60,,Charley Hoffman,112,3.63,45,1238,+0.27
60,61,,Fabián Gómez,61,3.64,26,714,+0.31
61,62,,Kevin Streelman,90,3.68,40,1086,+0.60
62,63,,Sean O'Hair,84,3.71,35,943,+0.43
63,T64,,Pat Perez,93,3.73,37,992,+0.38
64,T64,,Nick Taylor,97,3.73,43,1152,+0.19
65,T66,,Brad Fritsch,56,3.79,22,581,+0.41
66,T66,,Cameron Percy,71,3.79,29,765,+0.86
67,68,,Kelly Kraft,75,3.8,34,895,+0.65
68,69,,Shane Lowry,52,3.81,18,473,+0.33
69,70,,Bill Haas,92,3.82,36,942,+0.11
70,71,,Scott Stallings,81,3.83,36,940,+0.92
71,72,,Lucas Glover,93,3.85,45,1168,+0.31
72,73,,K.J. Choi,72,3.86,29,752,+0.83
73,74,,Tag Ridings,67,3.88,27,696,+0.74
74,T75,,Bryson DeChambeau,91,3.9,38,975,+0.53
75,T75,,Danny Lee,93,3.9,41,1051,+0.83
76,T75,,Hudson Swafford,94,3.9,41,1050,+0.54
77,T78,,Tom Hoge,54,3.91,21,537,+0.62
78,T78,,Johnson Wagner,71,3.91,31,792,+0.68
79,80,,Kevin Na,86,3.94,34,862,+0.38
80,81,,Geoff Ogilvy,80,3.98,37,930,+0.46
81,T82,,Jason Dufner,89,3.99,39,977,+0.72
82,T82,,Camilo Villegas,76,3.99,34,853,+0.56
83,T84,,Martin Laird,83,4.03,38,944,+0.42
84,T84,,Troy Merritt,82,4.03,38,944,+0.82
85,86,,Jason Bohn,75,4.06,35,862,+0.89
86,87,,Gary Woodland,94,4.07,36,885,+0.31
87,88,,J.J. Spaun,92,4.11,41,998,+0.54
88,89,,Russell Henley,99,4.12,47,1140,+0.47
89,T90,,Rickie Fowler,78,4.15,34,820,+0.68
90,T90,,Jhonattan Vegas,95,4.15,40,963,+0.48
91,92,,J.T. Poston,95,4.17,41,983,+0.76
92,93,,Andres Gonzales,73,4.18,33,790,+0.88
93,94,,Greg Chalmers,75,4.23,40,946,+0.45
94,95,,James Hahn,96,4.24,48,1131,+0.46
95,96,,Graham DeLaet,82,4.26,42,985,+0.48
96,97,,Chad Collins,66,4.28,32,747,+0.50
97,98,,Keegan Bradley,104,4.29,52,1211,+0.54
98,99,,Blayne Barber,77,4.3,40,931,+0.53
99,100,,Sebastián Muñoz,51,4.31,23,534,+0.65
100,101,,Mackenzie Hughes,106,4.33,58,1338,+0.34
101,T102,,Marc Leishman,94,4.38,42,958,+0.36
102,T102,,Adam Scott,58,4.38,24,548,+0.75
103,104,,Mark Hubbard,81,4.39,37,842,+0.73
104,105,,Patrick Reed,107,4.4,49,1113,+0.35
105,106,,Tyrone Van Aswegen,105,4.41,49,1111,+0.61
106,T107,,Stewart Cink,93,4.42,47,1064,+0.23
107,T107,,Louis Oosthuizen,69,4.42,29,656,+0.17
108,T107,,Michael Thompson,60,4.42,27,611,+0.81
109,110,,Brandon Hagy,85,4.43,42,948,+0.38
110,111,,Daniel Berger,91,4.49,42,935,+0.10
111,112,,Bubba Watson,71,4.51,32,709,+0.75
112,113,,Ollie Schniederjans,92,4.56,51,1118,+0.65
113,T114,,Tony Finau,106,4.59,58,1263,+0.43
114,T114,,Scott Piercy,70,4.59,30,653,+0.70
115,116,,Daniel Summerhays,100,4.6,50,1087,+0.36
116,117,,Jon Rahm,90,4.61,41,889,+0.07
117,T118,,Gonzalo Fernandez-Castaño,63,4.62,28,606,+0.29
118,T118,,Chris Kirk,89,4.62,45,973,+0.67
119,T118,,Xander Schauffele,96,4.62,45,975,+0.53
120,121,,Brandt Snedeker,53,4.66,25,536,+0.40
121,122,,Martin Flores,88,4.67,43,920,+0.49
122,123,,Brendan Steele,89,4.7,44,936,+0.70
123,124,,Bud Cauley,92,4.72,52,1101,+0.46
124,125,,Charl Schwartzel,63,4.74,30,633,+0.57
125,T126,,J.B. Holmes,83,4.76,37,778,+0.59
126,T126,,Nick Watney,75,4.76,42,882,+0.83
127,128,,Harold Varner III,101,4.8,57,1188,+0.63
128,T129,,Dustin Johnson,77,4.81,38,790,+0.16
129,T129,,Hideki Matsuyama,83,4.81,37,769,+0.32
130,131,,Phil Mickelson,85,4.83,46,952,+0.35
131,132,,Morgan Hoffmann,92,4.85,55,1135,+0.51
132,133,,Ian Poulter,72,4.86,37,762,+0.19
133,134,,Patrick Cantlay,52,4.87,31,637,E
134,135,,Julián Etulain,68,4.92,35,711,+0.69
135,136,,Mark Anderson,54,4.96,29,585,+0.41
136,137,,Ricky Barnes,100,4.97,53,1067,+0.62
137,138,,Retief Goosen,52,4.98,28,562,+0.54
138,139,,Seamus Power,86,4.99,47,941,+0.43
139,140,,Byeong Hun An,77,5.0,38,760,+0.34
140,141,,Si Woo Kim,80,5.01,39,778,+0.59
141,142,,Dominic Bozzelli,69,5.03,38,755,+0.50
142,143,,Michael Kim,94,5.07,59,1164,+0.64
143,144,,Robert Garrigus,78,5.1,42,824,+0.55
144,145,,Smylie Kaufman,76,5.16,45,872,+0.67
145,146,,Derek Fathauer,81,5.17,46,889,+0.72
146,147,,Billy Hurley III,80,5.21,50,960,+0.62
147,148,,David Lingmerth,79,5.22,47,900,+0.77
148,149,,Justin Rose,66,5.23,37,708,+0.24
149,150,,Robert Streb,98,5.26,61,1160,+0.61
150,151,,Ernie Els,52,5.27,24,455,+0.67
151,T152,,Trey Mullinax,88,5.28,48,909,+0.60
152,T152,,Jimmy Walker,68,5.28,35,663,+0.54
153,154,,Jason Day,71,5.35,39,729,+0.62
154,T155,,Anirban Lahiri,72,5.37,44,819,+0.52
155,T155,,Cameron Tringale,89,5.37,48,894,+0.60
156,157,,Justin Thomas,86,5.48,46,840,+0.37
157,T158,,Matt Jones,64,5.51,39,708,+0.64
158,T158,,Shawn Stefani,72,5.51,46,835,+0.50
159,160,,Whee Kim,74,5.77,46,797,+0.63
160,161,,Kevin Chappell,95,5.84,55,941,+0.42
161,162,,Charles Howell III,86,5.86,55,939,+0.40
162,163,,Wesley Bryan,95,5.89,61,1035,+0.54
163,164,,Jason Kokrak,95,5.96,65,1090,+0.46
164,165,,Sung Kang,104,5.98,68,1138,+0.44
165,T166,,Branden Grace,70,6.03,36,597,+0.33
166,T166,,Patrick Rodgers,76,6.03,55,912,+0.45
167,168,,Carl Pettersson,63,6.04,43,712,+0.67
168,169,,Rafa Cabrera Bello,63,6.14,36,586,+0.39
169,170,,Rory McIlroy,51,6.37,30,471,+0.27
170,171,,Jamie Lovemark,98,6.39,67,1048,+0.25
171,172,,Kevin Tway,96,6.4,65,1016,+0.51
172,173,,Ryan Brehm,83,6.45,54,837,+0.41
173,174,,Ryo Ishikawa,56,6.48,38,586,+0.55
174,175,,Cameron Smith,86,6.61,65,983,+0.48
175,176,,Jonas Blixt,74,6.64,54,813,+0.74
176,177,,Grayson Murray,94,6.69,79,1180,+0.67
177,T178,,Aaron Baddeley,61,6.72,43,640,+0.72
178,T178,,Seung-Yul Noh,91,6.72,69,1027,+0.62
179,180,,Ryan Palmer,61,6.78,44,649,+0.50
180,181,,Harris English,84,6.9,64,927,+0.64
181,182,,Luke Donald,50,6.94,41,591,+0.49
182,183,,Matt Every,76,6.95,57,820,+0.68
183,184,,Bryce Molder,74,7.11,63,886,+0.60
184,185,,Luke List,102,7.17,85,1185,+0.31
185,186,,Patton Kizzire,84,7.38,73,989,+0.48
186,187,,Brooks Koepka,88,7.4,64,865,+0.31
187,188,,Cody Gribble,79,8.47,82,968,+0.39
188,189,,Andrew Loupe,55,9.64,61,633,+0.52
189,190,,Steven Bowditch,59,11.37,68,598,+0.60
