,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
75,76,,Cameron Tringale,89,2614.8,135968,52,3766,1903
76,77,,Ryan Brehm,83,2609.9,54808,21,3568,1751
77,78,,Hideki Matsuyama,83,2609.8,83514,32,4419,1717
78,79,,Tom Hoge,54,2606.3,99038,38,3136,1694
79,80,,Richy Werenski,81,2606.1,122489,47,3710,1915
80,81,,Robert Streb,98,2603.1,163993,63,5658,1401
81,82,,Grayson Murray,94,2601.9,140504,54,4570,1808
82,83,,Rory Sabbatini,71,2597.1,106483,41,3530,1627
83,84,,Seamus Power,86,2594.1,101171,39,5423,1955
84,85,,Smylie Kaufman,76,2589.7,129484,50,4601,1809
85,86,,Dominic Bozzelli,69,2588.1,108699,42,3929,2015
86,87,,Jamie Lovemark,98,2587.6,119029,46,5118,1856
87,88,,Daniel Berger,91,2585.3,118925,46,4723,1619
88,89,,Shane Lowry,52,2584.0,43928,17,4358,1836
89,90,,Kelly Kraft,75,2582.3,123951,48,7107,1526
90,91,,Scott Brown,95,2581.8,154906,60,4986,1900
91,92,,Russell Henley,99,2579.8,157366,61,3474,1590
92,93,,Matt Every,76,2576.1,121075,47,4986,1857
93,94,,Greg Chalmers,75,2573.0,115785,45,3778,1878
94,95,,Zac Blair,105,2568.4,172082,67,4477,1670
95,96,,Sean O'Hair,84,2564.6,117973,46,4775,1628
96,97,,J.J. Spaun,92,2564.2,107698,42,3618,1863
97,98,,Seung-Yul Noh,91,2563.5,146120,57,4182,1655
98,99,,Johnson Wagner,71,2561.6,117832,46,4214,2028
99,100,,Tyrone Van Aswegen,105,2561.5,140883,55,3839,1786
100,101,,Andres Gonzales,73,2549.6,96886,38,4437,1902
101,102,,Gary Woodland,94,2548.5,109584,43,3705,1529
102,103,,J.J. Henry,92,2546.8,157902,62,3797,1877
103,104,,Martin Flores,88,2546.4,134957,53,5323,1702
104,105,,Miguel Angel Carballo,63,2542.4,81356,32,3301,1656
105,106,,Derek Fathauer,81,2536.3,109061,43,3229,1850
106,107,,Kevin Chappell,95,2535.4,114094,45,5007,1805
107,108,,Brooks Koepka,88,2533.7,93748,37,4472,1514
108,109,,Rick Lamb,54,2532.9,73455,29,4845,1578
109,110,,Kevin Tway,96,2532.3,108887,43,3114,1733
110,111,,Kyle Stanley,104,2530.6,184735,73,3402,1597
111,112,,Chris Kirk,89,2529.6,141657,56,3588,1679
112,113,,Bryson DeChambeau,91,2528.8,141613,56,4337,1500
113,114,,Jonathan Randolph,68,2527.0,106132,42,3311,1765
114,115,,Louis Oosthuizen,69,2515.4,75462,30,3206,1474
115,116,,Brendan Steele,89,2511.8,113029,45,3556,1799
116,117,,Ollie Schniederjans,92,2511.7,113026,45,4300,1649
117,118,,J.T. Poston,95,2510.0,155623,62,4380,1691
118,119,,Anirban Lahiri,72,2509.3,80297,32,5141,1477
119,120,,Vaughn Taylor,90,2500.5,147532,59,4857,1725
120,121,,Emiliano Grillo,90,2498.7,137431,55,3177,1659
121,122,,Bud Cauley,92,2497.8,139875,56,4517,1564
122,123,,Keegan Bradley,104,2495.2,142229,57,4647,1485
123,124,,Cameron Smith,86,2494.4,142183,57,4623,1469
124,125,,Julián Etulain,68,2494.2,104758,42,3436,1611
125,126,,Sam Saunders,76,2486.4,109400,44,4434,1557
126,127,,Dustin Johnson,77,2485.9,89493,36,5275,1471
127,128,,Hunter Mahan,73,2481.5,133999,54,3949,1633
128,129,,Francesco Molinari,75,2480.5,96741,39,5644,1583
129,130,,Whee Kim,74,2477.1,99083,40,7930,1671
130,131,,Brian Gay,82,2463.2,152717,62,5373,1588
131,132,,Kevin Streelman,90,2462.1,145262,59,3160,1780
132,133,,Matt Kuchar,95,2458.9,125406,51,4000,1588
133,134,,Charles Howell III,86,2453.1,125109,51,3475,1651
134,135,,Patton Kizzire,84,2452.7,149615,61,3779,1563
135,136,,Alex Cejka,85,2450.4,124969,51,4790,1536
136,137,,Michael Kim,94,2450.1,166608,68,5708,1843
137,138,,Jordan Spieth,85,2449.2,110213,45,3323,1587
138,139,,Jimmy Walker,68,2448.4,71004,29,4451,1729
139,140,,Morgan Hoffmann,92,2447.8,159104,65,10291,1636
140,141,,Patrick Cantlay,52,2445.1,75799,31,5052,1573
141,142,,Xander Schauffele,96,2443.6,107520,44,3320,1659
142,143,,Ryan Palmer,61,2439.2,70738,29,3750,1596
143,144,,Hudson Swafford,94,2435.8,114482,47,4632,1630
144,145,,Si Woo Kim,80,2435.1,116883,48,3739,1630
145,146,,Harold Varner III,101,2433.5,143577,59,3233,1796
146,147,,Stewart Cink,93,2423.9,140584,58,4762,1658
147,148,,Gonzalo Fernandez-Castaño,63,2422.5,70252,29,3765,1540
148,149,,Chez Reavie,98,2419.4,154844,64,4706,1508
149,150,,Martin Laird,83,2412.1,108546,45,3069,1642
150,151,,Nick Taylor,97,2410.6,166328,69,3213,1608
151,152,,Rafa Cabrera Bello,63,2409.8,72295,30,3009,1932
152,153,,Carl Pettersson,63,2406.6,77012,32,4473,1454
153,154,,Jason Dufner,89,2401.8,120089,50,3528,1624
154,155,,Byeong Hun An,77,2399.4,93578,39,3239,1886
155,156,,C.T. Pan,88,2399.3,131961,55,4002,1622
156,157,,Trey Mullinax,88,2398.6,117533,49,3303,1580
157,158,,Webb Simpson,102,2388.5,155253,65,4225,1798
158,159,,Rod Pampling,71,2377.5,80836,34,3255,1599
159,160,,Jason Kokrak,95,2377.3,140261,59,4647,1544
160,161,,Blayne Barber,77,2372.4,132854,56,2991,1529
161,162,,Ryan Moore,82,2366.1,118305,50,3050,1622
162,163,,James Hahn,96,2361.6,115719,49,3446,1711
163,164,,Justin Rose,66,2361.0,84997,36,3145,1599
164,165,,Robert Garrigus,78,2353.1,112948,48,3314,1465
165,166,,Zach Johnson,81,2350.8,103434,44,3257,1432
166,167,,Lucas Glover,93,2346.4,129053,55,3339,1805
167,168,,Graham DeLaet,82,2328.0,100104,43,3758,1556
168,169,,Jonas Blixt,74,2321.0,104443,45,3808,1598
169,170,,Rory McIlroy,51,2319.9,51037,22,5967,1759
170,171,,Tim Wilkinson,64,2310.4,87794,38,3871,1694
171,172,,Scott Stallings,81,2309.3,113154,49,3569,1681
172,173,,Shawn Stefani,72,2305.8,94539,41,3297,1471
173,174,,Billy Horschel,88,2298.3,117212,51,3672,1515
174,175,,Brett Stegmaier,78,2297.2,103373,45,4118,1510
175,176,,Justin Thomas,86,2293.3,68798,30,3962,1541
176,177,,Sung Kang,104,2290.3,121388,53,4604,1465
177,178,,Kyle Reifers,96,2289.1,137345,60,3350,1691
178,179,,Retief Goosen,52,2267.0,68010,30,3132,1480
179,180,,Jason Day,71,2266.4,92923,41,3044,1545
180,181,,Brian Harman,104,2265.8,122351,54,3751,1530
181,182,,K.J. Choi,72,2265.6,106482,47,4229,1593
182,183,,Cody Gribble,79,2249.1,101211,45,3552,1546
183,184,,Camilo Villegas,76,2235.7,100606,45,2864,1629
184,185,,Jon Rahm,90,2227.6,111378,50,3845,1575
185,186,,D.A. Points,68,2227.3,104685,47,3513,1511
186,187,,John Huh,92,2151.0,144114,67,3996,1554
187,188,,Nicholas Lindheim,58,2087.9,43846,21,3867,1420
188,189,,Cameron Percy,71,2058.3,82331,40,2701,1576
189,190,,Ernie Els,52,2046.9,49125,24,2792,1419
