,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
65,T64,T64,Frank Lickliter II,89,-.080
66,T64,T64,Patrick Sheehan,113,-.080
67,T68,T68,Woody Austin,94,-.079
68,T68,T68,Briny Baird,100,-.079
69,T68,T68,Luke Donald,72,-.079
70,T68,T68,J.J. Henry,103,-.079
71,T68,T68,Kent Jones,99,-.079
72,T68,T68,Corey Pavin,83,-.079
73,T68,T68,Brett Quigley,102,-.079
74,75,75,Dean Wilson,99,-.078
75,T76,T76,Billy Andrade,104,-.077
76,T76,T76,Paul Azinger,75,-.077
77,T76,T76,Danny Briggs,85,-.077
78,T76,T76,Jonathan Byrd,85,-.077
79,T76,T76,Joe Ogilvie,104,-.077
80,T81,T81,Craig Barlow,80,-.076
81,T81,T81,Ben Crane,92,-.076
82,T81,T81,Chris Riley,78,-.076
83,T81,T81,Mark Wilson,62,-.076
84,T85,T85,Glen Day,101,-.075
85,T85,T85,Todd Fischer,104,-.075
86,T85,T85,Neal Lancaster,106,-.075
87,T85,T85,Scott McCarron,88,-.075
88,T85,T85,Tag Ridings,53,-.075
89,90,90,Joe Durant,85,-.074
90,T91,T91,Brent Geiberger,94,-.073
91,T91,T91,Bernhard Langer,59,-.073
92,T93,T93,Bart Bryant,73,-.072
93,T93,T93,K.J. Choi,83,-.072
94,T93,T93,Richard Johnson,102,-.072
95,T93,T93,Kevin Na,100,-.072
96,T93,T93,John Riegger,53,-.072
97,98,98,Todd Hamilton,92,-.071
98,99,99,Fred Funk,97,-.070
99,T100,T100,Jason Bohn,98,-.069
100,T100,T100,Matt Kuchar,83,-.069
101,T100,T100,J.L. Lewis,106,-.069
102,T103,T103,Mark Calcavecchia,79,-.068
103,T103,T103,Justin Leonard,90,-.068
104,T103,T103,Chris Smith,105,-.068
105,T106,T106,Brad Faxon,94,-.067
106,T106,T106,Hank Kuehne,91,-.067
107,T108,T108,Tom Byrum,83,-.066
108,T108,T108,Arron Oberholser,77,-.066
109,T108,T108,Joey Sindelar,100,-.066
110,T111,T111,Jeff Maggert,60,-.065
111,T111,T111,Brenden Pappas,111,-.065
112,T111,T111,Steve Stricker,81,-.065
113,T114,T114,Michael Allen,87,-.064
114,T114,T114,Notah Begay III,71,-.064
115,T114,T114,John Rollins,90,-.064
116,T117,T117,Lucas Glover,95,-.063
117,T117,T117,Ryan Palmer,103,-.063
118,T117,T117,Kevin Sutherland,86,-.063
119,120,120,Hunter Mahan,94,-.062
120,T121,T121,Steve Flesch,109,-.061
121,T121,T121,Dennis Paulson,71,-.061
122,T121,T121,Hidemichi Tanaka,89,-.061
123,T124,T124,Jonathan Kaye,79,-.060
124,T124,T124,Heath Slocum,92,-.060
125,126,126,Steve Allan,102,-.059
126,127,127,Arjun Atwal,85,-.057
127,128,128,Chad Campbell,100,-.056
128,T129,T129,Dudley Hart,60,-.055
129,T129,T129,Steve Lowery,91,-.055
130,131,131,Pat Bates,99,-.054
131,T132,T132,Danny Ellis,81,-.053
132,T132,T132,Stephen Leaney,84,-.053
133,T132,T132,Craig Parry,52,-.053
134,T132,T132,Jay Williamson,100,-.053
135,T136,T136,Skip Kendall,99,-.052
136,T136,T136,Nick Price,51,-.052
137,T138,T138,John Cook,57,-.051
138,T138,T138,Deane Pappas,72,-.051
139,T138,T138,Steve Pate,71,-.051
140,T138,T138,Roland Thatcher,66,-.051
141,T142,T142,Russ Cochran,61,-.049
142,T142,T142,Mike Heinen,53,-.049
143,T144,T144,Tommy Armour III,87,-.047
144,T144,T144,Tim Petrovic,111,-.047
145,T146,T146,Alex Cejka,76,-.046
146,T146,T146,Bob Tway,90,-.046
147,148,148,Craig Bowden,83,-.044
148,149,149,D.J. Brigman,79,-.043
149,T150,T150,Rich Beem,81,-.042
150,T150,T150,Craig Perks,75,-.042
151,152,152,Bob Burns,88,-.041
152,T153,T153,Ben Curtis,56,-.039
153,T153,T153,Scott Hend,81,-.039
154,T155,T155,Jeff Brehaut,106,-.038
155,T155,T155,Rocco Mediate,53,-.038
156,157,157,Cliff Kresge,89,-.037
157,T158,T158,Aaron Baddeley,87,-.036
158,T158,T158,J.P. Hayes,79,-.036
159,T160,T160,Tom Carter,113,-.034
160,T160,T160,Ken Duke,89,-.034
161,T160,T160,Tommy Tolles,67,-.034
162,T160,T160,Omar Uresti,85,-.034
163,164,164,Robert Damron,92,-.033
164,165,165,David Frost,78,-.032
165,T166,T166,Jay Delsing,76,-.031
166,T166,T166,Dan Olsen,75,-.031
167,T168,T168,Dan Forsman,79,-.030
168,T168,T168,Roger Tambellini,81,-.030
169,170,170,Steve Elkington,64,-.029
170,171,171,David Branshaw,84,-.028
171,T172,T172,Rich Barcelo,67,-.027
172,T172,T172,Spike McRoy,93,-.027
173,174,174,Scott Simpson,55,-.026
174,175,175,Billy Mayfair,109,-.025
175,176,176,Len Mattiace,75,-.023
176,177,177,David Morland IV,73,-.021
177,178,178,Mark O'Meara,58,-.020
178,T179,T179,Mathias Grönberg,91,-.017
179,T179,T179,Brian Kortan,65,-.017
180,T179,T179,Peter Lonard,68,-.017
181,182,182,Esteban Toledo,92,-.012
182,183,183,Andre Stolz,53,-.011
183,184,184,Blaine McCallister,68,-.010
184,185,185,Tripp Isenhour,55,-.008
185,186,186,Grant Waite,79,-.006
186,187,187,Guy Boros,64,E
187,188,188,Gene Sauers,83,+.003
188,189,189,Mark Brooks,72,+.005
189,190,190,Kris Cox,73,+.006
190,191,191,Niclas Fasth,61,+.010
191,192,192,Hirofumi Miyase,65,+.011
192,193,193,Dicky Pride,66,+.016
193,194,194,Kevin Muncrief,50,+.022
194,195,195,Chris Couch,55,+.053
195,196,196,David Gossett,57,+.115
