,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
101,102,102,Alex Cejka,76,72.87,744,1021,-167.0
102,103,103,Mark Calcavecchia,79,72.84,767,1053,-195.0
103,104,104,David Branshaw,84,72.83,933,1281,-176.0
104,105,105,Jason Dufner,79,72.81,929,1276,-226.0
105,106,106,D.J. Brigman,79,72.69,881,1212,-188.0
106,107,107,Loren Roberts,81,72.65,887,1221,-237.0
107,108,108,Ben Crane,92,72.62,1029,1417,-244.0
108,109,109,Omar Uresti,85,72.57,976,1345,-186.0
109,110,110,Rod Pampling,98,72.48,1001,1381,-254.0
110,111,111,Jeff Brehaut,106,72.46,1197,1652,-254.0
111,T112,T112,Scott McCarron,88,72.44,970,1339,-246.0
112,T112,T112,Tag Ridings,53,72.44,573,791,-144.0
113,114,114,John Daly,79,72.41,858,1185,-258.0
114,115,115,Carl Pettersson,100,72.37,1006,1390,-282.0
115,116,116,Billy Andrade,104,72.34,1177,1627,-266.0
116,117,117,Tom Carter,113,72.32,1233,1705,-263.0
117,118,118,Kevin Sutherland,86,72.31,859,1188,-174.0
118,119,119,David Peoples,82,72.27,972,1345,-225.0
119,120,120,Chris Riley,78,72.26,680,941,-164.0
120,121,121,Freddie Jacobson,83,72.25,802,1110,-217.0
121,122,122,Steve Pate,71,72.19,771,1068,-159.0
122,123,123,Jesper Parnevik,86,72.14,945,1310,-241.0
123,124,124,Jay Williamson,100,72.12,1164,1614,-247.0
124,125,125,Daniel Chopra,108,72.08,1180,1637,-309.0
125,126,126,Hank Kuehne,91,71.97,1068,1484,-264.0
126,127,127,Richard Johnson,102,71.96,1188,1651,-280.0
127,128,128,Matt Gogel,86,71.94,892,1240,-229.0
128,T129,T129,Joe Ogilvie,104,71.93,1079,1500,-275.0
129,T129,T129,Deane Pappas,72,71.93,807,1122,-202.0
130,131,131,Skip Kendall,99,71.84,1013,1410,-221.0
131,T132,T132,Rich Beem,81,71.73,784,1093,-179.0
132,T132,T132,Tim Petrovic,111,71.73,1106,1542,-257.0
133,134,134,Robert Damron,92,71.64,1061,1481,-212.0
134,135,135,Roger Tambellini,81,71.61,893,1247,-196.0
135,136,136,Peter Lonard,68,71.59,693,968,-129.0
136,137,137,Craig Bowden,83,71.58,952,1330,-204.0
137,138,138,Steve Lowery,91,71.55,943,1318,-226.0
138,139,139,Dennis Paulson,71,71.54,842,1177,-209.0
139,140,140,Bob Burns,88,71.45,986,1380,-202.0
140,141,141,Hunter Mahan,94,71.4,1046,1465,-255.0
141,142,142,Blaine McCallister,68,71.36,770,1079,-148.0
142,143,143,Michael Allen,87,71.34,971,1361,-235.0
143,144,144,Danny Ellis,81,71.29,864,1212,-204.0
144,145,145,David Frost,78,71.25,937,1315,-194.0
145,146,146,Mathias Grönberg,91,71.23,931,1307,-187.0
146,T147,T147,Craig Parry,52,71.19,462,649,-101.0
147,T147,T147,Corey Pavin,83,71.19,845,1187,-205.0
148,149,149,Todd Fischer,104,71.01,1161,1635,-275.0
149,150,150,Dan Forsman,79,70.98,829,1168,-157.0
150,151,151,Rich Barcelo,67,70.87,742,1047,-151.0
151,152,152,Dean Wilson,99,70.82,1136,1604,-274.0
152,153,153,Glen Day,101,70.81,1111,1569,-279.0
153,154,154,Grant Waite,79,70.77,857,1211,-177.0
154,155,155,José Coceres,68,70.66,761,1077,-174.0
155,156,156,Todd Hamilton,92,70.62,887,1256,-204.0
156,157,157,John Rollins,90,70.57,899,1274,-222.0
157,158,158,Brenden Pappas,111,70.52,1239,1757,-321.0
158,159,159,Tripp Isenhour,55,70.51,593,841,-117.0
159,160,160,Arjun Atwal,85,70.49,934,1325,-220.0
160,161,161,Gene Sauers,83,70.44,915,1299,-189.0
161,162,162,Jay Delsing,76,70.33,794,1129,-168.0
162,163,163,Brian Kortan,65,70.32,713,1014,-129.0
163,164,164,Mark Hensby,97,70.27,1033,1470,-283.0
164,165,165,Cliff Kresge,89,70.23,934,1330,-194.0
165,166,166,Mark O'Meara,58,70.12,514,733,-105.0
166,167,167,Brian Gay,96,70.07,1098,1567,-290.0
167,168,168,Nick Price,51,70.03,451,644,-112.0
168,169,169,Mike Heinen,53,70.02,633,904,-163.0
169,170,170,José María Olazábal,56,70.0,525,750,-133.0
170,171,171,Paul Azinger,75,69.82,805,1153,-209.0
171,172,172,Brad Faxon,94,69.76,865,1240,-214.0
172,173,173,J.P. Hayes,79,69.72,792,1136,-165.0
173,174,174,Niclas Fasth,61,69.7,635,911,-120.0
174,175,175,Scott Simpson,55,69.69,637,914,-122.0
175,176,176,Craig Perks,75,69.65,787,1130,-164.0
176,177,177,Steve Stricker,81,69.59,840,1207,-215.0
177,178,178,Kris Cox,73,69.53,753,1083,-158.0
178,179,179,Scott Hend,81,69.45,857,1234,-216.0
179,180,180,Dan Olsen,75,69.36,790,1139,-184.0
180,181,181,Andre Stolz,53,69.3,587,847,-123.0
181,182,182,Jonathan Byrd,85,69.11,888,1285,-262.0
182,183,183,Guy Boros,64,69.03,711,1030,-149.0
183,184,184,Esteban Toledo,92,69.0,977,1416,-174.0
184,185,185,Dicky Pride,66,68.96,722,1047,-130.0
185,186,186,Tommy Tolles,67,68.84,738,1072,-179.0
186,187,187,Ken Duke,89,68.58,969,1413,-219.0
187,188,188,Kevin Muncrief,50,67.88,543,800,-107.0
188,189,189,Mark Brooks,72,67.75,685,1011,-122.0
189,190,190,Len Mattiace,75,67.66,843,1246,-175.0
190,191,191,Greg Chalmers,70,67.5,779,1154,-221.0
191,192,192,Hirofumi Miyase,65,66.97,673,1005,-141.0
192,193,193,David Morland IV,73,66.85,736,1101,-173.0
193,194,194,Aaron Baddeley,87,66.59,907,1362,-222.0
194,195,195,Chris Couch,55,64.62,526,814,-130.0
195,196,196,David Gossett,57,59.54,540,907,-74.0
